"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2005","5,202.95","5,128.16","5,209.75","5,119.63","-","1.44%"
"Dec 29, 2005","5,128.99","5,107.47","5,138.69","5,104.91","-","0.41%"
"Dec 28, 2005","5,108.09","5,075.64","5,108.32","5,043.98","-","0.64%"
"Dec 27, 2005","5,075.85","5,112.74","5,121.14","5,073.47","-","-0.73%"
"Dec 26, 2005","5,112.95","4,980.31","5,126.81","4,980.31","-","2.76%"
"Dec 25, 2005","4,975.84","4,847.57","4,975.84","4,792.89","-","2.60%"
"Dec 24, 2005","4,849.83","4,983.67","4,983.67","4,845.68","-","-2.70%"
"Dec 22, 2005","4,984.21","5,138.63","5,138.63","4,984.21","-","-3.03%"
"Dec 21, 2005","5,140.14","5,194.36","5,211.12","5,139.86","-","-1.07%"
"Dec 20, 2005","5,195.87","5,230.62","5,256.08","5,195.87","-","-0.68%"
"Dec 19, 2005","5,231.27","5,242.61","5,250.35","5,192.51","-","-0.26%"
"Dec 18, 2005","5,244.68","5,285.51","5,288.93","5,244.68","-","-0.79%"
"Dec 17, 2005","5,286.27","5,263.86","5,323.07","5,263.86","-","0.68%"
"Dec 15, 2005","5,250.60","5,276.87","5,290.47","5,249.39","-","-0.52%"
"Dec 14, 2005","5,278.07","5,206.60","5,328.98","5,205.95","-","1.35%"
"Dec 13, 2005","5,207.58","5,332.55","5,332.55","5,186.44","-","-2.35%"
"Dec 12, 2005","5,333.09","5,401.20","5,401.20","5,318.24","-","-1.26%"
"Dec 11, 2005","5,401.09","5,376.65","5,402.63","5,375.17","-","0.49%"
"Dec 10, 2005","5,374.76","5,431.69","5,440.60","5,313.53","-","-1.04%"
"Dec 08, 2005","5,430.98","5,404.94","5,433.12","5,390.64","-","0.47%"
"Dec 07, 2005","5,405.77","5,393.47","5,406.22","5,368.74","-","0.34%"
"Dec 06, 2005","5,387.69","5,458.66","5,458.66","5,387.57","-","-1.34%"
"Dec 05, 2005","5,461.03","5,513.19","5,532.77","5,461.03","-","-0.98%"
"Dec 01, 2005","5,515.32","5,435.97","5,519.61","5,435.97","-","1.53%"
"Nov 30, 2005","5,432.30","5,394.36","5,432.30","5,366.28","-","0.67%"
"Nov 29, 2005","5,396.02","5,489.40","5,489.40","5,373.84","-","-1.77%"
"Nov 28, 2005","5,493.42","5,545.31","5,546.76","5,493.42","-","-1.08%"
"Nov 27, 2005","5,553.54","5,506.21","5,571.25","5,503.69","-","0.84%"
"Nov 26, 2005","5,507.27","5,534.28","5,538.18","5,506.79","-","-0.29%"
"Nov 24, 2005","5,523.38","5,558.14","5,565.09","5,523.37","-","-0.60%"
"Nov 23, 2005","5,556.60","5,628.20","5,635.05","5,556.60","-","-1.27%"
"Nov 22, 2005","5,628.20","5,651.75","5,701.71","5,627.29","-","-0.42%"
"Nov 21, 2005","5,651.75","5,580.62","5,655.14","5,580.54","-","1.60%"
"Nov 20, 2005","5,562.71","5,638.09","5,638.09","5,503.54","-","-1.34%"
"Nov 19, 2005","5,638.09","5,689.40","5,696.26","5,637.12","-","-0.90%"
"Nov 17, 2005","5,689.40","5,721.81","5,721.81","5,652.83","-","-0.61%"
"Nov 16, 2005","5,724.07","5,744.01","5,791.28","5,723.72","-","-0.35%"
"Nov 15, 2005","5,744.28","5,665.32","5,748.52","5,665.32","-","1.40%"
"Nov 14, 2005","5,664.75","5,681.66","5,681.66","5,613.18","-","-0.34%"
"Nov 13, 2005","5,684.32","5,797.01","5,797.01","5,684.18","-","-1.94%"
"Nov 12, 2005","5,797.07","5,749.62","5,814.42","5,742.09","-","0.78%"
