"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","3,549.25","3,576.21","3,576.83","3,544.20","2.96M","-0.73%"
"Dec 29, 2005","3,575.19","3,573.71","3,581.98","3,570.26","3.69M","0.22%"
"Dec 28, 2005","3,567.21","3,557.98","3,574.10","3,555.92","4.49M","-0.00%"
"Dec 27, 2005","3,567.30","3,549.17","3,573.12","3,548.75","3.18M","0.70%"
"Dec 23, 2005","3,542.36","3,548.54","3,553.37","3,537.25","3.84M","-0.06%"
"Dec 22, 2005","3,544.47","3,543.68","3,554.29","3,539.46","7.67M","0.07%"
"Dec 21, 2005","3,542.13","3,513.57","3,542.99","3,513.06","9.17M","0.94%"
"Dec 20, 2005","3,509.11","3,495.41","3,509.11","3,489.68","7.97M","0.22%"
"Dec 19, 2005","3,501.31","3,492.97","3,501.31","3,488.59","5.24M","0.17%"
"Dec 16, 2005","3,495.28","3,458.16","3,498.27","3,458.16","11.36M","1.49%"
"Dec 15, 2005","3,443.96","3,466.67","3,469.35","3,437.92","6.45M","-0.54%"
"Dec 14, 2005","3,462.63","3,463.45","3,467.85","3,450.36","7.39M","0.14%"
"Dec 13, 2005","3,457.86","3,457.78","3,458.63","3,443.55","7.65M","0.09%"
"Dec 12, 2005","3,454.80","3,460.58","3,474.60","3,452.12","6.11M","0.20%"
"Dec 09, 2005","3,448.05","3,445.55","3,454.01","3,437.77","5.54M","-0.24%"
"Dec 08, 2005","3,456.40","3,457.06","3,457.06","3,436.29","5.48M","-0.23%"
"Dec 07, 2005","3,464.47","3,459.66","3,476.08","3,457.75","8.27M","0.17%"
"Dec 06, 2005","3,458.51","3,450.35","3,463.79","3,445.79","7.29M","0.37%"
"Dec 05, 2005","3,445.61","3,459.38","3,465.56","3,437.40","6.51M","-0.38%"
"Dec 02, 2005","3,458.90","3,439.69","3,458.90","3,434.82","8.02M","0.76%"
"Dec 01, 2005","3,432.67","3,406.56","3,433.93","3,401.17","7.23M","1.14%"
"Nov 30, 2005","3,394.14","3,400.18","3,405.51","3,392.37","8.34M","-0.35%"
"Nov 29, 2005","3,406.03","3,406.87","3,418.36","3,394.87","8.54M","-0.22%"
"Nov 28, 2005","3,413.70","3,431.45","3,439.93","3,411.80","8.14M","-0.23%"
"Nov 25, 2005","3,421.74","3,407.34","3,429.39","3,406.18","7.14M","0.66%"
"Nov 24, 2005","3,399.31","3,401.05","3,406.53","3,389.28","6.45M","-0.03%"
"Nov 23, 2005","3,400.23","3,400.34","3,401.31","3,386.22","7.06M","0.17%"
"Nov 22, 2005","3,394.39","3,389.88","3,394.39","3,381.60","6.81M","0.23%"
"Nov 21, 2005","3,386.67","3,378.22","3,387.85","3,372.73","5.99M","0.47%"
"Nov 18, 2005","3,370.66","3,379.09","3,388.89","3,363.90","7.54M","0.21%"
"Nov 17, 2005","3,363.61","3,370.98","3,377.89","3,356.62","8.12M","-0.00%"
"Nov 16, 2005","3,363.72","3,379.65","3,382.04","3,355.98","7.27M","-0.71%"
"Nov 15, 2005","3,387.61","3,388.18","3,399.98","3,379.34","7.59M","-0.03%"
"Nov 14, 2005","3,388.46","3,393.46","3,404.80","3,384.75","7.30M","-0.06%"
"Nov 11, 2005","3,390.54","3,372.64","3,392.26","3,368.94","4.22M","0.84%"
"Nov 10, 2005","3,362.26","3,344.73","3,370.01","3,344.15","7.54M","0.75%"
"Nov 09, 2005","3,337.33","3,340.84","3,344.03","3,332.92","5.07M","0.02%"
"Nov 08, 2005","3,336.58","3,333.73","3,344.32","3,331.25","6.33M","0.20%"
"Nov 07, 2005","3,329.81","3,309.54","3,330.52","3,301.29","7.28M","0.72%"
"Nov 04, 2005","3,305.89","3,299.48","3,309.37","3,296.45","5.77M","0.00%"
"Nov 03, 2005","3,305.76","3,284.00","3,307.30","3,279.79","7.15M","0.87%"
"Nov 02, 2005","3,277.22","3,270.20","3,279.05","3,261.67","6.03M","0.21%"
"Nov 01, 2005","3,270.43","3,266.04","3,274.70","3,256.19","5.16M","0.19%"
"Oct 31, 2005","3,264.26","3,242.39","3,266.42","3,238.67","5.31M","1.24%"
"Oct 28, 2005","3,224.31","3,224.37","3,229.33","3,201.74","6.92M","-0.28%"
"Oct 27, 2005","3,233.40","3,251.74","3,258.83","3,226.85","6.23M","-0.97%"
"Oct 26, 2005","3,265.22","3,267.51","3,276.95","3,263.66","4.82M","0.00%"
"Oct 25, 2005","3,265.17","3,277.06","3,278.63","3,261.52","6.36M","-0.03%"
"Oct 24, 2005","3,266.08","3,239.67","3,267.74","3,238.96","4.66M","0.83%"
"Oct 21, 2005","3,239.14","3,238.82","3,255.61","3,233.38","7.03M","-0.50%"
"Oct 20, 2005","3,255.48","3,272.23","3,273.34","3,248.86","6.38M","0.52%"
"Oct 19, 2005","3,238.75","3,281.71","3,281.71","3,238.75","10.02M","-1.54%"
"Oct 18, 2005","3,289.45","3,303.31","3,311.47","3,288.32","7.20M","-0.08%"
"Oct 17, 2005","3,291.96","3,313.93","3,315.21","3,291.62","6.47M","-0.52%"
"Oct 14, 2005","3,309.26","3,297.20","3,310.76","3,289.88","8.19M","0.27%"
"Oct 13, 2005","3,300.46","3,328.07","3,331.02","3,292.75","6.74M","-0.86%"
"Oct 12, 2005","3,329.11","3,330.97","3,337.54","3,321.38","8.48M","-0.27%"
"Oct 11, 2005","3,338.18","3,335.79","3,348.31","3,335.79","5.85M","0.20%"
"Oct 10, 2005","3,331.62","3,329.53","3,343.19","3,329.43","5.34M","0.06%"
"Oct 07, 2005","3,329.62","3,331.22","3,332.03","3,319.08","7.32M","-0.30%"
"Oct 06, 2005","3,339.77","3,343.87","3,344.57","3,331.40","9.68M","-0.70%"
"Oct 05, 2005","3,363.29","3,362.90","3,365.79","3,351.47","8.15M","-0.31%"
"Oct 04, 2005","3,373.83","3,353.11","3,375.76","3,344.48","7.00M","0.61%"
"Oct 03, 2005","3,353.39","3,333.01","3,353.39","3,332.80","6.97M","0.74%"
"Sep 30, 2005","3,328.80","3,338.47","3,338.47","3,325.20","6.77M","0.13%"
"Sep 29, 2005","3,324.57","3,340.37","3,340.37","3,320.26","7.35M","-0.57%"
"Sep 28, 2005","3,343.65","3,326.23","3,346.40","3,324.79","9.79M","0.69%"
"Sep 27, 2005","3,320.74","3,320.34","3,335.28","3,312.39","7.45M","-0.22%"
"Sep 26, 2005","3,328.17","3,303.67","3,328.17","3,302.19","7.81M","0.91%"
"Sep 23, 2005","3,298.14","3,289.33","3,301.86","3,285.86","7.54M","0.34%"
"Sep 22, 2005","3,287.07","3,283.65","3,291.33","3,272.14","10.56M","0.07%"
"Sep 21, 2005","3,284.62","3,287.79","3,302.57","3,284.62","11.51M","-0.13%"
"Sep 20, 2005","3,288.75","3,293.39","3,294.86","3,280.17","8.01M","0.18%"
"Sep 19, 2005","3,282.91","3,270.66","3,291.63","3,264.80","6.54M","0.22%"
"Sep 16, 2005","3,275.74","3,260.44","3,279.23","3,259.53","9.16M","0.31%"
"Sep 15, 2005","3,265.48","3,263.20","3,272.45","3,260.55","6.28M","-0.03%"
"Sep 14, 2005","3,266.34","3,251.38","3,271.26","3,248.38","7.13M","0.50%"
"Sep 13, 2005","3,249.93","3,258.17","3,262.09","3,243.65","7.16M","-0.37%"
"Sep 12, 2005","3,261.93","3,258.10","3,261.93","3,254.55","5.53M","0.39%"
"Sep 09, 2005","3,249.37","3,245.61","3,251.10","3,241.10","7.06M","0.23%"
"Sep 08, 2005","3,242.05","3,256.04","3,256.04","3,239.00","8.46M","-0.48%"
"Sep 07, 2005","3,257.77","3,257.16","3,265.70","3,253.98","6.78M","0.20%"
"Sep 06, 2005","3,251.19","3,239.17","3,254.28","3,239.17","7.05M","0.45%"
