"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","39,777.70","39,837.27","40,011.93","39,637.32","282.55M","-0.15%"
"Dec 29, 2005","39,837.27","39,220.17","39,837.27","39,212.12","253.89M","1.57%"
"Dec 28, 2005","39,220.17","39,015.86","39,220.17","38,826.99","222.64M","0.52%"
"Dec 27, 2005","39,015.86","39,139.08","39,288.91","38,823.66","261.11M","-0.31%"
"Dec 26, 2005","39,139.08","38,919.51","39,303.05","38,919.51","173.18M","0.56%"
"Dec 23, 2005","38,919.51","38,353.12","39,111.88","38,353.12","260.97M","1.48%"
"Dec 22, 2005","38,353.12","38,210.24","38,550.51","38,095.50","225.76M","0.37%"
"Dec 21, 2005","38,210.24","37,729.42","38,321.13","37,644.25","255.22M","1.27%"
"Dec 20, 2005","37,729.42","37,960.13","37,980.32","37,536.94","175.56M","-0.61%"
"Dec 19, 2005","37,960.13","37,716.70","38,046.20","37,704.38","200.89M","0.65%"
"Dec 16, 2005","37,716.70","37,631.57","37,734.67","37,465.10","199.83M","0.23%"
"Dec 15, 2005","37,631.57","37,870.57","38,407.96","37,315.89","194.01M","-0.63%"
"Dec 14, 2005","37,870.57","37,741.70","38,300.10","37,727.54","239.84M","0.34%"
"Dec 13, 2005","37,741.70","38,202.19","38,439.32","37,579.61","217.53M","-1.21%"
"Dec 12, 2005","38,202.19","37,496.18","38,283.48","37,496.18","213.52M","1.88%"
"Dec 09, 2005","37,496.18","38,587.77","38,647.48","37,272.56","276.86M","-2.83%"
"Dec 08, 2005","38,587.77","38,441.59","38,587.77","37,734.09","219.12M","0.38%"
"Dec 07, 2005","38,441.59","38,917.82","39,274.11","38,244.15","300.09M","-1.22%"
"Dec 06, 2005","38,917.82","39,130.73","39,288.19","38,761.64","390.08M","-0.54%"
"Dec 05, 2005","39,130.73","38,573.71","39,130.73","38,376.33","316.94M","1.44%"
"Dec 02, 2005","38,573.71","38,296.91","39,108.50","38,296.91","350.54M","0.72%"
"Dec 01, 2005","38,296.91","38,088.65","38,296.91","37,770.91","284.19M","0.55%"
"Nov 30, 2005","38,088.65","37,495.22","38,190.02","37,495.22","295.06M","1.58%"
"Nov 29, 2005","37,495.22","36,621.47","37,515.97","36,267.05","288.51M","2.39%"
"Nov 28, 2005","36,621.47","36,759.89","36,851.09","36,371.69","211.68M","-0.38%"
"Nov 25, 2005","36,759.89","36,907.79","37,220.80","36,576.32","300.62M","-0.40%"
"Nov 24, 2005","36,907.79","36,179.29","36,917.32","36,015.96","398.14M","2.01%"
"Nov 23, 2005","36,179.29","35,254.14","36,181.81","35,254.14","279.22M","2.62%"
"Nov 22, 2005","35,254.14","35,654.99","35,878.17","35,044.91","265.80M","-1.12%"
"Nov 21, 2005","35,654.99","35,314.31","35,716.71","35,174.43","206.83M","0.96%"
"Nov 18, 2005","35,314.31","35,127.34","35,395.55","34,901.20","226.57M","0.53%"
"Nov 17, 2005","35,127.34","34,866.57","35,311.28","34,857.62","201.66M","0.75%"
"Nov 16, 2005","34,866.57","34,324.04","34,866.57","34,295.93","210.54M","1.58%"
"Nov 15, 2005","34,324.04","34,171.51","34,703.20","34,171.51","213.40M","0.45%"
"Nov 14, 2005","34,171.51","34,096.32","34,477.00","34,024.57","183.42M","0.22%"
"Nov 11, 2005","34,096.32","34,709.65","35,098.31","33,993.75","305.09M","-1.77%"
"Nov 10, 2005","34,709.65","33,848.29","34,709.65","33,776.82","426.10M","2.54%"
"Nov 09, 2005","33,848.29","33,749.43","33,952.18","33,454.49","302.95M","0.29%"
"Nov 08, 2005","33,749.43","33,830.10","33,917.61","33,420.83","256.93M","-0.24%"
"Nov 07, 2005","33,830.10","33,152.10","33,835.02","33,120.70","217.78M","2.05%"
"Nov 02, 2005","33,152.10","32,791.99","33,336.53","32,691.44","107.16M","1.10%"
"Nov 01, 2005","32,791.99","31,963.99","32,877.32","31,963.99","189.29M","2.59%"
"Oct 31, 2005","31,963.99","31,038.52","32,091.39","31,038.52","147.41M","2.98%"
"Oct 28, 2005","31,038.52","31,273.31","31,273.31","30,922.66","70.84M","-0.75%"
"Oct 27, 2005","31,273.31","31,474.44","31,534.66","30,767.61","128.05M","-0.64%"
"Oct 26, 2005","31,474.44","31,669.96","32,179.61","31,335.67","208.59M","-0.62%"
"Oct 25, 2005","31,669.96","31,845.70","32,438.52","31,516.67","200.45M","-0.55%"
"Oct 24, 2005","31,845.70","31,428.62","32,081.09","31,428.62","164.42M","1.33%"
