"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","3,559.14","3,559.14","3,559.14","3,559.14","-","0.04%"
"Dec 29, 2005","3,557.65","3,557.65","3,557.65","3,557.65","-","0.05%"
"Dec 28, 2005","3,555.94","3,555.94","3,555.94","3,555.94","-","-0.04%"
"Dec 23, 2005","3,557.53","3,557.53","3,557.53","3,557.53","-","-0.06%"
"Dec 22, 2005","3,559.76","3,559.76","3,559.76","3,559.76","-","0.10%"
"Dec 21, 2005","3,556.07","3,556.07","3,556.07","3,556.07","-","0.07%"
"Dec 20, 2005","3,553.46","3,553.46","3,553.46","3,553.46","-","0.00%"
"Dec 19, 2005","3,553.46","3,553.46","3,553.46","3,553.46","-","-0.29%"
"Dec 16, 2005","3,563.90","3,563.90","3,563.90","3,563.90","-","0.24%"
"Dec 15, 2005","3,555.41","3,555.41","3,555.41","3,555.41","-","-0.01%"
"Dec 14, 2005","3,555.90","3,555.90","3,555.90","3,555.90","-","0.08%"
"Dec 13, 2005","3,553.08","3,553.08","3,553.08","3,553.08","-","-0.06%"
"Dec 12, 2005","3,555.08","3,555.08","3,555.08","3,555.08","-","-0.09%"
"Dec 09, 2005","3,558.11","3,558.11","3,558.11","3,558.11","-","0.09%"
"Dec 08, 2005","3,555.06","3,555.06","3,555.06","3,555.06","-","-0.01%"
"Dec 07, 2005","3,555.26","3,555.26","3,555.26","3,555.26","-","0.00%"
"Dec 06, 2005","3,555.13","3,555.13","3,555.13","3,555.13","-","0.08%"
"Dec 05, 2005","3,552.13","3,552.13","3,552.13","3,552.13","-","-0.03%"
"Dec 02, 2005","3,553.33","3,553.33","3,553.33","3,553.33","-","0.16%"
"Dec 01, 2005","3,547.82","3,547.82","3,547.82","3,547.82","-","-0.00%"
"Nov 30, 2005","3,547.99","3,547.99","3,547.99","3,547.99","-","0.07%"
"Nov 29, 2005","3,545.54","3,545.54","3,545.54","3,545.54","-","0.00%"
"Nov 28, 2005","3,545.54","3,545.54","3,545.54","3,545.54","-","-0.02%"
"Nov 25, 2005","3,546.37","3,546.37","3,546.37","3,546.37","-","0.01%"
"Nov 24, 2005","3,545.86","3,545.86","3,545.86","3,545.86","-","0.01%"
"Nov 23, 2005","3,545.51","3,545.51","3,545.51","3,545.51","-","0.01%"
"Nov 22, 2005","3,545.22","3,545.22","3,545.22","3,545.22","-","0.24%"
"Nov 21, 2005","3,536.70","3,536.70","3,536.70","3,536.70","-","-0.68%"
"Nov 18, 2005","3,561.04","3,561.04","3,561.04","3,561.04","-","-0.01%"
"Nov 17, 2005","3,561.25","3,561.25","3,561.25","3,561.25","-","0.82%"
"Nov 16, 2005","3,532.15","3,532.15","3,532.15","3,532.15","-","-0.24%"
"Nov 15, 2005","3,540.62","3,540.62","3,540.62","3,540.62","-","0.00%"
"Nov 14, 2005","3,540.62","3,540.62","3,540.62","3,540.62","-","-0.09%"
"Nov 11, 2005","3,543.71","3,543.71","3,543.71","3,543.71","-","0.36%"
"Nov 10, 2005","3,530.86","3,530.86","3,530.86","3,530.86","-","-0.13%"
"Nov 09, 2005","3,535.45","3,535.45","3,535.45","3,535.45","-","0.00%"
