"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2005","33,455.94","33,137.44","33,455.94","33,137.44","110.34M","0.96%"
"Dec 28, 2005","33,138.48","33,370.84","33,463.10","32,964.96","112.69M","-0.70%"
"Dec 27, 2005","33,370.73","33,296.62","33,631.24","33,238.93","74.00M","0.22%"
"Dec 26, 2005","33,297.52","33,331.26","33,434.77","33,139.76","22.00M","-0.10%"
"Dec 23, 2005","33,331.26","33,508.75","33,574.94","33,280.09","49.96M","-0.54%"
"Dec 22, 2005","33,512.86","33,521.05","33,652.31","33,462.77","74.56M","-0.01%"
"Dec 21, 2005","33,517.05","33,068.48","33,553.15","33,068.48","139.10M","1.36%"
"Dec 20, 2005","33,066.53","33,007.84","33,139.95","32,767.53","112.52M","0.19%"
"Dec 19, 2005","33,005.27","33,283.80","33,495.86","32,907.95","115.92M","-0.86%"
"Dec 16, 2005","33,291.82","33,193.27","33,578.78","33,193.27","93.62M","0.30%"
"Dec 15, 2005","33,193.27","33,625.46","33,798.95","33,102.62","96.48M","-1.30%"
"Dec 14, 2005","33,629.47","33,419.65","33,837.27","33,369.07","155.17M","0.63%"
"Dec 13, 2005","33,419.65","32,970.60","33,432.12","32,835.02","174.91M","1.36%"
"Dec 12, 2005","32,970.60","32,924.87","33,299.41","32,867.86","97.41M","0.15%"
"Dec 09, 2005","32,921.76","32,482.60","32,971.00","32,482.60","88.68M","1.36%"
"Dec 08, 2005","32,480.04","32,756.29","32,997.05","32,476.44","128.83M","-0.84%"
"Dec 07, 2005","32,756.79","33,224.90","33,271.28","32,648.84","125.45M","-1.40%"
"Dec 06, 2005","33,223.42","32,712.09","33,332.02","32,712.09","141.79M","1.60%"
"Dec 05, 2005","32,701.17","32,834.87","32,909.58","32,546.85","110.17M","-0.40%"
"Dec 02, 2005","32,832.45","32,617.30","32,936.30","32,617.30","120.77M","0.66%"
"Dec 01, 2005","32,617.18","31,920.61","32,700.43","31,920.61","144.70M","2.19%"
"Nov 30, 2005","31,916.76","31,651.90","31,917.69","31,295.76","110.29M","0.84%"
"Nov 29, 2005","31,651.55","31,359.60","31,766.84","31,359.60","79.48M","0.94%"
"Nov 28, 2005","31,357.55","31,919.66","32,350.47","31,337.10","89.65M","-1.76%"
"Nov 25, 2005","31,919.66","31,946.77","32,058.68","31,840.37","55.34M","-0.08%"
"Nov 24, 2005","31,944.73","31,937.92","32,122.50","31,677.96","84.73M","0.01%"
"Nov 23, 2005","31,942.56","31,489.01","32,013.74","31,489.01","113.46M","1.44%"
"Nov 22, 2005","31,489.01","31,109.80","31,499.55","30,472.88","112.84M","1.22%"
"Nov 21, 2005","31,110.07","31,102.37","31,291.40","30,969.42","76.59M","0.02%"
"Nov 18, 2005","31,102.37","31,086.83","31,179.64","30,887.29","61.75M","0.05%"
"Nov 17, 2005","31,087.00","30,482.87","31,247.88","30,482.87","74.03M","1.98%"
"Nov 16, 2005","30,482.12","30,218.60","30,515.95","30,157.05","66.16M","0.87%"
"Nov 14, 2005","30,218.88","30,510.21","30,510.21","29,948.18","35.51M","-0.96%"
"Nov 11, 2005","30,510.89","30,722.24","30,746.41","30,385.32","69.37M","-0.70%"
"Nov 10, 2005","30,724.60","30,664.63","30,725.94","30,218.31","135.37M","0.19%"
"Nov 09, 2005","30,666.07","30,970.84","31,232.37","30,492.96","71.38M","-0.98%"
"Nov 08, 2005","30,970.60","30,951.38","31,077.67","30,586.59","75.75M","0.06%"
"Nov 07, 2005","30,952.24","30,887.69","31,362.57","30,727.64","102.68M","0.21%"
"Nov 04, 2005","30,887.50","31,079.93","31,233.73","30,584.19","96.99M","-0.68%"
"Nov 03, 2005","31,099.97","30,898.50","31,486.83","30,898.50","118.57M","0.65%"
"Nov 01, 2005","30,899.71","30,193.51","30,981.23","30,193.51","133.76M","2.34%"
"Oct 31, 2005","30,193.51","29,332.87","30,251.81","29,332.87","103.81M","2.99%"
"Oct 28, 2005","29,318.18","29,132.52","29,566.60","29,132.52","96.84M","0.64%"
"Oct 27, 2005","29,132.52","29,729.97","29,841.81","29,004.62","98.54M","-2.01%"
"Oct 26, 2005","29,729.97","29,491.65","29,970.91","29,243.81","127.61M","0.79%"
"Oct 25, 2005","29,498.03","29,837.05","30,094.84","29,395.77","107.33M","-1.13%"
