"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","4,715.23","4,761.61","4,761.61","4,703.34","-","-1.21%"
"Dec 29, 2005","4,772.93","4,762.31","4,776.53","4,760.68","-","0.34%"
"Dec 28, 2005","4,756.93","4,757.51","4,771.97","4,749.05","-","-0.26%"
"Dec 27, 2005","4,769.38","4,751.15","4,780.05","4,751.15","-","0.24%"
"Dec 23, 2005","4,757.74","4,758.76","4,768.94","4,746.60","-","0.12%"
"Dec 22, 2005","4,751.96","4,745.55","4,766.09","4,742.67","-","-0.01%"
"Dec 21, 2005","4,752.41","4,706.85","4,752.41","4,706.85","-","1.04%"
"Dec 20, 2005","4,703.48","4,676.21","4,709.84","4,674.18","-","0.18%"
"Dec 19, 2005","4,694.86","4,705.62","4,712.87","4,691.29","-","-0.20%"
"Dec 16, 2005","4,704.41","4,670.74","4,724.09","4,670.74","-","0.67%"
"Dec 15, 2005","4,673.14","4,683.56","4,684.75","4,657.72","-","-0.04%"
"Dec 14, 2005","4,674.85","4,698.99","4,706.50","4,672.87","-","-0.40%"
"Dec 13, 2005","4,693.40","4,673.07","4,701.85","4,666.88","-","0.43%"
"Dec 12, 2005","4,673.13","4,674.04","4,698.45","4,661.22","-","0.26%"
"Dec 09, 2005","4,661.01","4,659.71","4,668.28","4,647.63","-","-0.19%"
"Dec 08, 2005","4,669.93","4,635.95","4,669.93","4,623.23","-","0.20%"
"Dec 07, 2005","4,660.58","4,676.60","4,690.75","4,651.43","-","-0.36%"
"Dec 06, 2005","4,677.20","4,654.50","4,681.41","4,648.77","-","0.57%"
"Dec 05, 2005","4,650.54","4,660.01","4,666.10","4,636.81","-","-0.26%"
"Dec 02, 2005","4,662.50","4,651.16","4,662.50","4,637.10","-","0.56%"
"Dec 01, 2005","4,636.46","4,581.73","4,636.46","4,580.18","-","1.51%"
"Nov 30, 2005","4,567.41","4,575.89","4,584.68","4,551.28","-","-0.46%"
"Nov 29, 2005","4,588.73","4,568.34","4,606.00","4,556.78","-","0.29%"
"Nov 28, 2005","4,575.31","4,621.61","4,633.44","4,575.12","-","-0.55%"
"Nov 25, 2005","4,600.48","4,592.29","4,601.71","4,580.52","-","0.30%"
"Nov 24, 2005","4,586.84","4,598.28","4,606.60","4,574.36","-","-0.47%"
"Nov 23, 2005","4,608.65","4,611.13","4,611.13","4,588.81","-","0.61%"
"Nov 22, 2005","4,580.81","4,593.08","4,593.18","4,574.11","-","-0.12%"
"Nov 21, 2005","4,586.38","4,563.05","4,593.64","4,556.24","-","0.66%"
"Nov 18, 2005","4,556.23","4,555.98","4,577.29","4,543.29","-","0.73%"
"Nov 17, 2005","4,523.18","4,522.87","4,543.86","4,514.56","-","0.24%"
"Nov 16, 2005","4,512.13","4,531.30","4,534.91","4,494.53","-","-0.68%"
"Nov 15, 2005","4,543.15","4,545.96","4,557.21","4,527.19","-","-0.12%"
"Nov 14, 2005","4,548.45","4,530.08","4,563.80","4,521.39","-","0.26%"
"Nov 11, 2005","4,536.49","4,526.27","4,541.82","4,513.75","-","1.27%"
"Nov 10, 2005","4,479.50","4,496.35","4,506.66","4,474.23","-","-0.02%"
"Nov 09, 2005","4,480.23","4,509.10","4,511.95","4,476.58","-","-0.52%"
"Nov 08, 2005","4,503.62","4,521.42","4,532.64","4,493.68","-","-0.00%"
"Nov 07, 2005","4,503.65","4,493.31","4,516.73","4,475.69","-","0.11%"
"Nov 04, 2005","4,498.70","4,497.27","4,506.27","4,476.42","-","-0.07%"
"Nov 03, 2005","4,502.02","4,454.57","4,502.62","4,449.03","-","1.63%"
"Nov 02, 2005","4,429.65","4,424.08","4,449.12","4,398.64","-","-0.12%"
"Nov 01, 2005","4,434.75","4,432.91","4,450.12","4,421.75","-","-0.04%"
"Oct 31, 2005","4,436.45","4,373.04","4,436.45","4,373.04","-","2.54%"
"Oct 28, 2005","4,326.71","4,320.30","4,348.20","4,288.15","-","-0.22%"
"Oct 27, 2005","4,336.41","4,375.75","4,383.53","4,329.46","-","-1.73%"
"Oct 26, 2005","4,412.70","4,400.82","4,433.48","4,392.60","-","0.36%"
"Oct 25, 2005","4,396.99","4,440.72","4,441.75","4,396.99","-","-0.56%"
"Oct 24, 2005","4,421.97","4,371.95","4,421.97","4,362.74","-","1.27%"
"Oct 21, 2005","4,366.52","4,354.39","4,391.21","4,354.39","-","-0.55%"
"Oct 20, 2005","4,390.66","4,436.54","4,445.32","4,383.75","-","0.36%"
"Oct 19, 2005","4,375.09","4,418.37","4,431.04","4,373.05","-","-1.93%"
"Oct 18, 2005","4,461.14","4,494.99","4,502.01","4,452.90","-","-0.63%"
