"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","1,922.21","1,887.32","1,941.27","1,887.32","11.08M","1.85%"
"Dec 29, 2005","1,887.32","1,819.15","1,903.41","1,819.12","18.72M","3.75%"
"Dec 28, 2005","1,819.15","1,892.55","1,892.55","1,756.35","18.65M","-3.88%"
"Dec 27, 2005","1,892.55","2,033.31","2,033.31","1,879.19","17.33M","-6.92%"
"Dec 23, 2005","2,033.31","2,037.49","2,049.71","2,033.22","3.06M","-0.21%"
"Dec 22, 2005","2,037.49","2,081.39","2,089.07","2,030.85","15.10M","-2.11%"
"Dec 21, 2005","2,081.39","2,071.79","2,087.42","2,067.08","5.28M","0.46%"
"Dec 20, 2005","2,071.79","2,121.92","2,128.86","2,068.31","10.23M","-2.36%"
"Dec 19, 2005","2,121.92","2,155.42","2,155.42","2,121.92","5.64M","-1.55%"
"Dec 16, 2005","2,155.42","2,162.57","2,175.46","2,148.74","6.57M","-0.33%"
"Dec 14, 2005","2,162.57","2,178.50","2,183.84","2,158.91","6.56M","-0.73%"
"Dec 13, 2005","2,178.50","2,196.47","2,207.12","2,172.37","5.46M","-0.82%"
"Dec 12, 2005","2,196.47","2,159.33","2,198.35","2,156.96","9.60M","1.72%"
"Dec 09, 2005","2,159.33","2,108.58","2,172.55","2,108.37","9.65M","2.41%"
"Dec 08, 2005","2,108.58","2,093.00","2,114.52","2,088.66","7.83M","0.74%"
"Dec 07, 2005","2,093.00","2,056.95","2,125.38","2,056.95","8.56M","1.75%"
"Dec 06, 2005","2,056.95","2,187.56","2,194.58","2,034.32","25.78M","-5.97%"
"Dec 05, 2005","2,187.56","2,257.44","2,257.44","2,164.83","13.11M","-3.10%"
"Dec 02, 2005","2,257.44","2,270.37","2,279.59","2,252.55","4.43M","-0.57%"
"Dec 01, 2005","2,270.37","2,292.46","2,304.63","2,265.09","17.31M","-0.96%"
"Nov 30, 2005","2,292.46","2,299.03","2,321.54","2,285.19","11.71M","-0.29%"
"Nov 29, 2005","2,299.03","2,277.84","2,307.65","2,277.79","11.97M","0.93%"
"Nov 28, 2005","2,277.84","2,206.57","2,281.90","2,206.57","19.55M","3.23%"
"Nov 25, 2005","2,206.57","2,217.14","2,225.20","2,193.98","17.16M","-0.48%"
"Nov 24, 2005","2,217.14","2,241.27","2,263.00","2,211.48","16.51M","-1.08%"
"Nov 23, 2005","2,241.27","2,224.76","2,288.27","2,224.76","33.42M","0.74%"
"Nov 22, 2005","2,224.76","2,159.91","2,250.92","2,139.88","49.81M","3.00%"
"Nov 21, 2005","2,159.91","2,328.92","2,338.52","2,156.24","26.16M","-7.26%"
"Nov 18, 2005","2,328.92","2,500.20","2,500.20","2,292.05","20.25M","-6.85%"
"Nov 17, 2005","2,500.20","2,551.41","2,556.22","2,485.15","23.03M","-2.01%"
"Nov 16, 2005","2,551.41","2,435.02","2,568.22","2,435.02","35.20M","4.78%"
"Nov 14, 2005","2,435.02","2,472.00","2,475.60","1,391.42","21.96M","-1.50%"
"Nov 11, 2005","2,472.00","2,446.56","2,478.20","2,446.56","10.07M","1.04%"
"Nov 10, 2005","2,446.56","2,456.79","2,469.84","2,438.57","8.90M","-0.42%"
"Nov 09, 2005","2,456.79","2,482.36","2,489.97","2,451.66","17.50M","-1.03%"
"Nov 08, 2005","2,482.36","2,515.91","2,521.08","2,470.59","33.94M","-1.33%"
"Nov 07, 2005","2,515.91","2,518.48","2,529.37","2,510.55","23.89M","-0.10%"
"Nov 03, 2005","2,518.48","2,525.72","2,538.48","2,517.77","11.11M","-0.29%"
"Nov 02, 2005","2,525.72","2,516.47","2,538.04","2,516.47","7.90M","0.37%"
"Oct 31, 2005","2,516.47","2,518.95","2,527.65","2,508.01","24.01M","-0.10%"
"Oct 28, 2005","2,518.95","2,485.52","2,527.33","2,480.20","42.36M","1.34%"
"Oct 27, 2005","2,485.52","2,460.23","2,493.36","2,459.47","21.19M","1.03%"
"Oct 26, 2005","2,460.23","2,448.68","2,468.44","2,448.68","12.29M","0.47%"
"Oct 25, 2005","2,448.68","2,458.08","2,460.54","2,447.63","9.99M","-0.38%"
"Oct 24, 2005","2,458.08","2,450.64","2,470.38","2,450.34","23.76M","0.30%"
"Oct 21, 2005","2,450.64","2,447.90","2,465.84","2,446.95","10.88M","0.11%"
"Oct 20, 2005","2,447.90","2,419.46","2,451.38","2,412.73","30.11M","1.18%"
"Oct 19, 2005","2,419.46","2,457.36","2,465.54","2,409.00","7.17M","-1.54%"
"Oct 18, 2005","2,457.36","2,484.97","2,493.75","2,449.56","13.52M","-1.11%"
"Oct 14, 2005","2,484.97","2,478.95","2,492.03","2,478.95","8.72M","0.24%"
"Oct 13, 2005","2,478.95","2,467.85","2,491.04","2,463.56","10.90M","0.45%"
"Oct 12, 2005","2,467.85","2,479.63","2,488.49","2,462.75","4.55M","-0.48%"
"Oct 11, 2005","2,479.63","2,466.90","2,495.82","2,462.17","25.43M","0.52%"
"Oct 10, 2005","2,466.90","2,496.43","2,505.51","2,456.81","10.12M","-1.18%"
"Oct 07, 2005","2,496.43","2,506.30","2,512.05","2,489.76","19.83M","-0.39%"
"Oct 06, 2005","2,506.30","2,513.10","2,523.10","2,492.68","24.92M","-0.27%"
"Oct 05, 2005","2,513.10","2,512.90","2,540.14","2,503.07","24.16M","0.01%"
"Oct 04, 2005","2,512.90","2,489.80","2,537.25","2,489.72","31.51M","0.93%"
"Oct 03, 2005","2,489.80","2,434.42","2,505.71","2,434.42","42.04M","2.27%"
"Sep 30, 2005","2,434.42","2,399.37","2,446.18","2,393.69","23.86M","1.46%"
"Sep 29, 2005","2,399.37","2,376.03","2,402.22","2,376.03","13.18M","0.98%"
"Sep 28, 2005","2,376.03","2,356.82","2,382.75","2,355.93","18.85M","0.82%"
"Sep 27, 2005","2,356.82","2,358.24","2,372.85","2,352.19","13.37M","-0.06%"
"Sep 26, 2005","2,358.24","2,345.75","2,363.26","2,345.75","18.23M","0.53%"
"Sep 23, 2005","2,345.75","2,350.57","2,356.55","2,323.89","18.32M","-0.21%"
