"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","5,408.26","5,446.79","5,446.79","5,385.07","-","-0.92%"
"Dec 29, 2005","5,458.58","5,464.00","5,469.96","5,447.13","-","0.21%"
"Dec 28, 2005","5,447.15","5,437.28","5,460.39","5,432.30","-","0.04%"
"Dec 27, 2005","5,444.84","5,422.07","5,454.51","5,419.55","-","0.48%"
"Dec 23, 2005","5,419.05","5,410.09","5,425.62","5,405.92","-","0.38%"
"Dec 22, 2005","5,398.28","5,390.01","5,403.13","5,387.46","-","0.02%"
"Dec 21, 2005","5,397.23","5,367.81","5,400.33","5,367.68","-","0.76%"
"Dec 20, 2005","5,356.60","5,331.82","5,365.60","5,322.83","-","0.12%"
"Dec 19, 2005","5,350.18","5,342.93","5,357.67","5,336.27","-","-0.07%"
"Dec 16, 2005","5,353.66","5,303.32","5,356.67","5,302.68","-","1.09%"
"Dec 15, 2005","5,295.82","5,294.86","5,304.57","5,279.33","-","0.17%"
"Dec 14, 2005","5,286.76","5,315.16","5,321.11","5,274.97","-","-0.44%"
"Dec 13, 2005","5,310.28","5,305.66","5,313.20","5,285.67","-","0.17%"
"Dec 12, 2005","5,301.21","5,316.46","5,331.06","5,290.91","-","0.36%"
"Dec 09, 2005","5,282.13","5,268.28","5,294.38","5,262.04","-","-0.09%"
"Dec 08, 2005","5,286.75","5,230.83","5,286.75","5,222.24","-","0.38%"
"Dec 07, 2005","5,266.75","5,292.50","5,308.79","5,248.73","-","-0.64%"
"Dec 06, 2005","5,300.85","5,271.35","5,309.93","5,267.71","-","0.65%"
"Dec 05, 2005","5,266.86","5,303.92","5,306.09","5,251.86","-","-0.77%"
"Dec 02, 2005","5,307.99","5,292.20","5,307.99","5,275.30","-","0.79%"
"Dec 01, 2005","5,266.55","5,210.54","5,266.62","5,208.49","-","1.41%"
"Nov 30, 2005","5,193.40","5,183.78","5,209.56","5,166.39","-","-0.12%"
"Nov 29, 2005","5,199.48","5,167.37","5,218.43","5,155.34","-","0.44%"
"Nov 28, 2005","5,176.59","5,218.28","5,241.00","5,167.91","-","-0.34%"
"Nov 25, 2005","5,194.27","5,186.91","5,194.31","5,178.65","-","0.12%"
"Nov 24, 2005","5,187.98","5,193.15","5,204.14","5,171.56","-","-0.16%"
"Nov 23, 2005","5,196.08","5,194.55","5,203.38","5,172.79","-","0.41%"
"Nov 22, 2005","5,174.72","5,178.96","5,182.73","5,161.35","-","0.08%"
"Nov 21, 2005","5,170.61","5,140.35","5,179.55","5,127.07","-","0.92%"
"Nov 18, 2005","5,123.50","5,129.12","5,162.51","5,108.93","-","0.47%"
"Nov 17, 2005","5,099.72","5,097.67","5,130.21","5,089.67","-","0.36%"
"Nov 16, 2005","5,081.46","5,108.06","5,114.66","5,063.86","-","-0.57%"
"Nov 15, 2005","5,110.61","5,082.38","5,115.65","5,074.48","-","0.36%"
"Nov 14, 2005","5,092.43","5,083.27","5,106.98","5,075.63","-","0.03%"
"Nov 11, 2005","5,090.75","5,046.23","5,092.80","5,046.23","-","1.50%"
"Nov 10, 2005","5,015.55","5,024.06","5,047.84","5,003.11","-","0.08%"
"Nov 09, 2005","5,011.38","5,018.25","5,031.87","4,999.12","-","0.05%"
"Nov 08, 2005","5,008.83","5,033.43","5,047.51","4,993.67","-","-0.31%"
"Nov 07, 2005","5,024.20","4,994.54","5,033.99","4,983.75","-","0.58%"
"Nov 04, 2005","4,995.24","5,004.28","5,013.95","4,976.29","-","-0.31%"
"Nov 03, 2005","5,011.00","4,973.04","5,013.75","4,966.33","-","1.13%"
"Nov 02, 2005","4,954.83","4,921.11","4,954.83","4,891.62","-","0.66%"
"Nov 01, 2005","4,922.55","4,922.91","4,938.39","4,907.69","-","-0.13%"
"Oct 31, 2005","4,929.07","4,854.59","4,930.92","4,854.59","-","2.14%"
"Oct 28, 2005","4,825.64","4,802.66","4,835.49","4,762.75","-","0.41%"
"Oct 27, 2005","4,806.05","4,878.35","4,878.35","4,793.10","-","-1.93%"
"Oct 26, 2005","4,900.79","4,877.03","4,914.94","4,866.57","-","0.57%"
"Oct 25, 2005","4,872.97","4,918.04","4,930.89","4,871.89","-","-0.59%"
"Oct 24, 2005","4,901.79","4,838.25","4,905.46","4,836.41","-","1.31%"
"Oct 21, 2005","4,838.40","4,846.80","4,870.81","4,831.75","-","-0.53%"
"Oct 20, 2005","4,864.25","4,903.98","4,931.95","4,852.56","-","0.38%"
"Oct 19, 2005","4,845.98","4,902.22","4,902.22","4,825.96","-","-2.05%"
"Oct 18, 2005","4,947.18","4,982.30","4,993.19","4,943.19","-","-0.64%"
"Oct 17, 2005","4,978.83","4,987.66","4,999.00","4,965.63","-","0.07%"
"Oct 14, 2005","4,975.56","4,954.37","4,988.50","4,933.16","-","0.51%"
"Oct 13, 2005","4,950.07","4,977.74","4,993.58","4,929.11","-","-0.64%"
"Oct 12, 2005","4,981.77","5,005.25","5,017.87","4,955.82","-","-1.01%"
"Oct 11, 2005","5,032.46","5,020.30","5,065.17","5,020.30","-","0.19%"
"Oct 10, 2005","5,022.79","5,027.28","5,057.13","5,006.57","-","0.30%"
"Oct 07, 2005","5,007.77","5,004.13","5,032.66","4,984.45","-","-0.19%"
