"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","5,618.80","5,638.30","5,640.00","5,596.80","-","-0.35%"
"Dec 29, 2005","5,638.30","5,622.80","5,647.20","5,622.80","-","0.28%"
"Dec 28, 2005","5,622.80","5,595.40","5,622.80","5,591.90","-","0.49%"
"Dec 23, 2005","5,595.40","5,597.00","5,608.20","5,588.00","-","-0.03%"
"Dec 22, 2005","5,597.00","5,587.40","5,599.30","5,584.80","-","0.17%"
"Dec 21, 2005","5,587.40","5,547.90","5,590.20","5,547.90","-","0.71%"
"Dec 20, 2005","5,547.90","5,539.80","5,552.20","5,524.70","-","0.15%"
"Dec 19, 2005","5,539.80","5,531.60","5,548.40","5,525.70","-","0.15%"
"Dec 16, 2005","5,531.60","5,495.30","5,552.60","5,495.30","-","0.66%"
"Dec 15, 2005","5,495.30","5,521.10","5,530.20","5,489.30","-","-0.47%"
"Dec 14, 2005","5,521.10","5,507.20","5,525.00","5,503.50","-","0.25%"
"Dec 13, 2005","5,507.20","5,501.50","5,527.20","5,499.20","-","0.10%"
"Dec 12, 2005","5,501.50","5,517.40","5,548.80","5,494.20","-","-0.29%"
"Dec 09, 2005","5,517.40","5,531.10","5,531.10","5,504.40","-","-0.25%"
"Dec 08, 2005","5,531.10","5,528.80","5,531.90","5,492.80","-","0.04%"
"Dec 07, 2005","5,528.80","5,538.80","5,574.00","5,518.40","-","-0.18%"
"Dec 06, 2005","5,538.80","5,510.40","5,546.90","5,505.90","-","0.52%"
"Dec 05, 2005","5,510.40","5,528.10","5,532.50","5,498.30","-","-0.32%"
"Dec 02, 2005","5,528.10","5,486.10","5,528.10","5,485.00","-","0.77%"
"Dec 01, 2005","5,486.10","5,423.20","5,494.70","5,423.20","-","1.16%"
"Nov 30, 2005","5,423.20","5,491.00","5,491.00","5,423.20","-","-1.23%"
"Nov 29, 2005","5,491.00","5,477.40","5,507.40","5,451.30","-","0.25%"
"Nov 28, 2005","5,477.40","5,523.80","5,554.90","5,477.40","-","-0.84%"
"Nov 25, 2005","5,523.80","5,511.00","5,531.40","5,511.00","-","0.23%"
"Nov 24, 2005","5,511.00","5,531.70","5,539.00","5,499.50","-","-0.37%"
"Nov 23, 2005","5,531.70","5,517.20","5,532.70","5,507.10","-","0.26%"
