"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","16,438.05","16,526.27","16,526.27","16,360.66","34.90M","-0.53%"
"Dec 29, 2005","16,526.27","16,437.19","16,526.27","16,369.70","40.81M","0.54%"
"Dec 28, 2005","16,437.19","16,685.92","16,685.92","16,405.11","47.61M","-1.49%"
"Dec 27, 2005","16,685.92","16,497.92","16,685.92","16,479.18","32.50M","1.14%"
"Dec 23, 2005","16,497.92","16,437.94","16,497.92","16,416.51","18.30M","0.38%"
"Dec 22, 2005","16,435.36","16,287.83","16,435.36","16,277.99","75.67M","0.91%"
"Dec 21, 2005","16,287.83","16,155.18","16,287.83","16,062.12","54.68M","0.82%"
"Dec 20, 2005","16,155.18","16,272.44","16,272.44","16,086.65","55.74M","-0.72%"
"Dec 19, 2005","16,272.44","16,073.25","16,277.86","16,025.10","70.07M","1.24%"
"Dec 15, 2005","16,073.25","15,869.28","16,073.25","15,845.32","195.06M","1.29%"
"Dec 14, 2005","15,869.28","15,828.80","15,882.78","15,739.91","72.16M","0.26%"
"Dec 13, 2005","15,828.80","16,011.59","16,011.59","15,828.80","95.21M","-1.14%"
"Dec 12, 2005","16,011.59","15,826.98","16,011.59","15,826.98","78.51M","1.17%"
"Dec 09, 2005","15,826.98","15,680.73","15,831.05","15,678.04","95.02M","0.93%"
"Dec 08, 2005","15,680.73","15,721.80","15,735.43","15,586.16","100.39M","-0.26%"
"Dec 07, 2005","15,721.80","15,451.09","15,721.80","15,451.09","112.91M","1.75%"
"Dec 06, 2005","15,451.09","15,307.22","15,451.09","15,172.00","75.53M","0.94%"
"Dec 05, 2005","15,307.22","15,391.08","15,399.32","15,254.47","53.66M","-0.54%"
"Dec 02, 2005","15,391.08","15,254.94","15,477.69","15,254.94","106.45M","0.89%"
"Dec 01, 2005","15,254.94","15,228.83","15,376.39","15,200.01","97.74M","0.17%"
"Nov 30, 2005","15,228.83","15,493.39","15,531.51","15,228.83","79.28M","-1.71%"
"Nov 29, 2005","15,493.39","15,644.16","15,644.16","15,481.26","65.03M","-0.96%"
"Nov 28, 2005","15,644.16","15,768.93","15,889.19","15,644.16","54.05M","-0.79%"
"Nov 25, 2005","15,768.93","15,899.06","15,946.14","15,768.93","56.80M","-0.82%"
"Nov 24, 2005","15,899.06","15,686.66","15,899.06","15,637.15","61.91M","1.35%"
"Nov 23, 2005","15,686.66","15,741.58","15,816.54","15,660.43","65.23M","-0.35%"
"Nov 22, 2005","15,741.58","15,897.44","15,993.06","15,720.65","77.00M","-0.98%"
"Nov 21, 2005","15,897.44","15,924.39","15,963.30","15,805.89","54.75M","-0.17%"
"Nov 18, 2005","15,924.39","15,745.54","16,005.59","15,745.54","76.92M","1.14%"
"Nov 17, 2005","15,745.54","15,582.05","15,792.90","15,582.05","71.00M","1.05%"
"Nov 16, 2005","15,582.05","15,756.95","15,852.58","15,559.33","90.49M","-1.11%"
"Nov 15, 2005","15,756.95","15,862.86","15,897.44","15,699.01","66.35M","-0.67%"
"Nov 14, 2005","15,862.86","15,572.90","15,866.90","15,572.90","71.04M","1.86%"
"Nov 11, 2005","15,572.90","15,466.12","15,572.90","15,404.52","79.67M","0.69%"
"Nov 10, 2005","15,466.12","15,281.09","15,489.50","15,281.09","66.99M","1.21%"
"Nov 09, 2005","15,281.09","15,248.54","15,409.12","15,185.48","62.62M","0.21%"
"Nov 08, 2005","15,248.54","15,530.16","15,558.75","15,248.54","86.77M","-1.81%"
"Nov 07, 2005","15,530.16","15,360.87","15,530.16","15,215.68","57.47M","1.10%"
"Nov 04, 2005","15,360.87","15,445.09","15,512.87","15,298.29","55.47M","-0.55%"
"Nov 03, 2005","15,445.09","15,060.03","15,445.09","15,060.03","126.22M","2.56%"
"Nov 02, 2005","15,060.03","15,075.65","15,164.26","14,945.49","80.34M","-0.10%"
"Nov 01, 2005","15,075.65","14,946.05","15,075.65","14,859.44","75.96M","0.87%"
"Oct 31, 2005","14,946.05","14,742.11","15,005.70","14,742.11","69.57M","1.38%"
"Oct 28, 2005","14,742.11","14,744.75","14,766.10","14,571.69","56.35M","-0.02%"
"Oct 27, 2005","14,744.75","14,935.90","14,980.20","14,744.75","59.65M","-1.28%"
"Oct 26, 2005","14,935.87","14,602.51","14,935.90","14,602.51","96.20M","2.28%"
"Oct 25, 2005","14,602.51","14,501.77","14,669.51","14,464.20","79.44M","0.69%"
"Oct 24, 2005","14,501.77","14,107.89","14,501.77","14,081.70","69.28M","2.79%"
"Oct 21, 2005","14,107.89","14,338.16","14,338.16","14,090.52","60.09M","-1.61%"
"Oct 20, 2005","14,338.16","14,050.71","14,338.16","14,050.71","83.68M","2.05%"
"Oct 19, 2005","14,050.71","14,328.16","14,328.16","13,922.44","158.13M","-1.94%"
"Oct 18, 2005","14,328.16","14,435.61","14,652.26","14,328.16","89.52M","-0.74%"
"Oct 17, 2005","14,435.61","14,183.98","14,439.98","14,183.98","66.35M","1.77%"
"Oct 14, 2005","14,183.98","14,444.26","14,466.49","14,183.98","100.83M","-1.80%"
"Oct 13, 2005","14,444.26","14,829.25","14,829.25","14,325.98","99.61M","-2.60%"
"Oct 12, 2005","14,829.25","14,803.44","14,900.57","14,737.20","82.66M","0.17%"
"Oct 11, 2005","14,803.44","14,635.83","14,865.10","14,601.95","77.42M","1.15%"
"Oct 10, 2005","14,635.83","14,649.85","14,798.20","14,586.25","82.98M","-0.10%"
"Oct 07, 2005","14,649.85","14,800.20","14,927.76","14,541.37","116.74M","-1.02%"
"Oct 06, 2005","14,800.20","15,076.77","15,076.77","14,746.18","100.06M","-1.83%"
"Oct 05, 2005","15,076.80","15,181.30","15,181.30","14,909.40","83.84M","-0.69%"
"Oct 04, 2005","15,181.30","15,157.90","15,261.50","15,126.50","60.86M","0.15%"
"Oct 03, 2005","15,157.90","15,363.60","15,366.70","15,152.30","49.87M","-1.34%"
"Sep 30, 2005","15,363.60","15,163.80","15,363.60","15,141.40","112.59M","1.32%"
"Sep 29, 2005","15,163.80","15,137.10","15,272.70","15,116.80","94.99M","0.18%"
"Sep 28, 2005","15,137.10","14,938.80","15,162.10","14,938.80","74.36M","1.33%"
"Sep 27, 2005","14,938.80","14,877.60","14,983.20","14,875.10","68.50M","0.41%"
"Sep 26, 2005","14,877.60","14,613.10","14,880.20","14,612.10","64.50M","1.81%"
"Sep 23, 2005","14,613.10","14,699.90","14,725.70","14,562.50","75.11M","-0.59%"
"Sep 22, 2005","14,699.90","14,896.80","14,944.90","14,690.90","126.36M","-1.32%"
"Sep 21, 2005","14,896.80","14,812.10","14,896.80","14,747.40","99.84M","0.57%"
"Sep 20, 2005","14,812.10","14,934.00","14,972.60","14,805.70","97.48M","-0.82%"
"Sep 19, 2005","14,934.00","14,843.60","14,936.50","14,815.70","124.20M","0.61%"
