"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","14,876.43","14,959.42","14,972.20","14,811.64","-","-1.12%"
"Dec 29, 2005","15,045.59","15,146.55","15,151.32","15,028.28","-","-0.37%"
"Dec 28, 2005","15,101.54","15,076.94","15,173.48","15,049.41","-","-0.54%"
"Dec 23, 2005","15,183.58","15,208.84","15,226.03","15,182.64","-","0.01%"
"Dec 22, 2005","15,182.53","15,251.10","15,252.45","15,170.92","-","-0.26%"
"Dec 21, 2005","15,221.42","15,219.27","15,272.72","15,210.93","-","0.34%"
"Dec 20, 2005","15,169.17","15,172.13","15,200.70","15,128.59","-","-0.09%"
"Dec 19, 2005","15,182.89","15,044.90","15,200.11","15,044.90","-","1.02%"
"Dec 16, 2005","15,029.81","15,077.98","15,078.37","14,967.78","-","-0.19%"
"Dec 15, 2005","15,059.02","15,039.63","15,078.92","15,025.54","-","0.55%"
"Dec 14, 2005","14,976.26","14,981.45","14,981.45","14,867.72","-","0.23%"
"Dec 13, 2005","14,942.62","14,981.23","14,995.63","14,863.84","-","-0.28%"
"Dec 12, 2005","14,984.40","14,991.62","15,079.96","14,972.06","-","0.50%"
"Dec 09, 2005","14,910.51","14,905.57","14,953.34","14,870.96","-","0.21%"
"Dec 08, 2005","14,879.16","15,095.18","15,095.18","14,860.54","-","-1.69%"
"Dec 07, 2005","15,134.95","15,026.92","15,134.95","14,960.22","-","0.96%"
"Dec 06, 2005","14,990.61","15,156.84","15,161.88","14,967.78","-","-1.11%"
"Dec 05, 2005","15,158.82","15,208.86","15,208.86","15,145.15","-","-0.27%"
"Dec 02, 2005","15,200.38","15,178.10","15,232.32","15,129.29","-","0.88%"
"Dec 01, 2005","15,068.03","14,881.22","15,068.03","14,866.10","-","0.88%"
"Nov 30, 2005","14,937.14","15,028.74","15,072.84","14,936.90","-","-0.61%"
"Nov 29, 2005","15,028.76","15,058.99","15,062.02","14,958.78","-","-0.47%"
"Nov 28, 2005","15,100.00","15,099.63","15,133.88","15,073.55","-","0.12%"
"Nov 25, 2005","15,081.47","15,053.92","15,100.94","15,027.76","-","-0.02%"
"Nov 24, 2005","15,084.39","15,111.03","15,117.88","15,042.30","-","0.15%"
"Nov 23, 2005","15,062.35","14,961.93","15,071.23","14,925.72","-","1.19%"
"Nov 22, 2005","14,885.65","14,881.92","14,897.80","14,806.96","-","0.00%"
"Nov 21, 2005","14,885.57","14,939.70","14,942.07","14,843.87","-","0.02%"
"Nov 18, 2005","14,883.32","14,915.00","14,924.62","14,865.81","-","0.64%"
"Nov 17, 2005","14,787.98","14,672.80","14,788.62","14,620.42","-","0.94%"
"Nov 16, 2005","14,650.54","14,632.40","14,683.99","14,603.70","-","0.16%"
"Nov 15, 2005","14,627.41","14,573.52","14,671.02","14,518.75","-","-0.01%"
"Nov 14, 2005","14,629.49","14,760.40","14,772.93","14,541.99","-","-0.75%"
"Nov 11, 2005","14,740.60","14,668.23","14,808.47","14,655.73","-","0.73%"
"Nov 10, 2005","14,633.33","14,586.01","14,642.85","14,567.55","-","0.25%"
"Nov 09, 2005","14,597.55","14,440.61","14,626.60","14,417.47","-","1.35%"
"Nov 08, 2005","14,403.20","14,420.55","14,435.24","14,317.51","-","0.26%"
"Nov 07, 2005","14,365.79","14,498.84","14,503.47","14,353.90","-","-1.51%"
"Nov 04, 2005","14,585.79","14,660.34","14,668.53","14,536.28","-","-0.11%"
"Nov 03, 2005","14,601.59","14,626.61","14,649.86","14,546.88","-","0.03%"
"Nov 02, 2005","14,597.48","14,583.09","14,604.50","14,544.65","-","0.17%"
"Nov 01, 2005","14,572.26","14,485.35","14,591.42","14,470.58","-","1.29%"
"Oct 31, 2005","14,386.37","14,313.42","14,393.28","14,255.93","-","1.20%"
"Oct 28, 2005","14,215.83","14,282.09","14,295.89","14,189.47","-","-1.15%"
"Oct 27, 2005","14,381.06","14,475.66","14,484.32","14,376.86","-","-0.53%"
"Oct 26, 2005","14,458.14","14,446.97","14,474.16","14,361.76","-","0.23%"
"Oct 25, 2005","14,424.88","14,566.05","14,566.10","14,422.40","-","0.16%"
"Oct 24, 2005","14,402.35","14,470.67","14,505.56","14,321.61","-","-0.59%"
"Oct 21, 2005","14,487.85","14,364.68","14,491.94","14,308.61","-","0.55%"
"Oct 20, 2005","14,408.94","14,477.54","14,524.66","14,398.97","-","0.25%"
"Oct 19, 2005","14,372.76","14,434.73","14,463.07","14,345.87","-","-1.54%"
"Oct 18, 2005","14,597.40","14,585.85","14,649.71","14,563.52","-","0.39%"
"Oct 17, 2005","14,541.35","14,551.74","14,572.68","14,449.38","-","0.38%"
"Oct 14, 2005","14,485.88","14,577.37","14,577.37","14,439.13","-","-0.93%"
"Oct 13, 2005","14,621.83","14,527.02","14,644.66","14,508.54","-","0.32%"
"Oct 12, 2005","14,575.02","14,880.46","14,933.12","14,557.52","-","-2.17%"
"Oct 10, 2005","14,898.77","14,898.84","14,933.93","14,852.33","-","0.34%"
"Oct 07, 2005","14,847.79","14,857.19","14,899.23","14,798.91","-","0.06%"
"Oct 06, 2005","14,839.30","14,943.22","14,945.97","14,823.00","-","-2.12%"
