"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","10,733.90","10,767.80","10,771.40","10,696.90","-","-0.41%"
"Dec 29, 2005","10,778.10","10,787.40","10,811.90","10,765.20","-","0.08%"
"Dec 28, 2005","10,769.50","10,747.20","10,781.40","10,741.80","-","-0.03%"
"Dec 27, 2005","10,772.70","10,718.30","10,791.50","10,716.10","-","0.46%"
"Dec 23, 2005","10,723.90","10,725.80","10,753.30","10,704.20","-","0.21%"
"Dec 22, 2005","10,701.30","10,675.80","10,717.20","10,668.50","-","0.17%"
"Dec 21, 2005","10,682.70","10,578.50","10,694.70","10,576.20","-","1.04%"
"Dec 20, 2005","10,572.30","10,513.50","10,584.40","10,495.90","-","0.42%"
"Dec 19, 2005","10,528.30","10,549.60","10,587.00","10,514.10","-","-0.26%"
"Dec 16, 2005","10,555.30","10,488.40","10,602.10","10,462.80","-","0.68%"
"Dec 15, 2005","10,483.50","10,509.40","10,517.60","10,450.60","-","-0.18%"
"Dec 14, 2005","10,502.40","10,559.60","10,572.40","10,484.80","-","-0.30%"
"Dec 13, 2005","10,533.60","10,544.00","10,561.80","10,501.90","-","-0.06%"
"Dec 12, 2005","10,540.00","10,521.70","10,587.90","10,500.00","-","0.48%"
"Dec 09, 2005","10,489.30","10,453.30","10,501.10","10,438.30","-","-0.06%"
"Dec 08, 2005","10,495.80","10,437.00","10,495.80","10,423.90","-","-0.10%"
"Dec 07, 2005","10,506.60","10,553.90","10,555.60","10,479.00","-","-0.31%"
"Dec 06, 2005","10,539.30","10,538.80","10,562.30","10,501.40","-","0.07%"
"Dec 05, 2005","10,532.10","10,669.00","10,669.00","10,495.50","-","-1.11%"
"Dec 02, 2005","10,649.80","10,692.20","10,699.50","10,611.80","-","-0.27%"
"Dec 01, 2005","10,678.70","10,580.00","10,678.70","10,580.00","-","1.15%"
"Nov 30, 2005","10,557.80","10,596.80","10,604.20","10,540.50","-","-0.59%"
"Nov 29, 2005","10,620.10","10,604.20","10,657.90","10,583.00","-","0.01%"
"Nov 28, 2005","10,618.80","10,677.20","10,716.80","10,609.60","-","-0.35%"
"Nov 25, 2005","10,656.30","10,649.30","10,672.60","10,625.00","-","0.21%"
"Nov 24, 2005","10,634.20","10,643.00","10,670.40","10,593.40","-","0.07%"
"Nov 23, 2005","10,626.70","10,544.60","10,631.80","10,534.80","-","0.99%"
"Nov 22, 2005","10,522.90","10,557.40","10,559.10","10,491.70","-","-0.12%"
"Nov 21, 2005","10,535.10","10,532.90","10,556.90","10,498.20","-","0.08%"
"Nov 18, 2005","10,527.10","10,502.30","10,577.30","10,485.90","-","0.78%"
"Nov 17, 2005","10,445.20","10,430.90","10,468.40","10,421.10","-","0.51%"
"Nov 16, 2005","10,391.70","10,453.50","10,455.50","10,338.70","-","-0.62%"
"Nov 15, 2005","10,456.30","10,489.60","10,508.20","10,413.00","-","-0.46%"
"Nov 14, 2005","10,504.60","10,490.70","10,561.70","10,473.80","-","-0.05%"
"Nov 11, 2005","10,510.30","10,491.40","10,518.90","10,471.40","-","0.69%"
"Nov 10, 2005","10,438.40","10,484.90","10,491.20","10,407.60","-","-0.17%"
"Nov 09, 2005","10,456.30","10,434.10","10,475.90","10,428.10","-","0.15%"
"Nov 08, 2005","10,440.20","10,440.70","10,483.20","10,410.40","-","0.19%"
"Nov 07, 2005","10,420.90","10,406.20","10,455.60","10,362.00","-","0.08%"
"Nov 04, 2005","10,412.30","10,479.20","10,486.70","10,389.20","-","-0.62%"
"Nov 03, 2005","10,476.90","10,467.90","10,500.40","10,432.60","-","0.50%"
"Nov 02, 2005","10,424.50","10,432.40","10,469.90","10,336.10","-","-0.03%"
"Nov 01, 2005","10,427.20","10,469.40","10,485.60","10,415.10","-","-0.63%"
"Oct 31, 2005","10,493.80","10,417.20","10,493.80","10,412.90","-","1.49%"
"Oct 28, 2005","10,339.50","10,327.70","10,362.40","10,256.00","-","0.11%"
"Oct 27, 2005","10,328.60","10,409.50","10,424.60","10,327.40","-","-1.38%"
"Oct 26, 2005","10,473.40","10,470.50","10,544.50","10,435.20","-","-0.03%"
"Oct 25, 2005","10,476.60","10,556.50","10,562.70","10,464.40","-","-0.55%"
"Oct 24, 2005","10,534.50","10,359.10","10,534.50","10,347.10","-","1.60%"
"Oct 21, 2005","10,368.80","10,343.80","10,409.80","10,326.00","-","-0.13%"
"Oct 20, 2005","10,382.30","10,469.50","10,512.70","10,351.00","-","-0.19%"
"Oct 19, 2005","10,402.50","10,452.20","10,454.50","10,356.50","-","-1.21%"
"Oct 18, 2005","10,529.90","10,633.30","10,663.90","10,521.60","-","-0.94%"
"Oct 17, 2005","10,629.50","10,646.70","10,678.90","10,615.40","-","0.00%"
"Oct 14, 2005","10,629.30","10,645.50","10,645.50","10,513.00","-","0.59%"
"Oct 13, 2005","10,567.10","10,689.40","10,735.40","10,567.10","-","-1.44%"
"Oct 12, 2005","10,721.80","10,766.80","10,768.40","10,690.80","-","-0.82%"
"Oct 11, 2005","10,810.20","10,795.20","10,866.20","10,795.20","-","0.09%"
"Oct 10, 2005","10,800.60","10,754.10","10,819.80","10,754.00","-","0.64%"
"Oct 07, 2005","10,732.40","10,742.50","10,765.30","10,698.10","-","-0.17%"
"Oct 06, 2005","10,750.90","10,723.30","10,761.90","10,680.70","-","-0.67%"
"Oct 05, 2005","10,823.10","10,843.50","10,874.30","10,822.70","-","-0.88%"
"Oct 04, 2005","10,919.20","10,883.90","10,919.20","10,824.90","-","0.35%"
"Oct 03, 2005","10,880.70","10,835.80","10,880.70","10,815.40","-","0.62%"
"Sep 30, 2005","10,813.90","10,834.30","10,851.40","10,793.60","-","0.31%"
"Sep 29, 2005","10,780.60","10,818.50","10,832.90","10,751.90","-","-0.20%"
"Sep 28, 2005","10,801.70","10,711.70","10,818.40","10,708.40","-","1.15%"
"Sep 27, 2005","10,678.50","10,714.40","10,725.90","10,669.10","-","-0.43%"
"Sep 26, 2005","10,724.90","10,671.00","10,741.00","10,664.20","-","0.88%"
"Sep 23, 2005","10,631.20","10,558.40","10,642.80","10,542.10","-","0.90%"
"Sep 22, 2005","10,536.60","10,486.50","10,572.50","10,464.40","-","0.35%"
"Sep 21, 2005","10,500.30","10,542.50","10,567.50","10,494.60","-","-0.79%"
"Sep 20, 2005","10,583.40","10,557.00","10,583.40","10,537.00","-","0.45%"
"Sep 19, 2005","10,536.00","10,511.10","10,561.70","10,475.90","-","0.04%"
"Sep 16, 2005","10,532.10","10,472.50","10,560.60","10,467.60","-","0.54%"
"Sep 15, 2005","10,475.70","10,451.70","10,492.10","10,432.30","-","0.16%"
"Sep 14, 2005","10,459.10","10,433.40","10,483.70","10,421.20","-","0.28%"
"Sep 13, 2005","10,429.80","10,479.60","10,514.20","10,421.90","-","-0.62%"
"Sep 12, 2005","10,494.70","10,519.90","10,532.50","10,437.10","-","0.08%"
"Sep 09, 2005","10,486.60","10,450.50","10,494.20","10,444.20","-","0.43%"
"Sep 08, 2005","10,441.20","10,418.50","10,445.50","10,371.70","-","0.32%"
"Sep 07, 2005","10,408.00","10,391.80","10,421.10","10,377.30","-","0.34%"
"Sep 06, 2005","10,373.20","10,254.00","10,377.50","10,253.60","-","1.19%"
"Sep 05, 2005","10,250.90","10,157.20","10,250.90","10,148.70","-","1.04%"
"Sep 02, 2005","10,145.00","10,119.90","10,184.80","10,113.80","-","0.11%"
"Sep 01, 2005","10,134.10","10,049.90","10,143.30","10,048.40","-","1.25%"
"Aug 31, 2005","10,008.90","9,916.70","10,019.70","9,906.90","-","0.87%"
"Aug 30, 2005","9,922.30","9,939.40","9,977.90","9,922.30","-","-0.16%"
"Aug 29, 2005","9,938.50","9,862.40","9,946.10","9,823.80","-","0.34%"
"Aug 26, 2005","9,904.80","9,988.70","10,014.40","9,903.40","-","-0.79%"
"Aug 25, 2005","9,983.20","10,026.60","10,030.50","9,975.50","-","-0.95%"
"Aug 24, 2005","10,078.90","10,082.30","10,096.00","10,032.90","-","-0.25%"
"Aug 23, 2005","10,104.10","10,158.90","10,160.20","10,104.10","-","-0.69%"
"Aug 22, 2005","10,174.80","10,149.00","10,183.00","10,147.80","-","0.41%"
"Aug 19, 2005","10,132.90","10,062.70","10,136.50","10,055.50","-","0.95%"
"Aug 18, 2005","10,037.90","10,093.50","10,107.50","10,029.40","-","-0.56%"
"Aug 17, 2005","10,094.10","10,110.40","10,124.00","10,043.20","-","-0.45%"
"Aug 16, 2005","10,139.80","10,211.80","10,223.80","10,105.70","-","-0.44%"
"Aug 15, 2005","10,184.90","10,163.80","10,206.20","10,162.50","-","-0.02%"
"Aug 12, 2005","10,187.20","10,253.40","10,253.70","10,169.80","-","-0.34%"
"Aug 11, 2005","10,222.10","10,189.20","10,226.50","10,156.00","-","-0.07%"
"Aug 10, 2005","10,229.20","10,150.20","10,229.20","10,146.70","-","0.82%"
"Aug 09, 2005","10,145.60","10,074.40","10,145.60","10,062.60","-","0.30%"
"Aug 08, 2005","10,115.50","10,052.10","10,128.70","10,045.20","-","0.70%"
"Aug 05, 2005","10,045.40","10,042.80","10,082.50","10,029.00","-","-0.29%"
"Aug 04, 2005","10,074.30","10,144.00","10,147.70","10,067.30","-","-0.74%"
"Aug 03, 2005","10,149.70","10,099.90","10,151.10","10,074.90","-","0.35%"
"Aug 02, 2005","10,113.90","10,048.10","10,113.90","10,043.70","-","0.45%"
"Aug 01, 2005","10,068.90","10,122.60","10,125.70","10,058.60","-","-0.46%"
"Jul 29, 2005","10,115.60","10,156.70","10,162.40","10,083.00","-","-0.13%"
"Jul 28, 2005","10,128.80","10,114.10","10,140.00","10,110.10","-","0.40%"
"Jul 27, 2005","10,088.70","10,046.70","10,099.00","10,046.70","-","0.45%"
"Jul 26, 2005","10,043.30","10,014.30","10,052.20","9,989.10","-","0.26%"
"Jul 25, 2005","10,017.10","10,036.70","10,048.00","9,979.50","-","-0.02%"
"Jul 22, 2005","10,018.80","10,010.90","10,044.50","9,998.70","-","-0.03%"
"Jul 21, 2005","10,021.50","10,030.40","10,068.00","9,962.90","-","0.14%"
"Jul 20, 2005","10,007.00","10,016.10","10,037.80","9,982.10","-","-0.38%"
"Jul 19, 2005","10,045.00","9,969.20","10,045.00","9,966.50","-","0.84%"
"Jul 18, 2005","9,961.00","9,944.80","9,981.60","9,927.50","-","0.17%"
"Jul 15, 2005","9,943.80","9,961.10","9,983.50","9,920.50","-","-0.21%"
"Jul 14, 2005","9,965.20","9,949.20","9,996.40","9,944.10","-","0.28%"
"Jul 13, 2005","9,937.80","9,880.60","9,938.60","9,874.50","-","0.65%"
"Jul 12, 2005","9,873.40","9,904.20","9,904.20","9,841.60","-","-0.03%"
"Jul 11, 2005","9,876.30","9,831.10","9,878.70","9,819.60","-","0.85%"
"Jul 08, 2005","9,793.20","9,742.30","9,794.70","9,691.30","-","1.54%"
"Jul 07, 2005","9,644.40","9,799.70","9,802.50","9,399.30","-","-1.91%"
"Jul 06, 2005","9,832.50","9,824.90","9,849.50","9,811.50","-","0.26%"
"Jul 05, 2005","9,807.40","9,805.80","9,814.90","9,766.10","-","-0.08%"
"Jul 04, 2005","9,815.00","9,808.30","9,817.30","9,789.40","-","-0.14%"
"Jul 01, 2005","9,829.10","9,731.00","9,829.10","9,727.90","-","0.47%"
"Jun 30, 2005","9,783.20","9,760.80","9,815.50","9,746.90","-","0.14%"
"Jun 29, 2005","9,769.20","9,719.80","9,796.90","9,714.30","-","0.90%"
"Jun 28, 2005","9,682.50","9,638.10","9,685.90","9,624.10","-","0.62%"
"Jun 27, 2005","9,622.90","9,629.70","9,644.90","9,590.70","-","-0.56%"
"Jun 24, 2005","9,677.40","9,696.00","9,712.80","9,664.70","-","-0.94%"
"Jun 23, 2005","9,769.60","9,727.40","9,779.40","9,725.80","-","0.45%"
"Jun 22, 2005","9,726.20","9,717.10","9,752.90","9,698.20","-","0.14%"
"Jun 21, 2005","9,712.50","9,688.30","9,713.40","9,666.10","-","0.55%"
"Jun 20, 2005","9,659.50","9,670.90","9,671.30","9,634.20","-","-0.24%"
"Jun 17, 2005","9,682.30","9,633.20","9,706.20","9,617.10","-","0.60%"
"Jun 16, 2005","9,624.70","9,593.40","9,642.20","9,579.50","-","0.64%"
"Jun 15, 2005","9,563.60","9,632.40","9,643.50","9,555.80","-","-0.53%"
"Jun 14, 2005","9,614.40","9,565.50","9,617.80","9,543.80","-","0.37%"
"Jun 13, 2005","9,579.20","9,564.00","9,579.40","9,526.70","-","0.19%"
"Jun 10, 2005","9,561.50","9,536.30","9,574.00","9,526.00","-","0.71%"
"Jun 09, 2005","9,494.00","9,459.10","9,495.60","9,444.90","-","0.07%"
"Jun 08, 2005","9,487.70","9,499.10","9,513.30","9,458.30","-","-0.50%"
"Jun 07, 2005","9,535.50","9,473.70","9,537.30","9,465.10","-","0.91%"
"Jun 06, 2005","9,449.40","9,480.70","9,497.10","9,443.00","-","-0.51%"
"Jun 03, 2005","9,497.70","9,550.70","9,560.80","9,487.10","-","-0.44%"
"Jun 02, 2005","9,539.70","9,542.40","9,587.40","9,519.40","-","-0.12%"
"Jun 01, 2005","9,550.80","9,455.40","9,551.00","9,444.10","-","1.31%"
"May 31, 2005","9,427.10","9,466.80","9,472.40","9,421.40","-","-0.42%"
"May 30, 2005","9,466.80","9,363.70","9,466.80","9,352.50","-","0.91%"
"May 27, 2005","9,381.50","9,420.00","9,428.30","9,364.40","-","-0.39%"
"May 26, 2005","9,417.90","9,350.00","9,421.90","9,343.30","-","0.71%"
"May 25, 2005","9,351.30","9,354.30","9,375.90","9,333.00","-","-0.23%"
"May 24, 2005","9,372.40","9,403.70","9,414.70","9,338.90","-","-0.26%"
"May 23, 2005","9,397.00","9,408.90","9,416.70","9,372.60","-","0.30%"
"May 20, 2005","9,368.50","9,403.70","9,407.10","9,368.50","-","-0.34%"
