"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","5,107.49","5,088.24","5,116.13","5,085.33","-","0.38%"
"Dec 29, 2005","5,088.24","5,088.48","5,108.53","5,065.86","-","-0.00%"
"Dec 28, 2005","5,088.48","5,082.34","5,088.48","5,004.15","-","0.12%"
"Dec 27, 2005","5,082.34","5,057.81","5,117.17","5,057.81","-","0.48%"
"Dec 23, 2005","5,057.81","4,997.38","5,068.03","4,993.68","-","1.21%"
"Dec 22, 2005","4,997.38","4,967.55","5,000.47","4,964.16","-","0.60%"
"Dec 21, 2005","4,967.55","4,952.90","4,975.98","4,952.06","-","0.30%"
"Dec 20, 2005","4,952.90","4,928.30","4,956.01","4,922.35","-","0.50%"
"Dec 19, 2005","4,928.30","4,907.18","4,932.00","4,900.00","-","0.43%"
"Dec 16, 2005","4,907.18","4,913.08","4,931.87","4,902.43","-","-0.12%"
"Dec 15, 2005","4,913.08","4,947.67","4,959.32","4,905.10","-","-0.70%"
"Dec 14, 2005","4,947.67","4,917.09","4,966.70","4,917.09","-","0.62%"
"Dec 13, 2005","4,917.09","4,867.40","4,930.73","4,864.53","-","1.02%"
"Dec 12, 2005","4,867.40","4,848.24","4,868.34","4,848.24","-","0.40%"
"Dec 09, 2005","4,848.24","4,832.02","4,891.79","4,824.35","-","0.34%"
"Dec 08, 2005","4,832.02","4,788.39","4,833.67","4,785.29","-","0.91%"
"Dec 07, 2005","4,788.39","4,784.26","4,788.99","4,772.05","-","0.09%"
"Dec 06, 2005","4,784.26","4,792.94","4,799.50","4,765.91","-","-0.18%"
"Dec 05, 2005","4,792.94","4,761.62","4,800.12","4,755.03","-","0.66%"
"Dec 02, 2005","4,761.62","4,752.21","4,761.62","4,727.68","-","0.20%"
"Dec 01, 2005","4,752.21","4,729.51","4,752.21","4,718.31","-","0.48%"
"Nov 30, 2005","4,729.51","4,679.08","4,733.21","4,678.75","-","1.08%"
"Nov 29, 2005","4,679.08","4,648.33","4,682.40","4,648.33","-","0.66%"
"Nov 28, 2005","4,648.33","4,672.95","4,672.95","4,644.86","-","-0.53%"
"Nov 25, 2005","4,672.95","4,678.68","4,697.35","4,666.36","-","-0.12%"
"Nov 24, 2005","4,678.68","4,706.00","4,716.32","4,675.44","-","-0.58%"
"Nov 23, 2005","4,706.00","4,650.14","4,720.44","4,649.10","-","1.20%"
"Nov 22, 2005","4,650.14","4,623.83","4,656.74","4,619.98","-","0.57%"
"Nov 21, 2005","4,623.83","4,670.03","4,686.69","4,608.26","-","-0.99%"
"Nov 18, 2005","4,670.03","4,645.04","4,706.64","4,645.04","-","0.54%"
"Nov 17, 2005","4,645.04","4,624.61","4,654.67","4,614.32","-","0.44%"
"Nov 16, 2005","4,624.61","4,491.78","4,635.21","4,489.12","-","2.96%"
"Nov 15, 2005","4,491.78","4,446.14","4,494.82","4,446.14","-","1.03%"
"Nov 14, 2005","4,446.14","4,419.78","4,452.89","4,414.19","-","0.60%"
"Nov 11, 2005","4,419.78","4,379.24","4,419.78","4,379.24","-","0.93%"
"Nov 10, 2005","4,379.24","4,380.48","4,380.48","4,369.73","-","-0.03%"
"Nov 09, 2005","4,380.48","4,365.54","4,380.56","4,365.54","-","0.34%"
"Nov 08, 2005","4,365.54","4,359.92","4,369.22","4,358.73","-","0.13%"
"Nov 07, 2005","4,359.92","4,352.08","4,367.90","4,352.08","-","0.18%"
"Nov 04, 2005","4,352.08","4,359.68","4,361.04","4,348.03","-","-0.17%"
"Nov 03, 2005","4,359.68","4,356.03","4,362.07","4,346.71","-","0.08%"
"Nov 02, 2005","4,356.03","4,347.64","4,369.18","4,343.01","-","0.19%"
"Nov 01, 2005","4,347.64","4,350.14","4,352.97","4,331.02","-","-0.06%"
"Oct 31, 2005","4,350.14","4,364.79","4,366.27","4,311.53","-","-0.34%"
"Oct 28, 2005","4,364.79","4,337.87","4,395.20","4,337.87","-","0.62%"
"Oct 27, 2005","4,337.87","4,339.23","4,349.45","4,328.50","-","-0.03%"
"Oct 26, 2005","4,339.23","4,326.67","4,343.39","4,322.86","-","0.29%"
"Oct 25, 2005","4,326.67","4,280.50","4,329.19","4,279.77","-","1.08%"
"Oct 24, 2005","4,280.50","4,249.77","4,282.42","4,242.57","-","0.72%"
"Oct 21, 2005","4,249.77","4,230.98","4,249.77","4,222.14","-","0.44%"
"Oct 20, 2005","4,230.98","4,239.57","4,244.74","4,225.45","-","-0.20%"
"Oct 19, 2005","4,239.57","4,280.17","4,281.55","4,224.34","-","-0.95%"
"Oct 18, 2005","4,280.17","4,300.34","4,319.40","4,276.86","-","-0.47%"
"Oct 17, 2005","4,300.34","4,250.22","4,300.34","4,250.22","-","1.18%"
"Oct 14, 2005","4,250.22","4,223.09","4,255.42","4,220.36","-","0.64%"
"Oct 13, 2005","4,223.09","4,194.03","4,225.54","4,191.03","-","0.69%"
"Oct 12, 2005","4,194.03","4,162.64","4,201.61","4,158.11","-","0.75%"
"Oct 11, 2005","4,162.64","4,147.42","4,167.35","4,147.42","-","0.37%"
"Oct 10, 2005","4,147.42","4,141.68","4,150.29","4,139.13","-","0.14%"
"Oct 07, 2005","4,141.68","4,152.65","4,164.84","4,120.73","-","-0.26%"
"Oct 06, 2005","4,152.65","4,163.37","4,168.81","4,151.24","-","-0.26%"
"Oct 05, 2005","4,163.37","4,190.01","4,197.62","4,163.37","-","-0.64%"
"Oct 04, 2005","4,190.01","4,235.68","4,235.68","4,187.85","-","-1.08%"
"Oct 03, 2005","4,235.61","4,285.82","4,285.82","4,225.11","-","-1.17%"
"Sep 30, 2005","4,285.82","4,267.93","4,285.82","4,265.34","-","0.42%"
"Sep 29, 2005","4,267.93","4,240.58","4,272.37","4,240.58","-","0.64%"
"Sep 28, 2005","4,240.58","4,258.56","4,258.56","4,233.96","-","-0.42%"
"Sep 27, 2005","4,258.56","4,259.15","4,266.36","4,246.07","-","-0.01%"
"Sep 26, 2005","4,259.15","4,260.56","4,263.74","4,254.46","-","-0.03%"
"Sep 23, 2005","4,260.56","4,251.55","4,260.56","4,238.39","-","0.21%"
"Sep 22, 2005","4,251.55","4,243.31","4,258.68","4,236.84","-","0.19%"
"Sep 21, 2005","4,243.31","4,229.71","4,244.72","4,227.89","-","0.32%"
"Sep 20, 2005","4,229.71","4,234.07","4,252.57","4,217.76","-","-0.10%"
"Sep 19, 2005","4,234.07","4,230.46","4,248.20","4,230.46","-","0.09%"
"Sep 16, 2005","4,230.46","4,155.74","4,234.48","4,155.74","-","1.80%"
"Sep 15, 2005","4,155.74","4,181.84","4,181.84","4,135.72","-","-0.62%"
"Sep 14, 2005","4,181.84","4,275.78","4,275.78","4,144.72","-","-2.20%"
"Sep 13, 2005","4,275.78","4,345.34","4,351.79","4,255.69","-","-1.60%"
"Sep 12, 2005","4,345.34","4,387.04","4,391.30","4,343.42","-","-0.95%"
"Sep 09, 2005","4,387.04","4,372.52","4,387.04","4,372.24","-","0.33%"
"Sep 08, 2005","4,372.52","4,348.56","4,374.09","4,344.26","-","0.55%"
"Sep 07, 2005","4,348.56","4,334.93","4,348.56","4,322.33","-","0.31%"
"Sep 06, 2005","4,334.93","4,315.88","4,334.93","4,315.88","-","0.44%"
"Sep 05, 2005","4,315.88","4,291.64","4,316.69","4,291.64","-","0.56%"
"Sep 02, 2005","4,291.64","4,298.98","4,306.54","4,267.98","-","-0.17%"
"Sep 01, 2005","4,298.98","4,322.67","4,332.72","4,291.65","-","-0.55%"
"Aug 31, 2005","4,322.67","4,301.49","4,322.67","4,301.49","-","0.49%"
"Aug 30, 2005","4,301.49","4,250.60","4,308.83","4,245.08","-","1.20%"
"Aug 29, 2005","4,250.60","4,220.12","4,250.63","4,218.13","-","0.72%"
