"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","9,556.61","9,535.70","9,574.02","9,533.95","-","0.62%"
"Dec 29, 2005","9,497.55","9,491.56","9,523.69","9,469.94","-","0.32%"
"Dec 28, 2005","9,466.94","9,468.19","9,513.12","9,442.99","-","0.21%"
"Dec 27, 2005","9,447.42","9,366.95","9,449.42","9,346.69","-","0.80%"
"Dec 26, 2005","9,372.57","9,512.35","9,512.35","9,372.57","-","-1.25%"
"Dec 23, 2005","9,491.47","9,473.46","9,534.67","9,468.54","-","0.21%"
"Dec 22, 2005","9,471.70","9,514.10","9,526.47","9,469.16","-","-0.34%"
"Dec 21, 2005","9,504.43","9,537.60","9,583.42","9,493.07","-","0.24%"
"Dec 20, 2005","9,482.08","9,348.50","9,482.08","9,312.35","-","1.09%"
"Dec 19, 2005","9,379.70","9,534.02","9,542.28","9,374.86","-","-1.42%"
"Dec 16, 2005","9,514.83","9,534.61","9,609.54","9,492.91","-","0.26%"
"Dec 15, 2005","9,490.61","9,417.42","9,490.61","9,379.38","-","0.93%"
"Dec 14, 2005","9,403.54","9,460.20","9,488.93","9,287.90","-","-0.51%"
"Dec 13, 2005","9,451.32","9,490.79","9,502.54","9,440.78","-","-0.09%"
"Dec 12, 2005","9,459.72","9,453.96","9,478.69","9,371.58","-","0.30%"
"Dec 09, 2005","9,431.81","9,456.73","9,492.97","9,409.04","-","0.14%"
"Dec 08, 2005","9,418.35","9,371.88","9,442.10","9,351.85","-","0.52%"
"Dec 07, 2005","9,369.34","9,418.91","9,436.71","9,342.28","-","-0.29%"
"Dec 06, 2005","9,396.50","9,385.93","9,407.07","9,333.50","-","0.55%"
"Dec 05, 2005","9,344.84","9,266.02","9,360.55","9,262.37","-","1.28%"
"Dec 02, 2005","9,226.41","9,080.69","9,226.41","9,069.06","-","1.60%"
"Dec 01, 2005","9,081.03","9,078.20","9,101.99","8,980.15","-","0.60%"
"Nov 30, 2005","9,026.59","9,143.08","9,154.34","8,925.08","-","-1.18%"
"Nov 29, 2005","9,134.55","9,180.78","9,187.03","9,119.61","-","-0.14%"
"Nov 28, 2005","9,147.02","9,115.53","9,148.59","9,103.03","-","0.91%"
"Nov 25, 2005","9,064.39","9,095.79","9,137.10","9,061.16","-","-0.10%"
"Nov 24, 2005","9,073.14","9,039.06","9,095.42","9,038.08","-","0.63%"
"Nov 23, 2005","9,016.34","9,045.05","9,064.50","9,003.85","-","0.11%"
"Nov 22, 2005","9,006.40","8,976.39","9,025.34","8,922.45","-","0.51%"
"Nov 21, 2005","8,960.80","8,988.30","9,000.26","8,959.82","-","0.31%"
"Nov 18, 2005","8,933.51","8,880.56","8,961.86","8,858.71","-","0.78%"
"Nov 17, 2005","8,864.04","8,900.60","8,915.98","8,823.83","-","-0.36%"
"Nov 16, 2005","8,895.68","8,942.60","8,957.53","8,872.60","-","0.07%"
"Nov 15, 2005","8,889.75","8,838.93","8,936.55","8,838.93","-","0.62%"
"Nov 14, 2005","8,835.26","8,836.84","8,848.72","8,783.57","-","0.47%"
"Nov 11, 2005","8,793.93","8,815.55","8,837.48","8,711.96","-","0.02%"
"Nov 10, 2005","8,792.22","8,744.41","8,840.78","8,720.10","-","1.17%"
"Nov 08, 2005","8,690.97","8,669.81","8,737.49","8,636.65","-","0.34%"
"Nov 07, 2005","8,661.46","8,520.33","8,661.46","8,513.72","-","2.67%"
"Nov 02, 2005","8,436.62","8,346.11","8,439.20","8,317.20","-","2.29%"
"Oct 31, 2005","8,247.37","8,216.75","8,285.72","8,135.16","-","-0.86%"
"Oct 27, 2005","8,319.29","8,256.75","8,362.45","8,222.98","-","1.02%"
"Oct 26, 2005","8,235.12","8,331.11","8,356.14","8,108.78","-","-0.98%"
"Oct 25, 2005","8,316.21","8,476.50","8,486.76","8,210.86","-","-1.10%"
"Oct 24, 2005","8,408.62","8,222.75","8,420.63","8,222.75","-","1.43%"
"Oct 21, 2005","8,290.32","8,476.06","8,515.87","8,254.67","-","-3.13%"
"Oct 20, 2005","8,557.95","8,942.46","8,980.98","8,539.29","-","-3.55%"
"Oct 19, 2005","8,872.96","8,736.56","8,872.96","8,649.48","-","2.35%"
"Oct 18, 2005","8,669.39","8,930.64","9,011.79","8,627.54","-","-2.60%"
"Oct 17, 2005","8,900.90","8,974.30","9,004.54","8,867.40","-","0.45%"
"Oct 14, 2005","8,860.90","8,784.84","8,878.97","8,769.32","-","1.13%"
"Oct 13, 2005","8,762.14","8,818.15","8,842.61","8,745.56","-","-0.34%"
"Oct 12, 2005","8,792.07","8,687.29","8,792.07","8,664.48","-","1.96%"
"Oct 11, 2005","8,622.93","8,551.02","8,623.17","8,551.02","-","1.20%"
"Oct 10, 2005","8,520.82","8,506.32","8,564.13","8,500.38","-","-0.25%"
"Oct 07, 2005","8,542.38","8,550.19","8,562.41","8,495.70","-","0.03%"
"Oct 06, 2005","8,540.24","8,582.32","8,600.76","8,515.52","-","-0.48%"
"Oct 05, 2005","8,581.68","8,467.91","8,583.12","8,467.91","-","1.84%"
"Oct 04, 2005","8,426.77","8,356.58","8,451.49","8,313.21","-","1.17%"
"Oct 03, 2005","8,329.70","8,268.58","8,334.01","8,258.22","-","1.26%"
"Sep 30, 2005","8,225.66","8,179.79","8,234.45","8,157.97","-","0.91%"
"Sep 29, 2005","8,151.51","8,200.84","8,258.62","8,149.91","-","-0.55%"
"Sep 28, 2005","8,196.33","8,196.18","8,233.64","8,128.26","-","0.01%"
"Sep 27, 2005","8,195.28","8,254.00","8,254.03","8,178.69","-","-0.27%"
"Sep 26, 2005","8,217.47","8,198.23","8,224.37","8,138.37","-","0.46%"
"Sep 23, 2005","8,179.90","8,211.84","8,242.66","8,130.92","-","-0.07%"
"Sep 22, 2005","8,186.00","8,188.08","8,287.45","8,149.31","-","-0.01%"
"Sep 21, 2005","8,187.10","8,067.64","8,187.11","8,067.64","-","1.50%"
"Sep 20, 2005","8,066.17","8,002.55","8,071.84","8,002.55","-","1.17%"
"Sep 19, 2005","7,972.97","7,953.25","7,972.97","7,861.69","-","0.48%"
"Sep 16, 2005","7,934.54","8,009.35","8,029.28","7,929.78","-","-0.56%"
"Sep 15, 2005","7,979.48","7,961.72","8,033.30","7,958.93","-","0.29%"
"Sep 14, 2005","7,956.50","7,897.08","7,987.42","7,897.08","-","0.78%"
"Sep 13, 2005","7,894.68","7,865.65","7,937.24","7,865.50","-","0.03%"
"Sep 12, 2005","7,892.52","7,910.94","7,925.31","7,885.19","-","0.04%"
"Sep 09, 2005","7,889.25","7,885.89","7,933.84","7,877.87","-","0.06%"
"Sep 08, 2005","7,884.21","7,830.77","7,884.29","7,773.89","-","1.02%"
"Sep 07, 2005","7,804.41","7,805.92","7,871.27","7,794.60","-","-0.03%"
"Sep 06, 2005","7,807.04","7,837.76","7,876.01","7,719.84","-","-0.54%"
"Sep 05, 2005","7,849.06","7,860.08","7,874.38","7,830.06","-","0.76%"
"Sep 02, 2005","7,789.76","7,766.87","7,798.10","7,766.87","-","0.26%"
"Sep 01, 2005","7,769.21","7,802.83","7,871.33","7,765.46","-","-0.35%"
"Aug 31, 2005","7,796.86","7,774.27","7,813.61","7,764.58","-","0.68%"
"Aug 30, 2005","7,744.19","7,692.32","7,753.57","7,667.07","-","0.70%"
"Aug 29, 2005","7,690.60","7,586.73","7,691.70","7,586.73","-","1.38%"
"Aug 26, 2005","7,585.70","7,568.73","7,594.44","7,536.61","-","0.42%"
"Aug 25, 2005","7,554.01","7,537.02","7,597.54","7,524.82","-","0.55%"
"Aug 24, 2005","7,512.34","7,565.09","7,593.92","7,503.29","-","-0.60%"
"Aug 23, 2005","7,557.87","7,612.62","7,639.90","7,545.71","-","-0.42%"
"Aug 22, 2005","7,590.10","7,417.55","7,593.58","7,417.55","-","3.80%"
"Aug 19, 2005","7,311.92","7,193.62","7,315.60","7,193.62","-","3.00%"
"Aug 17, 2005","7,099.22","7,141.89","7,146.46","7,094.77","-","-0.56%"
"Aug 16, 2005","7,139.09","7,100.91","7,143.96","7,088.06","-","0.23%"
"Aug 15, 2005","7,122.98","7,140.64","7,168.10","7,098.30","-","-0.39%"
"Aug 12, 2005","7,150.65","6,962.67","7,161.41","6,856.35","-","2.58%"
"Aug 11, 2005","6,970.59","7,071.90","7,091.49","6,964.26","-","-1.33%"
"Aug 10, 2005","7,064.29","7,191.96","7,219.78","7,010.47","-","-1.67%"
"Aug 09, 2005","7,184.48","7,340.13","7,352.95","7,164.42","-","-1.79%"
"Aug 08, 2005","7,315.47","7,458.30","7,482.48","7,281.51","-","-1.39%"
"Aug 05, 2005","7,418.61","7,341.16","7,419.76","7,338.28","-","0.18%"
"Aug 04, 2005","7,404.95","7,456.63","7,488.26","7,394.42","-","-0.50%"
"Aug 03, 2005","7,442.04","7,332.12","7,479.72","7,332.12","-","1.60%"
"Aug 02, 2005","7,324.80","7,201.71","7,330.86","7,179.61","-","1.80%"
"Aug 01, 2005","7,195.32","7,217.97","7,228.79","7,164.77","-","0.23%"
"Jul 29, 2005","7,178.93","7,226.31","7,244.65","7,112.63","-","-0.51%"
"Jul 28, 2005","7,215.44","7,218.64","7,300.09","7,202.01","-","-0.03%"
"Jul 27, 2005","7,217.60","7,311.98","7,315.16","7,213.94","-","-1.15%"
"Jul 26, 2005","7,301.57","7,305.13","7,319.85","7,249.58","-","-0.05%"
"Jul 25, 2005","7,305.30","7,377.97","7,393.83","7,305.09","-","-0.66%"
"Jul 22, 2005","7,353.85","7,410.91","7,412.86","7,294.16","-","-0.77%"
"Jul 21, 2005","7,410.91","7,393.58","7,460.51","7,375.40","-","-0.00%"
"Jul 20, 2005","7,410.98","7,317.02","7,411.95","7,317.02","-","1.25%"
"Jul 19, 2005","7,319.77","7,411.63","7,416.86","7,270.09","-","-1.58%"
"Jul 18, 2005","7,437.55","7,514.35","7,537.92","7,437.55","-","-1.30%"
"Jul 15, 2005","7,535.81","7,452.90","7,535.81","7,449.43","-","0.86%"
"Jul 14, 2005","7,471.64","7,491.83","7,531.23","7,466.62","-","-0.13%"
"Jul 13, 2005","7,481.17","7,513.06","7,516.77","7,461.09","-","-0.41%"
"Jul 12, 2005","7,511.94","7,558.63","7,589.95","7,457.88","-","-0.56%"
"Jul 11, 2005","7,554.28","7,653.42","7,677.63","7,553.76","-","-0.46%"
"Jul 08, 2005","7,588.94","7,588.05","7,616.20","7,559.30","-","-0.00%"
"Jul 07, 2005","7,589.07","7,534.65","7,634.73","7,534.65","-","0.78%"
"Jul 06, 2005","7,530.34","7,519.95","7,597.64","7,519.42","-","0.17%"
"Jul 05, 2005","7,517.52","7,405.47","7,517.92","7,350.39","-","1.46%"
