"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","3,973.04","3,973.04","3,973.04","3,973.04","-","0.09%"
"Dec 29, 2005","3,969.40","3,969.40","3,969.40","3,969.40","-","-0.26%"
"Dec 28, 2005","3,979.61","3,979.61","3,979.61","3,979.61","-","0.27%"
"Dec 27, 2005","3,968.97","3,968.97","3,968.97","3,968.97","-","0.40%"
"Dec 23, 2005","3,953.01","3,953.01","3,953.01","3,953.01","-","0.08%"
"Dec 22, 2005","3,949.94","3,949.94","3,949.94","3,949.94","-","-0.18%"
"Dec 21, 2005","3,957.08","3,957.08","3,957.08","3,957.08","-","-0.02%"
"Dec 20, 2005","3,958.01","3,958.01","3,958.01","3,958.01","-","-0.14%"
"Dec 19, 2005","3,963.63","3,963.63","3,963.63","3,963.63","-","0.01%"
"Dec 16, 2005","3,963.26","3,963.26","3,963.26","3,963.26","-","0.48%"
"Dec 15, 2005","3,944.50","3,944.50","3,944.50","3,944.50","-","-0.14%"
"Dec 14, 2005","3,949.97","3,949.97","3,949.97","3,949.97","-","-0.29%"
"Dec 13, 2005","3,961.41","3,961.41","3,961.41","3,961.41","-","-0.29%"
"Dec 09, 2005","3,972.82","3,972.82","3,972.82","3,972.82","-","-0.80%"
"Dec 08, 2005","4,004.68","4,004.68","4,004.68","4,004.68","-","0.46%"
"Dec 07, 2005","3,986.27","3,986.27","3,986.27","3,986.27","-","-0.09%"
"Dec 06, 2005","3,989.73","3,989.73","3,989.73","3,989.73","-","-0.29%"
"Dec 05, 2005","4,001.44","4,001.44","4,001.44","4,001.44","-","-0.51%"
"Dec 02, 2005","4,022.02","4,022.02","4,022.02","4,022.02","-","0.61%"
"Dec 01, 2005","3,997.56","3,997.56","3,997.56","3,997.56","-","0.59%"
"Nov 30, 2005","3,974.12","3,974.12","3,974.12","3,974.12","-","0.15%"
"Nov 29, 2005","3,968.33","3,968.33","3,968.33","3,968.33","-","0.34%"
"Nov 28, 2005","3,954.72","3,954.72","3,954.72","3,954.72","-","-0.02%"
"Nov 25, 2005","3,955.38","3,955.38","3,955.38","3,955.38","-","-0.36%"
"Nov 24, 2005","3,969.76","3,969.76","3,969.76","3,969.76","-","0.14%"
"Nov 23, 2005","3,964.28","3,964.28","3,964.28","3,964.28","-","0.32%"
"Nov 18, 2005","3,951.59","3,951.59","3,951.59","3,951.59","-","0.13%"
"Nov 17, 2005","3,946.41","3,946.41","3,946.41","3,946.41","-","0.45%"
"Nov 16, 2005","3,928.79","3,928.79","3,928.79","3,928.79","-","-0.24%"
"Nov 15, 2005","3,938.06","3,938.06","3,938.06","3,938.06","-","0.20%"
"Nov 14, 2005","3,930.18","3,930.18","3,930.18","3,930.18","-","0.05%"
"Nov 11, 2005","3,928.16","3,928.16","3,928.16","3,928.16","-","0.41%"
"Nov 10, 2005","3,912.15","3,912.15","3,912.15","3,912.15","-","-0.12%"
"Nov 09, 2005","3,917.04","3,917.04","3,917.04","3,917.04","-","0.04%"
"Nov 08, 2005","3,915.45","3,915.45","3,915.45","3,915.45","-","0.42%"
"Nov 07, 2005","3,898.89","3,898.89","3,898.89","3,898.89","-","0.46%"
"Nov 03, 2005","3,880.88","3,880.88","3,880.88","3,880.88","-","-0.32%"
"Nov 02, 2005","3,893.23","3,893.23","3,893.23","3,893.23","-","-0.33%"
"Nov 01, 2005","3,906.04","3,906.04","3,906.04","3,906.04","-","-0.85%"
"Oct 31, 2005","3,939.45","3,939.45","3,939.45","3,939.45","-","-0.93%"
"Oct 28, 2005","3,976.62","3,976.62","3,976.62","3,976.62","-","0.32%"
"Oct 27, 2005","3,964.10","3,964.10","3,964.10","3,964.10","-","-0.59%"
"Oct 26, 2005","3,987.52","3,987.52","3,987.52","3,987.52","-","-0.33%"
"Oct 25, 2005","4,000.86","4,000.86","4,000.86","4,000.86","-","-0.14%"
"Oct 24, 2005","4,006.61","4,006.61","4,006.61","4,006.61","-","-0.05%"
"Oct 21, 2005","4,008.76","4,008.76","4,008.76","4,008.76","-","0.17%"
"Oct 19, 2005","4,001.76","4,001.76","4,001.76","4,001.76","-","0.55%"
"Oct 18, 2005","3,979.95","3,979.95","3,979.95","3,979.95","-","0.57%"
"Oct 17, 2005","3,957.38","3,957.38","3,957.38","3,957.38","-","0.92%"
"Oct 14, 2005","3,921.40","3,921.40","3,921.40","3,921.40","-","0.33%"
"Oct 13, 2005","3,908.63","3,908.63","3,908.63","3,908.63","-","0.75%"
"Oct 12, 2005","3,879.72","3,879.72","3,879.72","3,879.72","-","0.87%"
"Oct 11, 2005","3,846.16","3,846.16","3,846.16","3,846.16","-","0.07%"
"Oct 07, 2005","3,843.49","3,843.49","3,843.49","3,843.49","-","0.08%"
"Oct 06, 2005","3,840.40","3,840.40","3,840.40","3,840.40","-","-0.05%"
"Oct 05, 2005","3,842.16","3,842.16","3,842.16","3,842.16","-","-0.69%"
"Oct 04, 2005","3,868.87","3,868.87","3,868.87","3,868.87","-","0.99%"
"Oct 03, 2005","3,831.01","3,831.01","3,831.01","3,831.01","-","-0.04%"
"Sep 30, 2005","3,832.69","3,832.69","3,832.69","3,832.69","-","0.03%"
"Sep 29, 2005","3,831.41","3,831.41","3,831.41","3,831.41","-","0.29%"
"Sep 28, 2005","3,820.48","3,820.48","3,820.48","3,820.48","-","0.11%"
"Sep 27, 2005","3,816.37","3,816.37","3,816.37","3,816.37","-","0.38%"
"Sep 26, 2005","3,801.74","3,801.74","3,801.74","3,801.74","-","0.27%"
"Sep 23, 2005","3,791.57","3,791.57","3,791.57","3,791.57","-","-0.16%"
"Sep 22, 2005","3,797.74","3,797.74","3,797.74","3,797.74","-","0.44%"
"Sep 21, 2005","3,781.03","3,781.03","3,781.03","3,781.03","-","-0.02%"
"Sep 20, 2005","3,781.75","3,781.75","3,781.75","3,781.75","-","-0.26%"
"Sep 19, 2005","3,791.59","3,791.59","3,791.59","3,791.59","-","-0.27%"
"Sep 16, 2005","3,801.87","3,801.87","3,801.87","3,801.87","-","-0.46%"
