"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","1,011.00","1,010.11","1,015.65","1,009.11","-","0.09%"
"Dec 29, 2005","1,010.11","1,004.58","1,014.19","1,004.57","-","0.55%"
"Dec 28, 2005","1,004.57","1,013.30","1,013.41","997.68","-","-0.87%"
"Dec 27, 2005","1,013.36","1,018.35","1,022.04","1,013.18","-","-0.49%"
"Dec 26, 2005","1,018.35","1,015.95","1,022.25","1,015.90","-","0.24%"
"Dec 23, 2005","1,015.95","1,020.38","1,032.73","1,015.09","-","-0.43%"
"Dec 22, 2005","1,020.30","1,001.79","1,021.79","1,001.79","-","1.85%"
"Dec 21, 2005","1,001.79","995.79","1,002.40","995.79","-","0.60%"
"Dec 20, 2005","995.79","1,000.44","1,000.44","976.63","-","-0.46%"
"Dec 19, 2005","1,000.44","996.15","1,002.68","991.48","-","0.43%"
"Dec 16, 2005","996.15","993.43","999.07","990.69","-","0.27%"
"Dec 15, 2005","993.43","997.07","1,004.56","992.27","-","-0.37%"
"Dec 14, 2005","997.07","998.90","1,002.16","993.44","-","-0.18%"
"Dec 13, 2005","998.90","1,003.17","1,004.82","995.45","-","-0.43%"
"Dec 12, 2005","1,003.17","994.92","1,006.82","994.27","-","0.83%"
"Dec 09, 2005","994.96","993.77","1,003.88","991.80","-","0.12%"
"Dec 08, 2005","993.77","991.71","996.06","970.52","-","0.20%"
"Dec 07, 2005","991.76","983.36","997.27","983.36","-","0.85%"
"Dec 06, 2005","983.36","985.81","990.42","973.29","-","-0.25%"
"Dec 05, 2005","985.81","986.00","999.03","982.06","-","-0.02%"
"Dec 02, 2005","985.99","970.35","992.34","970.34","-","1.61%"
"Dec 01, 2005","970.34","944.55","970.35","944.55","-","2.73%"
"Nov 30, 2005","944.55","937.65","946.15","932.06","-","0.74%"
"Nov 29, 2005","937.65","940.26","941.26","927.38","-","-0.28%"
"Nov 28, 2005","940.28","940.63","954.96","939.76","-","-0.04%"
"Nov 25, 2005","940.63","931.48","941.53","926.11","-","0.98%"
"Nov 24, 2005","931.48","920.55","932.34","920.52","-","1.19%"
"Nov 23, 2005","920.52","923.84","932.53","920.02","-","-0.36%"
"Nov 22, 2005","923.84","930.25","939.73","917.30","-","-0.68%"
"Nov 21, 2005","930.12","928.15","944.82","928.13","-","0.21%"
"Nov 18, 2005","928.14","929.88","935.99","920.04","-","-0.20%"
"Nov 17, 2005","929.99","905.91","933.88","905.86","-","2.66%"
"Nov 16, 2005","905.86","904.58","906.01","893.17","-","0.11%"
"Nov 15, 2005","904.86","903.94","914.06","898.76","-","0.10%"
"Nov 14, 2005","903.94","880.31","905.04","879.29","-","2.68%"
"Nov 11, 2005","880.31","874.49","880.86","869.03","-","0.66%"
"Nov 10, 2005","874.53","884.87","891.72","874.48","-","-1.17%"
"Nov 09, 2005","884.85","880.14","898.36","880.14","-","0.54%"
"Nov 08, 2005","880.14","880.42","885.69","871.21","-","-0.04%"
"Nov 07, 2005","880.45","880.13","887.43","866.85","-","0.04%"
"Nov 03, 2005","880.13","873.36","883.52","869.95","-","0.78%"
"Nov 02, 2005","873.34","844.44","873.34","844.43","-","3.42%"
"Nov 01, 2005","844.43","842.52","856.67","837.81","-","0.23%"
"Oct 31, 2005","842.52","818.64","843.42","818.64","-","2.92%"
"Oct 28, 2005","818.64","800.21","821.73","791.52","-","2.29%"
"Oct 27, 2005","800.31","819.87","821.49","796.55","-","-2.39%"
"Oct 26, 2005","819.87","812.10","822.79","809.87","-","0.96%"
"Oct 25, 2005","812.10","821.58","835.89","802.38","-","-1.08%"
"Oct 24, 2005","820.94","797.96","826.18","795.32","-","2.88%"
"Oct 21, 2005","797.95","791.19","801.17","773.45","-","0.85%"
"Oct 20, 2005","791.20","786.56","803.90","786.56","-","0.59%"
"Oct 19, 2005","786.56","821.24","821.62","785.65","-","-4.27%"
"Oct 18, 2005","821.62","819.89","834.58","819.08","-","0.21%"
"Oct 17, 2005","819.87","809.68","829.19","801.99","-","1.31%"
"Oct 14, 2005","809.30","841.45","841.45","807.95","-","-3.82%"
"Oct 13, 2005","841.45","859.69","859.70","825.75","-","-2.12%"
"Oct 12, 2005","859.70","901.55","917.42","857.73","-","-4.64%"
"Oct 11, 2005","901.55","871.91","901.76","866.29","-","3.40%"
"Oct 10, 2005","871.91","843.53","873.82","843.49","-","3.37%"
"Oct 07, 2005","843.49","846.76","858.41","832.36","-","-0.35%"
"Oct 06, 2005","846.49","898.99","898.99","840.16","-","-5.84%"
"Oct 05, 2005","898.99","939.43","939.44","895.85","-","-4.31%"
"Oct 04, 2005","939.44","932.87","957.16","932.87","-","0.70%"
"Oct 03, 2005","932.87","892.76","933.78","892.50","-","4.52%"
"Sep 30, 2005","892.50","879.19","895.21","879.19","-","1.51%"
"Sep 29, 2005","879.19","886.82","895.34","877.71","-","-0.85%"
"Sep 28, 2005","886.76","891.70","900.41","877.60","-","-0.56%"
