"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","5,539.13","5,509.96","5,551.53","5,503.54","-","-0.01%"
"Dec 29, 2005","5,539.82","5,510.85","5,542.34","5,500.56","-","0.37%"
"Dec 28, 2005","5,519.62","5,496.13","5,519.62","5,482.29","-","0.37%"
"Dec 27, 2005","5,499.34","5,489.01","5,503.12","5,484.00","-","-0.00%"
"Dec 26, 2005","5,499.37","5,538.34","5,538.34","5,499.35","-","-0.74%"
"Dec 23, 2005","5,540.62","5,540.89","5,551.53","5,540.39","-","-0.19%"
"Dec 22, 2005","5,551.00","5,534.89","5,551.00","5,529.29","-","0.21%"
"Dec 21, 2005","5,539.43","5,559.39","5,570.09","5,539.43","-","-0.41%"
"Dec 20, 2005","5,562.14","5,556.01","5,591.22","5,556.01","-","0.02%"
"Dec 19, 2005","5,561.27","5,560.91","5,566.21","5,551.16","-","0.38%"
"Dec 16, 2005","5,540.44","5,502.18","5,549.90","5,501.75","-","0.92%"
"Dec 15, 2005","5,490.08","5,490.99","5,498.23","5,481.98","-","-0.08%"
"Dec 14, 2005","5,494.56","5,437.59","5,495.71","5,437.59","-","0.93%"
"Dec 13, 2005","5,443.90","5,398.06","5,443.93","5,397.61","-","0.36%"
"Dec 12, 2005","5,424.21","5,405.14","5,429.41","5,402.77","-","-0.08%"
"Dec 09, 2005","5,428.41","5,297.98","5,432.01","5,297.98","-","1.70%"
"Dec 08, 2005","5,337.53","5,432.54","5,459.93","5,337.53","-","-2.28%"
"Dec 07, 2005","5,461.82","5,478.75","5,496.88","5,461.82","-","-0.37%"
"Dec 06, 2005","5,482.25","5,491.09","5,507.34","5,473.15","-","-0.15%"
"Dec 05, 2005","5,490.39","5,506.26","5,527.44","5,478.45","-","-0.55%"
"Dec 02, 2005","5,520.54","5,553.76","5,563.80","5,485.38","-","-0.68%"
"Dec 01, 2005","5,558.09","5,556.00","5,583.76","5,554.90","-","-0.04%"
"Nov 30, 2005","5,560.16","5,618.97","5,618.97","5,551.76","-","-1.21%"
"Nov 29, 2005","5,628.10","5,632.84","5,645.33","5,627.52","-","0.22%"
"Nov 28, 2005","5,615.56","5,563.36","5,619.91","5,561.00","-","1.08%"
"Nov 25, 2005","5,555.52","5,510.78","5,567.65","5,510.78","-","0.88%"
"Nov 24, 2005","5,506.86","5,504.37","5,514.30","5,494.65","-","0.18%"
"Nov 23, 2005","5,496.98","5,497.99","5,506.40","5,486.86","-","-0.13%"
"Nov 22, 2005","5,504.23","5,470.09","5,504.23","5,467.97","-","0.72%"
"Nov 21, 2005","5,464.87","5,484.95","5,492.27","5,464.87","-","-0.67%"
"Nov 15, 2005","5,501.95","5,489.38","5,511.74","5,484.28","-","0.56%"
"Nov 14, 2005","5,471.23","5,395.41","5,473.16","5,395.41","-","1.24%"
"Nov 11, 2005","5,404.44","5,399.63","5,408.77","5,393.29","-","0.23%"
"Nov 10, 2005","5,392.12","5,396.38","5,399.09","5,386.81","-","-0.28%"
"Nov 09, 2005","5,407.15","5,429.81","5,439.24","5,397.55","-","-0.70%"
"Nov 08, 2005","5,445.37","5,439.54","5,452.90","5,432.93","-","0.38%"
"Nov 07, 2005","5,424.54","5,392.95","5,424.54","5,388.90","-","0.55%"
"Nov 03, 2005","5,395.02","5,375.87","5,395.02","5,367.92","-","0.44%"
"Nov 02, 2005","5,371.13","5,343.75","5,386.72","5,335.60","-","0.68%"
"Nov 01, 2005","5,334.61","5,278.96","5,346.35","5,278.96","-","1.06%"
"Oct 31, 2005","5,278.51","5,237.89","5,278.51","5,236.47","-","0.67%"
"Oct 28, 2005","5,243.18","5,226.21","5,247.24","5,226.17","-","0.13%"
"Oct 27, 2005","5,236.24","5,207.54","5,236.30","5,205.84","-","0.43%"
"Oct 26, 2005","5,213.69","5,219.20","5,219.20","5,202.16","-","-0.07%"
"Oct 25, 2005","5,217.45","5,207.66","5,218.39","5,199.85","-","0.17%"
"Oct 24, 2005","5,208.57","5,198.04","5,208.57","5,195.12","-","0.06%"
"Oct 21, 2005","5,205.47","5,214.77","5,220.06","5,204.15","-","-0.27%"
"Oct 20, 2005","5,219.58","5,233.13","5,235.07","5,210.49","-","-0.35%"
"Oct 19, 2005","5,238.09","5,255.50","5,255.50","5,233.57","-","-0.21%"
"Oct 18, 2005","5,249.13","5,229.29","5,249.13","5,229.29","-","0.38%"
"Oct 17, 2005","5,229.36","5,203.73","5,229.36","5,203.17","-","0.35%"
"Oct 14, 2005","5,211.18","5,187.47","5,220.16","5,187.47","-","0.33%"
"Oct 13, 2005","5,194.26","5,195.41","5,197.15","5,179.31","-","0.16%"
"Oct 12, 2005","5,185.98","5,165.15","5,185.98","5,163.59","-","0.34%"
"Oct 11, 2005","5,168.48","5,154.68","5,168.48","5,142.59","-","0.41%"
"Oct 10, 2005","5,147.35","5,136.44","5,147.35","5,127.69","-","0.19%"
"Oct 07, 2005","5,137.38","5,127.13","5,137.40","5,127.13","-","0.12%"
"Oct 06, 2005","5,131.23","5,128.50","5,135.61","5,121.24","-","-0.14%"
"Oct 05, 2005","5,138.19","5,125.19","5,138.36","5,125.05","-","0.02%"
"Oct 04, 2005","5,136.96","5,114.89","5,147.70","5,112.98","-","0.37%"
"Oct 03, 2005","5,117.78","5,114.85","5,121.25","5,113.80","-","0.13%"
"Sep 30, 2005","5,111.39","5,107.69","5,125.17","5,107.69","-","0.01%"
"Sep 29, 2005","5,111.09","5,109.57","5,116.40","5,106.95","-","-0.19%"
"Sep 28, 2005","5,120.62","5,126.17","5,127.79","5,110.26","-","-0.10%"
"Sep 27, 2005","5,125.78","5,132.48","5,146.71","5,125.35","-","-0.05%"
"Sep 26, 2005","5,128.57","5,076.49","5,128.57","5,076.49","-","0.86%"
"Sep 23, 2005","5,084.68","5,133.91","5,136.01","5,074.68","-","-0.79%"
"Sep 22, 2005","5,125.09","5,149.43","5,158.51","5,125.09","-","-0.45%"
"Sep 21, 2005","5,148.19","5,150.15","5,156.82","5,141.34","-","-0.17%"
"Sep 20, 2005","5,157.13","5,164.96","5,172.66","5,149.87","-","-0.43%"
"Sep 19, 2005","5,179.25","5,167.04","5,179.25","5,157.69","-","0.06%"
