"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","3,370.51","3,357.43","3,373.97","3,350.97","24.03M","0.39%"
"Dec 29, 2005","3,357.43","3,344.79","3,361.08","3,341.06","8.74M","0.38%"
"Dec 28, 2005","3,344.79","3,316.11","3,347.04","3,314.90","6.46M","0.86%"
"Dec 23, 2005","3,316.11","3,309.66","3,316.91","3,307.64","13.33M","0.19%"
"Dec 22, 2005","3,309.66","3,318.52","3,320.47","3,299.54","28.54M","-0.27%"
"Dec 21, 2005","3,318.52","3,319.32","3,322.37","3,309.76","42.65M","-0.02%"
"Dec 20, 2005","3,319.32","3,317.04","3,320.39","3,292.24","24.16M","0.07%"
"Dec 19, 2005","3,317.04","3,281.90","3,324.55","3,281.90","21.74M","1.07%"
"Dec 16, 2005","3,281.90","3,234.67","3,286.08","3,234.67","36.47M","1.46%"
"Dec 15, 2005","3,234.67","3,207.95","3,234.84","3,206.19","26.98M","0.83%"
"Dec 14, 2005","3,207.95","3,196.72","3,208.36","3,192.96","47.88M","0.35%"
"Dec 13, 2005","3,196.72","3,185.28","3,199.85","3,185.28","31.37M","0.36%"
"Dec 12, 2005","3,185.28","3,183.31","3,198.39","3,182.95","26.13M","0.06%"
"Dec 09, 2005","3,183.31","3,229.98","3,229.98","3,183.31","19.24M","-1.44%"
"Dec 08, 2005","3,229.98","3,227.57","3,238.18","3,224.43","30.96M","0.07%"
"Dec 07, 2005","3,227.57","3,225.15","3,232.02","3,221.86","36.71M","0.08%"
"Dec 06, 2005","3,225.15","3,266.94","3,266.94","3,218.96","28.49M","-1.28%"
"Dec 05, 2005","3,266.94","3,297.24","3,297.24","3,266.50","14.92M","-0.92%"
"Dec 02, 2005","3,297.24","3,292.25","3,303.99","3,289.61","13.20M","0.15%"
"Dec 01, 2005","3,292.25","3,317.77","3,317.82","3,292.25","64.03M","-0.77%"
"Nov 30, 2005","3,317.77","3,302.43","3,317.77","3,298.53","50.96M","0.46%"
"Nov 29, 2005","3,302.43","3,310.44","3,310.44","3,286.11","29.49M","-0.24%"
"Nov 28, 2005","3,310.44","3,324.23","3,337.53","3,310.44","29.01M","-0.41%"
"Nov 25, 2005","3,324.23","3,316.69","3,325.69","3,310.01","42.41M","0.23%"
"Nov 24, 2005","3,316.69","3,307.97","3,316.69","3,291.26","41.44M","0.26%"
"Nov 23, 2005","3,307.97","3,327.35","3,335.75","3,301.19","33.71M","-0.58%"
"Nov 22, 2005","3,327.35","3,333.98","3,344.73","3,322.57","29.70M","-0.20%"
"Nov 21, 2005","3,333.98","3,326.03","3,337.51","3,324.75","17.90M","0.24%"
"Nov 18, 2005","3,326.03","3,324.62","3,334.24","3,322.51","47.08M","0.04%"
"Nov 17, 2005","3,324.62","3,334.76","3,335.75","3,323.59","17.51M","-0.30%"
"Nov 16, 2005","3,334.76","3,311.65","3,336.99","3,303.17","23.51M","0.70%"
"Nov 15, 2005","3,311.65","3,284.44","3,311.65","3,284.44","29.46M","0.83%"
"Nov 14, 2005","3,284.44","3,269.44","3,284.45","3,262.74","17.19M","0.46%"
"Nov 11, 2005","3,269.44","3,281.57","3,288.98","3,261.80","28.17M","-0.37%"
"Nov 10, 2005","3,281.57","3,301.99","3,302.52","3,279.69","26.27M","-0.62%"
"Nov 09, 2005","3,301.99","3,324.19","3,324.19","3,297.87","17.28M","-0.67%"
"Nov 08, 2005","3,324.19","3,316.45","3,325.89","3,316.45","27.88M","0.23%"
"Nov 07, 2005","3,316.45","3,325.66","3,329.71","3,311.56","16.63M","-0.28%"
"Nov 04, 2005","3,325.66","3,323.44","3,329.71","3,316.51","25.73M","0.07%"
"Nov 03, 2005","3,323.44","3,285.59","3,323.44","3,285.59","50.03M","1.15%"
"Nov 02, 2005","3,285.59","3,297.15","3,297.15","3,282.34","28.31M","-0.35%"
"Nov 01, 2005","3,297.15","3,293.16","3,308.18","3,293.16","26.26M","0.12%"
"Oct 31, 2005","3,293.16","3,270.75","3,293.79","3,270.75","29.46M","0.69%"
"Oct 28, 2005","3,270.75","3,286.96","3,286.96","3,262.60","32.21M","-0.49%"
"Oct 27, 2005","3,286.96","3,294.32","3,294.32","3,280.97","21.17M","-0.22%"
"Oct 26, 2005","3,294.32","3,267.97","3,295.22","3,266.53","25.41M","0.81%"
"Oct 25, 2005","3,267.97","3,240.89","3,271.17","3,240.89","27.68M","0.84%"
"Oct 21, 2005","3,240.89","3,288.97","3,288.97","3,232.24","27.74M","-1.46%"
"Oct 20, 2005","3,288.97","3,301.48","3,301.48","3,282.59","23.62M","-0.38%"
"Oct 19, 2005","3,301.48","3,346.85","3,346.85","3,296.37","22.47M","-1.36%"
"Oct 18, 2005","3,346.85","3,358.61","3,358.66","3,334.64","15.79M","-0.35%"
"Oct 17, 2005","3,358.61","3,351.62","3,359.78","3,350.22","15.67M","0.21%"
"Oct 14, 2005","3,351.62","3,362.96","3,366.95","3,345.29","17.26M","-0.34%"
"Oct 13, 2005","3,362.96","3,417.99","3,417.99","3,361.49","19.83M","-1.61%"
"Oct 12, 2005","3,417.99","3,404.85","3,426.41","3,404.85","22.44M","0.39%"
"Oct 11, 2005","3,404.85","3,414.03","3,414.03","3,400.24","22.24M","-0.27%"
"Oct 10, 2005","3,414.03","3,400.25","3,416.56","3,398.18","16.67M","0.41%"
"Oct 07, 2005","3,400.25","3,406.00","3,406.00","3,389.17","58.05M","-0.17%"
"Oct 06, 2005","3,406.00","3,446.42","3,446.42","3,400.43","31.33M","-1.17%"
"Oct 05, 2005","3,446.42","3,468.24","3,468.24","3,441.27","35.21M","-0.63%"
