"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","1,645.20","1,648.10","1,649.90","1,641.86","-","-0.61%"
"Dec 29, 2005","1,655.36","1,668.78","1,671.32","1,653.53","-","-0.70%"
"Dec 28, 2005","1,667.10","1,671.27","1,674.07","1,662.09","-","-0.08%"
"Dec 27, 2005","1,668.37","1,686.92","1,693.58","1,666.46","-","-0.86%"
"Dec 23, 2005","1,682.92","1,687.58","1,690.41","1,679.28","-","-0.03%"
"Dec 22, 2005","1,683.35","1,672.59","1,685.49","1,671.78","-","0.76%"
"Dec 21, 2005","1,670.61","1,669.34","1,682.84","1,665.34","-","0.33%"
"Dec 20, 2005","1,665.07","1,665.60","1,672.47","1,657.71","-","0.04%"
"Dec 19, 2005","1,664.36","1,692.21","1,694.65","1,663.56","-","-1.44%"
"Dec 16, 2005","1,688.68","1,700.92","1,704.38","1,688.26","-","-0.77%"
"Dec 15, 2005","1,701.70","1,703.39","1,705.93","1,688.07","-","0.16%"
"Dec 14, 2005","1,698.98","1,701.49","1,707.74","1,692.44","-","-0.40%"
"Dec 13, 2005","1,705.77","1,696.28","1,711.83","1,693.90","-","0.44%"
"Dec 12, 2005","1,698.35","1,698.15","1,701.27","1,691.22","-","0.34%"
"Dec 09, 2005","1,692.62","1,687.44","1,694.13","1,679.22","-","0.42%"
"Dec 08, 2005","1,685.59","1,701.01","1,702.84","1,674.74","-","-0.67%"
"Dec 07, 2005","1,697.04","1,703.31","1,706.12","1,688.90","-","-0.25%"
"Dec 06, 2005","1,701.35","1,706.62","1,716.65","1,700.16","-","0.39%"
"Dec 05, 2005","1,694.77","1,704.12","1,704.94","1,689.60","-","-0.84%"
"Dec 02, 2005","1,709.10","1,702.36","1,709.10","1,698.90","-","0.28%"
"Dec 01, 2005","1,704.28","1,683.39","1,705.19","1,683.39","-","1.90%"
"Nov 30, 2005","1,672.56","1,675.92","1,683.62","1,671.34","-","-0.26%"
"Nov 29, 2005","1,676.84","1,693.11","1,697.58","1,676.76","-","-0.45%"
"Nov 28, 2005","1,684.39","1,702.40","1,703.08","1,683.83","-","-0.98%"
"Nov 25, 2005","1,701.05","1,699.13","1,701.06","1,693.33","-","0.25%"
"Nov 23, 2005","1,696.77","1,691.96","1,704.42","1,691.08","-","0.16%"
"Nov 22, 2005","1,694.14","1,681.37","1,698.32","1,679.10","-","0.47%"
"Nov 21, 2005","1,686.23","1,678.70","1,686.79","1,673.05","-","0.38%"
"Nov 18, 2005","1,679.85","1,685.05","1,689.59","1,674.75","-","0.21%"
"Nov 17, 2005","1,676.39","1,659.16","1,676.39","1,657.27","-","1.51%"
"Nov 16, 2005","1,651.45","1,648.92","1,653.74","1,642.36","-","0.43%"
"Nov 15, 2005","1,644.31","1,651.97","1,658.65","1,638.97","-","-0.46%"
"Nov 14, 2005","1,651.90","1,653.65","1,657.53","1,648.26","-","-0.09%"
"Nov 11, 2005","1,653.36","1,653.41","1,659.72","1,651.09","-","0.15%"
"Nov 10, 2005","1,650.93","1,629.56","1,651.05","1,620.74","-","1.27%"
"Nov 09, 2005","1,630.21","1,627.62","1,636.36","1,624.55","-","0.11%"
"Nov 08, 2005","1,628.40","1,626.24","1,636.84","1,623.16","-","-0.05%"
"Nov 07, 2005","1,629.27","1,630.76","1,634.53","1,621.50","-","0.08%"
"Nov 04, 2005","1,628.03","1,622.56","1,631.79","1,616.84","-","0.52%"
"Nov 03, 2005","1,619.67","1,611.52","1,626.48","1,610.90","-","1.40%"
"Nov 02, 2005","1,597.29","1,570.83","1,600.75","1,570.75","-","1.32%"
"Nov 01, 2005","1,576.52","1,572.97","1,582.67","1,571.19","-","-0.17%"
"Oct 31, 2005","1,579.18","1,559.84","1,584.09","1,559.84","-","1.42%"
"Oct 28, 2005","1,557.11","1,548.83","1,557.57","1,538.78","-","0.89%"
"Oct 27, 2005","1,543.38","1,571.64","1,573.80","1,543.38","-","-2.02%"
"Oct 26, 2005","1,575.14","1,580.00","1,593.47","1,573.14","-","-0.67%"
"Oct 25, 2005","1,585.82","1,584.95","1,590.05","1,573.66","-","-0.30%"
"Oct 24, 2005","1,590.65","1,570.33","1,590.73","1,561.45","-","1.63%"
"Oct 21, 2005","1,565.12","1,571.17","1,572.71","1,558.18","-","0.61%"
"Oct 20, 2005","1,555.59","1,568.53","1,576.46","1,547.07","-","-0.89%"
"Oct 19, 2005","1,569.61","1,532.47","1,569.61","1,526.82","-","2.03%"
"Oct 18, 2005","1,538.43","1,548.29","1,549.41","1,538.39","-","-0.74%"
"Oct 17, 2005","1,549.88","1,544.58","1,549.95","1,536.01","-","0.36%"
"Oct 14, 2005","1,544.29","1,537.43","1,545.13","1,529.42","-","0.68%"
"Oct 13, 2005","1,533.80","1,519.36","1,538.15","1,515.42","-","0.83%"
"Oct 12, 2005","1,521.19","1,532.23","1,543.50","1,519.30","-","-1.18%"
"Oct 11, 2005","1,539.31","1,551.01","1,551.54","1,534.61","-","-0.50%"
"Oct 10, 2005","1,546.99","1,554.74","1,560.65","1,545.90","-","-0.57%"
"Oct 07, 2005","1,555.92","1,558.93","1,563.27","1,549.94","-","0.19%"
"Oct 06, 2005","1,552.94","1,573.15","1,576.36","1,540.34","-","-1.18%"
"Oct 05, 2005","1,571.52","1,595.39","1,595.83","1,571.46","-","-1.51%"
"Oct 04, 2005","1,595.54","1,606.15","1,617.77","1,594.56","-","-0.63%"
"Oct 03, 2005","1,605.59","1,603.47","1,612.53","1,603.39","-","0.25%"
"Sep 30, 2005","1,601.66","1,589.24","1,601.69","1,588.22","-","0.74%"
"Sep 29, 2005","1,589.93","1,567.44","1,591.15","1,560.87","-","1.35%"
"Sep 28, 2005","1,568.81","1,575.16","1,580.67","1,565.02","-","-0.00%"
"Sep 27, 2005","1,568.84","1,575.84","1,578.18","1,563.21","-","-0.26%"
"Sep 26, 2005","1,572.86","1,581.16","1,584.58","1,564.52","-","0.07%"
"Sep 23, 2005","1,571.75","1,563.97","1,577.05","1,559.57","-","0.28%"
"Sep 22, 2005","1,567.36","1,559.94","1,570.94","1,551.81","-","0.35%"
"Sep 21, 2005","1,561.84","1,577.10","1,577.67","1,561.47","-","-1.04%"
