"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","2,836.55","2,823.95","2,845.55","2,812.75","76.05M","0.52%"
"Dec 29, 2005","2,821.95","2,792.75","2,829.40","2,792.75","79.24M","1.00%"
"Dec 28, 2005","2,794.05","2,806.80","2,824.30","2,780.00","73.93M","-0.42%"
"Dec 27, 2005","2,805.90","2,746.25","2,812.60","2,725.70","58.76M","2.05%"
"Dec 26, 2005","2,749.60","2,804.30","2,804.30","2,741.80","57.49M","-1.97%"
"Dec 23, 2005","2,804.85","2,835.70","2,857.00","2,799.70","65.18M","-1.07%"
"Dec 22, 2005","2,835.25","2,826.70","2,846.65","2,818.65","66.79M","0.44%"
"Dec 21, 2005","2,822.90","2,826.45","2,847.30","2,799.45","123.43M","-0.12%"
"Dec 20, 2005","2,826.20","2,843.15","2,853.10","2,815.20","74.98M","-0.58%"
"Dec 19, 2005","2,842.60","2,808.35","2,846.00","2,803.45","77.02M","1.15%"
"Dec 16, 2005","2,810.15","2,778.65","2,814.90","2,766.50","88.27M","1.14%"
"Dec 15, 2005","2,778.55","2,805.20","2,821.50","2,763.35","92.70M","-0.93%"
"Dec 14, 2005","2,804.55","2,812.80","2,825.65","2,788.30","122.65M","-0.28%"
"Dec 13, 2005","2,812.30","2,776.80","2,815.30","2,764.65","93.13M","1.30%"
"Dec 12, 2005","2,776.20","2,756.40","2,789.35","2,756.40","75.29M","0.72%"
"Dec 09, 2005","2,756.45","2,706.75","2,761.10","2,698.00","76.48M","1.84%"
"Dec 08, 2005","2,706.70","2,694.95","2,711.60","2,673.50","70.17M","0.51%"
"Dec 07, 2005","2,693.00","2,662.30","2,697.10","2,662.30","66.55M","1.15%"
"Dec 06, 2005","2,662.30","2,661.40","2,694.40","2,647.35","56.61M","0.07%"
"Dec 05, 2005","2,660.50","2,697.60","2,710.65","2,654.35","62.68M","-1.39%"
"Dec 02, 2005","2,697.95","2,699.55","2,730.70","2,691.50","79.80M","-0.04%"
"Dec 01, 2005","2,698.95","2,651.60","2,705.00","2,641.95","74.05M","1.76%"
"Nov 30, 2005","2,652.25","2,698.10","2,727.05","2,647.10","82.03M","-1.71%"
"Nov 29, 2005","2,698.30","2,712.35","2,713.90","2,679.90","78.58M","-0.51%"
"Nov 28, 2005","2,712.00","2,683.60","2,717.15","2,682.65","83.65M","1.06%"
"Nov 26, 2005","2,683.45","2,664.85","2,686.50","2,664.70","25.54M","0.72%"
"Nov 25, 2005","2,664.30","2,635.35","2,668.90","2,633.75","74.96M","1.11%"
"Nov 24, 2005","2,635.00","2,608.90","2,643.70","2,608.70","98.40M","1.01%"
