"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","16,111.43","16,412.75","16,413.18","16,111.43","-","-1.42%"
"Dec 29, 2005","16,344.20","16,247.54","16,445.56","16,246.67","-","0.92%"
"Dec 28, 2005","16,194.61","15,920.67","16,194.61","15,911.23","-","1.41%"
"Dec 27, 2005","15,969.40","16,033.94","16,079.18","15,962.73","-","-0.86%"
"Dec 26, 2005","16,107.67","16,027.66","16,108.94","16,026.18","-","1.04%"
"Dec 22, 2005","15,941.37","15,975.99","15,991.30","15,759.73","-","-0.10%"
"Dec 21, 2005","15,957.57","15,713.07","16,010.17","15,711.91","-","2.02%"
"Dec 20, 2005","15,641.26","15,388.71","15,647.69","15,365.39","-","1.62%"
"Dec 19, 2005","15,391.48","15,252.15","15,391.48","15,196.00","-","1.44%"
"Dec 16, 2005","15,173.07","15,222.00","15,365.48","15,095.56","-","-0.53%"
"Dec 15, 2005","15,254.44","15,376.27","15,469.35","15,254.44","-","-1.36%"
"Dec 14, 2005","15,464.58","15,817.93","15,885.52","15,447.15","-","-1.99%"
"Dec 13, 2005","15,778.86","15,754.31","15,782.30","15,666.09","-","0.26%"
"Dec 12, 2005","15,738.70","15,549.65","15,764.99","15,548.46","-","2.17%"
"Dec 09, 2005","15,404.05","15,127.80","15,447.13","15,117.15","-","1.45%"
"Dec 08, 2005","15,183.36","15,470.65","15,523.15","15,183.36","-","-1.95%"
"Dec 07, 2005","15,484.66","15,520.34","15,558.32","15,467.75","-","0.40%"
"Dec 06, 2005","15,423.38","15,518.67","15,572.72","15,423.38","-","-0.82%"
"Dec 05, 2005","15,551.31","15,413.52","15,563.39","15,379.64","-","0.84%"
"Dec 02, 2005","15,421.60","15,272.62","15,421.60","15,245.36","-","1.92%"
"Dec 01, 2005","15,130.50","14,914.75","15,130.50","14,880.18","-","1.74%"
"Nov 30, 2005","14,872.15","14,981.34","15,013.24","14,872.15","-","-0.37%"
"Nov 29, 2005","14,927.70","14,900.64","14,995.08","14,868.03","-","-0.40%"
"Nov 28, 2005","14,986.94","14,847.58","14,986.94","14,821.75","-","1.37%"
"Nov 25, 2005","14,784.29","14,693.87","14,784.29","14,613.18","-","0.28%"
"Nov 24, 2005","14,742.58","14,816.71","14,866.99","14,721.60","-","0.23%"
"Nov 22, 2005","14,708.32","14,726.04","14,763.26","14,650.06","-","0.19%"
"Nov 21, 2005","14,680.43","14,719.28","14,808.21","14,590.56","-","0.39%"
"Nov 18, 2005","14,623.12","14,542.78","14,633.35","14,542.78","-","1.47%"
"Nov 17, 2005","14,411.79","14,192.78","14,448.75","14,169.47","-","1.70%"
"Nov 16, 2005","14,170.87","14,035.74","14,170.87","14,015.62","-","0.56%"
"Nov 15, 2005","14,091.77","14,069.87","14,142.27","14,043.45","-","-0.17%"
"Nov 14, 2005","14,116.04","14,218.72","14,218.72","14,105.45","-","-0.28%"
"Nov 11, 2005","14,155.06","14,170.33","14,206.14","14,133.89","-","0.53%"
"Nov 10, 2005","14,080.88","14,058.29","14,121.71","13,981.99","-","0.06%"
"Nov 09, 2005","14,072.20","13,989.31","14,136.16","13,951.40","-","0.25%"
"Nov 08, 2005","14,036.73","14,067.78","14,071.74","13,982.85","-","-0.18%"
"Nov 07, 2005","14,061.60","14,084.11","14,097.59","13,982.75","-","-0.10%"
"Nov 04, 2005","14,075.96","14,040.63","14,099.49","13,978.96","-","1.30%"
"Nov 02, 2005","13,894.78","13,865.10","13,927.51","13,807.81","-","0.19%"
"Nov 01, 2005","13,867.86","13,718.21","13,867.86","13,706.33","-","1.92%"
"Oct 31, 2005","13,606.50","13,459.99","13,606.50","13,456.07","-","1.95%"
"Oct 28, 2005","13,346.54","13,344.93","13,373.43","13,272.84","-","-0.53%"
"Oct 27, 2005","13,417.08","13,440.72","13,501.24","13,387.66","-","0.16%"
"Oct 26, 2005","13,395.02","13,291.46","13,406.19","13,285.60","-","0.86%"
"Oct 25, 2005","13,280.62","13,227.92","13,336.64","13,219.05","-","1.33%"
"Oct 24, 2005","13,106.18","13,232.41","13,244.24","13,083.04","-","-0.71%"
"Oct 21, 2005","13,199.95","13,065.96","13,243.08","12,996.29","-","0.07%"
"Oct 20, 2005","13,190.46","13,221.91","13,264.40","13,175.93","-","0.46%"
"Oct 19, 2005","13,129.49","13,297.65","13,304.98","13,073.46","-","-1.67%"
"Oct 18, 2005","13,352.24","13,376.19","13,441.78","13,321.97","-","-0.36%"
"Oct 17, 2005","13,400.29","13,486.18","13,510.63","13,341.64","-","-0.15%"
"Oct 14, 2005","13,420.54","13,581.32","13,581.32","13,361.96","-","-0.21%"
"Oct 13, 2005","13,449.24","13,388.02","13,475.86","13,266.98","-","-0.11%"
"Oct 12, 2005","13,463.74","13,565.87","13,704.09","13,463.74","-","-0.69%"
"Oct 11, 2005","13,556.71","13,280.33","13,556.71","13,241.84","-","2.49%"
"Oct 07, 2005","13,227.74","13,279.30","13,332.12","13,221.33","-","-0.99%"
"Oct 06, 2005","13,359.51","13,554.56","13,554.56","13,285.83","-","-2.41%"
"Oct 05, 2005","13,689.89","13,761.81","13,783.60","13,655.94","-","-0.36%"
"Oct 04, 2005","13,738.84","13,597.38","13,738.84","13,593.01","-","1.58%"
"Oct 03, 2005","13,525.28","13,566.20","13,584.61","13,454.67","-","-0.36%"
"Sep 30, 2005","13,574.30","13,677.45","13,678.44","13,539.15","-","-0.32%"
"Sep 29, 2005","13,617.24","13,515.73","13,617.24","13,440.90","-","1.35%"
"Sep 28, 2005","13,435.91","13,307.53","13,487.85","13,306.52","-","0.95%"
"Sep 27, 2005","13,310.04","13,370.09","13,373.00","13,282.30","-","-0.62%"
"Sep 26, 2005","13,392.63","13,229.27","13,392.63","13,229.27","-","1.77%"
"Sep 22, 2005","13,159.36","13,120.89","13,170.36","13,090.28","-","-0.28%"
"Sep 21, 2005","13,196.57","13,181.71","13,235.42","13,108.65","-","0.37%"
"Sep 20, 2005","13,148.57","12,991.63","13,159.39","12,991.63","-","1.47%"
"Sep 16, 2005","12,958.68","12,992.18","12,992.99","12,888.74","-","-0.22%"
"Sep 15, 2005","12,986.78","12,817.78","12,986.78","12,806.71","-","1.19%"
"Sep 14, 2005","12,834.25","12,847.62","12,871.54","12,830.88","-","-0.52%"
"Sep 13, 2005","12,901.95","12,896.22","12,940.68","12,847.19","-","0.04%"
"Sep 12, 2005","12,896.43","12,841.02","12,926.57","12,813.97","-","1.61%"
"Sep 09, 2005","12,692.04","12,561.84","12,692.04","12,556.43","-","1.26%"
"Sep 08, 2005","12,533.89","12,601.02","12,601.02","12,498.40","-","-0.58%"
"Sep 07, 2005","12,607.59","12,682.85","12,682.85","12,574.90","-","0.06%"
"Sep 06, 2005","12,599.43","12,686.68","12,730.21","12,581.28","-","-0.28%"
"Sep 05, 2005","12,634.88","12,616.30","12,655.15","12,580.37","-","0.28%"
"Sep 02, 2005","12,600.00","12,571.88","12,600.00","12,544.37","-","0.74%"
"Sep 01, 2005","12,506.97","12,501.43","12,573.01","12,501.43","-","0.75%"
"Aug 31, 2005","12,413.60","12,428.60","12,443.94","12,393.68","-","-0.32%"
"Aug 30, 2005","12,453.14","12,411.41","12,457.04","12,396.10","-","1.16%"
"Aug 29, 2005","12,309.83","12,386.76","12,386.76","12,274.81","-","-1.04%"
"Aug 26, 2005","12,439.48","12,458.08","12,482.63","12,385.03","-","0.28%"
"Aug 25, 2005","12,405.16","12,443.21","12,466.84","12,401.34","-","-0.78%"
"Aug 24, 2005","12,502.26","12,421.53","12,515.66","12,416.51","-","0.24%"
"Aug 23, 2005","12,472.93","12,511.81","12,612.16","12,472.93","-","0.16%"
"Aug 22, 2005","12,452.51","12,330.70","12,478.82","12,330.70","-","1.31%"
"Aug 19, 2005","12,291.73","12,276.80","12,291.73","12,219.52","-","-0.13%"
"Aug 18, 2005","12,307.37","12,322.80","12,369.53","12,292.82","-","0.28%"
"Aug 17, 2005","12,273.12","12,286.83","12,369.74","12,270.85","-","-0.35%"
"Aug 16, 2005","12,315.67","12,324.76","12,336.85","12,277.41","-","0.48%"
"Aug 15, 2005","12,256.55","12,254.53","12,308.61","12,236.61","-","-0.04%"
"Aug 12, 2005","12,261.68","12,276.24","12,324.43","12,228.13","-","-0.01%"
"Aug 11, 2005","12,263.32","12,178.08","12,284.76","12,167.48","-","1.37%"
"Aug 10, 2005","12,098.08","11,996.29","12,138.71","11,991.69","-","1.66%"
"Aug 09, 2005","11,900.32","11,797.33","11,958.07","11,797.33","-","1.03%"
"Aug 08, 2005","11,778.98","11,670.71","11,794.84","11,614.71","-","0.11%"
"Aug 05, 2005","11,766.48","11,842.16","11,863.39","11,724.61","-","-0.98%"
"Aug 04, 2005","11,883.31","11,945.14","11,945.14","11,823.20","-","-0.82%"
"Aug 03, 2005","11,981.80","11,987.98","12,009.56","11,950.31","-","0.35%"
"Aug 02, 2005","11,940.20","11,954.23","11,982.20","11,920.88","-","-0.06%"
"Aug 01, 2005","11,946.92","11,907.42","11,972.84","11,906.04","-","0.40%"
"Jul 29, 2005","11,899.60","11,900.56","11,913.50","11,826.86","-","0.35%"
"Jul 28, 2005","11,858.31","11,881.86","11,889.86","11,853.62","-","0.20%"
"Jul 27, 2005","11,835.08","11,770.57","11,848.66","11,770.57","-","0.83%"
"Jul 26, 2005","11,737.96","11,762.69","11,772.68","11,719.02","-","-0.21%"
"Jul 25, 2005","11,762.65","11,721.70","11,782.21","11,718.66","-","0.58%"
"Jul 22, 2005","11,695.05","11,751.92","11,753.01","11,650.37","-","-0.78%"
"Jul 21, 2005","11,786.73","11,808.53","11,867.23","11,786.73","-","-0.02%"
"Jul 20, 2005","11,789.35","11,780.73","11,816.99","11,761.21","-","0.21%"
"Jul 19, 2005","11,764.84","11,761.61","11,770.56","11,731.99","-","0.05%"
"Jul 15, 2005","11,758.68","11,825.67","11,828.31","11,758.68","-","-0.05%"
"Jul 14, 2005","11,764.26","11,715.46","11,784.51","11,715.46","-","0.90%"
"Jul 13, 2005","11,659.84","11,705.83","11,707.96","11,659.65","-","-0.28%"
"Jul 12, 2005","11,692.14","11,737.32","11,738.30","11,672.94","-","0.15%"
