"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","960.01","966.74","966.74","959.35","85.32M","-0.70%"
"Dec 29, 2005","966.74","961.12","966.74","961.12","69.24M","0.58%"
"Dec 28, 2005","961.12","964.64","964.64","959.58","68.26M","-0.36%"
"Dec 27, 2005","964.64","958.44","965.50","958.40","85.92M","0.65%"
"Dec 23, 2005","958.44","951.31","959.53","951.12","84.70M","0.75%"
"Dec 22, 2005","951.31","949.27","952.61","948.45","103.69M","0.21%"
"Dec 21, 2005","949.27","943.73","949.31","943.73","166.66M","0.59%"
"Dec 20, 2005","943.73","943.72","944.06","938.06","251.80M","0.00%"
"Dec 19, 2005","943.72","943.57","947.46","941.87","157.38M","0.01%"
"Dec 16, 2005","943.58","934.79","944.30","934.79","229.24M","0.94%"
"Dec 15, 2005","934.79","937.12","938.40","933.03","253.52M","-0.25%"
"Dec 14, 2005","937.12","942.78","942.78","935.69","227.69M","-0.60%"
"Dec 13, 2005","942.78","940.29","943.15","937.59","235.27M","0.26%"
"Dec 12, 2005","940.29","943.16","947.85","940.02","199.59M","-0.30%"
"Dec 09, 2005","943.16","943.05","945.16","939.75","264.10M","0.01%"
"Dec 08, 2005","943.05","936.78","943.05","933.37","247.12M","0.67%"
"Dec 07, 2005","936.78","936.08","940.67","936.06","268.79M","0.07%"
"Dec 06, 2005","936.08","926.98","940.27","926.98","346.27M","0.98%"
"Dec 05, 2005","926.99","933.69","937.40","926.98","214.34M","-0.72%"
"Dec 02, 2005","933.69","927.16","935.90","925.97","292.53M","0.70%"
"Dec 01, 2005","927.16","911.16","927.72","911.16","294.34M","1.76%"
"Nov 30, 2005","911.15","919.32","919.59","911.16","229.21M","-0.89%"
"Nov 29, 2005","919.32","921.80","922.65","916.69","184.94M","-0.27%"
"Nov 28, 2005","921.80","919.65","926.29","918.90","188.96M","0.23%"
"Nov 25, 2005","919.65","917.62","923.44","916.68","152.55M","0.22%"
"Nov 24, 2005","917.62","921.71","923.73","915.30","129.63M","-0.44%"
"Nov 23, 2005","921.71","916.84","922.52","916.84","256.50M","0.53%"
"Nov 22, 2005","916.84","922.74","925.85","915.56","266.83M","-0.64%"
"Nov 21, 2005","922.74","918.98","924.74","918.44","194.70M","0.41%"
"Nov 18, 2005","918.98","914.41","923.06","914.41","216.99M","0.50%"
"Nov 17, 2005","914.41","912.46","916.97","912.46","237.25M","0.21%"
"Nov 16, 2005","912.46","911.53","913.59","907.75","217.58M","0.10%"
"Nov 15, 2005","911.53","914.30","916.19","910.03","180.25M","-0.30%"
"Nov 14, 2005","914.30","914.10","917.90","912.74","183.06M","0.02%"
"Nov 11, 2005","914.10","900.64","914.82","900.64","172.49M","1.49%"
"Nov 10, 2005","900.64","900.97","906.95","900.25","216.72M","-0.04%"
"Nov 09, 2005","900.97","899.28","902.37","895.42","145.66M","0.19%"
"Nov 08, 2005","899.28","901.61","906.90","898.91","215.34M","-0.26%"
"Nov 07, 2005","901.61","896.62","904.16","896.62","167.79M","0.56%"
"Nov 04, 2005","896.62","898.24","900.50","895.32","80.22M","-0.18%"
"Nov 03, 2005","898.24","888.65","898.66","888.65","271.41M","1.08%"
"Nov 02, 2005","888.65","885.81","889.39","881.58","170.66M","0.32%"
"Nov 01, 2005","885.81","882.63","887.13","880.12","208.17M","0.36%"
"Oct 31, 2005","882.63","862.66","882.70","862.66","237.26M","2.31%"
"Oct 28, 2005","862.66","862.86","864.88","856.60","239.79M","-0.02%"
"Oct 27, 2005","862.86","872.91","872.91","861.32","342.20M","-1.15%"
"Oct 26, 2005","872.91","870.78","878.50","870.53","324.58M","0.24%"
"Oct 25, 2005","870.78","863.50","877.13","863.50","329.48M","0.84%"
