"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","352.97","352.97","352.97","352.97","-","0.42%"
"Dec 29, 2005","351.49","351.49","351.49","351.49","-","1.69%"
"Dec 28, 2005","345.64","345.64","345.64","345.64","-","0.76%"
"Dec 27, 2005","343.03","343.03","343.03","343.03","-","-0.21%"
"Dec 26, 2005","343.76","343.76","343.76","343.76","-","1.73%"
"Dec 23, 2005","337.90","337.90","337.90","337.90","-","-1.71%"
"Dec 22, 2005","343.78","343.78","343.78","343.78","-","0.88%"
"Dec 21, 2005","340.77","340.77","340.77","340.77","-","-0.14%"
"Dec 20, 2005","341.24","341.24","341.24","341.24","-","0.49%"
"Dec 19, 2005","339.59","339.59","339.59","339.59","-","-0.28%"
"Dec 16, 2005","340.55","340.55","340.55","340.55","-","-0.30%"
"Dec 15, 2005","341.56","341.56","341.56","341.56","-","0.57%"
"Dec 14, 2005","339.63","339.63","339.63","339.63","-","-0.33%"
"Dec 13, 2005","340.75","340.75","340.75","340.75","-","0.09%"
"Dec 12, 2005","340.43","340.43","340.43","340.43","-","-0.22%"
"Dec 09, 2005","341.17","341.17","341.17","341.17","-","0.77%"
"Dec 08, 2005","338.56","338.56","338.56","338.56","-","0.53%"
"Dec 07, 2005","336.78","336.78","336.78","336.78","-","-0.37%"
"Dec 06, 2005","338.04","338.04","338.04","338.04","-","0.17%"
"Dec 05, 2005","337.47","337.47","337.47","337.47","-","0.40%"
"Dec 02, 2005","336.13","336.13","336.13","336.13","-","-0.02%"
"Dec 01, 2005","336.19","336.19","336.19","336.19","-","-0.20%"
"Nov 30, 2005","336.85","336.85","336.85","336.85","-","0.34%"
"Nov 29, 2005","335.70","335.70","335.70","335.70","-","0.20%"
"Nov 28, 2005","335.03","335.03","335.03","335.03","-","0.18%"
"Nov 25, 2005","334.42","334.42","334.42","334.42","-","0.74%"
"Nov 24, 2005","331.95","331.95","331.95","331.95","-","-0.12%"
"Nov 23, 2005","332.36","332.36","332.36","332.36","-","-0.09%"
"Nov 22, 2005","332.65","332.65","332.65","332.65","-","-0.29%"
"Nov 21, 2005","333.61","333.61","333.61","333.61","-","-0.73%"
"Nov 18, 2005","336.07","336.07","336.07","336.07","-","0.72%"
"Nov 17, 2005","333.67","333.67","333.67","333.67","-","-0.13%"
"Nov 16, 2005","334.09","334.09","334.09","334.09","-","0.46%"
"Nov 15, 2005","332.57","332.57","332.57","332.57","-","-0.50%"
"Nov 14, 2005","334.24","334.24","334.24","334.24","-","-0.18%"
"Nov 11, 2005","334.83","334.83","334.83","334.83","-","-0.68%"
"Nov 10, 2005","337.13","337.13","337.13","337.13","-","0.48%"
"Nov 09, 2005","335.51","335.51","335.51","335.51","-","-1.70%"
"Nov 08, 2005","341.31","341.31","341.31","341.31","-","1.20%"
"Nov 07, 2005","337.27","337.27","337.27","337.27","-","1.32%"
"Nov 04, 2005","332.86","332.86","332.86","332.86","-","-1.33%"
"Nov 03, 2005","337.34","337.34","337.34","337.34","-","0.40%"
"Nov 02, 2005","335.99","335.99","335.99","335.99","-","-0.57%"
"Nov 01, 2005","337.91","337.91","337.91","337.91","-","-0.09%"
"Oct 31, 2005","338.20","338.20","338.20","338.20","-","0.59%"
"Oct 28, 2005","336.21","336.21","336.21","336.21","-","1.17%"
"Oct 27, 2005","332.32","332.32","332.32","332.32","-","-1.69%"
"Oct 26, 2005","338.04","338.04","338.04","338.04","-","2.00%"
"Oct 25, 2005","331.41","331.41","331.41","331.41","-","0.40%"
"Oct 24, 2005","330.10","330.10","330.10","330.10","-","1.40%"
"Oct 21, 2005","325.54","325.54","325.54","325.54","-","-1.42%"
"Oct 20, 2005","330.24","330.24","330.24","330.24","-","-1.49%"
"Oct 19, 2005","335.25","335.25","335.25","335.25","-","-0.35%"
"Oct 18, 2005","336.44","336.44","336.44","336.44","-","-1.38%"
"Oct 17, 2005","341.16","341.16","341.16","341.16","-","0.03%"
"Oct 14, 2005","341.06","341.06","341.06","341.06","-","-0.24%"
"Oct 13, 2005","341.87","341.87","341.87","341.87","-","-0.71%"
"Oct 12, 2005","344.32","344.32","344.32","344.32","-","0.47%"
"Oct 11, 2005","342.72","345.06","345.06","342.72","-","-0.68%"
"Oct 10, 2005","345.06","345.06","345.06","345.06","-","-1.46%"
"Oct 07, 2005","350.17","350.17","350.17","350.17","-","0.44%"
"Oct 06, 2005","348.63","348.63","348.63","348.63","-","1.35%"
"Oct 05, 2005","344.00","344.00","344.00","344.00","-","0.39%"
"Oct 04, 2005","342.67","342.67","342.67","342.67","-","-1.02%"
"Oct 03, 2005","346.20","346.20","346.20","346.20","-","-0.74%"
"Sep 30, 2005","348.77","348.77","348.77","348.77","-","0.78%"
"Sep 29, 2005","346.06","346.06","346.06","346.06","-","0.08%"
"Sep 28, 2005","345.78","345.78","345.78","345.78","-","-0.64%"
"Sep 27, 2005","348.02","348.02","348.02","348.02","-","-0.68%"
"Sep 26, 2005","350.41","350.41","350.41","350.41","-","1.18%"
"Sep 23, 2005","346.31","347.09","347.09","346.31","-","-1.29%"
"Sep 22, 2005","350.84","350.84","350.84","350.84","-","0.00%"
"Sep 21, 2005","350.84","350.84","350.84","350.84","-","-1.21%"
"Sep 20, 2005","355.13","355.13","355.13","355.13","-","-0.43%"
"Sep 19, 2005","356.67","356.67","356.67","356.67","-","-0.57%"
"Sep 16, 2005","358.70","358.70","358.70","358.70","-","-0.63%"
"Sep 15, 2005","360.98","360.98","360.98","360.98","-","0.84%"
"Sep 14, 2005","357.98","357.98","357.98","357.98","-","-1.97%"
"Sep 13, 2005","365.19","365.19","365.19","365.19","-","0.09%"
"Sep 12, 2005","364.85","364.85","364.85","364.85","-","1.33%"
"Sep 09, 2005","360.07","360.07","360.07","360.07","-","0.42%"
"Sep 08, 2005","358.58","358.58","358.58","358.58","-","-1.27%"
"Sep 07, 2005","363.21","363.21","363.21","363.21","-","-0.01%"
"Sep 06, 2005","363.25","363.25","363.25","363.25","-","0.36%"
"Sep 05, 2005","361.96","361.96","361.96","361.96","-","0.72%"
"Sep 02, 2005","359.36","359.36","359.36","359.36","-","0.34%"
"Sep 01, 2005","358.16","358.16","358.16","358.16","-","0.01%"
"Aug 31, 2005","358.11","358.11","358.11","358.11","-","-0.00%"
"Aug 30, 2005","358.12","358.12","358.12","358.12","-","-0.54%"
"Aug 29, 2005","360.08","360.08","360.08","360.08","-","0.80%"
"Aug 26, 2005","357.23","357.23","357.23","357.23","-","-0.55%"
"Aug 25, 2005","359.19","359.19","359.19","359.19","-","0.92%"
"Aug 23, 2005","355.91","355.91","355.91","355.91","-","0.96%"
"Aug 22, 2005","352.51","352.51","352.51","352.51","-","0.47%"
"Aug 19, 2005","350.87","350.87","350.87","350.87","-","0.95%"
"Aug 18, 2005","347.57","347.57","347.57","347.57","-","0.91%"
