"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","738.05","744.13","744.13","735.05","-","-0.56%"
"Dec 29, 2005","742.21","739.25","746.25","739.25","-","-0.26%"
"Dec 28, 2005","744.13","748.48","748.48","739.25","-","0.66%"
"Dec 27, 2005","739.25","748.48","750.31","739.24","-","-1.23%"
"Dec 23, 2005","748.48","745.99","749.09","745.90","-","0.33%"
"Dec 22, 2005","745.99","741.24","746.04","740.82","-","0.64%"
"Dec 21, 2005","741.24","736.14","743.73","736.14","-","0.69%"
"Dec 20, 2005","736.14","733.91","739.02","732.02","-","0.30%"
"Dec 19, 2005","733.91","742.16","742.76","733.50","-","-1.11%"
"Dec 16, 2005","742.16","745.99","748.00","741.53","-","-0.51%"
"Dec 15, 2005","745.99","749.61","750.17","741.78","-","-0.48%"
"Dec 14, 2005","749.61","746.29","752.00","745.65","-","0.44%"
"Dec 13, 2005","746.29","745.22","749.45","744.04","-","0.14%"
"Dec 12, 2005","745.22","744.54","747.86","741.54","-","0.09%"
"Dec 09, 2005","744.54","741.06","745.68","738.65","-","0.47%"
"Dec 08, 2005","741.06","738.90","744.76","736.73","-","0.29%"
"Dec 07, 2005","738.90","742.04","743.52","736.91","-","-0.42%"
"Dec 06, 2005","742.04","742.21","746.92","741.42","-","-0.02%"
"Dec 05, 2005","742.21","745.34","745.34","738.40","-","-0.42%"
"Dec 02, 2005","745.34","745.42","745.97","741.34","-","-0.01%"
"Dec 01, 2005","745.42","733.66","745.50","733.66","-","1.60%"
"Nov 30, 2005","733.66","733.66","737.77","733.11","-","0.00%"
"Nov 29, 2005","733.66","730.76","738.15","730.76","-","0.40%"
"Nov 28, 2005","730.76","742.70","742.93","730.76","-","-1.61%"
"Nov 25, 2005","742.70","741.14","742.97","739.60","-","0.21%"
"Nov 23, 2005","741.14","739.77","744.36","738.49","-","0.19%"
"Nov 22, 2005","739.77","735.07","740.14","733.43","-","0.64%"
"Nov 21, 2005","735.07","728.90","735.07","726.69","-","0.85%"
"Nov 18, 2005","728.90","727.06","730.17","724.90","-","0.25%"
"Nov 17, 2005","727.06","716.88","727.06","716.88","-","1.42%"
"Nov 16, 2005","716.88","715.99","718.54","712.50","-","0.12%"
"Nov 15, 2005","715.99","719.88","723.25","714.48","-","-0.54%"
"Nov 14, 2005","719.88","719.47","721.26","717.83","-","0.06%"
"Nov 11, 2005","719.47","716.98","719.91","716.19","-","0.35%"
"Nov 10, 2005","716.98","713.56","717.80","704.98","-","0.48%"
"Nov 09, 2005","713.56","710.53","716.87","708.24","-","0.43%"
"Nov 08, 2005","710.53","715.78","715.78","708.40","-","-0.73%"
"Nov 07, 2005","715.78","714.16","717.09","711.78","-","0.23%"
"Nov 04, 2005","714.16","715.10","716.54","710.13","-","-0.13%"
"Nov 03, 2005","715.10","712.78","719.33","712.43","-","0.33%"
"Nov 02, 2005","712.78","700.50","712.78","700.16","-","1.75%"
"Nov 01, 2005","700.50","700.38","702.41","695.20","-","0.02%"
"Oct 31, 2005","700.38","689.51","701.59","689.51","-","1.58%"
"Oct 28, 2005","689.51","678.33","689.51","677.89","-","1.65%"
"Oct 27, 2005","678.33","690.41","690.41","677.66","-","-1.75%"
"Oct 26, 2005","690.41","693.90","697.02","689.57","-","-0.50%"
"Oct 25, 2005","693.90","695.43","696.89","688.51","-","-0.22%"
"Oct 24, 2005","695.43","682.20","695.44","682.20","-","1.94%"
"Oct 21, 2005","682.20","676.05","685.57","676.05","-","0.91%"
"Oct 20, 2005","676.05","685.16","687.44","672.33","-","-1.33%"
"Oct 19, 2005","685.16","675.96","685.36","669.12","-","1.36%"
"Oct 18, 2005","675.96","684.29","684.29","675.96","-","-1.22%"
"Oct 17, 2005","684.29","681.12","684.77","678.58","-","0.47%"
"Oct 14, 2005","681.12","672.12","681.27","671.38","-","1.34%"
"Oct 13, 2005","672.12","675.03","675.03","665.23","-","-0.43%"
"Oct 12, 2005","675.03","683.91","685.91","671.43","-","-1.30%"
"Oct 11, 2005","683.91","687.80","692.11","683.63","-","-0.57%"
"Oct 10, 2005","687.80","692.86","693.76","687.02","-","-0.73%"
"Oct 07, 2005","692.86","689.85","694.93","689.84","-","0.44%"
"Oct 06, 2005","689.85","696.18","696.48","684.00","-","-0.91%"
"Oct 05, 2005","696.18","712.88","712.88","696.18","-","-2.34%"
"Oct 04, 2005","712.88","720.35","721.96","712.83","-","-1.04%"
"Oct 03, 2005","720.35","716.33","721.57","716.33","-","0.56%"
"Sep 30, 2005","716.33","711.44","716.64","710.78","-","0.69%"
"Sep 29, 2005","711.44","702.71","711.44","700.16","-","1.24%"
"Sep 28, 2005","702.71","703.97","706.06","699.57","-","-0.18%"
"Sep 27, 2005","703.97","704.65","706.13","700.36","-","-0.10%"
"Sep 26, 2005","704.65","700.77","707.32","700.77","-","0.55%"
"Sep 23, 2005","700.77","697.89","702.86","694.24","-","0.41%"
"Sep 22, 2005","697.89","696.37","698.97","691.23","-","0.22%"
"Sep 21, 2005","696.37","705.47","705.47","696.34","-","-1.29%"
"Sep 20, 2005","705.47","711.89","715.98","704.14","-","-0.90%"
"Sep 19, 2005","711.89","715.86","716.29","709.12","-","-0.55%"
