"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","713.73","712.26","713.96","710.30","3.33B","0.49%"
"Dec 29, 2005","710.22","705.83","712.85","705.70","2.60B","0.70%"
"Dec 28, 2005","705.29","707.11","707.27","702.51","2.19B","-0.17%"
"Dec 27, 2005","706.47","702.83","707.04","702.28","2.27B","0.73%"
"Dec 26, 2005","701.37","699.99","702.17","698.72","2.71B","0.35%"
"Dec 23, 2005","698.95","697.96","701.45","696.98","3.46B","0.36%"
"Dec 22, 2005","696.41","698.05","699.74","695.49","2.80B","-0.29%"
"Dec 21, 2005","698.43","700.94","701.92","697.50","3.92B","-0.04%"
"Dec 20, 2005","698.68","690.70","698.68","690.55","4.18B","1.07%"
"Dec 19, 2005","691.28","690.68","693.77","688.65","3.21B","0.02%"
"Dec 16, 2005","691.17","691.35","691.35","686.50","3.96B","0.10%"
"Dec 15, 2005","690.49","696.49","697.15","690.20","6.37B","-0.61%"
"Dec 14, 2005","694.72","695.11","696.79","691.51","3.76B","0.18%"
"Dec 13, 2005","693.48","700.19","701.59","693.48","3.35B","-0.61%"
"Dec 09, 2005","697.74","693.36","698.90","691.08","3.42B","0.75%"
"Dec 08, 2005","692.58","694.01","694.01","686.59","3.09B","-0.33%"
"Dec 07, 2005","694.87","679.36","694.87","679.36","4.57B","2.31%"
"Dec 06, 2005","679.16","662.04","679.16","662.04","2.99B","2.92%"
"Dec 02, 2005","659.91","663.56","665.96","656.86","1.79B","-0.16%"
"Dec 01, 2005","660.95","666.96","666.96","660.34","1.97B","-1.02%"
"Nov 30, 2005","667.75","670.58","670.58","665.73","1.22B","-0.32%"
"Nov 29, 2005","669.90","666.52","670.87","664.44","2.06B","0.48%"
"Nov 28, 2005","666.69","670.29","670.62","665.13","1.75B","-0.48%"
"Nov 25, 2005","669.89","669.15","670.40","667.99","1.17B","0.02%"
"Nov 24, 2005","669.76","669.18","670.37","665.34","1.36B","0.09%"
"Nov 23, 2005","669.18","675.68","675.92","664.13","2.68B","-0.75%"
"Nov 22, 2005","674.25","672.55","674.35","670.93","1.75B","0.33%"
"Nov 21, 2005","672.06","677.48","678.01","670.79","1.47B","-0.64%"
"Nov 18, 2005","676.41","672.32","676.45","670.98","2.08B","0.56%"
"Nov 17, 2005","672.63","675.75","678.62","672.37","2.19B","-0.40%"
"Nov 16, 2005","675.31","681.31","681.31","674.34","2.75B","-0.92%"
"Nov 15, 2005","681.58","682.91","686.79","675.86","3.04B","-0.27%"
"Nov 14, 2005","683.41","685.00","685.85","680.79","2.55B","-1.02%"
"Nov 11, 2005","690.45","694.42","694.42","689.56","2.30B","-0.57%"
"Nov 10, 2005","694.44","696.88","696.97","691.90","3.28B","-0.35%"
"Nov 09, 2005","696.85","696.00","697.97","692.52","1.81B","0.18%"
"Nov 08, 2005","695.60","700.34","700.99","694.52","1.99B","-0.73%"
"Nov 07, 2005","700.75","704.00","704.00","697.81","1.83B","-0.78%"
"Nov 04, 2005","706.23","707.93","709.63","703.12","2.71B","0.20%"
"Nov 03, 2005","704.79","699.94","705.45","699.94","2.98B","0.70%"
"Nov 02, 2005","699.88","693.79","700.30","693.79","2.59B","0.95%"
"Nov 01, 2005","693.27","682.38","694.00","682.38","2.13B","1.56%"
"Oct 31, 2005","682.62","683.26","683.67","678.87","952.04M","0.05%"
"Oct 28, 2005","682.25","683.39","683.39","679.62","1.33B","-0.44%"
"Oct 27, 2005","685.29","684.72","685.67","682.00","1.55B","0.04%"
"Oct 26, 2005","685.04","679.09","686.40","679.09","1.83B","1.21%"
"Oct 25, 2005","676.84","687.41","688.07","676.84","1.53B","-1.37%"
"Oct 21, 2005","686.21","678.81","686.21","676.31","1.79B","0.63%"
"Oct 20, 2005","681.92","687.00","690.64","679.60","2.45B","-0.31%"
"Oct 19, 2005","684.07","693.88","694.13","683.74","2.35B","-1.60%"
"Oct 18, 2005","695.18","697.24","700.34","694.80","2.28B","-0.16%"
"Oct 17, 2005","696.28","700.77","701.68","695.47","1.70B","-0.53%"
"Oct 14, 2005","700.02","702.83","704.59","699.19","1.38B","-0.61%"
"Oct 13, 2005","704.32","709.30","709.44","703.67","1.71B","-0.69%"
"Oct 12, 2005","709.20","711.41","715.37","708.65","1.90B","0.01%"
"Oct 11, 2005","709.13","707.29","711.87","705.46","1.92B","0.29%"
"Oct 10, 2005","707.05","709.98","712.84","707.05","1.86B","-0.27%"
"Oct 07, 2005","708.98","709.04","711.43","707.90","1.57B","-0.25%"
"Oct 06, 2005","710.79","713.30","716.36","709.88","2.15B","-0.89%"
"Oct 05, 2005","717.17","714.72","719.11","714.59","2.44B","0.32%"
"Oct 04, 2005","714.90","717.42","718.90","714.70","2.00B","-0.35%"
"Oct 03, 2005","717.42","722.65","722.65","714.72","1.77B","-0.80%"
"Sep 30, 2005","723.23","724.43","725.08","719.53","2.25B","0.06%"
"Sep 29, 2005","722.83","725.69","725.91","719.49","2.45B","-0.05%"
"Sep 28, 2005","723.20","726.68","726.95","722.44","2.48B","-0.14%"
"Sep 27, 2005","724.24","725.50","727.09","722.47","2.75B","0.41%"
"Sep 26, 2005","721.28","725.28","726.11","720.29","2.63B","-0.56%"
"Sep 23, 2005","725.31","724.01","726.69","723.10","3.27B","-0.05%"
"Sep 22, 2005","725.64","721.53","725.64","720.77","2.93B","0.62%"
"Sep 21, 2005","721.16","723.11","725.84","720.06","3.12B","-0.28%"
"Sep 20, 2005","723.16","712.67","723.16","711.82","2.83B","2.00%"
"Sep 19, 2005","708.98","709.47","712.80","708.19","2.28B","0.10%"
"Sep 16, 2005","708.26","711.34","712.21","704.31","3.33B","-0.41%"
"Sep 15, 2005","711.20","719.53","720.20","711.20","3.45B","-0.92%"
"Sep 14, 2005","717.77","710.06","717.77","710.06","4.29B","1.05%"
"Sep 13, 2005","710.31","712.47","714.38","708.21","3.35B","-0.35%"
"Sep 12, 2005","712.80","717.87","717.87","712.49","2.76B","0.00%"
"Sep 09, 2005","712.78","718.93","718.93","712.67","4.42B","-0.32%"
"Sep 08, 2005","715.08","708.86","716.47","706.77","3.95B","0.93%"
"Sep 07, 2005","708.50","707.70","713.38","707.70","3.10B","0.43%"
"Sep 06, 2005","705.46","710.12","712.96","704.07","2.93B","-0.35%"
"Sep 05, 2005","707.94","710.49","713.25","707.94","3.67B","-0.29%"
"Sep 02, 2005","709.97","712.60","712.60","706.18","4.07B","-0.04%"
"Sep 01, 2005","710.28","702.87","710.28","700.60","3.90B","1.78%"
"Aug 31, 2005","697.85","693.73","698.85","692.39","2.30B","0.72%"
"Aug 30, 2005","692.86","691.55","692.86","688.26","2.03B","0.22%"
"Aug 29, 2005","691.33","693.55","696.19","687.24","2.29B","-0.66%"
"Aug 26, 2005","695.89","692.95","697.43","689.15","2.25B","0.54%"
"Aug 25, 2005","692.14","698.26","699.44","692.14","3.09B","-0.51%"
"Aug 24, 2005","695.67","691.97","698.63","688.96","2.71B","0.76%"
"Aug 23, 2005","690.39","694.37","698.72","689.51","3.23B","-0.06%"
"Aug 22, 2005","690.77","680.93","690.77","679.99","2.32B","1.46%"
"Aug 19, 2005","680.83","672.66","680.83","672.15","2.22B","1.31%"
"Aug 18, 2005","672.02","668.40","674.74","667.59","2.53B","0.68%"
"Aug 17, 2005","667.49","664.82","668.87","661.97","1.77B","0.05%"
"Aug 16, 2005","667.18","677.68","679.40","665.75","1.93B","-1.23%"
"Aug 15, 2005","675.52","681.67","681.67","673.00","2.11B","-0.94%"
"Aug 11, 2005","681.95","685.15","686.78","681.95","2.11B","-0.39%"
"Aug 10, 2005","684.59","685.98","687.31","683.12","2.45B","0.45%"
"Aug 09, 2005","681.54","687.29","690.38","681.54","3.13B","-0.70%"
"Aug 08, 2005","686.32","686.67","688.06","683.61","1.96B","0.05%"
"Aug 05, 2005","686.01","684.16","688.13","681.04","2.16B","0.21%"
"Aug 04, 2005","684.57","690.88","693.28","684.57","3.46B","-0.49%"
"Aug 03, 2005","687.94","688.32","690.58","682.56","2.85B","0.70%"
"Aug 02, 2005","683.16","677.80","684.79","676.96","2.17B","1.21%"
"Aug 01, 2005","674.99","677.15","677.52","670.27","1.33B","-0.10%"
"Jul 29, 2005","675.67","672.36","676.44","671.81","1.59B","0.83%"
"Jul 28, 2005","670.09","665.87","676.33","665.87","2.36B","0.66%"
"Jul 27, 2005","665.72","657.63","665.72","656.17","1.67B","1.34%"
"Jul 26, 2005","656.91","660.01","660.28","655.27","1.41B","-0.41%"
"Jul 25, 2005","659.64","652.29","659.64","652.16","1.43B","1.65%"
"Jul 21, 2005","648.92","650.85","651.37","647.05","1.32B","-0.17%"
"Jul 20, 2005","650.04","651.60","652.29","647.08","1.75B","0.21%"
"Jul 19, 2005","648.67","653.76","655.31","648.67","1.71B","-0.61%"
"Jul 18, 2005","652.67","656.34","657.48","650.13","1.80B","-0.43%"
"Jul 15, 2005","655.46","660.53","660.53","654.63","3.67B","-0.91%"
"Jul 14, 2005","661.45","661.43","664.27","657.69","2.43B","0.47%"
"Jul 13, 2005","658.37","649.86","658.37","648.14","2.04B","1.45%"
"Jul 12, 2005","648.98","644.21","650.91","643.96","1.85B","1.27%"
"Jul 11, 2005","640.82","650.04","650.97","640.40","1.99B","-0.39%"
"Jul 08, 2005","643.31","637.34","643.31","630.71","2.01B","0.78%"
"Jul 07, 2005","638.31","657.62","658.33","637.92","2.50B","-3.27%"
"Jul 06, 2005","659.91","665.42","666.53","657.66","2.02B","-0.54%"
"Jul 05, 2005","663.52","669.75","670.10","662.78","1.97B","-0.93%"
"Jul 04, 2005","669.78","675.10","676.18","664.60","2.17B","-0.85%"
"Jun 30, 2005","675.50","686.29","687.06","675.50","2.43B","-1.47%"
"Jun 29, 2005","685.56","686.02","690.83","685.52","1.58B","0.13%"
"Jun 28, 2005","684.68","685.14","687.89","683.36","1.47B","0.07%"
"Jun 27, 2005","684.18","691.34","691.34","683.73","1.22B","-0.88%"
"Jun 24, 2005","690.25","691.99","694.39","690.25","1.54B","-0.42%"
"Jun 23, 2005","693.13","688.46","694.22","688.45","2.09B","0.96%"
"Jun 22, 2005","686.57","691.95","693.24","686.57","3.17B","-0.45%"
"Jun 21, 2005","689.64","678.80","690.29","677.29","2.35B","1.47%"
"Jun 20, 2005","679.68","686.77","687.34","679.68","1.60B","-1.00%"
"Jun 17, 2005","686.52","688.48","689.95","686.52","2.32B","-0.09%"
"Jun 16, 2005","687.16","688.30","688.40","683.11","3.39B","-0.05%"
"Jun 15, 2005","687.47","684.88","687.90","683.30","3.69B","0.55%"
"Jun 14, 2005","683.68","677.74","683.85","677.70","2.17B","1.27%"
"Jun 13, 2005","675.09","680.23","681.23","675.09","1.69B","-0.72%"
"Jun 10, 2005","679.98","678.74","681.38","676.36","1.90B","0.41%"
"Jun 09, 2005","677.20","684.37","684.63","677.20","1.58B","-1.00%"
"Jun 08, 2005","684.07","682.18","686.87","682.18","2.11B","0.28%"
"Jun 07, 2005","682.15","683.86","684.10","680.39","2.00B","-0.02%"
"Jun 06, 2005","682.30","676.56","682.30","676.29","1.65B","0.83%"
"Jun 03, 2005","676.70","674.44","677.99","672.63","1.96B","0.58%"
"Jun 02, 2005","672.81","667.69","674.20","667.69","1.56B","0.79%"
"Jun 01, 2005","667.52","667.29","669.37","663.89","1.57B","-0.00%"
"May 31, 2005","667.55","668.23","668.23","661.17","1.55B","-0.10%"
"May 30, 2005","668.20","664.81","668.20","662.97","1.14B","0.71%"
"May 27, 2005","663.48","666.21","666.21","661.50","1.56B","0.13%"
"May 26, 2005","662.64","660.70","662.64","651.51","1.76B","0.37%"
"May 25, 2005","660.18","663.76","666.80","658.74","1.80B","-0.52%"
"May 24, 2005","663.66","671.15","672.39","663.40","2.40B","-1.04%"
"May 20, 2005","670.65","676.55","676.55","670.26","2.81B","-0.87%"
"May 19, 2005","676.54","678.30","680.64","675.48","3.63B","0.65%"
"May 18, 2005","672.19","666.57","672.30","666.46","2.59B","1.14%"
"May 17, 2005","664.61","672.67","672.67","660.13","2.05B","-0.92%"
"May 16, 2005","670.76","677.84","677.84","670.76","2.22B","-1.23%"
"May 13, 2005","679.11","682.72","686.29","679.11","2.83B","-0.44%"
"May 12, 2005","682.12","685.91","687.23","682.12","3.02B","-0.37%"
"May 11, 2005","684.65","681.57","684.65","677.09","3.85B","0.41%"
"May 10, 2005","681.83","689.55","690.47","680.28","3.03B","-0.93%"
"May 09, 2005","688.21","692.82","693.04","683.67","2.77B","-0.17%"
"May 06, 2005","689.36","679.17","689.36","677.83","2.82B","2.12%"
"May 04, 2005","675.03","672.44","675.03","668.74","1.89B","0.79%"
"May 03, 2005","669.72","662.79","669.72","662.79","1.42B","1.65%"
"Apr 29, 2005","658.88","658.20","660.58","655.04","1.53B","-0.05%"
"Apr 28, 2005","659.24","664.82","665.45","657.88","1.62B","-0.81%"
"Apr 27, 2005","664.63","661.79","668.62","660.74","2.48B","0.38%"
"Apr 26, 2005","662.13","665.87","666.69","660.92","1.86B","-0.35%"
"Apr 25, 2005","664.47","677.58","678.02","664.47","2.16B","-1.89%"
"Apr 22, 2005","677.25","684.90","685.12","677.09","2.32B","-0.49%"
