"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","7,583.93","7,603.81","7,622.54","7,553.83","23.87M","-0.47%"
"Dec 29, 2005","7,619.96","7,579.12","7,635.08","7,575.59","27.13M","0.80%"
"Dec 28, 2005","7,559.13","7,537.38","7,594.89","7,523.19","23.63M","0.14%"
"Dec 27, 2005","7,548.80","7,500.67","7,556.72","7,485.29","19.30M","0.68%"
"Dec 23, 2005","7,497.84","7,538.42","7,543.71","7,484.80","16.49M","-0.23%"
"Dec 22, 2005","7,515.23","7,538.36","7,555.45","7,494.85","31.33M","-0.43%"
"Dec 21, 2005","7,547.54","7,534.30","7,553.62","7,528.39","44.91M","0.41%"
"Dec 20, 2005","7,516.69","7,511.12","7,526.28","7,488.89","46.41M","-0.22%"
"Dec 19, 2005","7,532.89","7,502.95","7,543.37","7,472.79","44.55M","0.56%"
"Dec 16, 2005","7,491.03","7,501.57","7,515.10","7,482.06","91.93M","0.44%"
"Dec 15, 2005","7,457.96","7,521.23","7,530.71","7,443.89","57.64M","-0.78%"
"Dec 14, 2005","7,516.33","7,590.76","7,596.38","7,512.57","53.76M","-0.81%"
"Dec 13, 2005","7,577.39","7,587.04","7,592.21","7,548.50","46.48M","0.13%"
"Dec 12, 2005","7,567.51","7,600.37","7,622.29","7,544.47","39.55M","0.00%"
"Dec 09, 2005","7,567.40","7,557.57","7,574.73","7,529.73","45.01M","0.10%"
"Dec 08, 2005","7,560.02","7,544.74","7,560.02","7,518.23","65.56M","-0.38%"
"Dec 07, 2005","7,588.81","7,600.51","7,648.40","7,576.72","56.92M","-0.30%"
"Dec 06, 2005","7,611.96","7,573.06","7,632.78","7,568.11","53.38M","0.36%"
"Dec 05, 2005","7,584.81","7,618.12","7,618.60","7,558.92","52.96M","-0.06%"
"Dec 02, 2005","7,589.26","7,565.46","7,589.72","7,543.99","58.18M","0.69%"
"Dec 01, 2005","7,536.94","7,432.97","7,542.16","7,424.45","57.74M","1.75%"
"Nov 30, 2005","7,407.52","7,438.34","7,439.61","7,384.23","61.07M","-0.45%"
"Nov 29, 2005","7,440.70","7,419.59","7,470.97","7,409.61","47.49M","0.18%"
"Nov 28, 2005","7,427.48","7,528.53","7,555.72","7,427.48","49.83M","-0.95%"
"Nov 25, 2005","7,498.70","7,469.26","7,506.46","7,464.21","38.17M","0.33%"
"Nov 24, 2005","7,473.85","7,500.42","7,514.56","7,430.07","49.40M","-0.28%"
"Nov 23, 2005","7,495.15","7,479.01","7,508.18","7,465.10","52.44M","0.37%"
"Nov 22, 2005","7,467.73","7,467.77","7,483.07","7,441.27","55.50M","0.21%"
"Nov 21, 2005","7,452.30","7,449.56","7,457.10","7,420.32","42.66M","0.28%"
"Nov 18, 2005","7,431.38","7,376.42","7,446.74","7,376.42","75.18M","1.38%"
"Nov 17, 2005","7,329.93","7,316.73","7,375.06","7,309.99","106.68M","0.85%"
"Nov 16, 2005","7,268.50","7,312.91","7,332.85","7,237.30","56.77M","-0.74%"
"Nov 15, 2005","7,322.72","7,317.22","7,353.69","7,307.95","50.21M","0.13%"
"Nov 14, 2005","7,313.01","7,336.95","7,361.81","7,306.48","63.93M","-0.52%"
"Nov 11, 2005","7,351.32","7,306.75","7,351.96","7,291.21","51.16M","1.49%"
"Nov 10, 2005","7,243.14","7,265.41","7,272.51","7,236.50","57.32M","0.06%"
"Nov 09, 2005","7,238.48","7,271.88","7,289.73","7,227.22","57.29M","-0.26%"
"Nov 08, 2005","7,257.48","7,270.28","7,314.55","7,247.86","64.63M","0.05%"
"Nov 07, 2005","7,253.67","7,218.95","7,260.97","7,180.51","44.23M","0.68%"
"Nov 04, 2005","7,204.98","7,203.42","7,219.16","7,177.15","62.58M","-0.08%"
"Nov 03, 2005","7,211.05","7,130.66","7,216.10","7,123.33","70.02M","1.32%"
"Nov 02, 2005","7,117.39","7,094.40","7,142.07","7,075.87","63.34M","0.24%"
"Nov 01, 2005","7,100.63","7,062.45","7,101.33","7,041.10","66.95M","0.91%"
"Oct 31, 2005","7,036.65","6,944.64","7,042.24","6,944.64","73.33M","2.35%"
"Oct 28, 2005","6,874.90","6,904.90","6,927.09","6,851.51","118.12M","-0.65%"
"Oct 27, 2005","6,919.60","6,943.71","6,967.73","6,906.15","57.32M","-0.76%"
"Oct 26, 2005","6,972.35","6,945.71","6,981.92","6,945.71","46.59M","0.47%"
"Oct 25, 2005","6,939.72","6,913.37","6,973.97","6,913.37","53.82M","0.40%"
"Oct 24, 2005","6,911.78","6,872.30","6,921.89","6,845.87","39.17M","0.88%"
"Oct 21, 2005","6,851.61","6,857.85","6,889.06","6,839.74","48.05M","-0.49%"
"Oct 20, 2005","6,885.40","6,935.68","6,937.90","6,870.67","62.12M","0.95%"
"Oct 19, 2005","6,820.43","6,902.41","6,913.04","6,806.47","82.64M","-1.81%"
"Oct 18, 2005","6,946.00","6,929.08","6,950.98","6,915.67","58.43M","0.91%"
