"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","1,161.06","1,171.58","1,173.06","1,158.97","2.00B","-0.75%"
"Dec 29, 2005","1,169.86","1,157.51","1,169.87","1,157.51","2.18B","1.11%"
"Dec 28, 2005","1,157.03","1,155.12","1,157.20","1,149.27","1.47B","0.24%"
"Dec 27, 2005","1,154.29","1,157.49","1,158.16","1,149.85","1.57B","-0.22%"
"Dec 26, 2005","1,156.82","1,145.77","1,159.78","1,145.34","1.87B","1.04%"
"Dec 23, 2005","1,144.87","1,135.70","1,144.94","1,135.07","1.45B","0.85%"
"Dec 22, 2005","1,135.24","1,129.56","1,136.00","1,125.95","1.11B","0.40%"
"Dec 21, 2005","1,130.76","1,135.98","1,142.39","1,128.94","1.23B","-0.49%"
"Dec 20, 2005","1,136.34","1,131.80","1,136.39","1,126.99","1.17B","0.41%"
"Dec 19, 2005","1,131.75","1,127.84","1,134.50","1,123.50","1.22B","0.38%"
"Dec 16, 2005","1,127.51","1,122.73","1,127.94","1,118.94","1.26B","0.35%"
"Dec 15, 2005","1,123.56","1,125.67","1,134.85","1,121.56","1.68B","-0.16%"
"Dec 14, 2005","1,125.39","1,117.47","1,127.63","1,110.21","1.50B","0.67%"
"Dec 13, 2005","1,117.85","1,115.77","1,119.42","1,106.75","1.14B","0.13%"
"Dec 12, 2005","1,116.37","1,115.75","1,118.53","1,109.08","1.19B","0.26%"
"Dec 09, 2005","1,113.48","1,097.52","1,114.58","1,094.74","1.35B","1.38%"
"Dec 08, 2005","1,098.32","1,100.68","1,106.34","1,092.99","1.04B","-0.12%"
"Dec 07, 2005","1,099.62","1,087.74","1,100.05","1,086.73","1.04B","1.09%"
"Dec 06, 2005","1,087.79","1,077.58","1,089.59","1,074.01","1.11B","0.80%"
"Dec 05, 2005","1,079.20","1,093.10","1,093.10","1,077.40","1.12B","-1.38%"
"Dec 02, 2005","1,094.29","1,099.76","1,102.76","1,089.56","1.06B","-0.41%"
"Dec 01, 2005","1,098.75","1,098.78","1,104.56","1,094.44","893.20M","-0.05%"
"Nov 30, 2005","1,099.26","1,095.30","1,099.58","1,090.72","1.09B","0.21%"
"Nov 29, 2005","1,096.99","1,109.57","1,110.31","1,095.34","1.19B","-1.25%"
"Nov 28, 2005","1,110.82","1,113.83","1,119.35","1,106.94","1.29B","-0.37%"
"Nov 25, 2005","1,114.92","1,113.28","1,115.08","1,107.21","1.55B","0.14%"
"Nov 24, 2005","1,113.37","1,105.34","1,117.94","1,103.76","1.71B","0.69%"
"Nov 23, 2005","1,105.75","1,096.56","1,106.48","1,093.95","1.26B","0.65%"
"Nov 22, 2005","1,098.65","1,119.69","1,119.69","1,098.49","1.46B","-1.90%"
"Nov 21, 2005","1,119.94","1,117.78","1,122.88","1,114.24","1.55B","0.26%"
"Nov 18, 2005","1,117.00","1,095.52","1,122.61","1,093.53","2.25B","1.98%"
"Nov 17, 2005","1,095.31","1,094.88","1,098.67","1,090.36","1.20B","-0.05%"
"Nov 16, 2005","1,095.89","1,086.83","1,096.30","1,075.43","1.26B","0.77%"
"Nov 15, 2005","1,087.51","1,088.51","1,099.03","1,082.51","1.22B","-0.10%"
"Nov 14, 2005","1,088.65","1,089.56","1,089.71","1,083.02","920.30M","-0.14%"
"Nov 11, 2005","1,090.19","1,085.69","1,094.31","1,078.58","1.26B","0.17%"
"Nov 10, 2005","1,088.30","1,106.94","1,106.94","1,086.10","1.62B","-1.79%"
"Nov 09, 2005","1,108.15","1,110.55","1,117.06","1,107.64","1.67B","-0.18%"
"Nov 08, 2005","1,110.15","1,099.94","1,111.12","1,092.54","1.53B","0.86%"
"Nov 07, 2005","1,100.65","1,099.53","1,100.95","1,089.83","1.21B","0.05%"
"Nov 04, 2005","1,100.05","1,094.26","1,100.43","1,087.85","1.28B","0.44%"
"Nov 03, 2005","1,095.27","1,104.59","1,111.44","1,090.82","1.69B","-0.86%"
"Nov 02, 2005","1,104.79","1,090.00","1,108.88","1,090.00","1.88B","1.36%"
"Nov 01, 2005","1,089.95","1,091.68","1,094.15","1,074.30","1.40B","-0.26%"
"Oct 31, 2005","1,092.82","1,079.04","1,096.15","1,078.29","1.48B","1.11%"
"Oct 28, 2005","1,080.87","1,097.59","1,102.02","1,067.41","1.80B","-1.54%"
"Oct 27, 2005","1,097.78","1,093.93","1,101.27","1,087.48","1.72B","0.06%"
"Oct 26, 2005","1,097.16","1,119.43","1,119.43","1,094.57","1.92B","-2.21%"
"Oct 25, 2005","1,121.92","1,140.17","1,140.17","1,121.29","1.69B","-1.69%"
"Oct 24, 2005","1,141.17","1,141.33","1,143.46","1,133.92","1.73B","-0.01%"
"Oct 21, 2005","1,141.32","1,135.61","1,145.99","1,132.36","1.80B","0.47%"
"Oct 20, 2005","1,135.95","1,133.45","1,136.31","1,119.38","1.74B","0.12%"
"Oct 19, 2005","1,134.61","1,141.05","1,150.59","1,132.48","1.89B","-0.58%"
"Oct 18, 2005","1,141.20","1,131.26","1,142.04","1,129.67","1.89B","0.87%"
"Oct 17, 2005","1,131.38","1,138.38","1,138.38","1,121.97","1.51B","-0.72%"
"Oct 14, 2005","1,139.55","1,152.37","1,154.32","1,135.51","1.51B","-1.13%"
"Oct 13, 2005","1,152.61","1,162.02","1,165.36","1,152.09","1.69B","-0.80%"
"Oct 12, 2005","1,161.85","1,157.48","1,165.67","1,152.25","1.85B","0.40%"
"Oct 11, 2005","1,157.19","1,137.95","1,157.30","1,133.89","1.34B","1.60%"
"Oct 10, 2005","1,138.95","1,153.67","1,153.67","1,137.29","1.17B","-1.44%"
"Sep 30, 2005","1,155.61","1,156.77","1,158.70","1,150.63","1.45B","0.01%"
"Sep 29, 2005","1,155.48","1,134.44","1,155.78","1,134.44","1.85B","2.09%"
"Sep 28, 2005","1,131.77","1,131.32","1,142.49","1,129.05","1.48B","-0.13%"
"Sep 27, 2005","1,133.24","1,155.05","1,157.80","1,132.53","1.81B","-1.89%"
"Sep 26, 2005","1,155.04","1,150.93","1,155.60","1,147.27","1.45B","0.27%"
"Sep 23, 2005","1,151.98","1,157.30","1,164.60","1,149.74","1.88B","-0.69%"
