"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","1,615.12","1,615.12","1,615.12","1,615.12","-","0.79%"
"Dec 29, 2005","1,602.50","1,602.50","1,602.50","1,602.50","-","0.30%"
"Dec 28, 2005","1,597.73","1,597.73","1,597.73","1,597.73","-","-0.33%"
"Dec 27, 2005","1,603.04","1,603.04","1,603.04","1,603.04","-","0.10%"
"Dec 26, 2005","1,601.51","1,601.51","1,601.51","1,601.51","-","-0.22%"
"Dec 23, 2005","1,605.03","1,605.03","1,605.03","1,605.03","-","-0.10%"
"Dec 22, 2005","1,606.62","1,606.62","1,606.62","1,606.62","-","-0.34%"
"Dec 21, 2005","1,612.07","1,612.07","1,612.07","1,612.07","-","-0.43%"
"Dec 20, 2005","1,619.03","1,619.03","1,619.03","1,619.03","-","0.18%"
"Dec 19, 2005","1,616.07","1,616.07","1,616.07","1,616.07","-","-0.11%"
"Dec 16, 2005","1,617.92","1,617.92","1,617.92","1,617.92","-","0.37%"
"Dec 15, 2005","1,611.92","1,611.92","1,611.92","1,611.92","-","0.84%"
"Dec 14, 2005","1,598.57","1,598.57","1,598.57","1,598.57","-","-0.60%"
"Dec 13, 2005","1,608.21","1,608.21","1,608.21","1,608.21","-","0.44%"
"Dec 12, 2005","1,601.24","1,601.24","1,601.24","1,601.24","-","-0.69%"
"Dec 09, 2005","1,612.36","1,612.36","1,612.36","1,612.36","-","-0.57%"
"Dec 08, 2005","1,621.57","1,621.57","1,621.57","1,621.57","-","0.25%"
"Dec 07, 2005","1,617.48","1,617.48","1,617.48","1,617.48","-","-0.05%"
"Dec 06, 2005","1,618.36","1,618.36","1,618.36","1,618.36","-","-0.68%"
"Dec 05, 2005","1,629.39","1,629.39","1,629.39","1,629.39","-","-0.08%"
"Dec 02, 2005","1,630.77","1,630.77","1,630.77","1,630.77","-","0.79%"
"Dec 01, 2005","1,618.05","1,618.05","1,618.05","1,618.05","-","0.89%"
"Nov 30, 2005","1,603.84","1,603.84","1,603.84","1,603.84","-","-0.21%"
"Nov 29, 2005","1,607.14","1,607.14","1,607.14","1,607.14","-","0.07%"
"Nov 28, 2005","1,605.95","1,605.95","1,605.95","1,605.95","-","0.27%"
"Nov 25, 2005","1,601.55","1,601.55","1,601.55","1,601.55","-","0.14%"
"Nov 24, 2005","1,599.35","1,599.35","1,599.35","1,599.35","-","0.07%"
"Nov 23, 2005","1,598.23","1,598.23","1,598.23","1,598.23","-","-0.52%"
"Nov 22, 2005","1,606.65","1,606.65","1,606.65","1,606.65","-","0.48%"
"Nov 18, 2005","1,598.91","1,598.91","1,598.91","1,598.91","-","-0.00%"
