"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2005","673.22","677.96","677.96","670.85","-","-0.70%"
"Dec 29, 2005","677.96","680.08","681.95","677.82","-","-0.31%"
"Dec 28, 2005","680.08","676.58","681.18","675.14","-","0.52%"
"Dec 27, 2005","676.58","686.44","688.40","676.57","-","-1.44%"
"Dec 23, 2005","686.44","684.08","686.95","684.08","-","0.34%"
"Dec 22, 2005","684.08","679.74","684.17","679.55","-","0.64%"
"Dec 21, 2005","679.74","672.78","681.95","672.78","-","1.03%"
"Dec 20, 2005","672.78","672.25","676.86","669.04","-","0.08%"
"Dec 19, 2005","672.25","683.09","683.24","671.65","-","-1.59%"
"Dec 16, 2005","683.09","684.74","687.12","682.13","-","-0.24%"
"Dec 15, 2005","684.74","690.50","691.10","681.19","-","-0.83%"
"Dec 14, 2005","690.50","689.03","693.63","687.65","-","0.21%"
"Dec 13, 2005","689.03","689.51","692.25","686.58","-","-0.07%"
"Dec 12, 2005","689.54","688.77","691.84","686.41","-","0.11%"
"Dec 09, 2005","688.77","685.22","689.89","682.92","-","0.52%"
"Dec 08, 2005","685.22","683.01","690.23","680.55","-","0.32%"
"Dec 07, 2005","683.01","687.57","688.21","681.09","-","-0.66%"
"Dec 06, 2005","687.58","686.57","693.10","686.57","-","0.15%"
"Dec 05, 2005","686.57","690.57","690.57","682.89","-","-0.58%"
"Dec 02, 2005","690.57","690.21","690.64","684.95","-","0.05%"
"Dec 01, 2005","690.21","677.29","690.91","677.29","-","1.91%"
"Nov 30, 2005","677.29","673.69","680.18","673.69","-","0.53%"
"Nov 29, 2005","673.69","671.50","678.06","671.50","-","0.33%"
"Nov 28, 2005","671.50","683.58","683.58","671.50","-","-1.77%"
"Nov 25, 2005","683.58","683.14","684.11","681.57","-","0.06%"
"Nov 23, 2005","683.14","682.55","686.22","681.48","-","0.09%"
"Nov 22, 2005","682.55","678.96","683.73","676.64","-","0.53%"
"Nov 21, 2005","678.96","672.22","679.32","669.06","-","1.00%"
"Nov 18, 2005","672.22","667.14","672.98","667.14","-","0.76%"
"Nov 17, 2005","667.14","654.64","667.14","654.64","-","1.91%"
"Nov 16, 2005","654.64","656.23","657.94","649.92","-","-0.24%"
"Nov 15, 2005","656.23","663.93","664.76","655.28","-","-1.16%"
"Nov 14, 2005","663.93","666.66","667.99","661.55","-","-0.41%"
"Nov 11, 2005","666.66","664.93","667.82","663.43","-","0.26%"
"Nov 10, 2005","664.93","659.81","665.14","651.50","-","0.77%"
"Nov 09, 2005","659.83","656.23","663.75","654.98","-","0.55%"
"Nov 08, 2005","656.23","661.24","661.24","654.67","-","-0.76%"
"Nov 07, 2005","661.24","658.16","663.07","656.31","-","0.47%"
"Nov 04, 2005","658.16","658.77","660.13","653.29","-","-0.09%"
"Nov 03, 2005","658.77","657.05","663.90","656.56","-","0.26%"
"Nov 02, 2005","657.05","643.02","657.05","642.88","-","2.18%"
"Nov 01, 2005","643.02","646.61","646.61","640.18","-","-0.56%"
"Oct 31, 2005","646.61","635.33","648.26","635.33","-","1.78%"
"Oct 28, 2005","635.33","624.03","635.56","624.03","-","1.81%"
"Oct 27, 2005","624.03","638.41","638.41","623.54","-","-2.25%"
"Oct 26, 2005","638.41","642.73","648.01","637.37","-","-0.67%"
"Oct 25, 2005","642.73","646.60","646.60","636.82","-","-0.60%"
"Oct 24, 2005","646.60","632.73","646.60","632.73","-","2.19%"
"Oct 21, 2005","632.73","627.54","636.26","627.24","-","0.83%"
"Oct 20, 2005","627.54","638.28","638.74","623.14","-","-1.68%"
"Oct 19, 2005","638.28","625.36","638.28","618.06","-","2.07%"
"Oct 18, 2005","625.36","633.37","633.37","625.19","-","-1.26%"
"Oct 17, 2005","633.37","633.15","635.86","626.74","-","0.03%"
"Oct 14, 2005","633.15","623.28","633.15","621.16","-","1.58%"
"Oct 13, 2005","623.28","621.57","624.10","614.76","-","0.28%"
"Oct 12, 2005","621.57","630.08","631.13","618.68","-","-1.35%"
"Oct 11, 2005","630.08","637.97","642.09","630.08","-","-1.24%"
"Oct 10, 2005","637.97","644.33","645.61","637.32","-","-0.99%"
"Oct 07, 2005","644.33","639.45","645.64","639.45","-","0.76%"
"Oct 06, 2005","639.45","644.98","648.54","633.38","-","-0.86%"
"Oct 05, 2005","644.98","663.84","663.84","644.98","-","-2.84%"
"Oct 04, 2005","663.84","670.55","674.17","663.83","-","-1.00%"
"Oct 03, 2005","670.55","667.80","673.24","667.75","-","0.41%"
"Sep 30, 2005","667.80","665.03","667.80","663.02","-","0.42%"
"Sep 29, 2005","665.03","656.04","665.03","653.24","-","1.37%"
"Sep 28, 2005","656.04","659.17","660.02","652.24","-","-0.47%"
"Sep 27, 2005","659.17","660.20","662.27","654.70","-","-0.16%"
"Sep 26, 2005","660.20","655.46","662.14","655.46","-","0.72%"
"Sep 23, 2005","655.46","651.16","656.56","647.07","-","0.66%"
"Sep 22, 2005","651.16","649.94","652.82","644.74","-","0.19%"
"Sep 21, 2005","649.94","660.63","660.63","649.94","-","-1.62%"
"Sep 20, 2005","660.63","667.02","670.69","658.95","-","-0.96%"
"Sep 19, 2005","667.02","671.98","672.46","666.05","-","-0.74%"
"Sep 16, 2005","671.98","665.42","671.99","665.42","-","0.99%"
"Sep 15, 2005","665.42","666.35","668.62","663.87","-","-0.14%"
"Sep 14, 2005","666.35","673.13","675.46","665.86","-","-1.01%"
"Sep 13, 2005","673.13","680.82","680.82","672.38","-","-1.13%"
