"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","597.29","595.67","600.68","595.42","48.91M","-0.10%"
"Nov 28, 2019","597.87","596.81","597.97","596.15","35.42M","-0.08%"
"Nov 27, 2019","598.37","599.34","599.92","597.32","53.23M","0.13%"
"Nov 26, 2019","597.59","596.74","598.40","594.55","105.53M","0.16%"
"Nov 25, 2019","596.66","594.93","597.54","594.87","54.08M","0.67%"
"Nov 22, 2019","592.71","591.15","594.45","590.95","64.25M","0.48%"
"Nov 21, 2019","589.85","589.90","591.75","587.47","62.89M","-0.73%"
"Nov 20, 2019","594.16","594.49","594.61","591.43","65.64M","-0.42%"
"Nov 19, 2019","596.67","598.96","602.37","595.51","57.04M","-0.25%"
"Nov 18, 2019","598.17","599.62","599.96","595.99","61.05M","-0.13%"
"Nov 15, 2019","598.96","598.06","599.13","595.04","54.84M","0.62%"
"Nov 14, 2019","595.26","596.14","598.31","595.26","62.31M","-0.38%"
"Nov 13, 2019","597.56","597.36","598.40","594.92","73.03M","-0.25%"
"Nov 12, 2019","599.03","597.80","600.35","597.26","64.12M","0.44%"
"Nov 11, 2019","596.39","595.46","597.57","594.76","61.12M","-0.02%"
"Nov 08, 2019","596.50","595.29","597.71","595.16","72.92M","-0.10%"
"Nov 07, 2019","597.11","597.33","597.66","595.34","84.42M","0.37%"
"Nov 06, 2019","594.93","591.31","595.68","591.30","83.57M","0.72%"
"Nov 05, 2019","590.65","585.82","590.92","585.69","88.16M","0.87%"
"Nov 04, 2019","585.55","583.05","587.14","582.60","86.95M","0.82%"
"Nov 01, 2019","580.78","578.25","582.41","578.11","63.97M","0.72%"
"Oct 31, 2019","576.63","582.22","582.61","575.56","99.17M","-0.86%"
"Oct 30, 2019","581.61","580.74","582.28","578.31","71.22M","-0.04%"
"Oct 29, 2019","581.82","584.12","584.12","580.47","82.51M","-0.32%"
"Oct 28, 2019","583.68","582.96","585.25","581.24","64.51M","-0.02%"
"Oct 25, 2019","583.81","582.88","583.81","580.03","69.37M","0.25%"
"Oct 24, 2019","582.37","577.96","582.50","577.96","75.00M","1.11%"
"Oct 23, 2019","575.97","573.77","577.10","573.15","70.53M","-0.08%"
"Oct 22, 2019","576.41","576.02","576.90","573.65","63.41M","0.09%"
"Oct 21, 2019","575.92","573.42","576.60","572.88","71.72M","0.56%"
"Oct 18, 2019","572.72","575.37","575.82","571.63","68.73M","-0.62%"
"Oct 17, 2019","576.27","575.52","579.88","575.28","81.86M","-0.10%"
"Oct 16, 2019","576.86","579.47","581.59","576.71","86.87M","-0.52%"
"Oct 15, 2019","579.87","579.25","581.07","576.29","77.31M","0.81%"
"Oct 14, 2019","575.21","575.84","576.11","571.75","64.64M","-0.38%"
"Oct 11, 2019","577.42","569.59","577.42","568.83","104.18M","1.59%"
"Oct 10, 2019","568.37","566.46","569.05","559.74","83.44M","0.46%"
"Oct 09, 2019","565.75","562.88","567.61","561.48","73.99M","0.54%"
"Oct 08, 2019","562.72","570.16","570.77","562.72","63.30M","-1.21%"
"Oct 07, 2019","569.60","564.18","569.91","563.78","56.15M","0.89%"
"Oct 04, 2019","564.59","560.66","564.59","559.12","68.40M","1.09%"
"Oct 03, 2019","558.50","556.88","560.48","553.85","76.99M","0.09%"
"Oct 02, 2019","558.01","573.10","573.10","558.01","98.76M","-2.77%"
"Oct 01, 2019","573.89","582.65","584.29","573.40","80.95M","-1.09%"
"Sep 30, 2019","580.23","577.12","580.49","576.51","68.10M","0.33%"
"Sep 27, 2019","578.31","577.86","580.04","576.90","64.42M","0.10%"
"Sep 26, 2019","577.72","573.18","579.14","572.92","89.76M","0.75%"
"Sep 25, 2019","573.42","572.07","573.42","567.33","68.75M","-0.25%"
"Sep 24, 2019","574.84","575.41","576.65","574.77","58.34M","0.03%"
"Sep 23, 2019","574.67","575.96","576.94","572.00","67.87M","-0.48%"
"Sep 20, 2019","577.44","579.16","580.52","577.41","140.98M","-0.28%"
"Sep 19, 2019","579.08","575.47","579.51","575.47","72.94M","0.41%"
"Sep 18, 2019","576.69","574.53","578.19","574.22","61.89M","0.31%"
"Sep 17, 2019","574.93","573.22","575.46","572.43","78.08M","0.26%"
"Sep 16, 2019","573.46","575.03","575.56","572.78","81.41M","-0.58%"
"Sep 13, 2019","576.83","574.36","577.68","573.54","82.92M","0.35%"
"Sep 12, 2019","574.79","575.00","577.97","571.36","101.84M","0.28%"
"Sep 11, 2019","573.17","570.04","573.46","570.04","87.02M","0.82%"
"Sep 10, 2019","568.49","569.06","569.28","566.18","108.95M","0.06%"
