"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","521.53","522.89","523.65","519.95","326.21K","-0.26%"
"Nov 27, 2019","522.89","523.97","523.97","521.17","204.34K","-0.21%"
"Nov 26, 2019","523.97","525.08","525.43","520.83","423.38K","-0.21%"
"Nov 25, 2019","525.08","523.64","525.08","523.14","123.50K","0.27%"
"Nov 24, 2019","523.64","524.69","524.69","521.51","189.15K","-0.20%"
"Nov 21, 2019","524.69","523.84","524.69","521.97","166.61K","0.16%"
"Nov 20, 2019","523.84","523.05","524.14","522.49","225.43K","0.15%"
"Nov 19, 2019","523.05","523.67","523.67","520.44","263.95K","-0.12%"
"Nov 18, 2019","523.67","522.95","523.84","521.14","125.11K","0.14%"
"Nov 17, 2019","522.95","524.72","524.72","520.76","193.24K","-0.34%"
"Nov 14, 2019","524.72","523.71","524.72","521.92","232.28K","0.19%"
"Nov 13, 2019","523.71","522.32","523.71","520.86","1.67M","0.27%"
"Nov 12, 2019","522.32","523.83","523.83","521.27","202.69K","-0.29%"
"Nov 11, 2019","523.83","524.93","524.93","521.43","217.53K","-0.21%"
"Nov 10, 2019","524.93","524.11","524.93","522.14","210.22K","0.16%"
"Nov 07, 2019","524.11","521.34","524.29","520.33","730.12K","0.53%"
"Nov 06, 2019","521.34","521.86","521.86","519.07","345.85K","-0.10%"
"Nov 05, 2019","521.86","520.46","521.86","519.62","233.78K","0.27%"
"Nov 04, 2019","520.46","524.13","524.13","518.81","211.65K","-0.70%"
"Nov 03, 2019","524.13","519.51","524.13","517.14","296.42K","0.89%"
"Oct 31, 2019","519.51","518.82","519.68","515.12","314.94K","0.13%"
"Oct 30, 2019","518.82","519.23","520.08","517.12","174.83K","-0.08%"
"Oct 29, 2019","519.23","519.88","519.88","518.76","161.02K","-0.13%"
"Oct 28, 2019","519.88","520.92","520.92","518.14","119.56K","-0.20%"
"Oct 27, 2019","520.92","523.08","523.08","517.57","91.54K","-0.41%"
"Oct 24, 2019","523.08","520.40","523.08","518.16","182.63K","0.51%"
"Oct 23, 2019","520.40","520.63","520.80","517.41","79.97K","-0.04%"
"Oct 22, 2019","520.63","522.53","522.53","519.69","502.58K","-0.36%"
"Oct 21, 2019","522.53","520.19","522.53","516.45","137.97K","0.45%"
"Oct 20, 2019","520.19","517.40","520.19","516.45","105.44K","0.54%"
"Oct 17, 2019","517.40","517.77","519.77","516.63","183.28K","-0.07%"
"Oct 16, 2019","517.77","516.64","517.77","515.01","247.80K","0.22%"
"Oct 15, 2019","516.64","517.48","517.48","515.49","130.46K","-0.16%"
"Oct 14, 2019","517.48","514.75","517.48","512.24","206.92K","0.53%"
"Oct 13, 2019","514.75","515.96","516.78","513.12","144.45K","-0.23%"
