"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","1,795.21","1,792.95","1,795.21","1,790.06","2.01M","0.10%"
"Nov 27, 2019","1,793.43","1,788.67","1,793.43","1,788.67","2.41M","0.24%"
"Nov 26, 2019","1,789.14","1,789.28","1,791.59","1,787.33","2.03M","-0.03%"
"Nov 25, 2019","1,789.74","1,793.02","1,796.00","1,783.37","2.33M","-0.21%"
"Nov 24, 2019","1,793.46","1,790.70","1,793.46","1,787.43","1.87M","0.12%"
"Nov 21, 2019","1,791.37","1,796.00","1,796.00","1,784.89","2.67M","-0.29%"
"Nov 20, 2019","1,796.59","1,789.39","1,796.85","1,788.68","1.84M","0.39%"
"Nov 19, 2019","1,789.59","1,793.26","1,794.49","1,785.82","3.51M","-0.23%"
"Nov 18, 2019","1,793.78","1,789.96","1,794.55","1,787.70","5.46M","-0.26%"
"Nov 17, 2019","1,798.48","1,805.78","1,805.78","1,798.27","3.79M","-0.47%"
"Nov 14, 2019","1,806.96","1,809.62","1,809.76","1,803.89","1.06M","-0.15%"
"Nov 13, 2019","1,809.60","1,810.13","1,811.44","1,808.03","1.74M","-0.02%"
"Nov 12, 2019","1,809.98","1,805.14","1,810.46","1,801.12","3.08M","0.21%"
"Nov 11, 2019","1,806.22","1,804.40","1,806.22","1,801.74","2.32M","0.07%"
"Nov 10, 2019","1,804.90","1,810.83","1,810.88","1,802.87","2.68M","-0.34%"
"Nov 07, 2019","1,810.99","1,812.17","1,812.17","1,806.79","2.23M","-0.11%"
"Nov 06, 2019","1,813.05","1,813.00","1,816.78","1,810.41","1.84M","0.03%"
"Nov 05, 2019","1,812.56","1,813.55","1,813.55","1,809.85","2.35M","-0.07%"
"Nov 04, 2019","1,813.90","1,810.21","1,815.27","1,810.21","1.81M","0.22%"
"Nov 03, 2019","1,809.91","1,799.90","1,809.91","1,798.39","3.65M","0.53%"
"Oct 31, 2019","1,800.29","1,808.38","1,808.38","1,796.51","2.90M","-0.40%"
"Oct 30, 2019","1,807.43","1,805.16","1,807.43","1,802.51","3.94M","0.10%"
"Oct 29, 2019","1,805.60","1,803.63","1,805.60","1,800.82","3.14M","0.03%"
"Oct 28, 2019","1,804.99","1,808.91","1,810.46","1,799.89","2.16M","-0.25%"
"Oct 27, 2019","1,809.43","1,813.17","1,813.17","1,805.56","1.03M","-0.25%"
"Oct 24, 2019","1,813.92","1,812.88","1,814.96","1,809.42","2.24M","0.10%"
"Oct 23, 2019","1,812.09","1,814.08","1,814.08","1,807.39","2.45M","-0.13%"
"Oct 22, 2019","1,814.38","1,811.50","1,814.38","1,805.98","2.47M","0.20%"
"Oct 21, 2019","1,810.70","1,814.78","1,815.26","1,805.51","1.64M","-0.24%"
"Oct 20, 2019","1,815.12","1,819.00","1,819.00","1,813.32","1.72M","-0.22%"
"Oct 17, 2019","1,819.14","1,816.83","1,819.14","1,811.64","2.67M","0.08%"
"Oct 16, 2019","1,817.60","1,827.22","1,828.61","1,811.56","1.76M","-0.53%"
"Oct 15, 2019","1,827.22","1,824.03","1,827.22","1,821.43","1.76M","0.16%"
"Oct 14, 2019","1,824.33","1,830.59","1,831.61","1,821.01","1.93M","-0.35%"
"Oct 13, 2019","1,830.77","1,825.57","1,830.77","1,825.57","2.70M","0.28%"
"Oct 10, 2019","1,825.72","1,824.06","1,825.72","1,820.62","2.26M","0.06%"
"Oct 09, 2019","1,824.62","1,823.66","1,825.77","1,819.30","1.85M","-0.05%"
"Oct 08, 2019","1,825.50","1,826.58","1,826.58","1,821.94","4.04M","-0.09%"
"Oct 07, 2019","1,827.08","1,823.17","1,827.08","1,816.13","1.12M","0.25%"
"Oct 06, 2019","1,822.53","1,827.34","1,827.38","1,816.70","2.38M","-0.30%"
"Oct 03, 2019","1,827.95","1,827.87","1,829.91","1,819.12","2.50M","0.04%"
"Oct 02, 2019","1,827.28","1,828.40","1,832.70","1,824.70","2.57M","-0.04%"
"Oct 01, 2019","1,827.92","1,828.23","1,829.16","1,817.27","2.91M","0.01%"
"Sep 30, 2019","1,827.74","1,824.88","1,827.74","1,823.51","3.80M","0.12%"
"Sep 29, 2019","1,825.61","1,821.86","1,826.05","1,819.56","3.87M","0.11%"
"Sep 26, 2019","1,823.63","1,821.50","1,824.52","1,821.35","1.88M","0.09%"
"Sep 25, 2019","1,821.91","1,822.75","1,823.41","1,817.53","1.55M","-0.06%"
"Sep 24, 2019","1,823.05","1,829.13","1,829.13","1,817.60","4.27M","-0.34%"
"Sep 23, 2019","1,829.30","1,824.97","1,829.30","1,821.13","3.35M","0.21%"
"Sep 22, 2019","1,825.43","1,820.56","1,825.43","1,817.72","2.55M","0.46%"
"Sep 19, 2019","1,817.11","1,815.53","1,821.08","1,811.01","1.86M","0.05%"
"Sep 18, 2019","1,816.13","1,814.21","1,819.99","1,813.53","3.22M","0.09%"
"Sep 17, 2019","1,814.50","1,809.33","1,815.56","1,805.56","1.79M","0.27%"
"Sep 16, 2019","1,809.55","1,806.37","1,809.64","1,803.70","3.33M","0.14%"
"Sep 15, 2019","1,807.11","1,795.00","1,807.56","1,794.74","3.80M","0.76%"
"Sep 12, 2019","1,793.44","1,797.54","1,799.03","1,789.72","2.67M","-0.26%"
"Sep 11, 2019","1,798.04","1,794.09","1,798.13","1,790.48","2.53M","0.16%"
"Sep 10, 2019","1,795.19","1,794.70","1,795.32","1,786.56","1.64M","-0.08%"
"Sep 09, 2019","1,796.66","1,805.48","1,807.91","1,790.43","2.11M","-0.53%"
"Sep 08, 2019","1,806.23","1,801.53","1,806.23","1,795.31","2.75M","0.27%"
"Sep 05, 2019","1,801.36","1,805.27","1,805.27","1,789.58","2.35M","-0.26%"
"Sep 04, 2019","1,806.08","1,819.21","1,819.21","1,804.37","2.85M","-0.76%"
"Sep 03, 2019","1,819.85","1,817.01","1,820.77","1,814.66","2.45M","0.14%"
"Sep 02, 2019","1,817.39","1,817.33","1,820.43","1,811.49","2.98M","-0.10%"
"Sep 01, 2019","1,819.28","1,821.05","1,822.18","1,814.43","4.98M","-0.10%"
"Aug 29, 2019","1,821.11","1,813.08","1,821.37","1,809.19","5.27M","0.42%"
"Aug 28, 2019","1,813.43","1,822.83","1,824.24","1,809.28","3.62M","-0.53%"
"Aug 27, 2019","1,823.10","1,822.80","1,825.03","1,819.58","4.81M","-0.02%"
"Aug 26, 2019","1,823.43","1,824.71","1,826.45","1,820.11","2.36M","-0.11%"
"Aug 25, 2019","1,825.42","1,829.15","1,829.15","1,822.97","4.31M","-0.27%"
"Aug 22, 2019","1,830.30","1,838.32","1,838.90","1,826.02","2.02M","-0.43%"
"Aug 21, 2019","1,838.21","1,842.38","1,844.82","1,836.50","1.70M","-0.30%"
"Aug 20, 2019","1,843.67","1,846.68","1,854.15","1,842.00","2.49M","-0.18%"
"Aug 19, 2019","1,847.07","1,862.36","1,863.45","1,846.65","2.00M","-0.85%"
"Aug 18, 2019","1,862.85","1,864.17","1,864.66","1,858.10","2.69M","-0.10%"
"Aug 15, 2019","1,864.76","1,868.74","1,870.11","1,864.01","1.70M","-0.21%"
"Aug 08, 2019","1,868.70","1,862.25","1,869.16","1,861.29","2.00M","0.33%"
"Aug 07, 2019","1,862.50","1,858.33","1,862.83","1,856.53","1.51M","0.15%"
"Aug 06, 2019","1,859.77","1,861.40","1,861.40","1,854.09","1.85M","-0.11%"
"Aug 05, 2019","1,861.85","1,869.66","1,869.66","1,854.67","2.15M","-0.41%"
"Aug 04, 2019","1,869.53","1,870.77","1,870.77","1,865.90","2.33M","-0.03%"
"Aug 01, 2019","1,870.11","1,871.49","1,872.65","1,865.69","3.34M","-0.18%"
"Jul 31, 2019","1,873.46","1,877.14","1,880.69","1,870.98","4.69M","-0.31%"
"Jul 30, 2019","1,879.21","1,877.96","1,879.21","1,872.10","3.12M","0.07%"
