"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","901.58","894.95","901.69","893.57","31.04M","0.20%"
"Nov 28, 2019","899.75","896.27","899.96","890.01","19.64M","0.53%"
"Nov 27, 2019","895.03","893.61","898.65","893.60","25.79M","0.36%"
"Nov 26, 2019","891.86","897.24","897.32","891.33","41.72M","-0.71%"
"Nov 25, 2019","898.23","892.89","899.60","891.40","28.38M","0.78%"
"Nov 22, 2019","891.30","886.64","891.55","884.47","19.69M","0.90%"
"Nov 21, 2019","883.39","890.47","890.47","881.98","20.64M","-0.78%"
"Nov 20, 2019","890.37","892.09","894.70","886.87","18.69M","-0.34%"
"Nov 19, 2019","893.37","890.07","894.82","886.86","23.69M","0.57%"
"Nov 18, 2019","888.29","884.83","896.44","884.23","30.73M","0.34%"
"Nov 15, 2019","885.24","889.27","892.33","882.55","24.66M","-0.52%"
"Nov 14, 2019","889.84","871.93","891.00","871.35","42.19M","2.17%"
"Nov 13, 2019","870.93","865.47","872.07","861.82","16.97M","0.51%"
"Nov 12, 2019","866.48","854.45","866.48","854.45","22.24M","1.23%"
"Nov 11, 2019","855.92","866.81","866.81","853.53","17.74M","-1.01%"
"Nov 08, 2019","864.69","868.15","870.17","864.12","21.00M","-0.55%"
"Nov 07, 2019","869.47","859.12","870.22","859.12","29.34M","1.12%"
"Nov 06, 2019","859.81","870.73","872.06","856.61","25.89M","-1.55%"
"Nov 05, 2019","873.34","877.36","877.74","862.05","27.36M","-0.67%"
"Nov 04, 2019","879.25","879.41","880.65","876.50","19.04M","-0.13%"
"Nov 01, 2019","880.36","881.84","882.10","877.66","18.67M","-0.25%"
"Oct 31, 2019","882.57","875.72","882.57","871.29","28.03M","0.78%"
"Oct 30, 2019","875.73","872.25","875.88","869.56","26.16M","0.27%"
"Oct 29, 2019","873.40","874.44","876.24","868.48","31.06M","0.13%"
"Oct 25, 2019","872.30","871.50","873.09","864.22","17.70M","-0.19%"
"Oct 24, 2019","873.98","873.44","876.59","869.29","26.92M","0.10%"
"Oct 23, 2019","873.13","872.74","873.47","866.71","23.52M","-0.04%"
"Oct 22, 2019","873.50","867.28","874.82","866.95","26.96M","0.73%"
"Oct 21, 2019","867.16","862.96","867.45","861.88","25.75M","0.53%"
"Oct 18, 2019","862.58","858.89","862.66","855.01","17.34M","0.38%"
"Oct 17, 2019","859.32","856.53","864.23","856.15","28.60M","0.11%"
"Oct 16, 2019","858.37","857.99","861.03","853.96","20.21M","0.02%"
"Oct 15, 2019","858.16","855.72","862.80","853.01","21.29M","0.27%"
"Oct 14, 2019","855.89","854.98","856.04","848.45","21.42M","-0.01%"
"Oct 11, 2019","855.95","842.74","856.19","841.18","36.64M","1.99%"
"Oct 10, 2019","839.22","831.48","840.43","830.09","25.78M","0.90%"
"Oct 09, 2019","831.72","823.90","836.22","823.71","27.19M","0.93%"
"Oct 08, 2019","824.06","828.85","831.29","818.90","45.71M","-0.66%"
"Oct 07, 2019","829.52","826.77","830.94","824.51","14.14M","0.63%"
"Oct 04, 2019","824.29","824.50","833.11","818.39","32.68M","0.18%"
"Oct 03, 2019","822.80","830.87","837.27","822.12","38.53M","-1.53%"
"Oct 02, 2019","835.55","856.58","856.58","834.45","44.34M","-3.01%"
"Oct 01, 2019","861.50","865.30","866.76","861.01","30.17M","-0.80%"
"Sep 30, 2019","868.42","868.79","872.30","862.71","33.04M","-0.22%"
"Sep 27, 2019","870.35","865.47","871.70","865.02","26.32M","0.48%"
"Sep 26, 2019","866.18","863.22","868.33","862.60","17.58M","0.47%"
"Sep 25, 2019","862.09","866.30","866.30","851.20","27.07M","-0.68%"
"Sep 24, 2019","868.01","863.50","868.16","861.83","34.93M","0.63%"
"Sep 23, 2019","862.59","874.35","874.35","860.98","24.83M","-1.55%"
"Sep 20, 2019","876.17","872.11","876.21","866.70","51.87M","0.26%"
"Sep 19, 2019","873.93","870.63","875.86","869.14","29.41M","0.15%"
"Sep 18, 2019","872.58","865.68","875.22","864.44","31.52M","1.24%"
"Sep 17, 2019","861.91","867.52","868.16","859.54","19.22M","-0.69%"
"Sep 16, 2019","867.94","855.91","868.18","852.63","38.74M","1.28%"
"Sep 13, 2019","856.99","850.82","857.39","848.12","27.49M","0.76%"
"Sep 12, 2019","850.55","856.64","858.53","848.54","16.60M","-0.79%"
"Sep 11, 2019","857.30","848.32","857.58","844.14","22.51M","0.88%"
"Sep 10, 2019","849.81","857.04","857.04","845.88","20.47M","-1.05%"
"Sep 09, 2019","858.80","870.42","870.66","854.89","18.96M","-1.22%"
"Sep 06, 2019","869.38","875.10","877.19","869.00","25.96M","-0.60%"
"Sep 05, 2019","874.65","860.40","874.65","858.94","23.20M","2.36%"
"Sep 04, 2019","854.48","859.16","864.21","849.62","20.39M","0.07%"
"Sep 03, 2019","853.89","857.96","857.96","850.93","17.53M","-0.77%"
"Sep 02, 2019","860.51","864.44","864.44","855.20","16.07M","-0.87%"
"Aug 30, 2019","868.10","860.78","868.12","858.84","38.93M","1.12%"
"Aug 29, 2019","858.46","845.50","858.50","843.46","34.34M","1.78%"
"Aug 28, 2019","843.42","829.63","843.42","825.30","27.92M","1.42%"
"Aug 27, 2019","831.64","829.33","831.68","820.86","34.12M","0.32%"
"Aug 26, 2019","828.95","826.41","830.79","814.30","19.57M","-0.33%"
"Aug 23, 2019","831.70","846.62","848.39","821.68","27.85M","-1.60%"
"Aug 22, 2019","845.22","837.60","845.28","831.71","17.84M","1.50%"
"Aug 21, 2019","832.72","831.92","837.17","827.39","16.78M","0.36%"
"Aug 20, 2019","829.74","831.24","833.17","822.75","17.97M","0.17%"
"Aug 19, 2019","828.30","798.84","831.25","798.84","27.88M","4.58%"
"Aug 16, 2019","792.06","797.22","801.81","791.34","26.69M","-0.85%"
"Aug 14, 2019","798.89","820.99","826.18","798.89","38.09M","-2.40%"
"Aug 13, 2019","818.51","825.81","825.91","807.01","58.12M","-1.52%"
"Aug 12, 2019","831.16","840.36","847.12","822.03","30.16M","-1.08%"
"Aug 09, 2019","840.27","848.13","852.21","836.93","14.77M","-0.77%"
"Aug 08, 2019","846.80","842.52","850.31","831.74","26.97M","1.10%"
"Aug 07, 2019","837.56","848.47","859.33","837.36","26.61M","-0.82%"
"Aug 06, 2019","844.47","850.19","856.52","840.58","34.16M","-0.79%"
"Aug 05, 2019","851.20","879.51","879.72","850.89","39.91M","-3.83%"
"Aug 02, 2019","885.11","888.96","890.65","882.72","34.04M","-1.11%"
"Aug 01, 2019","895.04","897.55","901.36","894.86","24.04M","-0.54%"
"Jul 31, 2019","899.93","888.29","901.57","887.74","49.49M","1.14%"
"Jul 30, 2019","889.81","894.26","896.92","882.15","34.16M","-0.58%"
"Jul 29, 2019","895.04","891.28","895.86","889.69","21.69M","0.49%"
"Jul 26, 2019","890.70","886.34","892.18","883.72","30.58M","0.53%"
"Jul 25, 2019","885.99","877.94","892.37","876.42","29.54M","1.33%"
"Jul 24, 2019","874.34","870.47","879.33","867.23","25.36M","0.54%"
"Jul 23, 2019","869.64","866.10","871.39","858.14","28.97M","0.54%"
"Jul 22, 2019","864.99","870.14","878.01","864.17","20.40M","-0.32%"
"Jul 19, 2019","867.81","872.93","876.74","863.85","27.09M","-0.32%"
"Jul 18, 2019","870.58","866.80","877.08","866.80","30.58M","0.30%"
"Jul 17, 2019","868.01","854.69","868.60","853.92","30.36M","1.41%"
"Jul 16, 2019","855.91","850.45","858.49","847.60","25.78M","0.54%"
"Jul 15, 2019","851.28","858.25","863.13","840.42","20.72M","-0.82%"
"Jul 12, 2019","858.35","862.58","865.19","846.65","30.99M","-0.58%"
"Jul 11, 2019","863.33","862.46","876.02","857.29","27.28M","0.20%"
"Jul 10, 2019","861.57","838.37","864.16","838.32","32.64M","2.50%"
"Jul 09, 2019","840.58","873.94","875.49","839.14","47.67M","-4.28%"
"Jul 08, 2019","878.17","900.31","900.31","877.35","38.72M","-1.84%"
"Jul 05, 2019","894.66","895.55","896.50","887.54","35.58M","0.19%"
"Jul 04, 2019","892.94","890.72","893.00","881.11","39.07M","0.18%"
"Jul 03, 2019","891.31","876.61","891.31","875.08","40.28M","1.93%"
"Jul 02, 2019","874.47","877.77","877.77","869.57","29.73M","0.01%"
"Jul 01, 2019","874.38","871.22","876.24","866.86","30.06M","0.68%"
