"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","593.85","593.45","593.85","593.45","-","0.07%"
"Nov 28, 2019","593.45","592.80","593.45","592.80","-","0.11%"
"Nov 27, 2019","592.80","591.34","592.80","591.34","-","0.25%"
"Nov 26, 2019","591.34","588.35","591.34","588.10","-","0.51%"
"Nov 25, 2019","588.35","589.11","589.97","588.35","-","-0.13%"
"Nov 22, 2019","589.11","586.53","590.72","586.53","-","0.44%"
"Nov 20, 2019","586.53","588.14","588.14","586.53","-","-0.27%"
"Nov 19, 2019","588.14","583.61","588.22","583.61","-","0.78%"
"Nov 18, 2019","583.61","583.61","583.61","583.61","-","0.00%"
"Nov 15, 2019","583.61","580.95","583.61","580.95","-","0.46%"
"Nov 14, 2019","580.95","583.34","583.34","580.95","-","-0.41%"
"Nov 13, 2019","583.34","583.41","583.41","583.34","-","-0.01%"
"Nov 12, 2019","583.41","583.41","583.41","583.41","-","0.00%"
"Nov 11, 2019","583.41","582.31","583.41","582.31","-","0.19%"
"Nov 08, 2019","582.31","580.66","582.31","580.66","-","0.28%"
"Nov 07, 2019","580.66","580.39","580.66","580.39","-","0.05%"
"Nov 06, 2019","580.39","583.99","583.99","580.31","-","-0.62%"
"Nov 05, 2019","583.99","581.40","583.99","580.31","-","0.45%"
"Nov 04, 2019","581.40","574.82","581.47","574.82","-","1.14%"
"Nov 01, 2019","574.82","571.81","574.82","571.81","-","0.53%"
"Oct 31, 2019","571.81","571.35","571.81","571.35","-","0.08%"
"Oct 30, 2019","571.35","569.74","573.45","569.56","-","0.28%"
"Oct 29, 2019","569.74","568.82","569.74","568.82","-","0.16%"
"Oct 28, 2019","568.82","564.35","568.82","564.35","-","0.79%"
"Oct 25, 2019","564.35","562.38","564.35","562.38","-","0.35%"
"Oct 24, 2019","562.38","563.31","563.49","562.38","-","-0.17%"
"Oct 23, 2019","563.31","566.38","566.38","563.31","-","-0.54%"
"Oct 22, 2019","566.38","566.43","567.03","566.26","-","-0.01%"
"Oct 21, 2019","566.43","566.96","569.72","566.43","-","-0.09%"
"Oct 18, 2019","566.96","567.82","569.43","566.96","-","-0.15%"
"Oct 17, 2019","567.82","566.77","567.82","565.81","-","0.19%"
"Oct 16, 2019","566.77","567.67","567.72","565.53","-","-0.16%"
"Oct 15, 2019","567.67","568.41","568.41","566.66","-","-0.13%"
"Oct 14, 2019","568.41","567.41","568.59","567.41","-","0.18%"
"Oct 11, 2019","567.41","570.04","570.04","567.41","-","-0.46%"
"Oct 10, 2019","570.04","570.04","570.04","570.04","-","0.00%"
"Oct 09, 2019","570.04","573.55","573.55","570.04","-","-0.61%"
"Oct 08, 2019","573.55","578.81","578.81","573.55","-","-0.91%"
"Oct 07, 2019","578.81","576.62","578.81","576.62","-","0.38%"
"Oct 04, 2019","576.62","581.23","581.23","576.62","-","-0.79%"
"Oct 03, 2019","581.23","577.80","581.23","576.62","-","0.59%"
"Oct 02, 2019","577.80","577.80","577.80","577.06","-","0.00%"
"Oct 01, 2019","577.80","585.77","589.55","577.80","-","-1.36%"
"Sep 30, 2019","585.77","592.56","592.56","582.90","-","-1.15%"
"Sep 27, 2019","592.56","592.47","592.56","592.47","-","0.02%"
"Sep 26, 2019","592.47","596.57","596.75","592.47","-","-0.69%"
"Sep 25, 2019","596.57","596.64","596.64","594.37","-","-0.01%"
"Sep 24, 2019","596.64","594.78","596.64","594.78","-","0.31%"
"Sep 23, 2019","594.78","594.78","594.78","594.78","-","0.00%"
"Sep 20, 2019","594.78","597.36","597.36","594.78","-","-0.43%"
"Sep 19, 2019","597.36","598.28","599.69","596.62","-","-0.15%"
"Sep 18, 2019","598.28","602.01","602.01","597.96","-","-0.62%"
"Sep 17, 2019","602.01","602.83","604.24","602.01","-","-0.14%"
"Sep 16, 2019","602.83","602.25","606.34","600.60","-","0.10%"
"Sep 13, 2019","602.25","600.61","602.25","600.61","-","0.27%"
"Sep 12, 2019","600.61","600.00","600.61","598.23","-","0.10%"
"Sep 11, 2019","600.00","600.33","600.33","599.96","-","-0.05%"
"Sep 10, 2019","600.33","600.33","600.33","600.33","-","0.00%"
"Sep 09, 2019","600.33","598.13","600.33","598.13","-","0.37%"
"Sep 06, 2019","598.13","595.88","598.13","595.88","-","0.38%"
"Sep 05, 2019","595.88","595.88","595.88","595.88","-","0.00%"
"Sep 04, 2019","595.88","596.61","596.80","595.88","-","-0.12%"
"Sep 03, 2019","596.61","593.57","598.00","593.57","-","0.51%"
"Sep 02, 2019","593.57","593.57","593.57","592.65","-","0.00%"
"Aug 30, 2019","593.57","595.62","595.62","593.57","-","-0.34%"
"Aug 29, 2019","595.62","595.44","595.62","595.44","-","0.03%"
"Aug 28, 2019","595.44","595.79","597.27","595.44","-","-0.06%"
"Aug 27, 2019","595.79","595.79","595.79","595.79","-","0.00%"
"Aug 26, 2019","595.79","595.79","595.79","595.79","-","0.00%"
"Aug 23, 2019","595.79","595.24","595.79","595.24","-","0.09%"
"Aug 22, 2019","595.24","595.97","595.97","593.03","-","-0.12%"
"Aug 21, 2019","595.97","597.17","598.02","595.97","-","-0.20%"
"Aug 20, 2019","597.17","597.17","597.17","597.17","-","0.00%"
"Aug 19, 2019","597.17","595.88","597.17","595.69","-","0.22%"
"Aug 16, 2019","595.88","595.33","595.88","595.33","-","0.09%"
"Aug 15, 2019","595.33","594.04","595.51","594.04","-","0.22%"
"Aug 14, 2019","594.04","594.68","595.00","593.09","-","-0.11%"
"Aug 13, 2019","594.68","594.50","594.68","594.50","-","0.03%"
"Aug 12, 2019","594.50","594.36","594.50","594.36","-","0.02%"
"Aug 09, 2019","594.36","594.34","594.36","594.34","-","0.00%"
"Aug 08, 2019","594.34","594.54","594.61","592.86","-","0.00%"
"Aug 07, 2019","594.34","594.54","594.61","594.34","-","-0.03%"
"Aug 06, 2019","594.54","594.85","595.13","594.54","-","-0.05%"
"Aug 05, 2019","594.85","615.31","615.31","594.85","-","-3.33%"
"Aug 02, 2019","615.31","618.04","618.04","615.31","-","-0.44%"
"Aug 01, 2019","618.04","619.09","619.09","618.04","-","-0.17%"
"Jul 31, 2019","619.09","619.06","619.09","619.06","-","0.00%"
"Jul 30, 2019","619.06","619.54","619.54","618.51","-","-0.08%"
"Jul 29, 2019","619.54","622.03","623.21","618.25","-","-0.40%"
"Jul 26, 2019","622.03","617.44","622.03","617.44","-","0.74%"
"Jul 25, 2019","617.44","616.26","617.44","616.26","-","0.19%"
"Jul 24, 2019","616.26","616.26","616.26","616.26","-","0.00%"
"Jul 23, 2019","616.26","616.26","616.45","616.26","-","0.00%"
"Jul 22, 2019","616.26","614.49","616.26","614.49","-","0.29%"
"Jul 19, 2019","614.49","614.02","614.57","614.02","-","0.08%"
"Jul 18, 2019","614.02","614.48","614.48","613.01","-","-0.07%"
"Jul 17, 2019","614.48","614.48","614.48","614.48","-","0.00%"
"Jul 16, 2019","614.48","614.48","614.48","614.48","-","0.00%"
"Jul 15, 2019","614.48","614.23","614.48","614.23","-","0.04%"
"Jul 12, 2019","614.23","615.70","615.70","612.91","-","-0.24%"
"Jul 11, 2019","615.70","611.84","615.70","611.84","-","0.63%"
"Jul 10, 2019","611.84","609.96","612.03","609.96","-","0.31%"
"Jul 09, 2019","609.96","610.56","610.56","609.37","-","-0.10%"
"Jul 08, 2019","610.56","611.74","612.50","610.56","-","-0.19%"
"Jul 05, 2019","611.74","611.74","611.74","608.06","-","0.00%"
"Jul 04, 2019","611.74","612.43","612.43","611.74","-","-0.11%"
"Jul 03, 2019","612.43","608.93","612.43","608.93","-","0.57%"
"Jul 02, 2019","608.93","608.93","608.93","608.93","-","0.00%"
"Jul 01, 2019","608.93","613.46","613.46","608.93","-","-0.74%"
"Jun 28, 2019","613.46","614.10","614.10","609.23","-","-0.10%"
"Jun 27, 2019","614.10","612.13","614.10","612.13","-","0.32%"
"Jun 26, 2019","612.13","614.24","614.24","609.16","-","-0.34%"
"Jun 25, 2019","614.24","617.22","617.22","612.40","-","-0.48%"
"Jun 24, 2019","617.22","617.22","617.22","617.22","-","0.00%"
"Jun 21, 2019","617.22","616.90","617.22","616.90","-","0.05%"
"Jun 20, 2019","616.90","616.90","616.90","616.90","-","0.00%"
"Jun 19, 2019","616.90","616.91","616.91","616.31","-","-0.00%"
"Jun 18, 2019","616.91","623.89","626.80","616.91","-","-1.12%"
"Jun 17, 2019","623.89","628.99","628.99","623.29","-","-0.81%"
"Jun 14, 2019","628.99","632.72","632.72","628.99","-","-0.59%"
"Jun 13, 2019","632.72","632.27","632.72","632.27","-","0.07%"
"Jun 12, 2019","632.27","632.48","632.48","632.27","-","-0.03%"
"Jun 11, 2019","632.48","634.91","634.91","632.48","-","-0.38%"
"Jun 10, 2019","634.91","634.72","634.91","634.72","-","0.03%"
"Jun 07, 2019","634.72","634.72","634.91","634.72","-","0.00%"
"Jun 06, 2019","634.72","635.46","635.46","634.72","-","-0.12%"
"Jun 05, 2019","635.46","636.40","636.40","635.46","-","-0.15%"
"Jun 04, 2019","636.40","638.86","640.88","636.38","-","-0.39%"
"Jun 03, 2019","638.86","638.67","638.86","638.67","-","0.03%"
"May 31, 2019","638.67","640.78","640.78","638.67","-","-0.33%"
"May 30, 2019","640.78","640.96","642.25","640.59","-","-0.03%"
"May 29, 2019","640.96","642.43","642.43","640.96","-","-0.23%"
"May 28, 2019","642.43","658.74","658.74","642.43","-","-2.48%"
"May 27, 2019","658.74","658.59","659.06","658.55","-","0.02%"
"May 24, 2019","658.59","658.63","658.77","657.97","-","-0.01%"
"May 23, 2019","658.63","658.72","658.91","658.63","-","-0.01%"
"May 22, 2019","658.72","658.72","658.72","658.45","-","0.00%"
"May 21, 2019","658.72","658.91","659.46","658.72","-","-0.03%"
"May 20, 2019","658.91","659.46","659.46","658.91","-","-0.08%"
"May 17, 2019","659.46","659.39","660.18","659.30","-","0.01%"
"May 16, 2019","659.39","663.12","663.97","659.39","-","-0.56%"
"May 15, 2019","663.12","692.50","693.84","662.34","-","-4.24%"
"May 14, 2019","692.50","692.50","693.28","692.50","-","0.00%"
"May 13, 2019","692.50","692.50","692.50","692.50","-","0.00%"
"May 10, 2019","692.50","692.31","692.93","692.15","-","0.03%"
"May 08, 2019","692.31","683.71","692.31","683.71","-","1.26%"
"May 07, 2019","683.71","682.33","683.71","682.17","-","0.20%"
"May 06, 2019","682.33","679.82","683.43","679.82","-","0.37%"
"May 03, 2019","679.82","693.20","693.20","679.62","-","-1.93%"
"Apr 30, 2019","693.20","690.37","693.20","690.37","-","0.41%"
"Apr 25, 2019","690.37","690.37","690.37","690.37","-","0.00%"
"Apr 24, 2019","690.37","690.21","690.53","690.06","-","0.02%"
"Apr 23, 2019","690.21","690.57","690.57","690.06","-","-0.05%"
"Apr 22, 2019","690.57","692.09","692.86","690.57","-","-0.22%"
"Apr 19, 2019","692.09","692.96","693.05","692.09","-","-0.13%"
"Apr 18, 2019","692.96","692.89","693.75","692.89","-","0.01%"
"Apr 17, 2019","692.89","693.33","693.33","692.89","-","-0.06%"
"Apr 16, 2019","693.33","691.58","693.87","691.58","-","0.25%"
"Apr 15, 2019","691.58","690.55","691.58","689.10","-","0.15%"
"Apr 12, 2019","690.55","691.02","691.02","690.55","-","-0.07%"
"Apr 11, 2019","691.02","694.25","694.25","691.02","-","-0.47%"
"Apr 10, 2019","694.25","695.51","695.51","694.25","-","-0.18%"
"Apr 09, 2019","695.51","694.72","695.51","694.72","-","0.11%"
"Apr 08, 2019","694.72","694.72","694.72","694.72","-","0.00%"
"Apr 05, 2019","694.72","698.51","698.51","694.72","-","-0.54%"
"Apr 04, 2019","698.51","699.95","699.95","698.51","-","-0.21%"
"Apr 03, 2019","699.95","704.37","704.37","699.95","-","-0.63%"
"Apr 02, 2019","704.37","704.37","704.52","704.37","-","0.00%"
"Apr 01, 2019","704.37","716.66","716.66","704.37","-","-1.71%"
"Mar 29, 2019","716.66","716.66","716.66","716.66","-","0.00%"
"Mar 28, 2019","716.66","718.95","718.95","716.66","-","-0.32%"
"Mar 27, 2019","718.95","718.76","720.87","718.57","-","0.03%"
"Mar 26, 2019","718.76","726.44","726.44","717.81","-","-1.04%"
"Mar 25, 2019","726.28","733.54","735.06","726.28","-","-0.99%"
"Mar 22, 2019","733.54","730.98","733.54","730.98","-","0.35%"
"Mar 21, 2019","730.98","730.52","730.98","730.52","-","0.06%"
"Mar 20, 2019","730.52","730.33","730.68","730.33","-","0.03%"
"Mar 19, 2019","730.33","730.33","730.33","730.33","-","0.00%"
"Mar 18, 2019","730.33","716.91","731.12","716.91","-","1.87%"
"Mar 15, 2019","716.91","714.37","716.91","714.37","-","0.36%"
"Mar 14, 2019","714.37","716.68","717.95","714.37","-","-0.32%"
"Mar 13, 2019","716.68","703.08","716.68","703.08","-","1.93%"
"Mar 12, 2019","703.08","699.43","703.55","699.43","-","0.52%"
"Mar 11, 2019","699.43","702.94","702.94","699.43","-","-0.50%"
"Mar 08, 2019","702.94","703.32","703.32","700.65","-","-0.05%"
"Mar 07, 2019","703.32","703.32","703.32","703.32","-","0.00%"
"Mar 06, 2019","703.32","700.33","703.32","700.33","-","0.24%"
"Mar 05, 2019","701.67","674.15","701.67","673.37","-","4.08%"
"Mar 04, 2019","674.15","672.29","675.91","672.29","-","0.28%"
"Mar 01, 2019","672.29","653.79","673.08","653.79","-","2.83%"
"Feb 28, 2019","653.79","655.36","658.03","653.79","-","-0.24%"
"Feb 27, 2019","655.36","655.36","655.36","655.36","-","0.00%"
"Feb 26, 2019","655.36","655.85","656.32","655.36","-","-0.07%"
"Feb 25, 2019","655.85","643.74","655.85","642.32","-","1.88%"
"Feb 22, 2019","643.74","686.74","686.74","642.83","-","-6.26%"
"Feb 21, 2019","686.74","715.63","715.63","686.74","-","-4.04%"
"Feb 20, 2019","715.63","722.49","722.49","715.63","-","-0.95%"
"Feb 19, 2019","722.49","722.33","722.49","722.33","-","0.02%"
"Feb 18, 2019","722.33","725.52","726.46","722.33","-","-0.44%"
"Feb 15, 2019","725.52","720.17","725.52","720.17","-","0.74%"
"Feb 14, 2019","720.17","694.12","720.17","694.12","-","3.75%"
"Feb 13, 2019","694.12","684.24","699.57","677.16","-","1.44%"
"Feb 12, 2019","684.24","680.67","687.02","680.67","-","0.52%"
"Feb 11, 2019","680.67","672.13","680.67","665.35","-","1.27%"
