"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","762.81","763.01","763.01","762.50","-","0.04%"
"Nov 28, 2019","762.50","757.55","762.70","757.55","40.01K","0.52%"
"Nov 27, 2019","758.57","757.42","761.43","757.42","13.57K","-0.38%"
"Nov 26, 2019","761.43","755.95","761.43","755.03","45.06K","0.78%"
"Nov 25, 2019","755.54","756.53","757.83","755.54","3.62K","-0.30%"
"Nov 21, 2019","757.83","757.62","758.64","756.53","9.92K","0.10%"
"Nov 20, 2019","757.10","757.62","757.62","755.77","1.50K","0.18%"
"Nov 19, 2019","755.77","755.06","756.08","755.06","3.50K","0.01%"
"Nov 18, 2019","755.67","755.67","757.62","755.67","1.00K","-0.26%"
"Nov 14, 2019","757.62","757.15","758.41","757.05","30.91K","0.08%"
"Nov 13, 2019","757.05","758.29","760.74","757.05","19.04K","-0.20%"
"Nov 08, 2019","758.59","758.18","763.09","758.18","-","-0.59%"
"Nov 07, 2019","763.09","754.68","763.09","753.25","30.96K","1.31%"
"Nov 06, 2019","753.25","754.78","755.60","752.33","30.90K","-0.63%"
"Nov 05, 2019","758.06","752.86","758.06","752.56","27.88K","0.73%"
"Nov 04, 2019","752.56","750.92","753.89","750.92","1.74K","0.16%"
"Nov 01, 2019","751.33","763.81","763.81","751.33","-","-4.18%"
"Oct 19, 2019","784.13","784.13","784.13","784.13","-","0.00%"
"Oct 14, 2019","784.13","787.28","787.28","784.13","-","-0.40%"
"Oct 10, 2019","787.28","787.28","787.28","787.28","-","0.34%"
"Oct 08, 2019","784.65","783.28","785.16","779.19","4.69K","-0.33%"
"Oct 04, 2019","787.28","787.28","787.28","787.28","-","0.88%"
"Oct 03, 2019","780.39","785.82","787.28","779.01","4.33M","-1.21%"
"Oct 02, 2019","789.96","788.22","789.96","782.85","23.19K","0.00%"
"Oct 01, 2019","789.96","790.55","795.98","788.92","34.65K","-0.72%"
"Sep 30, 2019","795.69","794.27","796.84","793.81","62.66K","0.24%"
"Sep 27, 2019","793.81","794.62","794.62","793.81","-","-0.10%"
"Sep 26, 2019","794.62","794.62","794.62","794.62","-","0.64%"
"Sep 23, 2019","789.58","795.00","795.00","789.58","4.02K","0.00%"
"Sep 20, 2019","789.58","789.69","792.52","788.22","-","-0.34%"
"Sep 19, 2019","792.28","792.28","792.28","792.28","-","0.08%"
"Sep 18, 2019","791.67","791.67","791.67","791.67","-","0.07%"
"Sep 17, 2019","791.13","791.13","791.13","791.13","-","0.39%"
"Sep 16, 2019","788.06","788.06","788.06","788.06","-","-0.87%"
"Sep 13, 2019","795.00","795.00","795.00","795.00","-","-0.22%"
"Sep 12, 2019","796.73","796.80","796.80","795.00","38.64K","0.22%"
"Sep 11, 2019","795.00","794.22","795.00","794.22","-","0.10%"
"Sep 09, 2019","794.22","794.22","794.22","794.22","-","0.00%"
"Sep 06, 2019","794.22","793.22","797.99","790.23","-","-0.06%"
"Sep 05, 2019","794.71","793.95","795.44","793.51","40.49K","0.15%"
"Sep 04, 2019","793.51","794.01","794.01","793.11","21.26K","-0.06%"
"Sep 03, 2019","794.01","801.91","801.91","794.01","40.22K","-0.35%"
"Sep 02, 2019","796.76","797.22","797.22","796.76","45.88K","0.00%"
"Aug 30, 2019","796.76","798.18","798.18","796.76","-","-0.18%"
"Aug 29, 2019","798.18","797.92","798.85","797.92","25.29K","-0.08%"
"Aug 28, 2019","798.85","800.08","801.72","798.85","57.85K","-0.36%"
"Aug 27, 2019","801.72","802.83","803.03","801.49","15.98K","-0.16%"
"Aug 26, 2019","803.03","804.47","804.47","803.03","1.48K","-0.18%"
"Aug 23, 2019","804.47","807.05","808.48","804.47","-","-0.50%"
"Aug 22, 2019","808.48","807.12","808.48","806.92","35.37K","0.12%"
"Aug 21, 2019","807.53","805.69","808.15","805.48","74.83K","0.22%"
"Aug 20, 2019","805.79","809.83","810.41","804.00","122.84K","-0.55%"
"Aug 19, 2019","810.24","810.76","811.20","810.24","40.61K","-0.12%"
"Aug 16, 2019","811.20","814.54","814.54","809.77","-","-0.41%"
"Aug 14, 2019","814.54","809.95","814.54","809.95","-","0.57%"
"Aug 07, 2019","809.95","809.95","809.95","809.95","-","-0.97%"
"Aug 05, 2019","817.86","817.86","817.86","817.86","-","0.00%"
"Aug 02, 2019","817.86","819.68","819.68","816.98","-","-0.08%"
"Aug 01, 2019","818.55","824.37","828.47","817.62","110.00K","-1.20%"
"Jul 31, 2019","828.47","830.97","831.30","826.66","120.91K","0.17%"
"Jul 29, 2019","827.04","840.01","840.01","827.04","-","-1.61%"
"Jul 26, 2019","840.56","837.96","840.56","837.17","-","0.07%"
"Jul 25, 2019","840.01","841.51","842.79","837.18","19.72K","-0.86%"
"Jul 24, 2019","847.27","847.27","847.27","847.27","-","0.04%"
"Jul 19, 2019","846.90","839.87","846.90","839.87","-","0.11%"
"Jul 18, 2019","846.00","838.52","846.00","838.52","48.65K","0.88%"
"Jul 17, 2019","838.62","838.52","840.86","837.70","0.65K","-0.27%"
"Jul 16, 2019","840.86","840.86","840.86","840.86","32.53K","-0.39%"
"Jul 15, 2019","844.15","844.15","844.15","844.15","-","0.32%"
"Jul 12, 2019","841.46","841.46","841.46","841.46","-","-0.79%"
"Jul 11, 2019","848.14","848.14","848.14","848.14","-","-0.86%"
"Jul 10, 2019","855.48","855.48","855.48","855.48","-","-0.32%"
"Jul 09, 2019","858.20","858.20","858.20","858.20","-","0.07%"
"Jul 08, 2019","857.59","860.20","860.20","857.59","25.33K","-0.30%"
"Jul 02, 2019","860.20","860.20","860.20","860.20","-","0.23%"
"Jul 01, 2019","858.26","858.26","858.26","858.26","-","-0.23%"
"Jun 28, 2019","860.20","860.20","860.20","860.20","-","0.23%"
"Jun 21, 2019","858.26","854.50","858.26","842.44","-","0.44%"
"Jun 20, 2019","854.50","844.23","854.50","842.97","97.73K","0.90%"
"Jun 19, 2019","846.87","851.39","851.39","845.36","342.15K","-0.46%"
"Jun 18, 2019","850.79","852.82","853.44","847.09","45.84K","0.10%"
"Jun 17, 2019","849.96","843.76","855.50","843.76","9.13K","0.32%"
"Jun 14, 2019","847.25","842.96","847.25","841.18","-","0.39%"
"Jun 13, 2019","843.96","843.48","843.98","840.83","14.36K","0.07%"
"Jun 12, 2019","843.38","840.36","843.57","840.36","42.41K","0.19%"
"Jun 11, 2019","841.78","841.37","843.73","841.37","359.44K","-0.08%"
"Jun 10, 2019","842.44","842.44","842.44","842.44","-","-1.17%"
"Jun 07, 2019","852.43","855.72","856.99","851.80","-","-0.41%"
"Jun 03, 2019","855.92","856.20","858.31","855.58","81.24K","-1.20%"
"May 28, 2019","866.32","854.35","866.35","854.35","54.05K","-0.00%"
"May 27, 2019","866.35","870.42","870.42","866.35","49.87K","-0.33%"
"May 24, 2019","869.25","869.24","871.26","867.00","-","0.12%"
"May 23, 2019","868.18","869.90","870.88","865.39","6.72K","-0.31%"
"May 22, 2019","870.88","871.58","871.58","870.60","678.12K","-0.04%"
"May 21, 2019","871.20","871.20","871.20","871.20","-","0.64%"
"May 20, 2019","865.65","865.65","865.65","865.65","-","3.11%"
"May 17, 2019","839.58","846.43","851.41","836.77","-","-1.39%"
"May 16, 2019","851.41","851.48","851.48","851.41","71.03K","0.00%"
"May 15, 2019","851.41","871.09","871.09","849.01","71.03K","-2.20%"
"May 14, 2019","870.58","870.58","870.58","870.58","-","0.02%"
"May 13, 2019","870.43","870.43","870.43","870.43","-","0.00%"
"May 10, 2019","870.43","872.96","872.96","863.55","-","-0.27%"
"May 09, 2019","872.75","874.06","876.38","871.26","36.02K","-0.14%"
"May 08, 2019","873.96","905.37","905.37","871.81","365.86K","-3.33%"
"May 06, 2019","904.07","906.30","906.30","904.07","-","-0.25%"
"May 03, 2019","906.30","906.30","906.30","906.30","-","0.00%"
"Apr 30, 2019","906.30","906.30","906.30","906.30","-","0.00%"
"Apr 25, 2019","906.30","905.31","907.13","898.24","24.51K","0.90%"
"Apr 24, 2019","898.24","898.24","898.24","898.24","-","-1.48%"
"Apr 22, 2019","911.76","911.76","911.76","911.76","-","0.00%"
"Apr 18, 2019","911.76","942.96","944.60","911.76","35.81K","-3.48%"
"Apr 17, 2019","944.60","948.26","952.44","944.60","85.59K","-0.82%"
"Apr 16, 2019","952.44","951.56","952.55","940.52","30.35K","1.27%"
"Apr 15, 2019","940.52","940.52","940.52","940.52","-","-0.14%"
"Apr 12, 2019","941.86","941.86","941.86","941.86","-","-0.53%"
"Apr 11, 2019","946.90","946.90","946.90","946.90","-","-0.85%"
"Apr 10, 2019","955.05","955.05","955.05","955.05","-","-0.16%"
"Apr 09, 2019","956.55","956.55","956.55","956.55","-","-0.88%"
"Apr 08, 2019","965.06","965.06","965.06","965.06","-","-0.01%"
"Apr 05, 2019","965.17","965.95","966.49","964.45","-","-0.09%"
"Apr 04, 2019","966.05","967.64","968.08","965.25","12.41K","-0.21%"
"Apr 03, 2019","968.08","968.08","968.08","968.08","-","0.02%"
"Apr 02, 2019","967.91","966.73","968.13","966.73","6.82K","-0.02%"
"Apr 01, 2019","968.13","972.70","972.70","968.13","70.40K","-0.47%"
"Mar 29, 2019","972.70","968.17","972.70","966.12","-","0.68%"
"Mar 28, 2019","966.12","957.36","966.12","957.36","42.82K","0.72%"
"Mar 27, 2019","959.18","958.50","960.07","955.54","47.63K","-0.05%"
"Mar 26, 2019","959.70","961.11","961.11","959.70","94.00K","-0.03%"
"Mar 22, 2019","959.99","956.02","961.21","953.83","-","0.46%"
"Mar 21, 2019","955.64","953.92","957.24","953.92","6.56K","0.05%"
"Mar 20, 2019","955.19","955.19","955.19","955.19","-","-0.65%"
"Mar 19, 2019","961.47","960.93","961.91","960.93","12.66K","0.05%"
"Mar 18, 2019","961.03","954.23","962.34","954.23","51.71K","0.69%"
