"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","141.68","141.03","141.68","141.03","-","0.46%"
"Nov 28, 2019","141.03","140.85","141.12","140.85","-","0.13%"
"Nov 27, 2019","140.85","140.73","140.85","140.73","-","0.09%"
"Nov 26, 2019","140.73","140.09","140.78","140.03","-","0.46%"
"Nov 25, 2019","140.09","140.39","140.44","139.43","-","-0.21%"
"Nov 22, 2019","140.39","139.53","140.39","139.18","-","0.62%"
"Nov 21, 2019","139.53","139.59","139.98","138.48","-","-0.04%"
"Nov 20, 2019","139.59","139.55","139.98","139.43","-","0.03%"
"Nov 19, 2019","139.55","139.84","139.93","139.31","-","-0.21%"
"Nov 18, 2019","139.84","139.80","140.52","139.56","-","0.03%"
"Nov 14, 2019","139.80","139.97","140.72","139.80","-","-0.12%"
"Nov 13, 2019","139.97","141.32","141.32","139.90","-","-0.96%"
"Nov 12, 2019","141.32","140.90","141.39","140.74","-","0.30%"
"Nov 11, 2019","140.90","141.82","142.22","140.90","-","-0.65%"
"Nov 08, 2019","141.82","142.19","142.19","141.45","-","-0.26%"
"Nov 07, 2019","142.19","141.94","142.22","141.20","-","0.18%"
"Nov 06, 2019","141.94","140.75","142.15","139.98","-","0.85%"
"Nov 05, 2019","140.75","140.99","141.06","139.67","-","-0.17%"
"Nov 04, 2019","140.99","141.87","142.15","140.39","-","-0.62%"
"Oct 31, 2019","141.87","141.78","142.45","141.73","-","0.06%"
"Oct 30, 2019","141.78","141.70","141.89","140.67","-","0.06%"
"Oct 29, 2019","141.70","142.15","142.15","141.18","-","-0.32%"
"Oct 28, 2019","142.15","141.77","142.28","141.07","-","0.27%"
"Oct 25, 2019","141.77","141.54","141.77","140.65","-","0.16%"
"Oct 24, 2019","141.54","141.80","141.84","140.73","-","-0.18%"
"Oct 23, 2019","141.80","141.44","141.80","140.60","-","0.25%"
"Oct 22, 2019","141.44","141.20","141.44","140.31","-","0.17%"
"Oct 21, 2019","141.20","141.02","141.34","140.00","-","0.13%"
"Oct 18, 2019","141.02","139.66","141.04","139.66","-","0.97%"
"Oct 17, 2019","139.66","140.70","141.17","139.66","-","-0.74%"
"Oct 16, 2019","140.70","140.22","141.01","139.87","-","0.34%"
"Oct 15, 2019","140.22","139.99","140.22","139.05","-","0.16%"
"Oct 14, 2019","139.99","140.00","140.36","139.27","-","-0.01%"
"Oct 11, 2019","140.00","139.61","140.00","138.95","-","0.28%"
"Oct 10, 2019","139.61","139.04","139.90","138.85","-","0.41%"
"Oct 09, 2019","139.04","140.19","140.19","138.58","-","-0.82%"
"Oct 08, 2019","140.19","141.40","141.52","139.74","-","-0.86%"
"Oct 07, 2019","141.40","142.35","142.43","140.84","-","-0.67%"
