"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","546.57","546.57","548.01","542.36","-","0.59%"
"Nov 28, 2019","543.36","543.36","543.98","542.61","-","-0.11%"
"Nov 27, 2019","543.98","543.98","545.79","542.48","-","-0.33%"
"Nov 26, 2019","545.79","545.79","548.62","545.63","-","-0.52%"
"Nov 25, 2019","548.62","548.62","551.22","547.41","-","-0.47%"
"Nov 22, 2019","551.22","551.22","551.22","549.58","-","0.22%"
"Nov 21, 2019","550.00","550.00","551.15","549.75","-","-0.18%"
"Nov 20, 2019","550.98","550.98","554.59","549.93","-","-0.62%"
"Nov 19, 2019","554.40","554.40","555.97","552.95","-","-0.25%"
"Nov 18, 2019","555.77","555.77","556.13","553.25","-","0.34%"
"Nov 15, 2019","553.88","553.88","558.80","551.27","-","-0.88%"
"Nov 14, 2019","558.80","558.80","558.80","556.54","-","0.01%"
"Nov 13, 2019","558.73","558.73","559.04","557.29","-","0.09%"
"Nov 12, 2019","558.24","558.24","558.86","556.75","-","0.08%"
"Nov 11, 2019","557.77","557.77","560.84","553.49","-","-0.50%"
"Nov 08, 2019","560.59","560.59","560.59","558.64","-","0.31%"
"Nov 07, 2019","558.87","558.87","559.05","557.11","-","0.19%"
"Nov 06, 2019","557.83","557.83","558.20","553.06","-","0.86%"
"Nov 05, 2019","553.06","553.06","554.90","552.75","-","-0.33%"
"Nov 04, 2019","554.90","554.90","556.40","553.61","-","0.05%"
"Nov 01, 2019","554.64","554.64","556.84","554.45","-","-0.40%"
"Oct 31, 2019","556.84","556.84","559.22","555.45","-","0.18%"
"Oct 30, 2019","555.86","555.86","556.69","553.81","-","-0.08%"
"Oct 29, 2019","556.28","556.28","561.05","555.86","-","-0.69%"
"Oct 28, 2019","560.16","560.16","562.08","558.54","-","-0.22%"
"Oct 25, 2019","561.41","561.41","562.83","559.83","-","0.07%"
"Oct 24, 2019","561.00","561.00","561.00","558.35","-","0.26%"
"Oct 23, 2019","559.56","559.56","564.60","559.03","-","-0.83%"
"Oct 22, 2019","564.22","564.22","565.46","563.59","-","-0.17%"
"Oct 21, 2019","565.19","565.19","565.19","560.35","-","0.06%"
"Oct 18, 2019","564.83","564.83","565.47","562.33","-","0.21%"
"Oct 17, 2019","563.67","563.67","563.79","558.97","-","0.64%"
"Oct 16, 2019","560.07","560.07","561.47","558.95","-","-0.25%"
"Oct 15, 2019","561.47","561.47","561.84","560.65","-","-0.05%"
"Oct 14, 2019","561.77","561.77","563.05","560.27","-","-0.06%"
"Oct 11, 2019","562.11","562.11","562.53","556.83","-","0.84%"
"Oct 10, 2019","557.44","557.44","559.26","556.97","-","-0.33%"
"Oct 09, 2019","559.26","559.26","562.63","558.38","-","-0.32%"
"Oct 08, 2019","561.05","561.05","564.35","557.71","-","-0.37%"
"Oct 07, 2019","563.12","563.12","563.51","560.12","-","0.02%"
"Oct 04, 2019","563.02","563.02","565.90","556.79","-","-0.51%"
"Oct 03, 2019","565.90","565.90","568.53","562.22","-","-0.46%"
"Oct 02, 2019","568.53","568.53","569.32","561.25","-","-0.14%"
"Oct 01, 2019","569.32","569.32","570.80","568.19","-","-0.22%"
"Sep 30, 2019","570.58","570.58","574.60","568.00","-","-0.70%"
"Sep 27, 2019","574.60","574.60","574.60","568.82","-","0.16%"
"Sep 26, 2019","573.68","573.68","573.68","567.46","-","0.01%"
"Sep 25, 2019","573.64","573.64","573.64","566.24","-","0.25%"
"Sep 24, 2019","572.20","572.20","574.47","570.48","-","-0.12%"
"Sep 20, 2019","572.86","572.86","580.13","571.60","-","-1.06%"
"Sep 19, 2019","578.99","578.99","581.51","576.55","-","-0.29%"
"Sep 18, 2019","580.65","580.65","581.80","576.94","-","0.29%"
"Sep 17, 2019","578.97","578.97","580.59","576.27","-","-0.18%"
"Sep 16, 2019","580.02","580.02","581.34","576.88","-","0.24%"
"Sep 13, 2019","578.65","578.65","578.65","575.63","-","0.11%"
"Sep 12, 2019","578.01","578.01","579.16","575.44","-","-0.04%"
"Sep 11, 2019","578.22","578.22","578.22","571.93","-","0.33%"
"Sep 10, 2019","576.29","576.29","576.37","572.59","-","0.45%"
