"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","1,526.95","1,519.07","1,527.08","1,519.07","5.49M","0.52%"
"Nov 27, 2019","1,518.99","1,520.32","1,521.17","1,518.99","3.52M","-0.09%"
"Nov 26, 2019","1,520.32","1,520.76","1,521.81","1,520.05","2.24M","-0.03%"
"Nov 25, 2019","1,520.76","1,505.90","1,520.76","1,505.90","8.96M","1.01%"
"Nov 24, 2019","1,505.55","1,505.65","1,508.95","1,504.91","4.39M","-0.01%"
"Nov 21, 2019","1,505.65","1,509.39","1,509.39","1,505.52","6.66M","-0.25%"
"Nov 20, 2019","1,509.39","1,506.77","1,509.61","1,506.77","2.56M","0.17%"
"Nov 19, 2019","1,506.77","1,501.22","1,506.77","1,501.16","6.78M","0.34%"
"Nov 18, 2019","1,501.66","1,499.08","1,501.66","1,497.84","3.10M","0.17%"
"Nov 17, 2019","1,499.08","1,505.11","1,505.46","1,498.90","5.59M","-0.39%"
"Nov 14, 2019","1,504.97","1,510.29","1,510.29","1,504.22","4.34M","-0.35%"
"Nov 13, 2019","1,510.29","1,510.24","1,510.77","1,508.14","695.27K","0.00%"
"Nov 12, 2019","1,510.24","1,515.91","1,515.91","1,510.15","2.26M","-0.37%"
"Nov 11, 2019","1,515.91","1,518.33","1,518.33","1,515.91","1.87M","-0.16%"
"Nov 07, 2019","1,518.33","1,517.26","1,518.81","1,517.26","3.65M","0.06%"
"Nov 06, 2019","1,517.43","1,518.03","1,518.03","1,517.19","4.03M","-0.04%"
"Nov 05, 2019","1,518.03","1,520.98","1,520.98","1,518.03","3.76M","-0.18%"
"Nov 04, 2019","1,520.71","1,520.16","1,520.71","1,519.62","5.99M","0.01%"
"Nov 03, 2019","1,520.51","1,524.38","1,526.53","1,520.51","6.31M","-0.18%"
"Oct 31, 2019","1,523.27","1,522.14","1,523.71","1,522.09","3.54M","0.07%"
"Oct 30, 2019","1,522.14","1,524.77","1,525.20","1,521.92","6.15M","-0.17%"
"Oct 29, 2019","1,524.77","1,523.32","1,525.25","1,523.32","4.46M","0.10%"
"Oct 28, 2019","1,523.32","1,527.13","1,527.20","1,523.14","3.50M","-0.25%"
"Oct 27, 2019","1,527.13","1,526.44","1,527.33","1,526.44","2.11M","0.05%"
"Oct 24, 2019","1,526.44","1,524.82","1,526.89","1,524.68","5.31M","0.08%"
"Oct 23, 2019","1,525.18","1,525.30","1,526.04","1,525.04","2.11M","-0.01%"
"Oct 22, 2019","1,525.30","1,526.29","1,526.29","1,525.30","1.23M","-0.09%"
"Oct 21, 2019","1,526.64","1,527.35","1,527.90","1,526.29","3.15M","-0.03%"
"Oct 20, 2019","1,527.12","1,526.86","1,527.83","1,526.33","2.77M","0.00%"
"Oct 17, 2019","1,527.12","1,525.85","1,529.31","1,525.85","4.03M","0.08%"
"Oct 16, 2019","1,525.85","1,524.63","1,526.45","1,524.63","5.75M","0.43%"
"Oct 15, 2019","1,519.37","1,521.55","1,524.31","1,519.05","7.15M","-0.12%"
"Oct 14, 2019","1,521.20","1,520.02","1,523.30","1,517.41","2.50M","0.09%"
"Oct 13, 2019","1,519.85","1,523.32","1,523.32","1,519.85","1.41M","-0.21%"
"Oct 10, 2019","1,523.04","1,517.92","1,523.66","1,517.92","2.40M","0.34%"
"Oct 09, 2019","1,517.92","1,517.72","1,518.19","1,515.30","4.49M","0.01%"
"Oct 08, 2019","1,517.72","1,519.04","1,521.88","1,517.72","2.42M","-0.09%"
"Oct 07, 2019","1,519.04","1,511.99","1,519.25","1,511.99","2.54M","0.47%"
"Oct 06, 2019","1,511.99","1,512.55","1,523.91","1,511.99","3.81M","-0.04%"
"Oct 03, 2019","1,512.55","1,513.93","1,513.93","1,512.40","3.17M","-0.09%"
"Oct 02, 2019","1,513.93","1,515.64","1,515.64","1,513.58","851.44K","-0.11%"
"Oct 01, 2019","1,515.64","1,516.47","1,516.50","1,510.81","2.61M","-0.06%"
"Sep 30, 2019","1,516.53","1,517.92","1,518.90","1,516.36","1.08M","-0.09%"
"Sep 29, 2019","1,517.92","1,521.34","1,521.34","1,517.92","3.91M","-0.22%"
"Sep 26, 2019","1,521.34","1,521.19","1,523.10","1,518.17","1.71M","0.09%"
"Sep 25, 2019","1,519.97","1,520.13","1,520.27","1,519.53","3.58M","-0.01%"
"Sep 24, 2019","1,520.13","1,519.43","1,522.47","1,519.43","7.26M","0.05%"
"Sep 23, 2019","1,519.43","1,519.23","1,524.49","1,516.80","2.66M","0.50%"
"Sep 22, 2019","1,511.86","1,490.60","1,517.65","1,490.60","4.62M","1.44%"
"Sep 19, 2019","1,490.39","1,489.38","1,491.80","1,481.77","4.25M","0.07%"
"Sep 18, 2019","1,489.37","1,513.93","1,514.19","1,481.90","2.91M","-1.62%"
"Sep 17, 2019","1,513.93","1,524.33","1,524.36","1,513.22","1.80M","-0.68%"
"Sep 16, 2019","1,524.33","1,535.28","1,535.28","1,522.61","5.39M","-0.73%"
"Sep 15, 2019","1,535.55","1,546.63","1,546.63","1,530.38","6.18M","-0.72%"
"Sep 12, 2019","1,546.63","1,544.59","1,546.63","1,544.49","3.39M","0.37%"
"Sep 11, 2019","1,540.91","1,548.29","1,550.79","1,540.91","3.44M","-0.51%"
