"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","770.92","764.72","774.15","764.72","-","-0.08%"
"Nov 28, 2019","771.55","764.23","771.77","764.23","-","0.58%"
"Nov 27, 2019","767.13","764.38","767.75","763.48","-","0.18%"
"Nov 26, 2019","765.72","763.87","767.87","763.30","-","0.12%"
"Nov 25, 2019","764.77","762.09","764.99","762.09","-","0.06%"
"Nov 22, 2019","764.32","761.98","764.66","757.77","-","0.10%"
"Nov 21, 2019","763.55","763.16","764.66","762.14","-","-0.07%"
"Nov 20, 2019","764.08","764.68","764.68","763.60","-","-0.28%"
"Nov 19, 2019","766.24","766.47","766.69","763.12","-","-0.03%"
"Nov 18, 2019","766.47","764.02","770.54","764.02","-","-0.37%"
"Nov 15, 2019","769.32","766.36","769.64","764.63","-","0.02%"
"Nov 14, 2019","769.15","762.36","772.92","762.36","-","-0.02%"
"Nov 13, 2019","769.32","754.62","769.85","754.62","-","0.89%"
"Nov 12, 2019","762.55","751.93","762.64","749.97","-","1.41%"
"Nov 08, 2019","751.93","748.96","751.94","748.74","-","-0.09%"
"Nov 07, 2019","752.63","747.88","752.63","747.19","-","0.33%"
"Nov 06, 2019","750.15","751.45","751.45","747.95","-","-0.17%"
"Nov 05, 2019","751.45","753.78","753.78","747.94","-","-0.31%"
"Nov 04, 2019","753.78","750.82","763.84","750.73","-","0.42%"
"Nov 01, 2019","750.59","750.77","751.41","750.14","-","0.09%"
"Oct 31, 2019","749.88","748.68","749.88","748.68","-","0.01%"
"Oct 30, 2019","749.79","750.50","750.50","748.68","-","0.03%"
"Oct 29, 2019","749.57","745.20","750.11","744.61","-","0.28%"
"Oct 28, 2019","747.46","747.83","747.83","743.37","-","0.01%"
"Oct 25, 2019","747.38","749.84","753.18","747.38","-","-0.71%"
"Oct 24, 2019","752.74","752.51","753.18","751.11","-","-0.06%"
"Oct 23, 2019","753.18","745.40","753.18","745.18","-","0.78%"
"Oct 22, 2019","747.37","745.08","747.99","745.08","-","-0.25%"
"Oct 21, 2019","749.27","748.48","751.00","748.04","-","0.09%"
"Oct 18, 2019","748.57","744.07","749.57","744.07","-","0.10%"
"Oct 17, 2019","747.83","743.39","748.68","743.39","-","0.35%"
"Oct 16, 2019","745.22","743.39","745.22","740.82","-","0.38%"
"Oct 15, 2019","742.41","742.79","747.66","742.35","-","-0.45%"
"Oct 14, 2019","745.78","750.35","750.35","744.99","-","-0.42%"
"Oct 11, 2019","748.94","746.67","749.49","746.53","-","0.17%"
"Oct 10, 2019","747.70","746.68","748.82","746.45","-","-0.03%"
"Oct 09, 2019","747.93","746.76","748.67","746.76","-","-0.13%"
"Oct 08, 2019","748.91","747.16","750.63","747.16","-","-0.06%"
"Oct 07, 2019","749.37","747.70","749.96","744.92","-","0.22%"
"Oct 04, 2019","747.71","743.52","749.10","743.52","-","0.47%"
"Oct 03, 2019","744.19","751.75","752.64","743.52","-","-1.12%"
"Oct 02, 2019","752.64","753.51","754.74","752.64","-","-0.12%"
"Oct 01, 2019","753.51","750.64","754.38","749.64","-","0.32%"
"Sep 30, 2019","751.08","756.12","756.12","750.40","-","-0.57%"
"Sep 27, 2019","755.41","755.80","757.46","746.98","-","-0.40%"
"Sep 26, 2019","758.44","753.50","758.75","751.41","-","0.69%"
"Sep 25, 2019","753.22","752.88","753.47","752.36","-","-0.03%"
"Sep 24, 2019","753.45","752.75","754.44","749.70","-","-0.08%"
"Sep 23, 2019","754.04","753.61","754.47","753.19","-","-0.22%"
"Sep 20, 2019","755.68","757.31","760.93","755.35","-","-0.37%"
"Sep 19, 2019","758.45","761.68","761.68","757.68","-","-0.13%"
"Sep 18, 2019","759.43","758.57","760.32","757.97","-","-0.06%"
"Sep 17, 2019","759.87","758.61","762.16","758.61","-","0.32%"
