"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","896.10","895.28","898.17","891.29","-","0.11%"
"Nov 28, 2019","895.10","896.33","896.94","892.63","-","-0.14%"
"Nov 27, 2019","896.33","897.51","899.09","889.65","-","-0.13%"
"Nov 26, 2019","897.51","897.10","898.64","895.21","-","-0.14%"
"Nov 25, 2019","898.76","899.46","901.85","895.38","-","-0.39%"
"Nov 22, 2019","902.31","893.89","902.48","893.57","-","0.98%"
"Nov 21, 2019","893.52","884.97","893.81","883.89","-","1.06%"
"Nov 20, 2019","884.14","885.42","886.86","880.72","-","-0.26%"
"Nov 19, 2019","886.48","884.14","887.60","882.96","-","0.33%"
"Nov 18, 2019","883.56","879.69","886.10","879.69","-","0.33%"
"Nov 15, 2019","880.68","877.08","880.68","871.86","-","0.41%"
"Nov 14, 2019","877.08","877.83","877.83","873.93","-","-0.20%"
"Nov 13, 2019","878.81","874.18","879.25","873.12","-","0.34%"
"Nov 12, 2019","875.84","871.75","876.40","870.00","-","0.54%"
"Nov 11, 2019","871.10","864.81","871.10","864.24","-","0.73%"
"Nov 08, 2019","864.81","866.79","866.79","861.84","-","-0.25%"
"Nov 07, 2019","866.98","864.25","866.98","861.61","-","0.24%"
"Nov 06, 2019","864.90","859.50","865.64","859.50","-","0.69%"
"Nov 05, 2019","858.97","858.88","864.07","857.44","-","0.13%"
"Nov 04, 2019","857.83","853.56","857.83","852.02","-","0.50%"
"Oct 30, 2019","853.56","856.69","859.82","853.56","-","-0.07%"
"Oct 29, 2019","854.19","865.48","865.48","854.19","-","-1.30%"
"Oct 28, 2019","865.48","866.46","868.90","865.34","-","-0.09%"
"Oct 25, 2019","866.28","873.73","874.26","864.68","-","-0.85%"
"Oct 24, 2019","873.73","873.15","874.21","870.65","-","0.07%"
"Oct 23, 2019","873.15","871.23","873.15","868.09","-","0.22%"
"Oct 22, 2019","871.23","873.33","873.33","869.51","-","-0.24%"
"Oct 21, 2019","873.33","874.47","875.62","870.50","-","-0.21%"
"Oct 18, 2019","875.13","870.45","875.33","869.79","-","0.44%"
"Oct 17, 2019","871.28","871.68","873.22","869.23","-","0.05%"
"Oct 16, 2019","870.87","871.46","874.67","867.85","-","-0.06%"
"Oct 15, 2019","871.40","872.73","873.41","868.59","-","-0.09%"
"Oct 14, 2019","872.15","869.71","873.09","869.71","-","0.28%"
"Oct 11, 2019","869.71","870.11","870.25","865.79","-","-0.05%"
"Oct 10, 2019","870.11","865.28","872.77","865.28","-","0.60%"
"Oct 09, 2019","864.92","867.40","867.40","862.60","-","-0.47%"
"Oct 08, 2019","868.98","863.64","868.98","862.11","-","0.62%"
"Oct 07, 2019","863.64","862.74","865.00","862.06","-","0.13%"
"Oct 04, 2019","862.56","857.97","864.22","857.97","-","0.58%"
"Oct 03, 2019","857.59","860.51","865.46","857.59","-","-0.30%"
"Oct 02, 2019","860.16","860.18","861.00","857.07","-","-0.00%"
"Oct 01, 2019","860.18","854.80","862.43","853.75","-","0.64%"
"Sep 30, 2019","854.71","858.36","858.36","854.71","-","-0.13%"
"Sep 27, 2019","855.86","856.41","859.48","853.37","-","-0.06%"
"Sep 26, 2019","856.41","857.86","858.56","852.97","-","-0.07%"
"Sep 25, 2019","857.05","858.09","861.24","855.27","-","-0.12%"
"Sep 24, 2019","858.09","857.14","864.75","856.68","-","0.15%"
"Sep 23, 2019","856.77","857.31","859.13","853.62","-","-0.02%"
"Sep 20, 2019","856.96","861.90","861.90","856.64","-","-0.57%"
"Sep 19, 2019","861.90","856.79","861.90","856.79","-","0.31%"
"Sep 18, 2019","859.27","858.84","861.24","856.40","-","0.02%"
"Sep 17, 2019","859.13","858.87","859.16","854.14","-","0.03%"
