"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","43,704.85","43,818.01","43,885.71","43,593.72","-","-0.22%"
"Nov 28, 2019","43,799.85","43,599.29","43,901.59","43,546.92","-","0.46%"
"Nov 27, 2019","43,599.69","43,770.66","43,987.97","43,564.47","-","-0.42%"
"Nov 26, 2019","43,781.96","44,264.98","44,305.95","43,661.25","-","-1.20%"
"Nov 25, 2019","44,314.45","44,078.69","44,407.51","43,903.06","-","0.59%"
"Nov 22, 2019","44,053.95","43,654.84","44,086.42","43,617.01","-","0.92%"
"Nov 21, 2019","43,654.37","43,938.90","43,938.90","43,511.28","-","-0.65%"
"Nov 20, 2019","43,938.90","43,680.62","43,952.40","43,435.26","-","0.73%"
"Nov 19, 2019","43,618.78","43,867.73","44,105.41","43,571.06","-","-0.57%"
"Nov 18, 2019","43,867.73","43,390.28","43,916.55","43,314.54","-","1.11%"
"Nov 15, 2019","43,384.63","43,218.28","43,421.19","43,184.84","-","0.38%"
"Nov 14, 2019","43,218.28","43,217.30","43,323.76","42,960.27","-","0.00%"
"Nov 13, 2019","43,216.34","43,492.95","43,492.95","43,165.38","-","-0.63%"
"Nov 12, 2019","43,492.33","43,038.67","43,504.12","42,969.94","-","1.05%"
"Nov 11, 2019","43,038.67","43,441.42","43,441.42","42,945.71","-","-0.93%"
"Nov 08, 2019","43,441.42","43,591.75","43,749.98","42,956.78","-","-0.36%"
"Nov 07, 2019","43,598.19","43,362.16","43,599.26","43,274.34","-","0.71%"
"Nov 06, 2019","43,291.61","43,189.76","43,334.50","42,999.89","-","0.13%"
"Nov 05, 2019","43,236.80","42,848.90","43,248.21","42,546.70","-","0.98%"
"Nov 04, 2019","42,817.55","42,307.98","42,817.55","42,301.19","-","1.56%"
"Oct 31, 2019","42,159.58","42,833.80","42,930.06","42,043.06","-","-1.49%"
"Oct 30, 2019","42,796.70","42,453.16","42,810.35","42,342.08","-","0.81%"
"Oct 29, 2019","42,453.16","41,985.57","42,481.83","41,923.42","-","1.23%"
"Oct 28, 2019","41,938.54","42,157.05","42,209.78","41,890.14","-","-0.52%"
"Oct 25, 2019","42,159.36","42,475.53","42,546.08","42,000.82","-","-0.74%"
"Oct 24, 2019","42,475.53","41,848.81","42,600.72","41,795.99","-","1.50%"
"Oct 22, 2019","41,845.95","41,234.58","41,854.89","41,175.60","-","1.48%"
"Oct 21, 2019","41,234.58","40,857.69","41,237.90","40,730.09","-","1.00%"
"Oct 18, 2019","40,826.33","40,717.37","40,826.33","40,484.33","-","0.27%"
"Oct 17, 2019","40,717.17","40,404.66","40,746.24","40,354.15","-","0.77%"
"Oct 16, 2019","40,404.66","40,572.90","40,734.43","40,265.67","-","-0.43%"
"Oct 15, 2019","40,578.18","40,733.70","40,787.87","40,414.72","-","-0.38%"
"Oct 14, 2019","40,733.70","40,332.88","40,736.63","40,038.65","-","0.99%"
"Oct 11, 2019","40,332.56","39,466.35","40,361.92","39,464.85","-","2.19%"
"Oct 10, 2019","39,466.35","39,519.88","39,612.42","39,329.42","-","-0.20%"
"Oct 09, 2019","39,544.62","39,485.87","39,715.13","39,383.79","-","0.13%"
"Oct 08, 2019","39,491.52","39,803.64","39,845.28","39,401.45","-","-0.78%"
"Oct 07, 2019","39,803.96","39,820.06","39,937.57","39,673.10","-","-0.06%"
"Oct 04, 2019","39,826.51","39,547.59","39,934.21","39,547.59","-","0.71%"
"Oct 03, 2019","39,547.59","39,425.25","39,829.89","39,425.25","-","0.33%"
"Oct 02, 2019","39,416.77","40,106.00","40,145.72","39,416.77","-","-1.73%"
"Oct 01, 2019","40,112.38","40,613.55","40,664.82","40,112.38","-","-1.20%"
"Sep 30, 2019","40,601.18","41,016.17","41,016.17","40,462.45","-","-0.71%"
"Sep 27, 2019","40,890.74","40,537.11","40,903.36","40,512.73","-","0.88%"
"Sep 26, 2019","40,534.28","40,522.01","40,761.65","40,306.06","-","-0.05%"
"Sep 25, 2019","40,553.92","40,845.22","40,849.59","40,289.19","-","-0.72%"
"Sep 24, 2019","40,848.04","40,862.05","41,015.47","40,624.42","-","0.12%"
"Sep 23, 2019","40,800.21","41,124.76","41,127.69","40,654.49","-","-0.77%"
"Sep 20, 2019","41,116.92","40,916.45","41,147.81","40,836.34","-","0.48%"
"Sep 19, 2019","40,922.30","40,924.38","40,941.42","40,674.57","-","-0.02%"
"Sep 18, 2019","40,930.24","40,508.53","40,932.54","40,502.05","-","0.82%"
"Sep 17, 2019","40,596.71","40,819.56","40,862.83","40,478.97","-","-0.55%"
