"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","69,894.88","65,851.19","69,971.59","65,759.83","-","6.14%"
"Nov 28, 2019","65,851.19","64,030.82","66,364.64","64,030.82","-","2.84%"
"Nov 27, 2019","64,030.82","60,293.50","64,581.05","60,293.50","-","6.20%"
"Nov 26, 2019","60,293.50","61,620.72","62,795.23","59,282.68","-","-2.15%"
"Nov 25, 2019","61,620.72","61,855.60","62,090.03","60,764.63","-","-0.38%"
"Nov 22, 2019","61,855.60","60,854.88","61,855.60","60,833.10","-","1.64%"
"Nov 21, 2019","60,854.88","61,699.10","61,972.64","59,698.55","-","-1.37%"
"Nov 20, 2019","61,699.10","61,523.12","62,173.42","61,523.12","-","0.29%"
"Nov 19, 2019","61,523.12","60,337.76","61,772.19","60,337.76","-","1.96%"
"Nov 18, 2019","60,337.76","59,196.79","60,406.83","59,196.79","-","1.93%"
"Nov 15, 2019","59,196.79","59,444.04","59,937.09","56,806.05","-","-0.42%"
"Nov 14, 2019","59,444.04","60,671.38","60,671.38","59,295.20","-","-2.02%"
"Nov 13, 2019","60,671.38","58,379.67","60,790.81","58,379.67","-","3.93%"
"Nov 12, 2019","58,379.67","57,077.23","58,578.92","57,077.23","-","2.28%"
"Nov 11, 2019","57,077.23","53,039.07","57,077.23","53,039.07","-","7.61%"
"Nov 08, 2019","53,039.07","51,582.28","53,039.07","51,452.33","-","2.82%"
"Nov 07, 2019","51,582.28","48,085.34","51,582.28","48,085.34","-","7.27%"
"Nov 06, 2019","48,085.34","48,124.21","48,909.16","48,085.34","-","-0.08%"
"Nov 05, 2019","48,124.21","47,448.60","48,445.39","47,354.09","-","1.42%"
"Nov 01, 2019","47,448.60","47,772.07","49,690.66","47,326.22","-","-0.68%"
"Oct 31, 2019","47,772.07","51,203.09","51,539.43","47,343.41","-","-6.70%"
"Oct 30, 2019","51,203.09","50,903.59","51,478.81","50,694.96","-","0.59%"
"Oct 29, 2019","50,903.59","48,363.06","50,927.07","48,363.06","-","5.25%"
"Oct 28, 2019","48,363.06","48,929.00","49,670.77","48,363.06","-","-1.16%"
"Oct 25, 2019","48,929.00","48,282.34","50,513.75","48,282.33","-","1.34%"
"Oct 24, 2019","48,282.33","47,219.16","49,034.66","47,206.93","-","2.25%"
"Oct 23, 2019","47,219.16","45,008.61","47,374.06","45,008.61","-","4.91%"
"Oct 22, 2019","45,008.61","46,005.59","46,040.50","44,879.18","-","-2.17%"
"Oct 21, 2019","46,005.59","46,665.85","46,958.89","45,438.92","-","-1.41%"
"Oct 18, 2019","46,665.85","49,011.30","49,165.76","46,665.85","-","-4.79%"
"Oct 17, 2019","49,011.30","50,027.36","50,027.36","49,011.03","-","-2.03%"
"Oct 16, 2019","50,027.36","51,073.71","51,108.00","49,858.23","-","-2.05%"
"Oct 15, 2019","51,073.71","51,182.02","51,473.70","50,708.19","-","-0.21%"
"Oct 14, 2019","51,182.02","51,782.03","51,782.03","51,015.55","-","-1.16%"
"Oct 11, 2019","51,782.03","52,693.42","52,803.57","51,416.46","-","-1.73%"
"Oct 10, 2019","52,693.42","52,777.46","52,867.34","52,491.27","-","-0.16%"
"Oct 09, 2019","52,777.46","50,718.06","52,777.46","50,718.06","-","4.06%"
"Oct 08, 2019","50,718.06","49,633.87","50,718.06","49,633.87","-","2.18%"
"Oct 07, 2019","49,633.87","49,080.14","49,706.68","48,776.63","-","1.13%"
"Oct 04, 2019","49,080.14","47,289.88","49,824.70","47,289.88","-","3.79%"
"Oct 03, 2019","47,289.88","47,532.78","47,636.87","47,011.74","-","-0.51%"
"Oct 02, 2019","47,532.78","48,701.24","48,750.57","46,881.71","-","-2.40%"
"Oct 01, 2019","48,701.24","48,856.03","49,133.68","48,490.32","-","-0.32%"
"Sep 30, 2019","48,856.03","50,041.31","50,100.34","48,653.41","-","-2.37%"
"Sep 27, 2019","50,041.31","50,027.58","51,042.77","49,739.21","-","0.03%"
"Sep 26, 2019","50,027.58","50,446.36","50,485.12","49,881.27","-","-0.83%"
"Sep 25, 2019","50,446.36","50,737.74","50,762.25","49,484.87","-","-0.57%"
"Sep 24, 2019","50,737.74","52,152.92","52,242.09","50,671.37","-","-2.71%"
"Sep 23, 2019","52,152.92","50,094.05","52,153.61","50,078.85","-","4.11%"
"Sep 20, 2019","50,094.05","48,061.26","50,107.04","47,670.58","-","4.23%"
"Sep 19, 2019","48,061.26","50,330.50","50,486.38","47,158.22","-","-4.51%"
"Sep 18, 2019","50,330.50","53,618.39","54,585.61","50,274.33","-","-6.13%"
"Sep 17, 2019","53,618.39","55,768.93","56,621.34","53,614.84","-","-3.86%"
"Sep 13, 2019","55,768.93","59,166.63","59,361.81","55,753.73","-","-5.74%"
"Sep 12, 2019","59,166.63","60,554.32","60,981.29","58,197.41","-","-2.29%"
"Sep 11, 2019","60,554.32","61,085.03","61,582.23","60,438.32","-","-0.87%"
"Sep 10, 2019","61,085.03","60,990.52","62,026.69","60,990.52","-","0.15%"
"Sep 09, 2019","60,990.52","61,829.11","61,896.81","60,962.36","-","-1.36%"
"Sep 06, 2019","61,829.11","62,004.30","62,435.89","61,719.41","-","-0.28%"
"Sep 05, 2019","62,004.30","55,056.65","66,458.16","55,014.59","-","12.62%"
"Sep 04, 2019","55,056.66","56,020.79","56,739.20","55,056.66","-","-1.72%"
"Sep 03, 2019","56,020.79","56,574.99","57,121.55","55,419.96","-","-0.98%"
"Sep 02, 2019","56,574.99","55,583.02","57,457.36","55,544.64","-","1.78%"
"Aug 30, 2019","55,583.02","52,340.74","55,583.02","51,839.97","-","6.19%"
"Aug 29, 2019","52,340.74","49,680.50","52,843.03","49,680.50","-","5.35%"
"Aug 28, 2019","49,680.50","48,540.65","49,700.04","48,540.65","-","2.35%"
"Aug 27, 2019","48,540.65","45,186.26","50,633.14","45,186.26","-","7.42%"
"Aug 26, 2019","45,186.26","45,196.02","45,638.10","45,109.00","-","-0.02%"
