"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","1,995.61","1,995.61","1,995.61","1,995.61","-","0.05%"
"Nov 28, 2019","1,994.64","1,994.64","1,994.64","1,994.64","-","0.16%"
"Nov 27, 2019","1,991.53","1,991.53","1,991.53","1,991.53","-","-0.15%"
"Nov 26, 2019","1,994.43","1,994.43","1,994.43","1,994.43","-","0.03%"
"Nov 25, 2019","1,993.75","1,993.75","1,993.75","1,993.75","-","-0.48%"
"Nov 22, 2019","2,003.27","2,003.27","2,003.27","2,003.27","-","0.13%"
"Nov 21, 2019","2,000.63","2,000.63","2,000.63","2,000.63","-","0.30%"
"Nov 20, 2019","1,994.61","1,994.61","1,994.61","1,994.61","-","0.01%"
"Nov 19, 2019","1,994.41","1,994.41","1,994.41","1,994.41","-","0.32%"
"Nov 18, 2019","1,988.09","1,988.09","1,988.09","1,988.09","-","0.54%"
"Nov 15, 2019","1,977.48","1,977.48","1,977.48","1,977.48","-","0.16%"
"Nov 14, 2019","1,974.34","1,974.34","1,974.34","1,974.34","-","0.24%"
"Nov 13, 2019","1,969.64","1,969.64","1,969.64","1,969.64","-","-0.07%"
"Nov 12, 2019","1,971.08","1,971.08","1,971.08","1,971.08","-","-0.05%"
"Nov 11, 2019","1,972.14","1,972.14","1,972.14","1,972.14","-","-0.20%"
"Nov 08, 2019","1,976.01","1,976.01","1,976.01","1,976.01","-","0.05%"
"Nov 07, 2019","1,975.07","1,975.07","1,975.07","1,975.07","-","-0.08%"
"Nov 06, 2019","1,976.64","1,976.64","1,976.64","1,976.64","-","-0.10%"
"Nov 05, 2019","1,978.69","1,978.69","1,978.69","1,978.69","-","-1.04%"
"Nov 04, 2019","1,999.43","1,999.43","1,999.43","1,999.43","-","0.37%"
"Oct 31, 2019","1,991.98","1,991.98","1,991.98","1,991.98","-","-0.51%"
"Oct 30, 2019","2,002.26","2,002.26","2,002.26","2,002.26","-","-0.74%"
"Oct 29, 2019","2,017.10","2,017.10","2,017.10","2,017.10","-","0.12%"
"Oct 28, 2019","2,014.73","2,014.73","2,014.73","2,014.73","-","0.11%"
"Oct 25, 2019","2,012.55","2,012.55","2,012.55","2,012.55","-","-0.41%"
"Oct 24, 2019","2,020.90","2,020.90","2,020.90","2,020.90","-","0.18%"
"Oct 23, 2019","2,017.20","2,017.20","2,017.20","2,017.20","-","0.44%"
"Oct 22, 2019","2,008.30","2,008.30","2,008.30","2,008.30","-","0.01%"
"Oct 21, 2019","2,008.19","2,008.19","2,008.19","2,008.19","-","-0.24%"
"Oct 18, 2019","2,013.05","2,013.05","2,013.05","2,013.05","-","0.09%"
"Oct 17, 2019","2,011.29","2,011.29","2,011.29","2,011.29","-","0.68%"
"Oct 16, 2019","1,997.62","1,997.62","1,997.62","1,997.62","-","-0.16%"
"Oct 15, 2019","2,000.79","2,000.79","2,000.79","2,000.79","-","0.73%"
"Oct 14, 2019","1,986.31","1,986.31","1,986.31","1,986.31","-","2.10%"
"Oct 11, 2019","1,945.55","1,945.55","1,945.55","1,945.55","-","0.26%"
"Oct 10, 2019","1,940.56","1,940.56","1,940.56","1,940.56","-","0.58%"
"Oct 09, 2019","1,929.28","1,929.28","1,929.28","1,929.28","-","-0.01%"
"Oct 07, 2019","1,929.55","1,929.55","1,929.55","1,929.55","-","0.15%"
"Oct 04, 2019","1,926.57","1,926.57","1,926.57","1,926.57","-","0.03%"
"Oct 03, 2019","1,926.05","1,926.05","1,926.05","1,926.05","-","-1.14%"
"Oct 02, 2019","1,948.21","1,948.21","1,948.21","1,948.21","-","-0.28%"
"Oct 01, 2019","1,953.77","1,953.77","1,953.77","1,953.77","-","-0.50%"
"Sep 30, 2019","1,963.54","1,963.54","1,963.54","1,963.54","-","-0.77%"
"Sep 27, 2019","1,978.73","1,978.73","1,978.73","1,978.73","-","0.97%"
"Sep 26, 2019","1,959.70","1,959.70","1,959.70","1,959.70","-","1.29%"
"Sep 25, 2019","1,934.67","1,934.67","1,934.67","1,934.67","-","0.60%"
"Sep 24, 2019","1,923.06","1,923.06","1,923.06","1,923.06","-","0.09%"
"Sep 23, 2019","1,921.25","1,921.25","1,921.25","1,921.25","-","1.13%"
"Sep 20, 2019","1,899.75","1,899.75","1,899.75","1,899.75","-","0.14%"
"Sep 19, 2019","1,897.16","1,897.16","1,897.16","1,897.16","-","0.18%"
"Sep 18, 2019","1,893.77","1,893.77","1,893.77","1,893.77","-","0.42%"
"Sep 17, 2019","1,885.80","1,885.80","1,885.80","1,885.80","-","-0.49%"
"Sep 16, 2019","1,895.07","1,895.07","1,895.07","1,895.07","-","0.60%"
"Sep 13, 2019","1,883.68","1,883.68","1,883.68","1,883.68","-","-0.43%"
"Sep 12, 2019","1,891.79","1,891.79","1,891.79","1,891.79","-","0.62%"
"Sep 11, 2019","1,880.09","1,880.09","1,880.09","1,880.09","-","-0.06%"
"Sep 10, 2019","1,881.28","1,881.28","1,881.28","1,881.28","-","0.77%"
"Sep 09, 2019","1,866.96","1,866.96","1,866.96","1,866.96","-","0.12%"
"Sep 06, 2019","1,864.80","1,864.80","1,864.80","1,864.80","-","-0.06%"
"Sep 05, 2019","1,865.86","1,865.86","1,865.86","1,865.86","-","-0.19%"
"Sep 04, 2019","1,869.35","1,869.35","1,869.35","1,869.35","-","0.06%"
"Sep 03, 2019","1,868.16","1,868.16","1,868.16","1,868.16","-","0.12%"
"Sep 02, 2019","1,865.99","1,865.99","1,865.99","1,865.99","-","-0.39%"
"Aug 30, 2019","1,873.36","1,873.36","1,873.36","1,873.36","-","-0.12%"
"Aug 29, 2019","1,875.69","1,875.69","1,875.69","1,875.69","-","0.65%"
"Aug 28, 2019","1,863.58","1,863.58","1,863.58","1,863.58","-","-0.50%"
"Aug 27, 2019","1,872.87","1,872.87","1,872.87","1,872.87","-","-0.05%"
"Aug 26, 2019","1,873.74","1,873.74","1,873.74","1,873.74","-","-0.03%"
"Aug 23, 2019","1,874.25","1,874.25","1,874.25","1,874.25","-","0.07%"
"Aug 22, 2019","1,872.95","1,872.95","1,872.95","1,872.95","-","-0.45%"
"Aug 21, 2019","1,881.46","1,881.46","1,881.46","1,881.46","-","0.29%"
"Aug 20, 2019","1,875.95","1,875.95","1,875.95","1,875.95","-","-0.13%"
"Aug 19, 2019","1,878.43","1,878.43","1,878.43","1,878.43","-","-0.24%"
"Aug 16, 2019","1,882.97","1,882.97","1,882.97","1,882.97","-","-0.41%"
"Aug 14, 2019","1,890.63","1,890.63","1,890.63","1,890.63","-","0.26%"
"Aug 13, 2019","1,885.68","1,885.68","1,885.68","1,885.68","-","-0.45%"
"Aug 12, 2019","1,894.12","1,894.12","1,894.12","1,894.12","-","-0.26%"
"Aug 09, 2019","1,899.04","1,899.04","1,899.04","1,899.04","-","0.07%"
"Aug 08, 2019","1,897.72","1,897.72","1,897.72","1,897.72","-","-0.09%"
"Aug 07, 2019","1,899.52","1,899.52","1,899.52","1,899.52","-","0.08%"
"Aug 06, 2019","1,897.97","1,897.97","1,897.97","1,897.97","-","-0.33%"
"Aug 02, 2019","1,904.28","1,904.28","1,904.28","1,904.28","-","-0.37%"
"Aug 01, 2019","1,911.40","1,911.40","1,911.40","1,911.40","-","-0.01%"
"Jul 31, 2019","1,911.58","1,911.58","1,911.58","1,911.58","-","-0.61%"
"Jul 30, 2019","1,923.22","1,923.22","1,923.22","1,923.22","-","0.08%"
"Jul 29, 2019","1,921.71","1,921.71","1,921.71","1,921.71","-","-0.32%"
"Jul 26, 2019","1,927.89","1,927.89","1,927.89","1,927.89","-","0.48%"
"Jul 25, 2019","1,918.62","1,918.62","1,918.62","1,918.62","-","0.20%"
"Jul 24, 2019","1,914.83","1,914.83","1,914.83","1,914.83","-","0.14%"
"Jul 23, 2019","1,912.15","1,912.15","1,912.15","1,912.15","-","-0.21%"
"Jul 22, 2019","1,916.19","1,916.19","1,916.19","1,916.19","-","0.13%"
"Jul 19, 2019","1,913.74","1,913.74","1,913.74","1,913.74","-","0.54%"
"Jul 18, 2019","1,903.43","1,903.43","1,903.43","1,903.43","-","0.70%"
"Jul 17, 2019","1,890.27","1,890.27","1,890.27","1,890.27","-","-0.57%"
"Jul 16, 2019","1,901.20","1,901.20","1,901.20","1,901.20","-","0.52%"
"Jul 15, 2019","1,891.36","1,891.36","1,891.36","1,891.36","-","-0.03%"
