"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","9,560.99","9,560.99","9,560.99","9,560.99","9.56K","0.00%"
"Nov 28, 2019","9,560.99","9,560.99","9,560.99","9,560.99","9.56K","-0.00%"
"Nov 27, 2019","9,561.00","9,561.00","9,561.00","9,561.00","9.56K","-0.00%"
"Nov 26, 2019","9,561.01","9,561.01","9,561.01","9,561.01","9.56K","0.00%"
"Nov 25, 2019","9,561.01","9,561.01","9,561.01","9,561.01","9.56K","0.75%"
"Nov 22, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 21, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 20, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 19, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 18, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 15, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 14, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 13, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 12, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.00%"
"Nov 11, 2019","9,490.00","9,490.00","9,490.00","9,490.00","9.49K","0.75%"
"Nov 08, 2019","9,418.99","9,418.99","9,418.99","9,418.99","9.42K","0.00%"
"Nov 07, 2019","9,418.99","9,418.99","9,418.99","9,418.99","9.42K","0.00%"
"Nov 06, 2019","9,418.99","9,418.99","9,418.99","9,418.99","9.42K","0.30%"
"Nov 05, 2019","9,390.58","9,390.58","9,390.58","9,390.58","9.39K","0.00%"
"Nov 04, 2019","9,390.58","9,390.58","9,390.58","9,390.58","9.39K","-0.00%"
"Nov 01, 2019","9,390.60","9,390.60","9,390.60","9,390.60","9.39K","0.00%"
"Oct 31, 2019","9,390.60","9,390.60","9,390.60","9,390.60","9.39K","0.00%"
"Oct 30, 2019","9,390.60","9,390.60","9,390.60","9,390.60","9.39K","0.60%"
"Oct 29, 2019","9,334.62","9,334.62","9,334.62","9,334.62","9.34K","0.66%"
"Oct 28, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","0.00%"
"Oct 25, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","0.00%"
"Oct 24, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","0.00%"
"Oct 23, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","0.00%"
"Oct 22, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","0.00%"
"Oct 21, 2019","9,273.47","9,273.47","9,273.47","9,273.47","9.27K","-0.56%"
"Oct 18, 2019","9,325.40","9,325.40","9,325.40","9,325.40","9.33K","4.17%"
"Oct 17, 2019","8,951.87","8,951.87","8,951.87","8,951.87","8.95K","0.36%"
"Oct 16, 2019","8,919.55","8,919.55","8,919.55","8,919.55","8.92K","0.00%"
"Oct 15, 2019","8,919.55","8,919.55","8,919.55","8,919.55","8.92K","-0.44%"
"Oct 14, 2019","8,958.60","8,958.60","8,958.60","8,958.60","8.96K","-0.00%"
"Oct 11, 2019","8,958.74","8,958.74","8,958.74","8,958.74","8.96K","-0.01%"
"Oct 10, 2019","8,959.30","8,959.30","8,959.30","8,959.30","8.96K","-0.15%"
"Oct 09, 2019","8,972.74","8,972.74","8,972.74","8,972.74","8.97K","-0.17%"
"Oct 08, 2019","8,988.00","8,988.00","8,988.00","8,988.00","8.99K","0.00%"
"Oct 07, 2019","8,988.00","8,988.00","8,988.00","8,988.00","8.99K","0.00%"
"Oct 04, 2019","8,988.00","8,988.00","8,988.00","8,988.00","8.99K","-0.02%"
"Oct 03, 2019","8,989.55","8,989.55","8,989.55","8,989.55","8.99K","0.00%"
