"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","46.87","46.49","47.08","46.01","-","0.82%"
"Nov 28, 2019","46.49","45.98","46.57","45.98","-","1.11%"
"Nov 27, 2019","45.98","46.55","46.65","45.94","-","-1.22%"
"Nov 26, 2019","46.55","46.75","46.77","46.34","-","-0.43%"
"Nov 25, 2019","46.75","46.65","46.97","46.18","-","0.21%"
"Nov 22, 2019","46.65","46.87","46.87","46.65","-","-0.47%"
"Nov 21, 2019","46.87","46.74","46.87","46.66","-","0.28%"
"Nov 20, 2019","46.74","46.73","46.88","46.61","-","0.02%"
"Nov 19, 2019","46.73","47.53","47.87","46.60","-","-1.68%"
"Nov 18, 2019","47.53","46.72","47.56","46.36","-","1.86%"
"Nov 15, 2019","46.66","46.71","46.84","46.54","-","-0.11%"
"Nov 14, 2019","46.71","46.64","46.84","46.53","-","0.15%"
"Nov 13, 2019","46.64","46.56","46.68","46.45","-","0.17%"
"Nov 12, 2019","46.56","46.21","46.56","45.88","-","0.76%"
"Nov 11, 2019","46.21","46.60","46.81","45.92","-","-0.84%"
"Nov 08, 2019","46.60","45.77","46.64","45.49","-","1.77%"
"Nov 07, 2019","45.79","46.03","46.13","45.79","-","-0.52%"
"Nov 06, 2019","46.03","45.58","46.20","45.25","-","0.99%"
"Nov 05, 2019","45.58","45.55","45.76","45.39","-","-0.26%"
"Nov 04, 2019","45.70","45.38","45.89","44.93","-","0.71%"
"Nov 01, 2019","45.38","45.88","45.95","45.09","-","-1.60%"
"Oct 31, 2019","46.12","46.17","46.17","45.74","-","-0.24%"
"Oct 30, 2019","46.23","45.76","46.88","45.76","-","0.81%"
"Oct 29, 2019","45.86","46.23","46.40","45.30","-","-0.93%"
"Oct 25, 2019","46.29","46.12","46.29","45.88","-","0.37%"
"Oct 24, 2019","46.12","45.79","46.32","45.72","-","0.72%"
"Oct 23, 2019","45.79","45.86","46.02","45.69","-","-0.15%"
"Oct 22, 2019","45.86","46.00","46.22","45.04","-","-0.30%"
"Oct 21, 2019","46.00","45.49","46.16","45.46","-","0.94%"
"Oct 18, 2019","45.57","45.69","46.01","45.47","-","-0.26%"
"Oct 17, 2019","45.69","46.07","46.11","45.41","-","-0.82%"
"Oct 16, 2019","46.07","45.97","46.26","45.62","-","0.22%"
"Oct 15, 2019","45.97","46.53","46.89","45.80","-","-1.20%"
"Oct 14, 2019","46.53","47.11","47.11","45.33","-","-0.64%"
"Oct 11, 2019","46.83","46.82","47.31","46.50","-","0.56%"
"Oct 10, 2019","46.57","45.29","46.71","45.29","-","3.28%"
"Oct 09, 2019","45.09","45.50","45.70","44.75","-","-1.31%"
"Oct 08, 2019","45.69","45.54","45.83","45.49","-","0.33%"
"Oct 07, 2019","45.54","45.97","46.12","45.36","-","-0.85%"
"Oct 04, 2019","45.93","45.15","46.31","45.05","-","1.73%"
"Oct 03, 2019","45.15","45.85","46.02","45.08","-","-1.35%"
"Oct 02, 2019","45.77","46.61","46.61","45.09","-","-1.84%"
"Sep 30, 2019","46.63","45.38","46.63","45.23","-","2.19%"
"Sep 27, 2019","45.63","45.62","45.88","44.91","-","0.02%"
"Sep 26, 2019","45.62","44.81","45.62","44.45","-","1.81%"
"Sep 25, 2019","44.81","44.88","45.50","44.69","-","-1.10%"
"Sep 24, 2019","45.31","45.44","45.44","44.87","-","-0.29%"
"Sep 23, 2019","45.44","46.23","46.29","45.14","-","-1.71%"
"Sep 20, 2019","46.23","45.54","46.23","45.32","-","0.96%"
"Sep 19, 2019","45.79","45.59","45.91","45.03","-","0.55%"
"Sep 18, 2019","45.54","46.04","46.04","45.07","-","-1.09%"
"Sep 17, 2019","46.04","45.86","46.12","45.34","-","0.39%"
"Sep 16, 2019","45.86","46.03","46.05","45.28","-","-0.46%"
"Sep 13, 2019","46.07","46.24","46.29","45.87","-","-0.37%"
"Sep 12, 2019","46.24","46.45","46.45","45.80","-","-0.69%"
"Sep 11, 2019","46.56","46.25","46.94","46.05","-","0.67%"
"Sep 10, 2019","46.25","46.43","46.45","45.97","-","-0.43%"
"Sep 09, 2019","46.45","47.56","47.56","46.39","-","-2.29%"
"Sep 06, 2019","47.54","47.72","48.38","47.37","-","-0.44%"
"Sep 05, 2019","47.75","48.21","48.24","47.59","-","-0.95%"
"Sep 04, 2019","48.21","47.74","48.21","47.37","-","0.31%"
"Sep 03, 2019","48.06","48.53","48.53","47.92","-","-0.72%"
"Sep 02, 2019","48.41","49.12","49.12","48.04","-","-1.37%"
"Aug 30, 2019","49.08","48.69","49.08","48.11","-","0.84%"
"Aug 29, 2019","48.67","48.20","48.67","47.91","-","0.98%"
"Aug 28, 2019","48.20","48.18","48.42","47.67","-","-0.29%"
"Aug 27, 2019","48.34","48.13","48.51","47.83","-","-0.33%"
"Aug 26, 2019","48.50","48.56","49.10","47.75","-","-0.12%"
"Aug 23, 2019","48.56","48.49","48.62","48.30","-","0.06%"
"Aug 22, 2019","48.53","48.36","48.77","48.36","-","0.71%"
"Aug 21, 2019","48.19","47.94","48.52","47.80","-","0.33%"
"Aug 20, 2019","48.03","48.05","48.14","47.45","-","-0.04%"
"Aug 19, 2019","48.05","48.21","48.21","47.59","-","-0.33%"
"Aug 16, 2019","48.21","47.99","48.23","47.87","-","0.46%"
"Aug 14, 2019","47.99","47.83","48.02","47.78","-","0.33%"
"Aug 13, 2019","47.83","49.35","49.35","47.74","-","-3.08%"
"Aug 12, 2019","49.35","49.12","49.35","48.52","-","0.41%"
"Aug 09, 2019","49.15","48.10","49.15","48.10","-","2.18%"
"Aug 08, 2019","48.10","48.11","48.47","47.69","-","-0.02%"
"Aug 07, 2019","48.11","47.43","48.43","47.39","-","1.65%"
"Aug 06, 2019","47.33","48.11","48.11","47.16","-","-1.62%"
"Aug 05, 2019","48.11","48.13","48.37","47.73","-","-0.04%"
"Aug 02, 2019","48.13","48.60","48.89","47.68","-","-0.97%"
"Aug 01, 2019","48.60","48.74","49.32","48.50","-","-0.29%"
"Jul 31, 2019","48.74","47.34","48.74","47.34","-","2.96%"
"Jul 30, 2019","47.34","48.31","48.49","47.24","-","-2.01%"
"Jul 29, 2019","48.31","48.40","48.78","47.76","-","-0.19%"
"Jul 26, 2019","48.40","48.77","48.77","47.94","-","-0.84%"
"Jul 25, 2019","48.81","48.15","48.81","48.15","-","1.37%"
"Jul 24, 2019","48.15","47.74","48.25","47.66","-","0.86%"
"Jul 23, 2019","47.74","47.88","48.26","47.68","-","-0.29%"
"Jul 22, 2019","47.88","48.41","48.41","47.88","-","-1.05%"
"Jul 19, 2019","48.39","48.31","48.53","48.06","-","-0.27%"
"Jul 18, 2019","48.52","48.90","48.91","48.35","-","-0.78%"
"Jul 17, 2019","48.90","49.18","49.18","48.69","-","-0.57%"
"Jul 16, 2019","49.18","49.48","49.52","49.08","-","-0.61%"
"Jul 15, 2019","49.48","49.83","49.91","49.29","-","-0.70%"
"Jul 12, 2019","49.83","50.29","50.29","49.55","-","-0.91%"
"Jul 11, 2019","50.29","49.59","50.62","49.59","-","1.41%"
"Jul 10, 2019","49.59","49.40","49.74","49.06","-","0.38%"
