"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","1,647.70","1,646.33","1,656.10","1,644.04","-","0.08%"
"Nov 27, 2019","1,646.33","1,634.79","1,652.87","1,634.79","-","0.71%"
"Nov 26, 2019","1,634.79","1,635.85","1,640.69","1,628.69","-","-0.06%"
"Nov 25, 2019","1,635.85","1,638.16","1,640.63","1,630.77","-","-0.14%"
"Nov 24, 2019","1,638.16","1,650.63","1,656.10","1,635.41","-","-0.76%"
"Nov 21, 2019","1,650.63","1,645.30","1,656.71","1,645.30","-","0.32%"
"Nov 20, 2019","1,645.30","1,661.22","1,663.60","1,643.54","-","-0.96%"
"Nov 19, 2019","1,661.22","1,652.15","1,666.22","1,651.68","-","0.55%"
"Nov 18, 2019","1,652.15","1,642.36","1,654.17","1,642.36","-","0.60%"
"Nov 17, 2019","1,642.36","1,638.24","1,644.62","1,636.35","-","0.25%"
"Nov 14, 2019","1,638.24","1,647.05","1,648.37","1,629.11","-","-0.53%"
"Nov 13, 2019","1,647.05","1,664.31","1,665.64","1,644.17","-","-1.04%"
"Nov 12, 2019","1,664.31","1,664.35","1,667.42","1,659.31","-","-0.00%"
"Nov 11, 2019","1,664.35","1,657.91","1,666.32","1,657.91","-","0.39%"
"Nov 07, 2019","1,657.91","1,654.19","1,662.42","1,654.19","-","0.22%"
"Nov 06, 2019","1,654.19","1,637.14","1,655.16","1,637.14","-","1.04%"
"Nov 05, 2019","1,637.14","1,626.60","1,638.75","1,626.09","-","0.65%"
"Nov 04, 2019","1,626.60","1,638.35","1,640.20","1,621.81","-","-0.72%"
"Nov 03, 2019","1,638.35","1,627.74","1,638.92","1,627.74","-","0.65%"
"Oct 31, 2019","1,627.74","1,631.47","1,637.95","1,615.73","-","-0.23%"
"Oct 30, 2019","1,631.47","1,635.50","1,643.16","1,631.47","-","-0.25%"
"Oct 29, 2019","1,635.50","1,648.94","1,656.26","1,630.52","-","-0.82%"
"Oct 28, 2019","1,648.94","1,668.36","1,670.62","1,645.74","-","-1.16%"
"Oct 27, 2019","1,668.36","1,675.09","1,680.77","1,663.55","-","-0.40%"
"Oct 24, 2019","1,675.09","1,659.33","1,677.59","1,657.40","-","0.95%"
"Oct 23, 2019","1,659.33","1,660.88","1,664.15","1,651.72","-","-0.09%"
"Oct 22, 2019","1,660.88","1,675.49","1,679.07","1,654.69","-","-0.87%"
"Oct 21, 2019","1,675.49","1,685.95","1,687.32","1,671.55","-","-0.62%"
"Oct 20, 2019","1,685.95","1,679.02","1,688.44","1,674.08","-","0.41%"
"Oct 17, 2019","1,679.02","1,685.46","1,685.46","1,671.22","-","-0.38%"
"Oct 16, 2019","1,685.46","1,704.12","1,706.02","1,681.79","-","-1.09%"
"Oct 15, 2019","1,704.12","1,669.89","1,707.41","1,669.89","-","2.05%"
"Oct 14, 2019","1,669.89","1,689.16","1,691.83","1,668.82","-","-1.14%"
"Oct 13, 2019","1,689.16","1,704.54","1,707.55","1,688.70","-","-0.90%"
"Oct 10, 2019","1,704.54","1,724.90","1,726.23","1,702.65","-","-1.18%"
"Oct 09, 2019","1,724.90","1,739.48","1,743.73","1,723.48","-","-0.84%"
"Oct 07, 2019","1,739.48","1,747.67","1,748.95","1,732.18","-","-0.47%"
"Oct 06, 2019","1,747.67","1,755.23","1,759.49","1,744.34","-","-0.43%"
"Oct 03, 2019","1,755.23","1,758.50","1,762.60","1,752.15","-","-0.19%"
"Oct 02, 2019","1,758.50","1,760.21","1,760.97","1,753.27","-","-0.07%"
"Oct 01, 2019","1,759.75","1,759.96","1,762.85","1,753.79","-","-0.01%"
"Sep 30, 2019","1,759.96","1,767.98","1,773.12","1,758.36","-","-0.45%"
"Sep 29, 2019","1,767.98","1,768.94","1,775.21","1,763.99","-","-0.05%"
"Sep 26, 2019","1,768.94","1,766.71","1,776.34","1,766.71","-","0.13%"
"Sep 25, 2019","1,766.71","1,774.11","1,777.49","1,756.30","-","-0.42%"
"Sep 24, 2019","1,774.11","1,789.97","1,794.94","1,772.44","-","-0.89%"
"Sep 23, 2019","1,789.97","1,766.52","1,800.46","1,766.52","-","1.33%"
"Sep 22, 2019","1,766.52","1,735.93","1,770.28","1,735.93","-","1.76%"
"Sep 19, 2019","1,735.93","1,735.85","1,756.51","1,730.11","-","0.00%"
"Sep 18, 2019","1,735.85","1,751.81","1,762.19","1,734.62","-","-0.91%"
"Sep 17, 2019","1,751.81","1,755.74","1,767.21","1,750.39","-","-0.22%"
"Sep 16, 2019","1,755.74","1,738.93","1,756.37","1,738.31","-","0.97%"
"Sep 15, 2019","1,738.93","1,737.06","1,740.22","1,728.69","-","0.11%"
"Sep 12, 2019","1,737.06","1,736.18","1,738.18","1,723.41","-","0.05%"
"Sep 11, 2019","1,736.18","1,758.11","1,761.70","1,734.24","-","-1.25%"
"Sep 09, 2019","1,758.11","1,766.76","1,771.03","1,757.00","-","-0.49%"
"Sep 08, 2019","1,766.76","1,758.20","1,769.76","1,758.20","-","0.49%"
"Sep 05, 2019","1,758.20","1,748.41","1,764.70","1,748.41","-","0.56%"
"Sep 04, 2019","1,748.41","1,759.11","1,765.54","1,743.98","-","-0.61%"
"Sep 03, 2019","1,759.11","1,775.00","1,780.52","1,757.16","-","-0.90%"
"Sep 02, 2019","1,775.00","1,791.43","1,796.28","1,774.35","-","-0.92%"
