"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","13,849.46","13,759.70","13,866.63","13,744.60","46.58M","0.65%"
"Nov 27, 2019","13,759.70","13,781.96","13,812.13","13,759.16","34.22M","-0.16%"
"Nov 26, 2019","13,781.96","13,974.14","13,974.81","13,781.49","76.59M","-1.38%"
"Nov 25, 2019","13,974.14","14,050.16","14,052.59","13,974.14","51.49M","-0.54%"
"Nov 24, 2019","14,050.16","14,094.58","14,094.58","14,050.16","27.77M","-0.32%"
"Nov 21, 2019","14,094.58","14,224.38","14,224.38","14,094.58","70.29M","-0.91%"
"Nov 20, 2019","14,224.38","14,313.46","14,314.24","14,223.82","61.80M","-0.62%"
"Nov 19, 2019","14,313.46","14,378.59","14,406.21","14,313.46","71.85M","-0.45%"
"Nov 18, 2019","14,378.59","14,556.32","14,556.39","14,378.59","73.68M","-1.22%"
"Nov 17, 2019","14,556.32","14,545.54","14,572.80","14,528.78","74.25M","0.07%"
"Nov 14, 2019","14,545.54","14,607.69","14,610.10","14,507.63","84.44M","-0.43%"
"Nov 13, 2019","14,607.69","14,669.98","14,686.71","14,607.69","72.14M","-0.42%"
"Nov 12, 2019","14,669.98","14,769.95","14,787.48","14,669.98","123.86M","-0.68%"
"Nov 11, 2019","14,769.95","14,795.87","14,831.20","14,769.95","94.67M","-0.18%"
"Nov 07, 2019","14,795.87","14,709.79","14,797.23","14,709.79","71.93M","0.59%"
"Nov 06, 2019","14,709.79","14,789.61","14,794.75","14,709.54","96.35M","-0.54%"
"Nov 05, 2019","14,789.61","14,625.78","14,798.00","14,625.78","87.55M","1.12%"
"Nov 04, 2019","14,625.78","14,622.75","14,675.16","14,604.17","77.05M","0.02%"
"Nov 03, 2019","14,622.75","14,558.02","14,650.51","14,558.02","112.10M","0.44%"
"Oct 31, 2019","14,558.02","14,477.79","14,561.37","14,468.22","187.11M","0.55%"
"Oct 30, 2019","14,477.79","14,465.47","14,525.09","14,465.47","111.53M","0.09%"
"Oct 29, 2019","14,465.47","14,301.09","14,465.84","14,299.67","156.04M","1.15%"
"Oct 28, 2019","14,301.09","14,237.39","14,340.00","14,236.94","114.31M","0.45%"
"Oct 27, 2019","14,237.39","14,206.67","14,256.82","14,205.97","135.92M","0.22%"
"Oct 24, 2019","14,206.67","14,126.51","14,223.14","14,125.57","101.53M","0.57%"
"Oct 23, 2019","14,126.51","14,201.32","14,201.84","14,078.20","101.53M","-0.53%"
"Oct 22, 2019","14,201.32","14,178.51","14,224.58","14,155.94","130.80M","0.16%"
"Oct 21, 2019","14,178.51","14,239.45","14,267.65","14,176.52","84.10M","-0.43%"
"Oct 20, 2019","14,239.45","14,205.86","14,253.58","14,191.24","48.49M","0.24%"
"Oct 17, 2019","14,205.86","14,209.23","14,283.21","14,203.30","138.03M","-0.02%"
"Oct 16, 2019","14,209.23","14,060.82","14,209.23","14,060.82","140.14M","1.06%"
"Oct 15, 2019","14,060.82","14,180.76","14,180.76","14,057.02","77.60M","-0.85%"
"Oct 14, 2019","14,180.76","14,220.47","14,266.70","14,179.64","83.15M","-0.28%"
"Oct 13, 2019","14,220.47","14,302.27","14,314.75","14,207.88","46.96M","-0.57%"
"Oct 10, 2019","14,302.27","14,182.70","14,337.03","14,181.99","84.40M","0.84%"
