"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","683.77","683.77","683.77","683.77","-","2.29%"
"Nov 28, 2019","668.46","668.46","668.46","668.46","-","0.37%"
"Nov 27, 2019","666.02","666.02","666.02","666.02","-","-0.10%"
"Nov 26, 2019","666.71","666.71","666.71","666.71","-","-0.02%"
"Nov 25, 2019","666.84","666.84","666.84","666.84","-","-0.22%"
"Nov 22, 2019","668.32","668.32","668.32","668.32","-","0.07%"
"Nov 21, 2019","667.83","667.83","667.83","667.83","-","0.00%"
"Nov 20, 2019","667.83","667.83","667.83","667.83","-","-0.09%"
"Nov 19, 2019","668.40","668.40","668.40","668.40","-","0.11%"
"Nov 18, 2019","667.66","667.66","667.66","667.66","-","-0.22%"
"Nov 15, 2019","669.15","669.15","669.15","669.15","-","0.20%"
"Nov 14, 2019","667.83","667.83","667.83","667.83","-","-0.55%"
"Nov 13, 2019","671.55","671.55","671.55","671.55","-","0.22%"
"Nov 12, 2019","670.07","670.07","670.07","670.07","-","0.00%"
"Nov 11, 2019","670.07","670.07","670.07","670.07","-","-0.14%"
"Nov 08, 2019","670.98","670.98","670.98","670.98","-","0.00%"
"Nov 07, 2019","670.98","670.98","670.98","670.98","-","-0.11%"
"Nov 06, 2019","671.73","671.73","671.73","671.73","-","0.03%"
"Nov 05, 2019","671.54","671.54","671.54","671.54","-","0.03%"
"Oct 31, 2019","671.37","671.37","671.37","671.37","-","0.11%"
"Oct 30, 2019","670.62","670.62","670.62","670.62","-","-0.22%"
"Oct 29, 2019","672.11","672.11","672.11","672.11","-","0.11%"
"Oct 28, 2019","671.37","671.37","671.37","671.37","-","-0.01%"
"Oct 25, 2019","671.46","671.46","671.46","671.46","-","0.11%"
"Oct 24, 2019","670.72","670.72","670.72","670.72","-","-2.40%"
"Oct 23, 2019","687.21","687.21","687.21","687.21","-","-0.14%"
"Oct 22, 2019","688.17","688.17","688.17","688.17","-","-0.11%"
"Oct 21, 2019","688.91","688.91","688.91","688.91","-","3.09%"
"Oct 18, 2019","668.27","668.27","668.27","668.27","-","-0.03%"
"Oct 17, 2019","668.45","668.45","668.45","668.45","-","0.00%"
"Oct 16, 2019","668.45","668.45","668.45","668.45","-","-0.11%"
"Oct 15, 2019","669.19","669.19","669.19","669.19","-","0.00%"
"Oct 14, 2019","669.19","669.19","669.19","669.19","-","0.11%"
"Oct 10, 2019","668.45","668.45","668.45","668.45","-","-0.11%"
"Oct 09, 2019","669.19","669.19","669.19","669.19","-","0.19%"
"Oct 08, 2019","667.93","667.93","667.93","667.93","-","-0.22%"
"Oct 07, 2019","669.42","669.42","669.42","669.42","-","0.22%"
"Oct 04, 2019","667.93","667.93","667.93","667.93","-","-0.11%"
"Oct 03, 2019","668.69","668.69","668.69","668.69","-","0.11%"
"Oct 02, 2019","667.95","667.95","667.95","667.95","-","0.22%"
"Oct 01, 2019","666.46","666.46","666.46","666.46","-","-0.22%"
"Sep 30, 2019","667.95","667.95","667.95","667.95","-","0.11%"
