"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","5,254.77","5,254.77","5,254.77","5,254.77","-","0.43%"
"Nov 28, 2019","5,232.26","5,170.05","5,232.26","5,170.05","-","1.20%"
"Nov 27, 2019","5,170.05","5,170.05","5,170.05","5,170.05","-","-0.73%"
"Nov 26, 2019","5,207.89","5,207.89","5,207.89","5,207.89","-","-0.36%"
"Nov 25, 2019","5,226.59","5,226.59","5,226.59","5,226.59","-","-1.30%"
"Nov 22, 2019","5,295.41","5,295.41","5,295.41","5,295.41","-","0.93%"
"Nov 21, 2019","5,246.59","5,246.59","5,246.59","5,246.59","-","-0.17%"
"Nov 20, 2019","5,255.47","5,255.47","5,255.47","5,255.47","-","-0.65%"
"Nov 19, 2019","5,289.83","5,289.83","5,289.83","5,289.83","-","-1.02%"
"Nov 18, 2019","5,344.11","5,344.11","5,344.11","5,344.11","-","-0.30%"
"Nov 15, 2019","5,360.01","5,360.01","5,360.01","5,360.01","-","0.85%"
"Nov 14, 2019","5,314.60","5,314.60","5,314.60","5,314.60","-","-0.61%"
"Nov 13, 2019","5,347.06","5,347.06","5,347.06","5,347.06","-","-0.50%"
"Nov 12, 2019","5,373.77","5,373.77","5,373.77","5,373.77","-","-0.11%"
"Nov 11, 2019","5,379.78","5,379.78","5,379.78","5,379.78","-","0.00%"
"Nov 08, 2019","5,379.78","5,379.78","5,379.78","5,379.78","-","-1.31%"
"Nov 07, 2019","5,451.25","5,451.25","5,451.25","5,451.25","-","-0.07%"
"Nov 06, 2019","5,454.94","5,454.94","5,454.94","5,454.94","-","-0.61%"
"Nov 05, 2019","5,488.60","5,488.60","5,488.60","5,488.60","-","1.88%"
"Nov 04, 2019","5,387.35","5,387.35","5,387.35","5,387.35","-","0.00%"
"Nov 01, 2019","5,387.35","5,387.35","5,387.35","5,387.35","-","0.88%"
"Oct 31, 2019","5,340.58","5,340.58","5,340.58","5,340.58","-","0.10%"
"Oct 30, 2019","5,335.42","5,335.42","5,335.42","5,335.42","-","-0.19%"
"Oct 29, 2019","5,345.36","5,345.36","5,345.36","5,345.36","-","0.85%"
"Oct 28, 2019","5,300.40","5,300.40","5,300.40","5,300.40","-","-0.39%"
