"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","23,259.33","23,267.74","23,425.30","23,206.91","265.98M","-0.36%"
"Nov 28, 2019","23,342.42","23,401.35","23,481.09","23,270.48","237.62M","-0.61%"
"Nov 27, 2019","23,485.03","23,624.06","23,651.44","23,451.85","332.17M","-0.26%"
"Nov 26, 2019","23,546.58","23,475.62","23,570.10","23,359.16","473.71M","0.34%"
"Nov 25, 2019","23,467.25","23,398.04","23,496.51","23,383.64","297.10M","0.89%"
"Nov 22, 2019","23,259.80","23,325.33","23,461.58","23,254.67","372.92M","-0.09%"
"Nov 21, 2019","23,279.78","23,194.58","23,371.80","23,104.98","477.10M","-0.31%"
"Nov 20, 2019","23,351.78","23,220.59","23,384.30","23,149.95","419.63M","0.10%"
"Nov 19, 2019","23,329.21","23,520.12","23,660.49","23,303.44","374.66M","-0.57%"
"Nov 18, 2019","23,463.98","23,572.18","23,614.55","23,350.44","374.17M","-0.53%"
"Nov 15, 2019","23,588.59","23,599.52","23,631.71","23,462.91","337.91M","0.46%"
"Nov 14, 2019","23,481.35","23,576.47","23,641.38","23,480.29","378.03M","-0.41%"
"Nov 13, 2019","23,578.43","23,696.42","23,726.51","23,436.37","399.81M","-0.86%"
"Nov 12, 2019","23,782.15","23,555.06","23,827.58","23,547.77","436.42M","1.24%"
"Nov 11, 2019","23,489.93","23,453.88","23,516.37","23,396.47","369.32M","-0.19%"
"Nov 08, 2019","23,534.49","23,477.83","23,561.58","23,353.85","596.25M","0.13%"
"Nov 07, 2019","23,503.03","23,487.10","23,584.84","23,445.05","499.29M","0.56%"
"Nov 06, 2019","23,373.22","23,375.37","23,414.89","23,308.97","438.77M","0.04%"
"Nov 05, 2019","23,364.82","23,346.34","23,436.01","23,294.52","486.39M","0.23%"
"Nov 04, 2019","23,311.43","23,040.85","23,348.56","23,027.49","437.88M","1.64%"
"Nov 01, 2019","22,934.32","22,734.64","22,946.01","22,721.16","289.47M","1.06%"
"Oct 31, 2019","22,693.77","22,659.38","22,783.36","22,584.49","435.50M","0.21%"
"Oct 30, 2019","22,646.08","22,699.86","22,781.80","22,453.97","440.25M","-0.15%"
