"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","1,282.8","1,283.8","1,285.2","1,282.0","-","-0.09%"
"Nov 28, 2019","1,283.9","1,295.2","1,296.1","1,283.9","-","-0.88%"
"Nov 27, 2019","1,295.3","1,288.8","1,295.3","1,288.0","-","0.53%"
"Nov 26, 2019","1,288.5","1,313.3","1,313.7","1,288.5","-","-1.83%"
"Nov 25, 2019","1,312.5","1,325.5","1,326.9","1,312.5","-","-0.98%"
"Nov 22, 2019","1,325.5","1,320.8","1,325.5","1,319.2","-","0.26%"
"Nov 21, 2019","1,322.0","1,349.8","1,350.2","1,322.0","-","-2.02%"
"Nov 20, 2019","1,349.3","1,350.7","1,353.5","1,340.7","-","-0.09%"
"Nov 19, 2019","1,350.5","1,326.7","1,350.5","1,326.6","-","1.80%"
"Nov 18, 2019","1,326.6","1,330.2","1,335.3","1,326.6","-","-0.27%"
"Nov 15, 2019","1,330.2","1,330.1","1,331.7","1,329.2","-","0.01%"
"Nov 14, 2019","1,330.1","1,334.8","1,337.3","1,330.1","-","-0.36%"
"Nov 13, 2019","1,334.9","1,338.2","1,339.0","1,327.5","-","-0.25%"
"Nov 12, 2019","1,338.3","1,329.0","1,338.3","1,326.9","-","0.68%"
"Nov 11, 2019","1,329.3","1,342.6","1,345.0","1,319.4","-","-1.12%"
"Nov 08, 2019","1,344.3","1,358.2","1,359.4","1,341.3","-","-1.07%"
"Nov 07, 2019","1,358.9","1,362.0","1,364.8","1,358.9","-","-0.22%"
"Nov 06, 2019","1,361.9","1,354.2","1,361.9","1,352.7","-","0.49%"
"Nov 05, 2019","1,355.3","1,341.0","1,355.3","1,339.5","-","1.06%"
"Nov 04, 2019","1,341.1","1,328.2","1,343.8","1,323.3","-","1.17%"
"Nov 01, 2019","1,325.6","1,314.4","1,325.6","1,314.4","-","0.84%"
"Oct 31, 2019","1,314.6","1,310.0","1,323.7","1,309.9","-","0.37%"
"Oct 30, 2019","1,309.7","1,328.6","1,331.2","1,309.7","-","-1.42%"
"Oct 29, 2019","1,328.6","1,324.0","1,328.6","1,307.6","-","0.27%"
"Oct 28, 2019","1,325.0","1,308.3","1,325.0","1,306.0","-","1.42%"
"Oct 25, 2019","1,306.4","1,302.9","1,306.4","1,302.9","-","0.23%"
"Oct 24, 2019","1,303.4","1,313.1","1,323.5","1,303.4","-","-0.75%"
"Oct 23, 2019","1,313.2","1,321.8","1,330.8","1,313.2","-","-0.73%"
"Oct 22, 2019","1,322.8","1,317.4","1,322.8","1,313.0","-","0.45%"
"Oct 21, 2019","1,316.9","1,296.8","1,316.9","1,295.2","-","1.56%"
"Oct 18, 2019","1,296.7","1,304.6","1,307.2","1,296.7","-","-0.61%"
"Oct 17, 2019","1,304.7","1,308.7","1,312.3","1,304.7","-","-0.27%"
"Oct 16, 2019","1,308.2","1,296.1","1,308.2","1,290.8","-","0.93%"
"Oct 15, 2019","1,296.1","1,287.8","1,296.1","1,286.9","-","0.64%"
"Oct 14, 2019","1,287.9","1,301.1","1,301.1","1,287.9","-","-1.02%"
"Oct 11, 2019","1,301.2","1,263.7","1,301.2","1,262.4","-","2.99%"
"Oct 10, 2019","1,263.4","1,236.2","1,263.4","1,232.5","-","2.22%"
"Oct 09, 2019","1,236.0","1,234.3","1,239.8","1,232.1","-","0.12%"
"Oct 08, 2019","1,234.5","1,243.9","1,245.8","1,234.1","-","-0.79%"
