"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","3,193.92","3,199.25","3,199.25","3,182.05","328.24M","-0.21%"
"Nov 28, 2019","3,200.61","3,209.85","3,215.80","3,198.29","202.00M","-0.46%"
"Nov 27, 2019","3,215.53","3,213.19","3,220.14","3,201.78","414.06M","0.24%"
"Nov 26, 2019","3,207.85","3,226.39","3,234.74","3,207.85","1.41B","-0.40%"
"Nov 25, 2019","3,220.63","3,241.69","3,244.69","3,218.25","340.59M","-0.16%"
"Nov 22, 2019","3,225.65","3,199.90","3,232.53","3,199.06","283.98M","1.05%"
"Nov 21, 2019","3,192.21","3,201.05","3,210.09","3,189.61","337.90M","-1.16%"
"Nov 20, 2019","3,229.78","3,231.00","3,236.18","3,219.27","280.56M","-0.28%"
"Nov 19, 2019","3,238.87","3,239.55","3,248.74","3,224.36","254.88M","-0.61%"
"Nov 18, 2019","3,258.66","3,231.89","3,258.66","3,230.74","267.37M","0.61%"
"Nov 15, 2019","3,238.86","3,238.60","3,243.15","3,228.58","284.08M","0.22%"
"Nov 14, 2019","3,231.85","3,236.37","3,244.70","3,225.38","273.63M","-0.23%"
"Nov 13, 2019","3,239.22","3,258.85","3,261.38","3,235.20","212.16M","-0.87%"
"Nov 12, 2019","3,267.80","3,251.23","3,267.80","3,247.41","284.72M","0.84%"
"Nov 11, 2019","3,240.65","3,259.49","3,261.13","3,227.59","272.88M","-0.72%"
"Nov 08, 2019","3,264.30","3,273.61","3,275.86","3,252.26","343.35M","-0.65%"
"Nov 07, 2019","3,285.72","3,261.85","3,285.72","3,258.43","296.78M","0.71%"
"Nov 06, 2019","3,262.69","3,252.61","3,265.75","3,250.94","248.86M","0.43%"
"Nov 05, 2019","3,248.63","3,242.91","3,256.54","3,237.46","305.06M","0.38%"
"Nov 04, 2019","3,236.40","3,237.85","3,250.02","3,227.34","219.71M","0.22%"
"Nov 01, 2019","3,229.43","3,227.60","3,237.12","3,208.63","195.97M","-0.01%"
"Oct 31, 2019","3,229.88","3,217.60","3,235.24","3,213.46","302.62M","0.68%"
"Oct 30, 2019","3,207.92","3,203.51","3,210.31","3,199.49","195.44M","0.34%"
"Oct 29, 2019","3,197.04","3,211.23","3,227.15","3,187.29","264.13M","0.36%"
"Oct 28, 2019","3,185.53","3,185.53","3,185.53","3,185.53","-","0.00%"
"Oct 25, 2019","3,185.53","3,174.88","3,188.42","3,171.92","148.58M","0.53%"
"Oct 24, 2019","3,168.87","3,156.26","3,176.60","3,153.93","239.70M","0.78%"
"Oct 23, 2019","3,144.28","3,160.82","3,161.02","3,134.64","186.15M","-0.52%"
"Oct 22, 2019","3,160.67","3,153.49","3,173.70","3,150.29","242.12M","0.69%"
"Oct 21, 2019","3,139.15","3,113.71","3,147.41","3,111.12","234.63M","0.80%"
"Oct 18, 2019","3,114.16","3,128.86","3,128.86","3,108.93","177.86M","-0.38%"
"Oct 17, 2019","3,126.14","3,138.13","3,138.17","3,111.77","200.14M","-0.27%"
"Oct 16, 2019","3,134.71","3,131.10","3,144.61","3,120.20","175.19M","0.59%"
"Oct 15, 2019","3,116.17","3,126.43","3,131.02","3,112.04","185.91M","-0.27%"
"Oct 14, 2019","3,124.45","3,129.55","3,131.94","3,119.60","162.44M","0.34%"
"Oct 11, 2019","3,113.97","3,104.37","3,115.78","3,098.90","236.61M","0.79%"
"Oct 10, 2019","3,089.48","3,076.08","3,096.38","3,073.56","167.91M","-0.01%"
"Oct 09, 2019","3,089.90","3,097.96","3,102.75","3,084.20","245.80M","-0.67%"
"Oct 08, 2019","3,110.85","3,107.10","3,124.22","3,101.10","225.98M","0.37%"
"Oct 07, 2019","3,099.48","3,082.66","3,104.11","3,079.90","169.94M","0.69%"
"Oct 04, 2019","3,078.36","3,089.27","3,090.55","3,068.83","168.40M","-0.31%"
"Oct 03, 2019","3,087.97","3,076.08","3,093.89","3,071.54","198.58M","-0.50%"
"Oct 02, 2019","3,103.45","3,122.34","3,131.11","3,095.80","274.57M","-1.35%"
"Oct 01, 2019","3,146.03","3,130.11","3,156.63","3,127.46","159.83M","0.83%"
"Sep 30, 2019","3,119.99","3,100.82","3,120.90","3,100.82","193.38M","-0.18%"
"Sep 27, 2019","3,125.63","3,126.33","3,130.29","3,113.67","165.89M","-0.01%"
"Sep 26, 2019","3,125.81","3,130.50","3,134.91","3,122.62","186.64M","-0.00%"
"Sep 25, 2019","3,125.82","3,140.49","3,145.79","3,119.12","222.80M","-0.94%"
"Sep 24, 2019","3,155.46","3,161.99","3,163.75","3,148.55","192.96M","0.39%"
"Sep 23, 2019","3,143.24","3,155.77","3,162.26","3,141.41","132.71M","-0.52%"
"Sep 20, 2019","3,159.68","3,167.76","3,169.03","3,154.38","299.92M","0.03%"
"Sep 19, 2019","3,158.80","3,178.93","3,179.72","3,158.11","207.94M","-0.25%"
"Sep 18, 2019","3,166.84","3,187.34","3,190.40","3,164.47","168.24M","-0.51%"
"Sep 17, 2019","3,183.00","3,206.32","3,206.85","3,180.65","166.36M","-0.65%"
"Sep 16, 2019","3,203.93","3,207.94","3,213.07","3,195.46","168.51M","-0.24%"
"Sep 13, 2019","3,211.49","3,201.66","3,216.63","3,197.67","166.22M","0.52%"
"Sep 12, 2019","3,194.96","3,214.14","3,216.87","3,191.62","235.99M","-0.30%"
"Sep 11, 2019","3,204.52","3,172.28","3,204.52","3,165.74","271.89M","1.55%"
"Sep 10, 2019","3,155.71","3,155.68","3,168.07","3,151.27","219.08M","0.30%"
"Sep 09, 2019","3,146.33","3,147.68","3,157.35","3,141.72","152.66M","0.06%"
"Sep 06, 2019","3,144.48","3,163.25","3,166.95","3,143.53","206.37M","-0.08%"
"Sep 05, 2019","3,147.06","3,150.45","3,154.44","3,136.13","234.52M","0.53%"
"Sep 04, 2019","3,130.57","3,085.03","3,142.83","3,083.76","264.99M","1.29%"
"Sep 03, 2019","3,090.63","3,078.56","3,094.19","3,074.04","126.55M","0.25%"
"Sep 02, 2019","3,082.96","3,092.25","3,099.82","3,076.20","133.28M","-0.76%"
"Aug 30, 2019","3,106.52","3,100.52","3,114.17","3,090.79","295.58M","0.80%"
"Aug 29, 2019","3,081.83","3,058.71","3,085.32","3,040.16","233.95M","0.83%"
"Aug 28, 2019","3,056.47","3,066.31","3,078.93","3,054.84","236.14M","-0.36%"
