"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","181.11","181.48","182.16","180.69","9.31K","-0.24%"
"Nov 28, 2019","181.55","183.17","184.41","180.90","9.74K","-0.91%"
"Nov 27, 2019","183.21","183.58","184.42","183.10","6.94K","-0.34%"
"Nov 26, 2019","183.84","183.05","184.46","182.91","9.18K","0.41%"
"Nov 25, 2019","183.09","183.08","184.18","182.40","9.48K","-0.02%"
"Nov 22, 2019","183.12","185.99","186.61","182.60","14.61K","-1.50%"
"Nov 21, 2019","185.91","184.42","187.13","184.12","9.94K","-0.36%"
"Nov 20, 2019","186.59","187.28","187.28","185.85","9.28K","-0.14%"
"Nov 19, 2019","186.86","186.24","187.33","185.67","7.71K","0.33%"
"Nov 18, 2019","186.24","187.44","188.80","186.07","9.26K","-0.68%"
"Nov 15, 2019","187.51","187.48","188.36","186.78","11.29K","0.02%"
"Nov 14, 2019","187.48","188.97","189.40","187.26","11.18K","-0.79%"
"Nov 13, 2019","188.97","189.79","190.94","188.38","15.55K","-0.43%"
"Nov 12, 2019","189.79","189.20","190.28","188.88","12.88K","0.31%"
"Nov 11, 2019","189.20","190.43","190.82","188.42","12.34K","-0.67%"
"Nov 08, 2019","190.47","190.19","191.25","189.89","14.36K","0.33%"
"Nov 07, 2019","189.85","189.08","189.95","188.31","11.74K","0.41%"
"Nov 06, 2019","189.08","189.37","190.20","188.60","10.82K","-0.15%"
"Nov 05, 2019","189.37","187.72","189.37","187.70","18.18K","0.88%"
"Nov 04, 2019","187.72","186.28","188.48","186.23","16.69K","0.78%"
"Nov 01, 2019","186.27","185.29","187.11","184.83","12.82K","0.53%"
"Oct 31, 2019","185.29","186.13","187.27","184.84","12.85K","-0.39%"
"Oct 30, 2019","186.01","185.07","186.52","184.31","14.85K","0.58%"
"Oct 29, 2019","184.94","186.41","186.85","184.32","7.15K","-0.55%"
"Oct 28, 2019","185.97","185.41","187.56","185.22","10.93K","0.30%"
"Oct 25, 2019","185.42","185.35","186.06","184.58","10.47K","0.18%"
"Oct 24, 2019","185.09","184.01","185.28","183.89","6.52K","0.59%"
"Oct 23, 2019","184.01","185.19","185.59","183.42","9.25K","-0.64%"
"Oct 22, 2019","185.19","184.44","185.31","184.08","9.66K","0.41%"
"Oct 21, 2019","184.44","186.26","186.35","184.12","15.89K","-0.99%"
"Oct 18, 2019","186.28","187.97","188.22","185.59","12.56K","-0.90%"
"Oct 17, 2019","187.97","188.30","188.30","186.27","9.22K","-0.04%"
"Oct 16, 2019","188.05","189.03","189.69","187.87","15.15K","-0.23%"
"Oct 15, 2019","188.49","188.01","188.81","187.02","10.65K","0.26%"
"Oct 14, 2019","188.01","188.86","190.35","187.93","16.99K","-0.32%"
"Oct 11, 2019","188.61","188.08","188.72","187.43","9.42K","0.28%"
"Oct 10, 2019","188.08","187.61","189.48","187.08","13.82K","0.25%"
"Oct 09, 2019","187.61","186.67","188.41","186.60","12.93K","0.50%"
"Oct 08, 2019","186.67","187.40","187.44","185.51","12.37K","-0.40%"
"Oct 07, 2019","187.42","191.21","191.21","186.96","11.05K","-2.02%"
"Oct 04, 2019","191.28","192.27","192.64","190.76","10.26K","-0.50%"
"Oct 03, 2019","192.24","191.47","192.24","189.58","9.85K","0.40%"
"Oct 02, 2019","191.47","192.18","192.87","191.42","10.84K","-0.49%"
"Oct 01, 2019","192.42","191.08","192.42","190.53","12.03K","0.70%"
"Sep 30, 2019","191.08","192.12","193.66","190.80","12.61K","-0.54%"
"Sep 27, 2019","192.12","195.09","195.09","191.85","12.54K","-0.44%"
"Sep 26, 2019","192.96","190.97","193.08","190.87","15.97K","1.04%"
"Sep 25, 2019","190.97","189.94","190.97","189.01","10.65K","0.54%"
"Sep 24, 2019","189.94","190.76","191.21","189.35","11.46K","-0.43%"
"Sep 23, 2019","190.76","189.72","192.17","189.57","13.58K","0.54%"
"Sep 20, 2019","189.73","190.31","193.24","189.55","13.50K","-0.30%"
"Sep 19, 2019","190.31","186.72","190.31","186.55","16.74K","1.85%"
