"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","485.80","486.47","486.47","485.80","-","-0.14%"
"Nov 27, 2019","486.47","486.47","486.47","486.47","-","0.68%"
"Nov 26, 2019","483.19","483.19","483.19","483.19","-","-0.05%"
"Nov 25, 2019","483.41","483.41","483.41","483.41","-","-0.06%"
"Nov 24, 2019","483.69","483.69","483.69","483.69","-","0.20%"
"Nov 21, 2019","482.74","482.74","482.74","482.74","-","0.13%"
"Nov 20, 2019","482.09","482.09","482.09","482.09","-","0.01%"
"Nov 19, 2019","482.06","482.06","482.06","482.06","-","-0.04%"
"Nov 18, 2019","482.25","482.25","482.25","482.25","-","-0.04%"
"Nov 17, 2019","482.43","482.43","482.43","482.43","-","-0.28%"
"Nov 14, 2019","483.77","483.77","483.77","483.77","-","0.21%"
"Nov 13, 2019","482.75","482.75","482.75","482.75","-","0.20%"
"Nov 12, 2019","481.80","482.72","482.72","481.80","-","-0.19%"
"Nov 11, 2019","482.72","482.72","482.72","482.72","-","-0.46%"
"Nov 10, 2019","484.95","484.95","484.95","484.95","-","0.43%"
"Nov 07, 2019","482.86","482.86","482.86","482.86","-","0.13%"
"Nov 04, 2019","482.22","485.20","485.20","482.22","-","-0.61%"
"Nov 03, 2019","485.20","485.20","485.20","485.20","-","0.08%"
"Oct 31, 2019","484.79","484.79","484.79","484.79","-","0.49%"
"Oct 30, 2019","482.42","482.42","482.42","482.42","-","0.23%"
"Oct 29, 2019","481.32","481.32","481.32","481.32","-","0.33%"
"Oct 28, 2019","479.72","479.72","479.72","479.72","-","0.29%"
"Oct 27, 2019","478.32","478.32","478.32","478.32","-","-0.59%"
"Oct 24, 2019","481.14","481.14","481.14","481.14","-","0.25%"
"Oct 23, 2019","479.94","479.94","479.94","479.94","-","0.10%"
"Oct 22, 2019","479.48","479.48","479.48","479.48","-","-0.62%"
"Oct 21, 2019","482.47","482.47","482.47","482.47","-","-0.18%"
"Oct 20, 2019","483.34","483.34","483.34","483.34","-","-0.67%"
"Oct 17, 2019","486.62","486.62","486.62","486.62","-","-0.37%"
"Oct 16, 2019","488.42","488.42","488.42","488.42","-","0.18%"
"Oct 15, 2019","487.54","487.54","487.54","487.54","-","0.17%"
"Oct 14, 2019","486.72","486.72","486.72","486.72","-","0.44%"
"Oct 13, 2019","484.58","484.58","484.58","484.58","-","0.73%"
"Oct 10, 2019","481.07","481.07","481.07","481.07","-","1.71%"
"Oct 09, 2019","472.96","472.96","472.96","472.96","-","0.22%"
"Oct 08, 2019","471.90","472.37","472.37","471.90","-","-0.47%"
"Oct 02, 2019","474.14","474.14","474.14","474.14","-","-0.25%"
"Oct 01, 2019","475.33","475.33","475.33","475.33","-","-0.03%"
"Sep 30, 2019","475.48","475.48","475.48","475.48","-","-0.01%"
"Sep 29, 2019","475.51","475.51","475.51","475.51","-","0.15%"
"Sep 26, 2019","474.81","474.81","474.81","474.81","-","0.21%"
