"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","501,372.47","501,372.47","501,372.47","501,372.47","37.78M","-0.51%"
"Nov 28, 2019","503,962.66","503,962.66","503,962.66","503,962.66","14.11M","0.02%"
"Nov 27, 2019","503,860.28","503,860.28","503,860.28","503,860.28","19.16M","0.22%"
"Nov 26, 2019","502,734.13","502,734.13","502,734.13","502,734.13","34.95M","-0.11%"
"Nov 25, 2019","503,282.41","503,282.41","503,282.41","503,282.41","1.79M","0.39%"
"Nov 22, 2019","501,326.97","501,326.97","501,326.97","501,326.97","16.24M","-0.10%"
"Nov 21, 2019","501,805.91","501,805.91","501,805.91","501,805.91","36.44M","-0.16%"
"Nov 20, 2019","502,615.75","502,615.75","502,615.75","502,615.75","70.90M","-0.03%"
"Nov 19, 2019","502,742.03","502,742.03","502,742.03","502,742.03","23.89M","0.82%"
"Nov 18, 2019","498,675.41","498,675.41","498,675.41","498,675.41","27.00M","-0.70%"
"Nov 15, 2019","502,172.78","502,172.78","502,172.78","502,172.78","43.82M","-0.45%"
"Nov 13, 2019","504,463.59","504,463.59","504,463.59","504,463.59","20.45M","0.05%"
"Nov 12, 2019","504,211.91","504,211.91","504,211.91","504,211.91","14.47M","1.17%"
"Nov 11, 2019","498,368.63","498,368.63","498,368.63","498,368.63","33.96M","0.41%"
"Nov 08, 2019","496,314.03","496,314.03","496,314.03","496,314.03","16.55M","0.56%"
"Nov 07, 2019","493,541.81","493,541.81","493,541.81","493,541.81","13.82M","-0.25%"
"Nov 06, 2019","494,789.38","494,789.38","494,789.38","494,789.38","10.78M","-0.04%"
"Nov 05, 2019","494,964.13","494,964.13","494,964.13","494,964.13","8.27M","-0.40%"
"Nov 04, 2019","496,939.22","496,939.22","496,939.22","496,939.22","19.70M","0.48%"
"Nov 01, 2019","494,576.50","494,576.50","494,576.50","494,576.50","11.11M","-0.12%"
"Oct 31, 2019","495,187.94","495,187.94","495,187.94","495,187.94","38.13M","0.73%"
"Oct 30, 2019","491,610.03","491,610.03","491,610.03","491,610.03","29.38M","0.48%"
"Oct 29, 2019","489,238.88","489,238.88","489,238.88","489,238.88","36.17M","-0.48%"
"Oct 25, 2019","491,617.63","491,617.63","491,617.63","491,617.63","64.04M","-1.01%"
"Oct 24, 2019","496,642.34","496,642.34","496,642.34","496,642.34","20.77M","-0.38%"
"Oct 23, 2019","498,535.38","498,535.38","498,535.38","498,535.38","21.91M","-0.28%"
"Oct 22, 2019","499,913.06","499,913.06","499,913.06","499,913.06","29.68M","-0.37%"
"Oct 18, 2019","501,776.78","501,776.78","501,776.78","501,776.78","31.48M","0.52%"
"Oct 17, 2019","499,194.63","499,194.63","499,194.63","499,194.63","22.54M","0.04%"
"Oct 16, 2019","499,005.06","499,005.06","499,005.06","499,005.06","13.08M","0.03%"
"Oct 15, 2019","498,836.53","498,836.53","498,836.53","498,836.53","40.60M","-0.40%"
"Oct 14, 2019","500,852.69","500,852.69","500,852.69","500,852.69","41.63M","-0.47%"
"Oct 11, 2019","503,227.91","503,227.91","503,227.91","503,227.91","11.55M","-0.85%"
"Oct 09, 2019","507,546.84","507,546.84","507,546.84","507,546.84","31.14M","-0.48%"
"Oct 08, 2019","510,011.88","510,011.88","510,011.88","510,011.88","44.02M","-0.08%"
"Oct 07, 2019","510,399.63","510,399.63","510,399.63","510,399.63","98.35M","-1.25%"
"Oct 04, 2019","516,858.97","516,858.97","516,858.97","516,858.97","23.63M","0.38%"
"Oct 03, 2019","514,927.19","514,927.19","514,927.19","514,927.19","17.53M","-0.53%"
"Oct 02, 2019","517,655.88","517,655.88","517,655.88","517,655.88","20.82M","-0.13%"
"Oct 01, 2019","518,332.13","518,332.13","518,332.13","518,332.13","79.11M","0.44%"
"Sep 30, 2019","516,042.91","516,042.91","516,042.91","516,042.91","198.83M","0.92%"
"Sep 27, 2019","511,325.28","511,325.28","511,325.28","511,325.28","40.63M","0.66%"
"Sep 26, 2019","507,971.50","507,971.50","507,971.50","507,971.50","146.46M","-0.45%"
"Sep 25, 2019","510,251.31","510,251.31","510,251.31","510,251.31","172.05M","-0.39%"
"Sep 24, 2019","512,237.00","512,237.00","512,237.00","512,237.00","22.99M","0.33%"
"Sep 23, 2019","510,527.38","510,527.38","510,527.38","510,527.38","18.60M","-0.70%"
"Sep 20, 2019","514,143.38","514,143.38","514,143.38","514,143.38","32.90M","-0.06%"
"Sep 19, 2019","514,431.34","514,431.34","514,431.34","514,431.34","127.99M","0.51%"
"Sep 18, 2019","511,824.88","511,824.88","511,824.88","511,824.88","36.37M","-0.31%"
"Sep 17, 2019","513,440.25","513,440.25","513,440.25","513,440.25","39.48M","-0.22%"
"Sep 16, 2019","514,559.88","514,559.88","514,559.88","514,559.88","86.27M","0.07%"
"Sep 13, 2019","514,182.56","514,182.56","514,182.56","514,182.56","23.49M","0.17%"
"Sep 12, 2019","513,291.78","513,291.78","513,291.78","513,291.78","18.74M","-0.76%"
"Sep 11, 2019","517,224.50","517,224.50","517,224.50","517,224.50","50.73M","-0.11%"
"Sep 10, 2019","517,818.91","517,818.91","517,818.91","517,818.91","25.61M","0.17%"
