"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","6,011.83","5,949.88","6,015.70","5,939.40","5.10B","0.99%"
"Nov 28, 2019","5,953.06","6,013.27","6,036.83","5,945.75","5.17B","-1.16%"
"Nov 27, 2019","6,023.04","6,025.94","6,052.49","6,002.99","5.74B","-0.05%"
"Nov 26, 2019","6,026.19","6,091.24","6,096.66","6,026.19","8.12B","-0.73%"
"Nov 25, 2019","6,070.76","6,094.75","6,105.10","6,052.27","4.85B","-0.48%"
"Nov 22, 2019","6,100.24","6,115.79","6,122.48","6,086.83","5.14B","-0.28%"
"Nov 21, 2019","6,117.36","6,135.76","6,137.27","6,099.57","5.08B","-0.61%"
"Nov 20, 2019","6,155.11","6,136.25","6,167.41","6,123.59","5.17B","0.05%"
"Nov 19, 2019","6,152.09","6,136.94","6,152.09","6,113.33","5.14B","0.48%"
"Nov 18, 2019","6,122.62","6,126.41","6,134.31","6,098.08","4.71B","-0.09%"
"Nov 15, 2019","6,128.35","6,115.76","6,137.36","6,092.62","4.62B","0.48%"
"Nov 14, 2019","6,098.95","6,137.53","6,146.40","6,062.98","7.22B","-0.71%"
"Nov 13, 2019","6,142.50","6,177.66","6,183.83","6,132.25","5.19B","-0.62%"
"Nov 12, 2019","6,180.99","6,135.49","6,180.99","6,133.53","5.77B","0.52%"
"Nov 11, 2019","6,148.74","6,171.44","6,182.82","6,127.88","4.73B","-0.47%"
"Nov 08, 2019","6,177.99","6,165.77","6,180.20","6,139.82","6.07B","0.20%"
"Nov 07, 2019","6,165.62","6,234.60","6,235.64","6,119.42","6.73B","-0.84%"
"Nov 06, 2019","6,217.55","6,273.92","6,274.29","6,198.50","7.03B","-0.74%"
"Nov 05, 2019","6,264.15","6,204.44","6,264.15","6,195.30","9.60B","1.36%"
"Nov 04, 2019","6,180.34","6,219.13","6,242.08","6,180.34","10.40B","-0.43%"
"Nov 01, 2019","6,207.19","6,225.81","6,228.41","6,193.89","14.21B","-0.34%"
"Oct 31, 2019","6,228.32","6,290.57","6,301.59","6,216.29","16.40B","-1.07%"
"Oct 30, 2019","6,295.75","6,302.09","6,304.05","6,264.94","13.96B","0.23%"
"Oct 29, 2019","6,281.14","6,267.68","6,281.14","6,245.94","14.85B","0.25%"
"Oct 28, 2019","6,265.38","6,256.79","6,278.16","6,243.35","14.50B","0.21%"
"Oct 25, 2019","6,252.35","6,342.61","6,348.31","6,243.25","15.13B","-1.38%"
"Oct 24, 2019","6,339.65","6,271.51","6,339.65","6,270.19","13.06B","1.31%"
"Oct 23, 2019","6,257.81","6,224.42","6,257.81","6,197.95","13.59B","0.52%"
"Oct 22, 2019","6,225.50","6,207.49","6,229.40","6,178.56","11.41B","0.43%"
"Oct 21, 2019","6,198.99","6,207.89","6,228.23","6,187.36","14.64B","0.11%"
"Oct 18, 2019","6,191.95","6,185.22","6,201.18","6,178.50","12.56B","0.18%"
"Oct 17, 2019","6,181.01","6,169.90","6,197.94","6,161.39","11.92B","0.19%"
"Oct 16, 2019","6,169.59","6,170.56","6,183.58","6,143.85","11.45B","0.19%"
"Oct 15, 2019","6,158.17","6,130.30","6,158.17","6,118.26","11.87B","0.51%"
"Oct 14, 2019","6,126.88","6,129.23","6,153.58","6,099.24","11.85B","0.35%"
"Oct 11, 2019","6,105.80","6,033.32","6,109.12","6,033.32","10.54B","1.36%"
"Oct 10, 2019","6,023.64","6,023.98","6,044.11","6,018.45","8.92B","-0.09%"
"Oct 09, 2019","6,029.16","6,030.46","6,047.79","6,017.36","11.18B","-0.17%"
"Oct 08, 2019","6,039.60","6,021.69","6,046.46","6,009.38","12.46B","0.65%"
"Oct 07, 2019","6,000.58","6,077.74","6,084.16","5,988.87","12.75B","-1.00%"
"Oct 04, 2019","6,061.25","6,052.75","6,076.56","6,046.13","11.19B","0.38%"
"Oct 03, 2019","6,038.53","6,033.03","6,050.60","5,997.69","12.11B","-0.28%"
"Oct 02, 2019","6,055.43","6,124.44","6,154.00","6,051.69","11.62B","-1.35%"
"Oct 01, 2019","6,138.25","6,163.98","6,176.61","6,134.77","9.92B","-0.50%"
"Sep 30, 2019","6,169.10","6,190.37","6,195.73","6,152.50","9.33B","-0.45%"
"Sep 27, 2019","6,196.89","6,213.93","6,219.77","6,191.66","11.24B","-0.54%"
"Sep 26, 2019","6,230.33","6,168.67","6,230.33","6,165.93","10.52B","1.37%"
"Sep 25, 2019","6,146.40","6,121.49","6,146.40","6,086.00","9.17B","0.14%"
"Sep 24, 2019","6,137.61","6,188.77","6,194.59","6,115.95","9.01B","-1.11%"
"Sep 23, 2019","6,206.20","6,240.14","6,247.58","6,197.39","11.87B","-0.41%"
"Sep 20, 2019","6,231.47","6,248.97","6,256.82","6,213.24","13.42B","-0.21%"
"Sep 19, 2019","6,244.47","6,274.18","6,282.06","6,242.89","10.69B","-0.51%"
"Sep 18, 2019","6,276.63","6,238.70","6,276.63","6,236.48","10.87B","0.64%"
"Sep 17, 2019","6,236.69","6,215.24","6,240.35","6,205.30","11.24B","0.28%"
"Sep 16, 2019","6,219.44","6,262.29","6,266.14","6,193.51","10.28B","-1.82%"
"Sep 13, 2019","6,334.84","6,369.42","6,375.80","6,318.92","10.67B","-0.12%"
"Sep 12, 2019","6,342.17","6,398.99","6,414.48","6,337.52","11.20B","-0.62%"
"Sep 11, 2019","6,381.95","6,334.59","6,381.95","6,328.69","13.67B","0.71%"
"Sep 10, 2019","6,336.67","6,331.73","6,342.01","6,311.34","11.32B","0.17%"
"Sep 09, 2019","6,326.21","6,328.28","6,333.90","6,306.74","10.91B","0.27%"
"Sep 06, 2019","6,308.95","6,329.41","6,336.91","6,305.02","11.42B","0.03%"
"Sep 05, 2019","6,306.80","6,294.28","6,307.35","6,281.95","11.03B","0.59%"
"Sep 04, 2019","6,269.66","6,266.76","6,273.60","6,239.00","11.19B","0.13%"
"Sep 03, 2019","6,261.59","6,293.36","6,310.63","6,248.80","12.28B","-0.46%"
"Sep 02, 2019","6,290.55","6,331.15","6,338.11","6,281.60","12.65B","-0.60%"
"Aug 30, 2019","6,328.47","6,316.12","6,329.88","6,305.04","13.29B","0.63%"
"Aug 29, 2019","6,289.12","6,288.19","6,306.90","6,276.42","11.20B","0.12%"
"Aug 28, 2019","6,281.65","6,289.65","6,306.33","6,267.19","10.70B","0.06%"
"Aug 27, 2019","6,278.17","6,244.57","6,289.89","6,223.74","11.77B","1.02%"
"Aug 26, 2019","6,214.51","6,193.23","6,230.31","6,149.02","12.06B","-0.66%"
"Aug 23, 2019","6,255.60","6,228.13","6,255.60","6,204.19","10.41B","0.26%"
"Aug 22, 2019","6,239.24","6,257.56","6,265.96","6,210.54","10.23B","-0.22%"
"Aug 21, 2019","6,252.97","6,290.81","6,308.35","6,247.99","9.75B","-0.68%"
"Aug 20, 2019","6,295.74","6,311.91","6,317.69","6,279.56","11.56B","-0.02%"
"Aug 19, 2019","6,296.72","6,310.63","6,329.74","6,284.78","10.75B","0.16%"
"Aug 16, 2019","6,286.66","6,264.38","6,292.38","6,235.70","12.24B","0.46%"
"Aug 15, 2019","6,257.59","6,192.46","6,257.59","6,161.66","11.87B","-0.16%"
"Aug 14, 2019","6,267.34","6,255.51","6,274.57","6,240.20","11.69B","0.91%"
"Aug 13, 2019","6,210.96","6,251.31","6,251.31","6,198.07","10.61B","-0.63%"
"Aug 12, 2019","6,250.60","6,300.67","6,309.10","6,245.28","9.82B","-0.50%"
"Aug 09, 2019","6,282.13","6,300.09","6,319.44","6,280.67","10.54B","0.12%"
"Aug 08, 2019","6,274.67","6,224.90","6,281.10","6,224.90","11.23B","1.14%"
"Aug 07, 2019","6,204.19","6,155.83","6,221.66","6,153.64","11.93B","1.38%"
"Aug 06, 2019","6,119.47","6,105.09","6,157.76","6,022.60","11.72B","-0.91%"
"Aug 05, 2019","6,175.70","6,311.16","6,315.06","6,175.70","12.62B","-2.59%"
