"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","2,318.23","2,330.13","2,333.86","2,306.10","2.13B","-0.40%"
"Nov 28, 2019","2,327.47","2,327.42","2,333.22","2,317.90","2.13B","0.00%"
"Nov 27, 2019","2,327.42","2,317.75","2,331.34","2,314.57","2.12B","0.42%"
"Nov 26, 2019","2,317.75","2,309.56","2,327.96","2,300.16","2.15B","0.06%"
"Nov 25, 2019","2,316.36","2,309.56","2,319.84","2,307.95","2.13B","0.10%"
"Nov 22, 2019","2,313.95","2,319.39","2,319.39","2,304.83","2.15B","0.02%"
"Nov 21, 2019","2,313.53","2,319.39","2,319.39","2,311.95","2.14B","0.26%"
"Nov 20, 2019","2,307.64","2,319.39","2,319.39","2,307.64","1.99B","-0.20%"
"Nov 19, 2019","2,312.20","2,318.16","2,330.00","2,305.45","2.15B","-0.30%"
"Nov 18, 2019","2,319.22","2,328.25","2,330.85","2,309.80","2.12B","-0.48%"
"Nov 15, 2019","2,330.29","2,334.48","2,334.48","2,319.93","2.11B","-0.11%"
"Nov 14, 2019","2,332.86","2,314.10","2,333.41","2,313.21","2.14B","0.85%"
"Nov 13, 2019","2,313.21","2,319.93","2,326.12","2,303.47","2.13B","-0.29%"
"Nov 12, 2019","2,319.93","2,302.81","2,319.93","2,296.72","2.14B","0.67%"
"Nov 11, 2019","2,304.45","2,318.88","2,319.04","2,298.24","1.89B","-0.62%"
"Nov 08, 2019","2,318.89","2,309.37","2,318.92","2,296.46","2.14B","0.32%"
"Nov 07, 2019","2,311.41","2,289.32","2,317.07","2,282.93","2.12B","1.02%"
"Nov 06, 2019","2,288.00","2,288.30","2,295.69","2,279.67","2.13B","0.13%"
"Nov 05, 2019","2,284.95","2,280.63","2,297.48","2,266.35","2.12B","0.20%"
"Nov 04, 2019","2,280.33","2,256.46","2,284.74","2,251.70","1.89B","1.06%"
"Nov 01, 2019","2,256.38","2,251.93","2,264.76","2,248.41","2.09B","0.29%"
"Oct 31, 2019","2,249.89","2,249.63","2,269.42","2,236.71","2.11B","0.06%"
"Oct 30, 2019","2,248.53","2,242.80","2,257.33","2,242.80","2.14B","0.25%"
"Oct 29, 2019","2,243.01","2,243.21","2,253.89","2,231.86","2.14B","0.05%"
"Oct 28, 2019","2,241.95","2,241.71","2,248.39","2,234.19","2.14B","0.02%"
"Oct 25, 2019","2,241.56","2,244.58","2,248.76","2,230.38","2.15B","-0.18%"
"Oct 24, 2019","2,245.68","2,225.70","2,246.80","2,212.64","2.13B","0.91%"
