"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","4,259.02","4,259.02","4,259.02","4,259.02","-","0.00%"
"Nov 28, 2019","4,259.02","4,259.02","4,259.02","4,259.02","-","0.00%"
"Nov 27, 2019","4,259.02","4,259.02","4,259.02","4,259.02","-","-0.01%"
"Nov 26, 2019","4,259.50","4,259.50","4,259.50","4,259.50","-","0.00%"
"Nov 25, 2019","4,259.50","4,259.50","4,259.50","4,259.50","-","0.00%"
"Nov 22, 2019","4,259.50","4,259.50","4,259.50","4,259.50","-","0.00%"
"Nov 21, 2019","4,259.50","4,259.50","4,259.50","4,259.50","-","0.00%"
"Nov 20, 2019","4,259.50","4,259.50","4,259.50","4,259.50","-","0.28%"
"Nov 19, 2019","4,247.69","4,247.69","4,247.69","4,247.69","-","0.00%"
"Nov 18, 2019","4,247.69","4,247.69","4,247.69","4,247.69","-","-1.13%"
"Nov 15, 2019","4,296.29","4,296.29","4,296.29","4,296.29","-","-0.27%"
"Nov 14, 2019","4,308.10","4,308.10","4,308.10","4,308.10","-","-0.18%"
"Nov 13, 2019","4,315.91","4,315.91","4,315.91","4,315.91","-","0.09%"
"Nov 12, 2019","4,311.90","4,311.90","4,311.90","4,311.90","-","0.02%"
"Nov 11, 2019","4,311.14","4,311.14","4,311.14","4,311.14","-","0.01%"
"Nov 08, 2019","4,310.66","4,310.66","4,310.66","4,310.66","-","-0.04%"
"Nov 07, 2019","4,312.57","4,312.57","4,312.57","4,312.57","-","-0.03%"
"Nov 06, 2019","4,313.77","4,313.77","4,313.77","4,313.77","-","-0.09%"
"Nov 05, 2019","4,317.68","4,317.68","4,317.68","4,317.68","-","0.11%"
"Nov 04, 2019","4,312.77","4,312.77","4,312.77","4,312.77","-","-0.41%"
"Nov 01, 2019","4,330.56","4,330.56","4,330.56","4,330.56","-","0.00%"
"Oct 31, 2019","4,330.56","4,330.56","4,330.56","4,330.56","-","0.00%"
"Oct 30, 2019","4,330.56","4,330.56","4,330.56","4,330.56","-","0.00%"
"Oct 29, 2019","4,330.56","4,330.56","4,330.56","4,330.56","-","0.00%"
"Oct 28, 2019","4,330.56","4,330.56","4,330.56","4,330.56","-","-0.50%"
"Oct 23, 2019","4,352.11","4,352.11","4,352.11","4,352.11","-","-0.17%"
"Oct 22, 2019","4,359.34","4,359.34","4,359.34","4,359.34","-","0.09%"
"Oct 21, 2019","4,355.43","4,355.43","4,355.43","4,355.43","-","0.00%"
"Oct 17, 2019","4,355.43","4,355.43","4,355.43","4,355.43","-","-0.24%"
"Oct 16, 2019","4,365.93","4,365.93","4,365.93","4,365.93","-","0.00%"
"Oct 15, 2019","4,365.93","4,365.93","4,365.93","4,365.93","-","-0.09%"
"Oct 14, 2019","4,369.84","4,369.84","4,369.84","4,369.84","-","-0.08%"
"Oct 11, 2019","4,373.45","4,373.45","4,373.45","4,373.45","-","-0.62%"
"Oct 10, 2019","4,400.93","4,400.93","4,400.93","4,400.93","-","0.08%"
"Oct 09, 2019","4,397.61","4,397.61","4,397.61","4,397.61","-","0.00%"
"Oct 08, 2019","4,397.61","4,397.61","4,397.61","4,397.61","-","0.00%"
"Oct 07, 2019","4,397.61","4,397.61","4,397.61","4,397.61","-","0.00%"
"Oct 04, 2019","4,397.61","4,397.61","4,397.61","4,397.61","-","0.00%"
