"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","10,491.82","10,457.47","10,491.82","10,457.47","-","-0.77%"
"Jun 06, 2019","10,573.70","10,573.70","10,573.70","10,573.70","-","0.41%"
"Jun 05, 2019","10,530.92","10,530.92","10,530.92","10,530.92","-","0.25%"
"Jun 04, 2019","10,504.48","10,504.48","10,504.48","10,504.48","-","-0.08%"
"Jun 03, 2019","10,512.51","10,512.51","10,512.51","10,512.51","-","-0.35%"
"May 31, 2019","10,549.90","10,549.90","10,549.90","10,549.90","-","0.33%"
"May 30, 2019","10,515.47","10,515.47","10,515.47","10,515.47","-","-0.43%"
"May 29, 2019","10,560.46","10,560.46","10,560.46","10,560.46","-","-1.39%"
"May 28, 2019","10,709.76","10,709.76","10,709.76","10,709.76","-","0.05%"
"May 27, 2019","10,704.56","10,704.56","10,704.56","10,704.56","-","-0.91%"
"May 24, 2019","10,803.06","10,803.06","10,803.06","10,803.06","-","0.56%"
"May 23, 2019","10,742.89","10,742.89","10,742.89","10,742.89","-","0.03%"
"May 17, 2019","10,739.37","10,739.37","10,739.37","10,739.37","-","-0.13%"
"May 16, 2019","10,753.76","10,753.76","10,753.76","10,753.76","-","-0.50%"
"May 15, 2019","10,807.37","10,807.37","10,807.37","10,807.37","-","-0.08%"
"May 14, 2019","10,816.40","10,816.40","10,816.40","10,816.40","-","-0.55%"
"May 13, 2019","10,876.50","10,876.50","10,876.50","10,876.50","-","0.82%"
"May 09, 2019","10,788.34","10,784.49","10,788.34","10,784.49","-","0.42%"
"May 07, 2019","10,743.73","10,751.52","10,751.52","10,743.73","-","0.31%"
"May 06, 2019","10,710.92","10,710.92","10,710.92","10,710.92","-","0.22%"
"May 03, 2019","10,687.65","10,687.65","10,687.65","10,687.65","-","-0.01%"
"Apr 30, 2019","10,689.05","10,689.05","10,689.05","10,689.05","-","-0.06%"
"Apr 25, 2019","10,695.78","10,695.78","10,695.78","10,695.78","-","-0.38%"
"Apr 24, 2019","10,736.43","10,736.43","10,736.43","10,736.43","-","0.25%"
"Apr 23, 2019","10,709.28","10,709.28","10,709.28","10,709.28","-","0.08%"
"Apr 22, 2019","10,700.29","10,700.29","10,700.29","10,700.29","-","-0.02%"
"Apr 19, 2019","10,702.92","10,702.92","10,702.92","10,702.92","-","0.11%"
"Apr 18, 2019","10,690.95","10,690.95","10,690.95","10,690.95","-","-0.54%"
"Apr 17, 2019","10,749.22","10,749.22","10,749.22","10,749.22","-","-0.17%"
"Apr 16, 2019","10,768.02","10,768.02","10,768.02","10,768.02","-","0.17%"
"Apr 15, 2019","10,749.99","10,749.99","10,749.99","10,749.99","-","0.24%"
"Apr 12, 2019","10,723.75","10,723.75","10,723.75","10,723.75","-","-0.08%"
"Apr 11, 2019","10,732.85","10,732.85","10,732.85","10,732.85","-","0.82%"
"Apr 10, 2019","10,645.91","10,645.91","10,645.91","10,645.91","-","0.35%"
"Apr 09, 2019","10,608.37","10,608.37","10,608.37","10,608.37","-","-0.19%"
"Apr 08, 2019","10,628.59","10,628.59","10,628.59","10,628.59","-","-0.06%"
"Apr 05, 2019","10,634.47","10,634.47","10,634.47","10,634.47","-","-0.23%"
"Apr 04, 2019","10,659.27","10,659.27","10,659.27","10,659.27","-","0.06%"
"Apr 03, 2019","10,653.27","10,653.27","10,653.27","10,653.27","-","-0.20%"
"Apr 02, 2019","10,674.54","10,674.54","10,674.54","10,674.54","-","-0.01%"
"Apr 01, 2019","10,675.88","10,675.88","10,675.88","10,675.88","-","0.35%"
"Mar 29, 2019","10,638.74","10,638.74","10,638.74","10,638.74","-","0.36%"
"Mar 28, 2019","10,601.09","10,601.09","10,601.09","10,601.09","-","0.22%"
"Mar 27, 2019","10,578.05","10,578.05","10,578.05","10,578.05","-","0.14%"
"Mar 26, 2019","10,563.20","10,563.20","10,563.20","10,563.20","-","-0.40%"
"Mar 25, 2019","10,605.37","10,605.37","10,605.37","10,605.37","-","-0.16%"
"Mar 22, 2019","10,622.73","10,622.73","10,622.73","10,622.73","-","0.17%"
"Mar 21, 2019","10,604.90","10,604.90","10,604.90","10,604.90","-","-0.05%"
"Mar 20, 2019","10,609.79","10,609.79","10,609.79","10,609.79","-","0.88%"
"Mar 19, 2019","10,517.53","10,517.53","10,517.53","10,517.53","-","-0.13%"
"Mar 18, 2019","10,530.77","10,530.77","10,530.77","10,530.77","-","0.00%"
"Mar 15, 2019","10,530.77","10,530.77","10,530.77","10,530.77","-","-0.94%"
"Mar 14, 2019","10,630.26","10,630.26","10,630.26","10,630.26","-","0.03%"
"Mar 13, 2019","10,627.38","10,627.38","10,627.38","10,627.38","-","0.74%"
"Mar 12, 2019","10,549.63","10,549.63","10,549.63","10,549.63","-","-0.47%"
"Mar 11, 2019","10,599.45","10,599.45","10,599.45","10,599.45","-","-0.40%"
"Mar 08, 2019","10,641.51","10,641.51","10,641.51","10,641.51","-","-0.84%"
"Mar 07, 2019","10,732.03","10,732.03","10,732.03","10,732.03","-","0.26%"
"Mar 06, 2019","10,704.35","10,704.35","10,704.35","10,704.35","-","0.00%"
"Mar 05, 2019","10,704.35","10,704.35","10,704.35","10,704.35","-","1.04%"
"Mar 04, 2019","10,594.32","10,594.32","10,594.32","10,594.32","-","-0.15%"
"Mar 01, 2019","10,609.80","10,609.80","10,609.80","10,609.80","-","0.45%"
"Feb 28, 2019","10,562.27","10,562.27","10,562.27","10,562.27","-","-0.13%"
"Feb 27, 2019","10,575.92","10,575.92","10,575.92","10,575.92","-","-0.46%"
"Feb 26, 2019","10,624.67","10,624.67","10,624.67","10,624.67","-","-0.19%"
"Feb 25, 2019","10,644.57","10,644.57","10,644.57","10,644.57","-","0.57%"
"Feb 22, 2019","10,584.63","10,584.63","10,584.63","10,584.63","-","-0.17%"
"Feb 21, 2019","10,602.80","10,602.80","10,602.80","10,602.80","-","-0.25%"
"Feb 20, 2019","10,629.00","10,629.00","10,629.00","10,629.00","-","0.60%"
"Feb 19, 2019","10,565.19","10,565.19","10,565.19","10,565.19","-","-1.00%"
"Feb 18, 2019","10,671.73","10,671.73","10,671.73","10,671.73","-","1.37%"
"Feb 15, 2019","10,527.11","10,527.11","10,527.11","10,527.11","-","-0.48%"
"Feb 14, 2019","10,578.01","10,578.01","10,578.01","10,578.01","-","0.16%"
"Feb 13, 2019","10,560.74","10,560.74","10,560.74","10,560.74","-","0.40%"
"Feb 12, 2019","10,518.65","10,518.65","10,518.65","10,518.65","-","0.24%"
"Feb 11, 2019","10,493.49","10,493.49","10,493.49","10,493.49","-","0.14%"
"Feb 08, 2019","10,478.63","10,478.63","10,478.63","10,478.63","-","-0.36%"
"Feb 07, 2019","10,516.45","10,516.45","10,516.45","10,516.45","-","0.40%"
"Feb 06, 2019","10,474.97","10,474.97","10,474.97","10,474.97","-","0.69%"
"Feb 05, 2019","10,402.69","10,402.69","10,402.69","10,402.69","-","0.72%"
"Feb 04, 2019","10,328.45","10,328.45","10,328.45","10,328.45","-","0.15%"
"Feb 01, 2019","10,313.27","10,313.27","10,313.27","10,313.27","-","-0.49%"
"Jan 31, 2019","10,363.69","10,363.69","10,363.69","10,363.69","-","0.50%"
"Jan 30, 2019","10,311.66","10,311.66","10,311.66","10,311.66","-","-2.00%"
"Jan 29, 2019","10,522.57","10,522.57","10,522.57","10,522.57","-","-0.95%"
"Jan 28, 2019","10,623.70","10,623.70","10,623.70","10,623.70","-","0.27%"
"Jan 25, 2019","10,595.25","10,595.25","10,595.25","10,595.25","-","-0.09%"
"Jan 24, 2019","10,604.28","10,604.28","10,604.28","10,604.28","-","-0.34%"
"Jan 23, 2019","10,640.59","10,640.59","10,640.59","10,640.59","-","-0.07%"
"Jan 22, 2019","10,648.46","10,648.46","10,648.46","10,648.46","-","0.62%"
"Jan 21, 2019","10,583.26","10,583.26","10,583.26","10,583.26","-","0.00%"
"Jan 18, 2019","10,583.26","10,583.26","10,583.26","10,583.26","-","0.00%"
"Jan 17, 2019","10,583.26","10,583.26","10,583.26","10,583.26","-","-0.92%"
"Jan 16, 2019","10,681.40","10,681.40","10,681.40","10,681.40","-","0.14%"
"Jan 15, 2019","10,666.55","10,666.55","10,666.55","10,666.55","-","-0.47%"
"Jan 14, 2019","10,716.72","10,716.72","10,716.72","10,716.72","-","0.03%"
"Jan 11, 2019","10,713.63","10,713.63","10,713.63","10,713.63","-","-0.37%"
"Jan 10, 2019","10,753.31","10,753.31","10,753.31","10,753.31","-","-0.20%"
"Jan 09, 2019","10,774.63","10,774.63","10,774.63","10,774.63","-","-0.61%"
"Dec 31, 2018","10,840.49","10,840.49","10,840.49","10,840.49","-","0.08%"
"Dec 28, 2018","10,831.91","10,831.91","10,831.91","10,831.91","-","0.17%"
"Dec 27, 2018","10,813.94","10,813.94","10,813.94","10,813.94","-","0.73%"
"Dec 26, 2018","10,735.46","10,735.46","10,735.46","10,735.46","-","-0.12%"
"Dec 25, 2018","10,747.98","10,747.98","10,747.98","10,747.98","-","-0.68%"
"Dec 24, 2018","10,822.10","10,822.10","10,822.10","10,822.10","-","0.13%"
"Dec 21, 2018","10,807.89","10,807.89","10,807.89","10,807.89","-","-0.32%"
"Dec 20, 2018","10,842.31","10,842.31","10,842.31","10,842.31","-","0.34%"
"Dec 19, 2018","10,805.40","10,805.40","10,805.40","10,805.40","-","0.11%"
"Dec 18, 2018","10,793.29","10,793.29","10,793.29","10,793.29","-","0.24%"
"Dec 17, 2018","10,767.56","10,767.56","10,767.56","10,767.56","-","0.16%"
"Dec 14, 2018","10,750.69","10,750.69","10,750.69","10,750.69","-","-0.11%"
"Dec 13, 2018","10,762.21","10,762.21","10,762.21","10,762.21","-","-0.60%"
"Dec 12, 2018","10,826.70","10,826.70","10,826.70","10,826.70","-","0.82%"
"Dec 11, 2018","10,739.16","10,739.16","10,739.16","10,739.16","-","-0.03%"
"Dec 10, 2018","10,741.85","10,741.85","10,741.85","10,741.85","-","-0.10%"
"Dec 07, 2018","10,752.35","10,752.35","10,752.35","10,752.35","-","-0.21%"
"Dec 06, 2018","10,775.03","10,775.03","10,775.03","10,775.03","-","-0.24%"
"Dec 05, 2018","10,800.52","10,800.52","10,800.52","10,800.52","-","0.07%"
"Dec 04, 2018","10,792.76","10,792.76","10,792.76","10,792.76","-","-0.66%"
"Dec 03, 2018","10,864.03","10,864.03","10,864.03","10,864.03","-","-0.35%"
"Nov 30, 2018","10,901.72","10,901.72","10,901.72","10,901.72","-","0.35%"
"Nov 29, 2018","10,863.99","10,863.99","10,863.99","10,863.99","-","-0.36%"
"Nov 28, 2018","10,903.75","10,903.75","10,903.75","10,903.75","-","-0.06%"
"Nov 27, 2018","10,910.68","10,910.68","10,910.68","10,910.68","-","0.35%"
"Nov 26, 2018","10,873.05","10,873.05","10,873.05","10,873.05","-","-0.15%"
"Nov 23, 2018","10,889.06","10,889.06","10,889.06","10,889.06","-","0.02%"
"Nov 22, 2018","10,886.81","10,886.81","10,886.81","10,886.81","-","-0.26%"
"Nov 21, 2018","10,915.34","10,915.34","10,915.34","10,915.34","-","0.15%"
"Nov 20, 2018","10,898.96","10,898.96","10,898.96","10,898.96","-","0.27%"
"Nov 19, 2018","10,869.25","10,869.25","10,869.25","10,869.25","-","-0.21%"
"Nov 16, 2018","10,892.15","10,892.15","10,892.15","10,892.15","-","0.00%"
"Nov 15, 2018","10,892.15","10,892.15","10,892.15","10,892.15","-","0.55%"
"Nov 14, 2018","10,832.83","10,832.83","10,832.83","10,832.83","-","-0.15%"
"Nov 13, 2018","10,848.76","10,848.76","10,848.76","10,848.76","-","-0.27%"
"Nov 12, 2018","10,878.63","10,878.63","10,878.63","10,878.63","-","0.49%"
"Nov 09, 2018","10,825.45","10,825.45","10,825.45","10,825.45","-","0.23%"
"Nov 08, 2018","10,800.92","10,800.92","10,800.92","10,800.92","-","-1.16%"
"Nov 07, 2018","10,927.42","10,927.42","10,927.42","10,927.42","-","0.74%"
"Nov 06, 2018","10,847.08","10,847.08","10,847.08","10,847.08","-","-0.09%"
"Nov 05, 2018","10,856.59","10,856.59","10,856.59","10,856.59","-","0.17%"
"Nov 02, 2018","10,837.66","10,837.66","10,837.66","10,837.66","-","-0.29%"
"Nov 01, 2018","10,869.58","10,869.58","10,869.58","10,869.58","-","0.06%"
"Oct 31, 2018","10,863.30","10,863.30","10,863.30","10,863.30","-","0.31%"
"Oct 30, 2018","10,829.70","10,829.70","10,829.70","10,829.70","-","0.95%"
"Oct 29, 2018","10,728.02","10,728.02","10,728.02","10,728.02","-","0.33%"
"Oct 26, 2018","10,692.23","10,692.23","10,692.23","10,692.23","-","-0.04%"
"Oct 25, 2018","10,696.16","10,696.16","10,696.16","10,696.16","-","1.21%"
"Oct 24, 2018","10,568.50","10,568.50","10,568.50","10,568.50","-","-0.02%"
"Oct 23, 2018","10,570.78","10,570.78","10,570.78","10,570.78","-","0.05%"
"Oct 22, 2018","10,565.15","10,565.15","10,565.15","10,565.15","-","0.55%"
"Oct 19, 2018","10,507.04","10,507.04","10,507.04","10,507.04","-","0.19%"
"Oct 18, 2018","10,486.67","10,486.67","10,486.67","10,486.67","-","-0.85%"
"Oct 17, 2018","10,576.27","10,576.27","10,576.27","10,576.27","-","0.04%"
"Oct 16, 2018","10,572.48","10,572.48","10,572.48","10,572.48","-","0.01%"
"Oct 15, 2018","10,571.84","10,571.84","10,571.84","10,571.84","-","-0.66%"
"Oct 12, 2018","10,641.93","10,641.93","10,641.93","10,641.93","-","0.43%"
"Oct 11, 2018","10,596.05","10,596.05","10,596.05","10,596.05","-","-0.12%"
"Oct 10, 2018","10,609.31","10,609.31","10,609.31","10,609.31","-","0.98%"
"Oct 09, 2018","10,506.36","10,506.36","10,506.36","10,506.36","-","0.48%"
"Oct 08, 2018","10,455.83","10,455.83","10,455.83","10,455.83","-","-0.05%"
"Oct 05, 2018","10,460.64","10,460.64","10,460.64","10,460.64","-","-0.06%"
"Oct 04, 2018","10,467.36","10,467.36","10,467.36","10,467.36","-","0.44%"
"Oct 03, 2018","10,421.62","10,421.62","10,421.62","10,421.62","-","0.74%"
"Oct 02, 2018","10,345.56","10,345.56","10,345.56","10,345.56","-","-0.37%"
"Oct 01, 2018","10,383.92","10,383.92","10,383.92","10,383.92","-","-0.68%"
"Sep 28, 2018","10,455.09","10,455.09","10,455.09","10,455.09","-","0.61%"
"Sep 27, 2018","10,392.17","10,392.17","10,392.17","10,392.17","-","-0.54%"
"Sep 26, 2018","10,448.19","10,448.19","10,448.19","10,448.19","-","0.18%"
"Sep 25, 2018","10,429.29","10,429.29","10,429.29","10,429.29","-","-0.03%"
"Sep 24, 2018","10,432.07","10,432.07","10,432.07","10,432.07","-","-0.57%"
"Sep 21, 2018","10,491.78","10,491.78","10,491.78","10,491.78","-","-0.01%"
"Sep 20, 2018","10,492.57","10,492.57","10,492.57","10,492.57","-","-0.12%"
"Sep 19, 2018","10,505.00","10,505.00","10,505.00","10,505.00","-","0.91%"
"Sep 18, 2018","10,409.80","10,409.80","10,409.80","10,409.80","-","0.36%"
"Sep 17, 2018","10,372.54","10,372.54","10,372.54","10,372.54","-","0.13%"
"Sep 14, 2018","10,358.59","10,358.59","10,358.59","10,358.59","-","-0.10%"
"Sep 13, 2018","10,369.34","10,369.34","10,369.34","10,369.34","-","-0.42%"
"Sep 12, 2018","10,413.13","10,413.13","10,413.13","10,413.13","-","-0.41%"
"Sep 11, 2018","10,456.30","10,456.30","10,456.30","10,456.30","-","0.09%"
"Sep 10, 2018","10,446.47","10,446.47","10,446.47","10,446.47","-","0.08%"
"Sep 07, 2018","10,438.41","10,438.41","10,438.41","10,438.41","-","0.82%"
"Sep 06, 2018","10,353.45","10,353.45","10,353.45","10,353.45","-","0.58%"
"Sep 05, 2018","10,294.03","10,294.03","10,294.03","10,294.03","-","-0.18%"
"Sep 04, 2018","10,312.08","10,312.08","10,312.08","10,312.08","-","-0.28%"
"Sep 03, 2018","10,340.94","10,340.94","10,340.94","10,340.94","-","-0.12%"
"Aug 31, 2018","10,353.48","10,353.48","10,353.48","10,353.48","-","0.02%"
"Aug 30, 2018","10,351.23","10,351.23","10,351.23","10,351.23","-","0.29%"
"Aug 29, 2018","10,321.42","10,321.42","10,321.42","10,321.42","-","-0.22%"
