"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2019","4,064.14","4,080.64","4,084.95","4,064.06","21.45M","-0.46%"
"Nov 25, 2019","4,083.02","4,081.85","4,091.87","4,081.85","8.74M","0.04%"
"Nov 24, 2019","4,081.41","4,082.71","4,097.37","4,081.26","9.98M","-0.03%"
"Nov 21, 2019","4,082.71","4,084.55","4,085.63","4,082.57","5.02M","-0.08%"
"Nov 20, 2019","4,085.83","4,087.15","4,087.44","4,079.95","6.09M","-0.03%"
"Nov 19, 2019","4,087.10","4,085.93","4,089.71","4,084.84","4.46M","0.03%"
"Nov 18, 2019","4,085.93","4,092.77","4,095.07","4,085.93","5.81M","-0.17%"
"Nov 17, 2019","4,092.77","4,083.94","4,098.25","4,083.94","7.12M","0.22%"
"Nov 14, 2019","4,083.94","4,067.98","4,085.78","4,067.98","8.36M","0.44%"
"Nov 13, 2019","4,066.11","4,053.61","4,074.31","4,052.79","8.06M","0.32%"
"Nov 12, 2019","4,053.30","4,072.44","4,072.98","4,050.51","8.86M","-0.47%"
"Nov 11, 2019","4,072.27","4,040.55","4,079.05","4,040.55","13.05M","0.78%"
"Nov 07, 2019","4,040.59","4,030.25","4,040.65","4,029.03","5.95M","0.26%"
"Nov 06, 2019","4,030.02","4,026.17","4,032.96","4,026.17","6.01M","0.10%"
"Nov 05, 2019","4,026.17","4,022.35","4,029.25","4,019.50","7.95M","0.13%"
"Nov 04, 2019","4,020.88","4,009.75","4,023.92","4,009.75","10.42M","0.33%"
"Nov 03, 2019","4,007.47","3,999.68","4,007.47","3,999.68","11.11M","0.19%"
"Oct 31, 2019","3,999.88","4,013.80","4,013.86","3,999.80","7.65M","-0.32%"
"Oct 30, 2019","4,012.79","4,004.35","4,012.79","4,004.35","3.92M","0.21%"
"Oct 29, 2019","4,004.35","4,005.69","4,010.22","4,004.35","3.42M","-0.02%"
"Oct 28, 2019","4,005.32","3,986.57","4,005.36","3,982.15","5.07M","0.47%"
"Oct 27, 2019","3,986.57","3,990.48","3,995.35","3,986.57","1.90M","-0.08%"
"Oct 24, 2019","3,989.61","3,995.97","3,998.01","3,989.61","8.99M","-0.17%"
"Oct 23, 2019","3,996.45","4,007.01","4,007.44","3,996.45","16.96M","-0.26%"
"Oct 22, 2019","4,007.01","4,016.71","4,017.01","4,006.04","2.57M","-0.23%"
"Oct 21, 2019","4,016.39","4,015.77","4,017.17","4,006.37","2.29M","0.02%"
"Oct 20, 2019","4,015.77","4,006.77","4,016.91","4,006.77","9.58M","0.26%"
"Oct 17, 2019","4,005.35","4,003.71","4,005.35","4,001.65","3.57M","0.05%"
"Oct 16, 2019","4,003.45","4,017.17","4,017.17","4,002.75","6.56M","-0.33%"
