"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","1,108.34","1,112.16","1,117.21","1,108.34","9.49M","-0.60%"
"Nov 28, 2019","1,115.08","1,112.82","1,116.02","1,111.03","6.66M","0.18%"
"Nov 27, 2019","1,113.10","1,112.84","1,114.82","1,107.62","9.93M","0.03%"
"Nov 26, 2019","1,112.75","1,103.58","1,113.00","1,099.89","16.57M","0.84%"
"Nov 25, 2019","1,103.45","1,082.66","1,106.02","1,082.63","11.79M","1.93%"
"Nov 22, 2019","1,082.59","1,072.87","1,088.74","1,071.30","11.99M","0.91%"
"Nov 21, 2019","1,072.85","1,085.02","1,085.02","1,071.04","11.96M","-1.17%"
"Nov 20, 2019","1,085.50","1,101.26","1,104.17","1,082.24","13.75M","-1.41%"
"Nov 19, 2019","1,101.00","1,100.95","1,106.06","1,098.04","12.17M","0.05%"
"Nov 18, 2019","1,100.49","1,108.57","1,113.08","1,099.55","14.94M","-0.66%"
"Nov 15, 2019","1,107.84","1,104.01","1,110.04","1,102.59","11.10M","0.58%"
"Nov 14, 2019","1,101.46","1,106.88","1,109.46","1,098.32","11.93M","-0.52%"
"Nov 13, 2019","1,107.21","1,099.47","1,109.07","1,094.43","20.91M","0.61%"
"Nov 12, 2019","1,100.50","1,098.14","1,100.50","1,094.71","11.04M","0.26%"
"Nov 11, 2019","1,097.68","1,097.99","1,103.72","1,092.31","13.87M","-0.03%"
"Nov 08, 2019","1,098.02","1,082.07","1,098.31","1,080.32","24.55M","1.50%"
"Nov 07, 2019","1,081.76","1,071.93","1,084.20","1,071.93","18.14M","1.04%"
"Nov 06, 2019","1,070.64","1,073.25","1,073.25","1,064.02","25.66M","-0.28%"
"Nov 05, 2019","1,073.64","1,082.67","1,083.00","1,069.45","17.90M","-0.80%"
"Nov 04, 2019","1,082.30","1,076.28","1,084.47","1,073.12","14.17M","0.56%"
"Nov 01, 2019","1,076.32","1,050.97","1,076.32","1,049.27","10.70M","2.45%"
"Oct 31, 2019","1,050.61","1,058.76","1,062.88","1,050.36","13.06M","-0.81%"
"Oct 30, 2019","1,059.15","1,048.42","1,059.15","1,048.01","12.51M","1.02%"
"Oct 29, 2019","1,048.42","1,056.74","1,057.06","1,038.25","13.32M","-0.85%"
"Oct 28, 2019","1,057.45","1,049.80","1,057.89","1,044.84","8.57M","0.87%"
"Oct 25, 2019","1,048.31","1,046.17","1,049.18","1,042.97","8.84M","0.22%"
"Oct 24, 2019","1,046.02","1,040.47","1,052.80","1,040.47","10.48M","0.52%"
"Oct 23, 2019","1,040.59","1,038.63","1,043.66","1,033.11","13.45M","-0.04%"
