"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","4,059.93","4,076.16","4,077.38","4,059.87","39.70M","-0.43%"
"Nov 28, 2019","4,077.39","4,082.96","4,086.21","4,070.05","24.43M","-0.15%"
"Nov 27, 2019","4,083.57","4,082.91","4,102.69","4,081.47","35.66M","0.03%"
"Nov 26, 2019","4,082.35","4,085.50","4,090.12","4,064.90","61.43M","-0.09%"
"Nov 25, 2019","4,085.96","4,067.15","4,097.28","4,067.15","41.36M","0.50%"
"Nov 22, 2019","4,065.76","4,057.21","4,083.06","4,047.13","43.43M","0.19%"
"Nov 21, 2019","4,057.99","4,077.95","4,077.95","4,049.33","34.91M","-0.56%"
"Nov 20, 2019","4,080.95","4,084.20","4,084.20","4,054.11","38.53M","-0.09%"
"Nov 19, 2019","4,084.72","4,106.26","4,124.47","4,077.60","35.39M","-0.46%"
"Nov 18, 2019","4,103.50","4,120.74","4,136.41","4,098.84","28.53M","-0.45%"
"Nov 15, 2019","4,122.12","4,096.39","4,126.69","4,082.35","47.68M","0.81%"
"Nov 14, 2019","4,089.00","4,132.47","4,132.47","4,088.91","52.32M","-1.06%"
"Nov 13, 2019","4,132.81","4,167.09","4,167.09","4,121.69","33.90M","-0.85%"
"Nov 12, 2019","4,168.18","4,154.48","4,173.35","4,149.94","35.78M","0.38%"
"Nov 11, 2019","4,152.45","4,159.58","4,159.99","4,130.86","46.24M","-0.15%"
"Nov 08, 2019","4,158.86","4,168.28","4,174.88","4,152.57","42.63M","-0.23%"
"Nov 07, 2019","4,168.64","4,159.36","4,184.80","4,158.08","45.50M","0.25%"
"Nov 06, 2019","4,158.12","4,171.47","4,178.84","4,150.53","51.38M","-0.30%"
"Nov 05, 2019","4,170.52","4,169.82","4,176.14","4,153.69","52.80M","0.08%"
"Nov 04, 2019","4,167.06","4,117.58","4,172.37","4,117.58","51.53M","1.30%"
"Nov 01, 2019","4,113.78","4,093.14","4,131.08","4,087.74","23.17M","0.52%"
"Oct 31, 2019","4,092.37","4,133.80","4,134.54","4,091.74","76.89M","-1.00%"
"Oct 30, 2019","4,133.72","4,118.31","4,135.45","4,102.77","63.65M","0.34%"
"Oct 29, 2019","4,119.86","4,141.18","4,141.18","4,057.17","79.63M","-0.50%"
"Oct 28, 2019","4,140.43","4,111.78","4,140.43","4,098.50","78.12M","0.56%"
"Oct 25, 2019","4,117.18","4,101.74","4,122.53","4,080.88","111.23M","0.34%"
"Oct 24, 2019","4,103.07","4,137.53","4,137.53","4,045.74","209.29M","-0.78%"
"Oct 23, 2019","4,135.51","4,110.20","4,152.46","4,081.33","40.43M","0.60%"
"Oct 22, 2019","4,110.74","4,098.88","4,113.34","4,092.50","33.93M","0.22%"
"Oct 21, 2019","4,101.72","4,067.01","4,102.12","4,061.38","33.13M","0.86%"
"Oct 18, 2019","4,066.93","4,061.41","4,071.99","4,040.93","32.69M","0.07%"
"Oct 17, 2019","4,064.26","4,046.75","4,109.74","4,034.65","57.52M","0.51%"
"Oct 16, 2019","4,043.82","4,040.49","4,048.86","4,018.60","33.82M","0.08%"
"Oct 15, 2019","4,040.53","4,003.74","4,043.32","4,003.74","31.90M","0.92%"
"Oct 14, 2019","4,003.76","4,031.86","4,031.86","3,967.51","29.63M","-0.76%"
"Oct 11, 2019","4,034.22","3,962.36","4,034.22","3,962.36","45.19M","1.93%"
"Oct 10, 2019","3,958.00","3,920.56","3,961.70","3,899.37","37.23M","1.03%"
"Oct 09, 2019","3,917.70","3,897.14","3,927.02","3,881.51","28.56M","0.46%"
"Oct 08, 2019","3,899.93","3,922.29","3,952.79","3,887.21","34.96M","-0.59%"
"Oct 07, 2019","3,922.93","3,883.16","3,923.83","3,874.17","34.49M","1.03%"
"Oct 04, 2019","3,882.99","3,856.91","3,887.22","3,856.91","33.30M","0.70%"
"Oct 03, 2019","3,856.05","3,904.16","3,904.80","3,826.83","37.33M","-1.20%"
"Oct 02, 2019","3,903.02","3,988.39","3,988.39","3,899.15","99.16M","-2.22%"
"Oct 01, 2019","3,991.70","4,040.45","4,054.37","3,985.59","43.83M","-1.20%"
"Sep 30, 2019","4,040.16","4,010.99","4,041.08","4,004.68","36.79M","0.66%"
"Sep 27, 2019","4,013.66","3,968.22","4,019.31","3,968.22","30.25M","1.18%"
"Sep 26, 2019","3,967.03","3,954.94","3,971.79","3,950.48","30.78M","0.28%"
"Sep 25, 2019","3,955.95","3,973.69","3,973.69","3,925.14","25.93M","-0.50%"
"Sep 24, 2019","3,976.02","3,993.55","4,004.38","3,971.46","34.55M","-0.44%"
"Sep 23, 2019","3,993.45","4,038.05","4,038.05","3,967.42","33.65M","-1.10%"
"Sep 20, 2019","4,037.90","4,037.14","4,047.65","4,016.76","68.38M","0.02%"
"Sep 19, 2019","4,037.09","4,017.07","4,059.61","3,985.79","44.27M","0.51%"
"Sep 18, 2019","4,016.62","4,048.26","4,065.48","4,012.52","37.56M","-0.83%"
"Sep 17, 2019","4,050.08","4,078.84","4,078.84","4,005.43","45.34M","-0.70%"
"Sep 16, 2019","4,078.67","4,067.20","4,087.59","4,042.49","44.14M","0.13%"
"Sep 13, 2019","4,073.39","4,063.26","4,084.24","4,063.25","36.92M","0.25%"
"Sep 12, 2019","4,063.23","4,009.93","4,070.22","4,009.93","50.10M","1.33%"
"Sep 11, 2019","4,009.79","4,018.50","4,023.77","3,993.97","42.55M","0.00%"
"Sep 10, 2019","4,009.73","3,993.59","4,009.73","3,966.45","50.17M","0.44%"
"Sep 09, 2019","3,992.04","3,964.89","3,992.04","3,963.15","32.02M","0.69%"
"Sep 06, 2019","3,964.74","3,936.22","3,965.48","3,936.22","32.51M","0.68%"
"Sep 05, 2019","3,937.89","3,887.33","3,947.44","3,887.33","43.24M","1.53%"
"Sep 04, 2019","3,878.53","3,820.21","3,887.00","3,820.21","27.25M","1.59%"
"Sep 03, 2019","3,817.81","3,854.11","3,863.55","3,813.05","32.13M","-0.96%"
"Sep 02, 2019","3,854.72","3,848.38","3,867.99","3,841.61","24.63M","0.15%"
"Aug 30, 2019","3,848.88","3,819.46","3,852.28","3,812.87","36.75M","0.76%"
"Aug 29, 2019","3,820.01","3,752.77","3,822.39","3,747.90","30.78M","1.78%"
"Aug 28, 2019","3,753.28","3,795.10","3,796.92","3,733.96","38.44M","-1.10%"
"Aug 27, 2019","3,795.10","3,776.85","3,814.77","3,761.53","39.16M","0.47%"
"Aug 26, 2019","3,777.22","3,788.96","3,794.77","3,748.16","22.27M","-0.36%"
"Aug 23, 2019","3,790.86","3,842.11","3,871.61","3,790.57","32.79M","-1.26%"
"Aug 22, 2019","3,839.05","3,847.52","3,867.95","3,831.45","34.02M","-0.23%"
"Aug 21, 2019","3,847.84","3,808.11","3,866.43","3,808.11","95.29M","1.10%"
"Aug 20, 2019","3,805.90","3,866.21","3,872.24","3,805.90","27.82M","-1.57%"
"Aug 19, 2019","3,866.54","3,811.02","3,866.54","3,811.02","19.19M","1.49%"
"Aug 16, 2019","3,809.78","3,753.54","3,816.07","3,753.54","33.83M","1.54%"
"Aug 15, 2019","3,751.98","3,766.66","3,781.37","3,699.93","45.48M","-0.35%"
"Aug 14, 2019","3,765.29","3,860.23","3,862.37","3,755.61","47.36M","-2.66%"
"Aug 13, 2019","3,868.01","3,839.61","3,874.99","3,789.19","35.89M","0.72%"
"Aug 12, 2019","3,840.47","3,868.86","3,891.79","3,826.40","31.42M","-0.73%"
"Aug 09, 2019","3,868.83","3,866.47","3,887.67","3,856.60","35.32M","0.09%"
"Aug 08, 2019","3,865.33","3,807.31","3,865.33","3,807.31","36.27M","1.72%"
"Aug 07, 2019","3,800.15","3,827.16","3,842.16","3,776.41","40.29M","-0.39%"
"Aug 06, 2019","3,814.96","3,816.40","3,854.69","3,797.81","48.68M","-0.06%"
"Aug 05, 2019","3,817.21","3,854.15","3,854.15","3,775.88","61.57M","-1.16%"
"Aug 02, 2019","3,861.99","3,895.01","3,895.01","3,839.17","49.25M","-1.32%"
"Aug 01, 2019","3,913.56","3,908.78","3,924.80","3,895.10","36.78M","0.12%"
"Jul 31, 2019","3,909.02","3,901.74","3,911.64","3,901.06","42.58M","0.18%"
"Jul 30, 2019","3,902.17","3,951.93","3,951.93","3,894.97","40.77M","-1.29%"
"Jul 29, 2019","3,953.01","3,966.01","3,966.01","3,945.88","34.56M","-0.32%"
"Jul 26, 2019","3,965.89","3,995.28","3,997.17","3,956.76","47.53M","-0.72%"
"Jul 25, 2019","3,994.71","3,990.50","4,038.88","3,970.43","78.04M","0.05%"
"Jul 24, 2019","3,992.61","3,988.29","3,998.79","3,956.54","43.55M","0.15%"
"Jul 23, 2019","3,986.52","3,915.30","4,002.57","3,915.30","47.02M","1.83%"
"Jul 22, 2019","3,915.01","3,913.79","3,933.31","3,905.28","34.66M","0.09%"
"Jul 19, 2019","3,911.31","3,880.67","3,936.52","3,876.62","41.59M","0.66%"
"Jul 18, 2019","3,885.68","3,969.16","3,969.16","3,870.42","46.35M","-2.15%"
"Jul 17, 2019","3,971.00","4,010.78","4,010.78","3,959.90","37.55M","-0.99%"
"Jul 16, 2019","4,010.68","3,990.23","4,014.80","3,977.92","34.71M","0.44%"
"Jul 15, 2019","3,993.00","3,968.70","3,996.53","3,958.30","23.46M","0.63%"
"Jul 12, 2019","3,967.99","3,955.52","3,976.22","3,954.25","26.97M","0.41%"
"Jul 11, 2019","3,951.69","3,961.98","3,965.70","3,948.46","27.64M","-0.02%"
"Jul 10, 2019","3,952.59","3,951.80","3,977.33","3,949.44","27.21M","-0.01%"
"Jul 09, 2019","3,952.84","3,994.44","3,994.44","3,941.64","29.73M","-1.19%"
"Jul 08, 2019","4,000.27","4,018.41","4,031.30","3,986.25","25.34M","-0.49%"
"Jul 05, 2019","4,019.90","4,039.95","4,043.06","3,990.13","37.20M","-0.48%"
"Jul 04, 2019","4,039.31","4,025.64","4,060.94","4,025.64","34.95M","0.44%"
"Jul 03, 2019","4,021.77","3,996.12","4,026.55","3,976.72","29.08M","0.64%"
"Jul 02, 2019","3,996.24","4,004.98","4,019.79","3,987.62","34.32M","-0.20%"
"Jul 01, 2019","4,004.09","3,958.27","4,024.54","3,958.27","41.02M","1.16%"
"Jun 28, 2019","3,958.34","3,952.36","3,958.34","3,929.58","43.15M","0.11%"
"Jun 27, 2019","3,953.85","3,959.10","3,976.85","3,939.47","35.14M","-0.14%"
"Jun 26, 2019","3,959.25","3,917.12","3,967.41","3,904.20","39.64M","0.97%"
"Jun 25, 2019","3,921.08","3,908.80","3,926.27","3,903.74","42.09M","0.31%"
"Jun 24, 2019","3,908.80","3,943.64","3,955.11","3,898.30","52.68M","-0.89%"
"Jun 20, 2019","3,944.08","3,945.96","3,982.57","3,916.65","88.27M","0.02%"
"Jun 19, 2019","3,943.17","3,938.72","3,961.50","3,932.74","41.49M","0.11%"
"Jun 18, 2019","3,938.90","3,872.86","3,943.03","3,846.90","47.93M","1.70%"
"Jun 17, 2019","3,873.09","3,896.43","3,916.93","3,872.43","29.04M","-0.72%"
"Jun 14, 2019","3,901.02","3,936.57","3,936.57","3,890.66","34.28M","-0.89%"
"Jun 13, 2019","3,936.17","3,915.35","3,962.46","3,908.06","35.07M","0.51%"
"Jun 12, 2019","3,916.07","3,941.74","3,941.74","3,892.91","33.68M","-0.65%"
"Jun 11, 2019","3,941.74","3,862.45","3,954.22","3,862.45","45.44M","2.13%"
