"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","998.05","1,005.28","1,005.32","996.71","76.07M","-0.72%"
"Nov 28, 2019","1,005.28","1,009.62","1,009.62","1,005.07","64.09M","-0.43%"
"Nov 27, 2019","1,009.62","1,007.99","1,010.50","1,005.40","81.41M","0.16%"
"Nov 26, 2019","1,008.00","1,013.28","1,014.38","1,007.16","66.19M","-0.43%"
"Nov 25, 2019","1,012.32","1,007.76","1,014.00","1,007.68","60.08M","0.45%"
"Nov 22, 2019","1,007.77","997.16","1,007.89","997.16","99.30M","1.06%"
"Nov 21, 2019","997.16","996.21","998.58","991.97","80.30M","0.10%"
"Nov 20, 2019","996.21","1,000.07","1,000.12","988.87","119.45M","-0.39%"
"Nov 19, 2019","1,000.09","999.54","1,004.69","998.14","139.81M","0.06%"
"Nov 18, 2019","999.52","1,000.91","1,006.33","996.48","97.96M","-0.14%"
"Nov 15, 2019","1,000.91","1,004.84","1,006.19","995.86","86.50M","-0.39%"
"Nov 14, 2019","1,004.84","1,004.68","1,007.92","1,003.38","94.01M","0.01%"
"Nov 13, 2019","1,004.69","1,013.51","1,013.52","1,000.37","103.46M","-0.81%"
"Nov 12, 2019","1,012.93","1,014.90","1,017.15","1,009.67","86.09M","-0.19%"
"Nov 11, 2019","1,014.89","1,012.56","1,014.89","1,006.58","95.72M","0.23%"
"Nov 08, 2019","1,012.58","1,015.80","1,015.99","1,010.01","123.48M","-0.32%"
"Nov 07, 2019","1,015.79","1,007.95","1,015.80","1,004.59","171.36M","0.78%"
"Nov 06, 2019","1,007.95","1,007.21","1,008.15","1,001.17","129.51M","0.08%"
"Nov 05, 2019","1,007.19","1,006.61","1,010.29","1,005.23","96.11M","0.06%"
"Nov 04, 2019","1,006.56","1,001.65","1,008.17","1,001.31","77.87M","0.49%"
"Nov 01, 2019","1,001.65","993.66","1,002.97","991.76","69.59M","0.80%"
"Oct 31, 2019","993.66","1,002.46","1,002.86","991.84","115.51M","-0.88%"
"Oct 30, 2019","1,002.46","1,004.15","1,009.07","1,001.21","94.97M","-0.17%"
"Oct 29, 2019","1,004.15","1,008.50","1,008.77","998.31","91.52M","-0.43%"
"Oct 28, 2019","1,008.50","1,000.49","1,011.41","1,000.49","114.36M","0.80%"
"Oct 25, 2019","1,000.48","1,004.40","1,005.20","996.50","114.67M","-0.39%"
"Oct 24, 2019","1,004.39","987.48","1,005.28","987.48","123.71M","1.69%"
"Oct 23, 2019","987.72","994.59","996.76","983.62","114.26M","-0.69%"
"Oct 22, 2019","994.59","993.28","995.95","990.74","101.35M","0.13%"
"Oct 21, 2019","993.28","987.85","995.10","986.45","81.45M","0.55%"
"Oct 18, 2019","987.85","989.56","992.09","986.95","102.49M","-0.17%"
"Oct 17, 2019","989.56","984.04","992.34","977.86","120.60M","0.56%"
"Oct 16, 2019","984.04","978.09","984.93","971.47","144.01M","0.57%"
"Oct 15, 2019","978.45","974.42","980.69","974.20","147.00M","0.42%"
"Oct 14, 2019","974.38","987.14","987.18","972.74","115.79M","-1.29%"
"Oct 11, 2019","987.14","978.36","988.54","978.36","213.03M","0.90%"
"Oct 10, 2019","978.36","969.44","978.79","966.11","98.23M","0.92%"
"Oct 09, 2019","969.44","970.59","973.10","965.40","110.69M","-0.12%"
"Oct 08, 2019","970.59","982.06","984.86","968.59","103.15M","-1.16%"
"Oct 07, 2019","982.02","966.50","982.05","966.49","98.89M","1.61%"
"Oct 04, 2019","966.50","952.77","967.16","952.77","213.50M","1.44%"
"Oct 03, 2019","952.77","967.16","967.16","951.06","338.40M","-1.49%"
"Oct 02, 2019","967.14","988.49","988.49","966.61","141.72M","-2.16%"
"Oct 01, 2019","988.49","987.88","993.58","987.02","195.96M","0.06%"
"Sep 30, 2019","987.88","985.90","990.15","982.92","172.46M","0.20%"
"Sep 27, 2019","985.89","982.15","990.96","982.15","330.39M","0.38%"
"Sep 26, 2019","982.13","981.46","990.50","980.43","357.55M","0.07%"
"Sep 25, 2019","981.46","995.11","995.13","978.79","212.14M","-1.37%"
"Sep 24, 2019","995.11","1,002.51","1,004.79","993.95","462.13M","-0.75%"
"Sep 23, 2019","1,002.66","1,011.12","1,011.83","1,000.59","422.75M","-0.84%"
"Sep 20, 2019","1,011.13","1,005.28","1,011.66","1,005.28","247.95M","0.58%"
"Sep 19, 2019","1,005.28","1,004.99","1,009.47","1,000.64","213.67M","0.03%"
"Sep 18, 2019","1,004.96","995.86","1,005.71","993.60","155.22M","0.91%"
"Sep 17, 2019","995.86","1,008.57","1,012.15","993.63","144.69M","-1.26%"
"Sep 16, 2019","1,008.54","992.15","1,009.09","992.12","155.34M","1.65%"
"Sep 13, 2019","992.15","984.50","992.15","984.48","220.56M","0.78%"
"Sep 12, 2019","984.50","989.24","989.50","975.50","356.37M","-0.48%"
"Sep 11, 2019","989.24","975.19","989.26","975.18","110.56M","1.45%"
"Sep 10, 2019","975.14","967.64","975.18","966.38","112.19M","0.78%"
"Sep 09, 2019","967.64","965.95","972.80","965.95","80.68M","0.17%"
"Sep 06, 2019","965.95","975.77","975.98","963.17","111.97M","-1.01%"
"Sep 05, 2019","975.77","952.18","978.42","952.17","150.59M","2.50%"
"Sep 04, 2019","951.97","943.28","955.31","943.28","169.19M","0.92%"
"Sep 03, 2019","943.28","954.04","954.82","942.89","167.17M","-1.13%"
"Sep 02, 2019","954.04","955.61","957.27","953.61","137.70M","-0.16%"
"Aug 30, 2019","955.61","945.56","956.93","945.54","159.01M","1.06%"
"Aug 29, 2019","945.56","932.16","946.20","932.14","103.03M","1.44%"
"Aug 28, 2019","932.16","931.89","936.52","929.74","155.54M","0.03%"
"Aug 27, 2019","931.89","924.23","931.89","923.94","73.27M","0.82%"
"Aug 26, 2019","924.33","932.18","932.20","919.66","70.88M","-0.84%"
"Aug 23, 2019","932.18","938.02","942.77","923.68","78.08M","-0.62%"
"Aug 22, 2019","938.02","937.36","940.77","932.72","83.10M","0.07%"
"Aug 21, 2019","937.35","929.38","939.85","926.80","69.57M","0.86%"
"Aug 20, 2019","929.37","930.33","935.73","926.99","71.91M","-0.11%"
"Aug 19, 2019","930.38","913.79","930.38","913.79","89.48M","1.82%"
"Aug 16, 2019","913.79","905.52","915.06","905.49","91.03M","0.92%"
"Aug 15, 2019","905.46","911.27","915.05","891.88","125.94M","-0.61%"
"Aug 14, 2019","911.00","933.99","934.81","908.89","85.29M","-2.46%"
"Aug 13, 2019","933.94","924.12","934.03","919.68","73.44M","1.01%"
"Aug 12, 2019","924.63","928.39","934.02","923.31","52.62M","-0.41%"
"Aug 09, 2019","928.40","933.40","938.14","928.20","48.81M","-0.53%"
"Aug 08, 2019","933.39","920.89","935.29","920.89","70.65M","1.36%"
"Aug 07, 2019","920.90","929.71","934.83","917.00","76.20M","-0.94%"
"Aug 06, 2019","929.68","927.44","935.69","925.41","75.12M","0.18%"
"Aug 05, 2019","928.04","949.25","949.25","926.06","76.96M","-2.24%"
"Aug 02, 2019","949.26","959.65","959.65","944.28","71.21M","-1.08%"
"Aug 01, 2019","959.66","957.08","961.56","951.71","74.83M","0.26%"
"Jul 31, 2019","957.18","948.19","958.80","948.19","75.35M","0.95%"
"Jul 30, 2019","948.19","962.27","963.53","947.81","91.31M","-1.46%"
"Jul 29, 2019","962.27","965.52","967.62","961.55","105.33M","-0.34%"
"Jul 26, 2019","965.52","960.90","968.81","958.21","99.78M","0.48%"
"Jul 25, 2019","960.90","971.55","975.25","959.21","133.38M","-1.10%"
"Jul 24, 2019","971.55","974.12","977.08","968.77","137.56M","-0.26%"
"Jul 23, 2019","974.12","964.49","974.88","964.34","99.00M","1.00%"
"Jul 22, 2019","964.49","961.44","967.87","961.41","73.34M","0.32%"
"Jul 19, 2019","961.45","959.64","961.80","957.34","56.37M","0.19%"
"Jul 18, 2019","959.61","967.57","967.57","957.11","61.67M","-0.82%"
"Jul 17, 2019","967.57","976.86","977.20","967.36","47.92M","-0.95%"
"Jul 16, 2019","976.83","986.35","986.57","974.71","54.72M","-0.97%"
"Jul 15, 2019","986.36","988.04","991.37","982.94","57.16M","-0.17%"
"Jul 12, 2019","988.04","989.55","992.96","985.63","74.94M","-0.15%"
"Jul 11, 2019","989.55","987.23","990.45","984.82","88.50M","0.24%"
"Jul 10, 2019","987.21","985.95","989.14","984.51","94.97M","0.11%"
"Jul 09, 2019","986.11","994.71","994.71","983.96","109.31M","-0.86%"
"Jul 08, 2019","994.71","987.81","996.12","987.81","98.33M","0.70%"
"Jul 05, 2019","987.81","990.36","991.80","985.96","104.01M","-0.26%"
"Jul 04, 2019","990.36","982.65","991.26","982.65","105.66M","0.78%"
"Jul 03, 2019","982.65","982.00","982.92","975.93","98.76M","0.07%"
"Jul 02, 2019","981.97","984.27","985.45","979.89","117.62M","-0.23%"
"Jul 01, 2019","984.27","966.94","984.63","966.86","141.93M","1.80%"
"Jun 28, 2019","966.90","967.21","969.19","965.32","143.92M","-0.03%"
"Jun 27, 2019","967.21","964.40","970.71","963.82","102.98M","0.29%"
"Jun 26, 2019","964.39","963.68","969.85","963.68","99.24M","0.07%"
"Jun 25, 2019","963.68","972.62","972.96","963.22","88.32M","-0.92%"
"Jun 24, 2019","972.63","975.40","983.83","971.85","92.29M","-0.28%"
"Jun 21, 2019","975.37","973.56","979.67","972.02","108.55M","0.18%"
"Jun 20, 2019","973.57","965.94","975.95","965.94","113.09M","0.80%"
"Jun 19, 2019","965.87","967.75","971.08","963.93","148.96M","-0.19%"
"Jun 18, 2019","967.75","956.09","969.08","954.04","94.10M","1.22%"
"Jun 17, 2019","956.09","961.84","964.11","955.95","109.12M","-0.61%"
"Jun 14, 2019","961.96","959.74","963.49","954.03","141.73M","0.23%"
"Jun 13, 2019","959.74","960.50","962.48","955.75","256.94M","-0.08%"
"Jun 12, 2019","960.50","977.29","977.30","959.39","137.11M","-1.72%"
"Jun 11, 2019","977.34","970.28","979.12","969.85","191.51M","0.73%"
"Jun 07, 2019","970.29","963.25","973.75","963.25","124.24M","0.73%"
"Jun 06, 2019","963.23","962.40","968.98","961.44","128.82M","0.09%"
"Jun 05, 2019","962.41","961.45","967.58","960.02","130.20M","0.10%"
"Jun 04, 2019","961.44","965.30","965.33","956.70","291.99M","-0.40%"
"Jun 03, 2019","965.30","954.54","965.30","942.99","109.59M","1.13%"
"May 31, 2019","954.55","953.89","955.11","938.06","136.57M","0.06%"
"May 29, 2019","953.98","975.47","975.47","950.87","128.44M","-2.20%"
"May 28, 2019","975.48","979.50","983.77","971.31","126.74M","-0.41%"
"May 27, 2019","979.51","980.33","983.94","975.63","78.06M","-0.08%"
"May 24, 2019","980.33","973.90","983.32","973.90","86.51M","0.66%"
"May 23, 2019","973.90","999.25","999.29","973.88","103.86M","-2.54%"
"May 22, 2019","999.25","999.46","1,000.77","995.41","80.07M","-0.02%"
"May 21, 2019","999.49","995.81","1,001.88","995.81","83.43M","0.37%"
"May 20, 2019","995.81","993.26","1,003.22","989.63","98.29M","0.25%"
"May 16, 2019","993.28","975.59","993.28","975.59","122.17M","1.81%"
"May 15, 2019","975.59","974.32","979.66","967.88","125.81M","0.16%"
"May 14, 2019","974.07","970.72","974.57","966.32","144.26M","0.34%"
"May 13, 2019","970.75","980.85","983.37","969.89","205.59M","-1.03%"
"May 10, 2019","980.85","968.45","981.86","968.45","341.20M","1.28%"
"May 09, 2019","968.43","984.11","984.11","968.26","134.01M","-1.59%"
"May 08, 2019","984.11","981.55","988.94","978.20","154.01M","0.26%"
"May 07, 2019","981.55","985.99","993.82","977.08","99.83M","-0.45%"
"May 06, 2019","985.99","994.66","994.66","978.34","126.19M","-0.87%"
"May 03, 2019","994.66","991.79","999.70","988.69","117.50M","0.29%"
"May 02, 2019","991.80","998.54","998.54","987.79","125.79M","-0.67%"
"Apr 30, 2019","998.54","999.37","1,001.53","995.33","121.51M","-0.08%"
"Apr 29, 2019","999.37","1,000.50","1,002.44","996.26","115.95M","-0.11%"
"Apr 26, 2019","1,000.50","1,004.55","1,006.17","997.86","129.23M","-0.40%"
"Apr 25, 2019","1,004.55","1,012.55","1,013.33","1,004.30","93.55M","-0.78%"
"Apr 24, 2019","1,012.46","1,017.00","1,018.27","1,012.25","110.35M","-0.44%"
"Apr 23, 2019","1,016.98","1,010.71","1,020.42","1,010.54","131.81M","0.62%"
"Apr 17, 2019","1,010.73","1,007.26","1,012.73","1,003.84","58.23M","0.34%"
"Apr 16, 2019","1,007.29","1,009.56","1,013.15","1,005.46","95.84M","-0.22%"
