"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","4,632.84","4,644.00","4,650.09","4,615.79","678.77K","-0.39%"
"Nov 28, 2019","4,650.95","4,675.04","4,679.26","4,640.99","651.42K","-0.73%"
"Nov 27, 2019","4,685.00","4,643.44","4,685.00","4,642.36","1.81M","1.27%"
"Nov 26, 2019","4,626.36","4,646.65","4,674.27","4,626.36","1.49M","-0.58%"
"Nov 25, 2019","4,653.54","4,663.55","4,669.54","4,640.76","1.02M","-0.54%"
"Nov 22, 2019","4,679.04","4,639.44","4,679.04","4,622.85","374.92K","0.18%"
"Nov 21, 2019","4,670.76","4,710.97","4,710.97","4,636.06","732.22K","-0.99%"
"Nov 20, 2019","4,717.40","4,721.06","4,721.06","4,700.08","1.72M","-0.26%"
"Nov 19, 2019","4,729.72","4,721.70","4,731.54","4,721.70","1.31M","0.20%"
"Nov 18, 2019","4,720.26","4,746.26","4,746.26","4,716.50","407.36K","-0.66%"
"Nov 15, 2019","4,751.81","4,758.69","4,760.41","4,741.15","706.23K","-0.12%"
"Nov 14, 2019","4,757.73","4,756.10","4,759.49","4,740.75","635.30K","-0.13%"
"Nov 13, 2019","4,763.89","4,782.91","4,782.91","4,753.09","1.16M","-0.52%"
"Nov 12, 2019","4,788.62","4,796.22","4,796.22","4,769.45","466.76K","-0.01%"
"Nov 11, 2019","4,789.28","4,817.63","4,819.70","4,789.17","715.58K","-0.72%"
"Nov 08, 2019","4,823.80","4,810.94","4,823.80","4,785.49","595.24K","0.02%"
"Nov 07, 2019","4,822.77","4,825.98","4,828.50","4,801.08","440.79K","0.38%"
"Nov 06, 2019","4,804.36","4,888.93","4,888.93","4,804.36","505.16K","-1.70%"
"Nov 05, 2019","4,887.37","4,830.34","4,887.37","4,829.53","639.83K","1.15%"
"Nov 04, 2019","4,831.70","4,797.97","4,831.70","4,797.97","1.14M","0.92%"
"Oct 31, 2019","4,787.45","4,802.97","4,803.26","4,781.76","1.09M","-0.28%"
"Oct 30, 2019","4,801.11","4,801.83","4,801.83","4,772.83","1.09M","0.29%"
"Oct 29, 2019","4,787.17","4,776.21","4,792.03","4,770.98","680.84K","0.27%"
"Oct 28, 2019","4,774.25","4,771.67","4,777.88","4,758.82","1.35M","0.15%"
"Oct 25, 2019","4,767.03","4,798.97","4,800.61","4,762.66","1.37M","-0.27%"
"Oct 24, 2019","4,780.16","4,776.01","4,786.02","4,764.89","636.44K","0.04%"
"Oct 23, 2019","4,778.20","4,773.24","4,778.20","4,756.63","1.16M","-0.12%"
"Oct 22, 2019","4,784.11","4,754.31","4,784.11","4,754.31","358.06K","0.64%"
"Oct 21, 2019","4,753.75","4,752.80","4,759.71","4,740.24","380.05K","-0.03%"
"Oct 18, 2019","4,755.04","4,769.99","4,769.99","4,752.79","810.47K","-0.33%"
"Oct 17, 2019","4,770.93","4,761.02","4,770.93","4,753.37","561.51K","0.15%"
"Oct 16, 2019","4,763.69","4,740.38","4,763.69","4,728.21","701.95K","0.49%"
"Oct 15, 2019","4,740.32","4,761.03","4,761.03","4,726.48","617.65K","-0.39%"
"Oct 14, 2019","4,759.09","4,737.37","4,767.23","4,737.37","469.72K","0.37%"
"Oct 11, 2019","4,741.49","4,702.03","4,745.23","4,695.25","395.14K","1.06%"
"Oct 10, 2019","4,691.90","4,672.25","4,691.90","4,668.70","553.08K","0.77%"
"Oct 09, 2019","4,655.99","4,682.79","4,682.79","4,655.01","296.44K","-0.69%"
"Oct 08, 2019","4,688.39","4,673.69","4,705.11","4,668.02","992.07K","0.48%"
"Oct 07, 2019","4,666.17","4,673.03","4,677.23","4,652.48","404.92K","-0.20%"
"Oct 04, 2019","4,675.60","4,613.64","4,675.60","4,613.64","375.69K","1.55%"
"Oct 03, 2019","4,604.01","4,627.29","4,627.29","4,583.36","542.10K","-0.68%"
"Oct 02, 2019","4,635.68","4,679.50","4,679.50","4,635.68","441.94K","-1.10%"
"Oct 01, 2019","4,687.04","4,713.14","4,717.61","4,671.52","610.01K","-0.55%"
"Sep 30, 2019","4,712.87","4,730.92","4,730.92","4,704.91","663.98K","-0.34%"
"Sep 27, 2019","4,728.81","4,779.13","4,779.13","4,722.10","1.25M","-0.85%"
"Sep 26, 2019","4,769.34","4,766.85","4,772.42","4,756.48","752.98K","-0.02%"
"Sep 25, 2019","4,770.09","4,768.81","4,770.09","4,716.88","602.10K","-0.02%"
"Sep 24, 2019","4,770.97","4,758.44","4,770.97","4,752.06","815.68K","0.20%"
"Sep 23, 2019","4,761.24","4,774.25","4,774.45","4,744.95","3.34M","-0.23%"
"Sep 20, 2019","4,772.35","4,780.89","4,782.86","4,764.51","2.68M","-0.22%"
"Sep 19, 2019","4,782.96","4,785.28","4,786.82","4,769.78","438.23K","-0.07%"
"Sep 18, 2019","4,786.43","4,794.54","4,794.54","4,775.56","412.70K","-0.16%"
"Sep 17, 2019","4,794.20","4,812.67","4,812.67","4,783.14","694.09K","-0.60%"
"Sep 16, 2019","4,823.05","4,818.64","4,823.05","4,784.79","923.39K","0.00%"
"Sep 13, 2019","4,822.97","4,801.12","4,822.97","4,798.83","7.10M","0.48%"
"Sep 12, 2019","4,799.79","4,797.35","4,802.84","4,790.82","635.04K","-0.10%"
"Sep 11, 2019","4,804.82","4,789.09","4,804.82","4,779.42","612.84K","0.38%"
"Sep 10, 2019","4,786.45","4,788.67","4,790.36","4,772.43","555.79K","-0.27%"
"Sep 09, 2019","4,799.31","4,796.20","4,799.31","4,783.78","758.55K","0.30%"
"Sep 06, 2019","4,785.02","4,783.74","4,802.67","4,783.74","1.98M","0.22%"
"Sep 05, 2019","4,774.28","4,765.28","4,784.97","4,760.73","832.05K","0.43%"
"Sep 04, 2019","4,753.77","4,756.17","4,760.84","4,737.81","1.11M","0.28%"
"Sep 03, 2019","4,740.61","4,796.44","4,799.53","4,740.61","1.18M","-1.19%"
"Sep 02, 2019","4,797.59","4,803.39","4,807.58","4,792.34","1.91M","-0.25%"
"Aug 30, 2019","4,809.48","4,774.31","4,809.48","4,769.13","1.27M","0.92%"
"Aug 29, 2019","4,765.77","4,750.90","4,765.77","4,733.74","6.54M","0.36%"
"Aug 28, 2019","4,748.81","4,714.61","4,748.81","4,697.95","1.34M","0.89%"
"Aug 27, 2019","4,706.80","4,748.98","4,748.98","4,701.24","2.52M","-1.33%"
"Aug 23, 2019","4,770.38","4,738.96","4,770.38","4,707.28","987.17K","0.28%"
"Aug 22, 2019","4,757.15","4,763.16","4,763.16","4,719.34","2.01M","-0.54%"
"Aug 20, 2019","4,783.08","4,791.72","4,791.72","4,758.71","586.66K","-0.29%"
"Aug 19, 2019","4,797.21","4,752.00","4,797.21","4,729.18","969.41K","1.18%"
"Aug 16, 2019","4,741.14","4,729.36","4,775.79","4,719.58","645.22K","-0.11%"
"Aug 15, 2019","4,746.35","4,709.41","4,746.35","4,655.21","650.96K","-0.47%"
"Aug 14, 2019","4,768.92","4,728.17","4,782.00","4,727.17","1.16M","0.56%"
